file         q                                   nmtx     pairs  invalid     frac
eps0mat.h5   (+0.0003,+0.0000,+0.0000)            537    251108    22188   0.0884
epsmat.h5    (+0.0000,+0.0000,+0.2500)            570    274473    24218   0.0882
epsmat.h5    (+0.0000,+0.0000,+0.5000)            568    272228    23732   0.0872
epsmat.h5    (+0.0000,+0.2500,+0.2500)            576    276504    23942   0.0866
epsmat.h5    (+0.0000,+0.2500,+0.5000)            562    267913    23062   0.0861
epsmat.h5    (+0.0000,+0.2500,+0.7500)            574    274942    23270   0.0846
epsmat.h5    (+0.0000,+0.5000,+0.5000)            588    281296    23908   0.0850
epsmat.h5    (+0.2500,+0.5000,+0.7500)            560    264216    22288   0.0844

TOTAL: 186608 invalid of 2162680 considered (G,G') pairs (8.63%) over irreducible q
