# Generated by LORRAX unknown at 2026-07-21 06:27:22 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.484467	      -61.075453	     -633.566542	     +591.604009	      -39.467486	       -2.208900	      -30.637428	  +138620.676008	       +0.160552	       +0.000000	     -112.067447	     -112.067447
               0	               1	      -65.484467	      -61.075453	     -633.566542	     +591.604009	      -39.467486	       -2.208900	      -30.739088	  -138617.465442	       +0.160552	       +0.000000	     -112.169107	     -112.169107
               0	               2	      -42.100571	      -37.691557	     -603.387236	     +584.115671	      -33.301635	       -2.208900	       -5.361995	 +5730655.809024	       +0.253277	       +0.000000	      -57.935194	      -57.935194
               0	               3	      -42.100571	      -37.691557	     -603.387236	     +584.115671	      -33.301635	       -2.208900	       -0.343471	 -5442996.835785	       +0.253277	       +0.000000	      -52.916671	      -52.916671
               0	               4	      -39.580049	      -35.171035	     -594.480713	     +577.561488	      -32.523733	       -2.208900	      -10.676373	 -5205988.282116	       +0.270091	       +0.000000	      -60.119332	      -60.119332
               0	               5	      -39.580049	      -35.171035	     -594.480713	     +577.561488	      -32.523733	       -2.208900	      -14.568612	 +4526580.597900	       +0.270091	       +0.000000	      -64.011571	      -64.011571
               0	               6	      -39.404857	      -34.995843	     -604.079149	     +587.428811	      -32.511041	       -2.208900	      +16.483337	 +1208889.776804	       +0.271343	       +0.000000	      -32.678042	      -32.678042
               0	               7	      -39.404857	      -34.995843	     -604.079149	     +587.428811	      -32.511041	       -2.208900	      +17.083611	  -806589.056543	       +0.271343	       +0.000000	      -32.077768	      -32.077768
               0	               8	      -19.386943	      -14.977929	     -389.972762	     +384.593457	      -21.626114	       -2.208900	       +6.349998	    +2281.194834	       +0.576924	       +0.000000	      -20.655421	      -20.655421
               0	               9	      -19.386943	      -14.977929	     -389.972762	     +384.593457	      -21.626114	       -2.208900	       +6.333476	    -2274.019764	       +0.576924	       +0.000000	      -20.671943	      -20.671943
               0	              10	      -18.188235	      -13.779222	     -356.540829	     +352.184894	      -21.557420	       -2.208900	       +5.791818	   +20038.229241	       +0.618644	       +0.000001	      -20.121537	      -20.121537
               0	              11	      -18.188235	      -13.779222	     -356.540829	     +352.184894	      -21.557420	       -2.208900	       +5.802469	   -22979.102732	       +0.618644	       +0.000001	      -20.110885	      -20.110885
               0	              12	      -10.891408	       -6.482395	     -392.608741	     +388.536744	      -17.375669	       -2.208900	       -0.821663	   -77312.286745	       +0.801380	       +0.000001	      -22.269329	      -10.518658
               0	              13	      -10.891408	       -6.482395	     -392.608741	     +388.536744	      -17.375669	       -2.208900	       -0.913803	   +75632.549879	       +0.801380	       +0.000001	      -22.361469	      -10.515249
               0	              14	       -7.880919	       -3.471905	     -488.232089	     +494.136579	      -18.153405	       -2.208900	       +2.457216	   +22952.919513	       +0.801403	       +0.000001	       -9.791699	       -9.197539
               0	              15	       -7.880919	       -3.471905	     -488.232089	     +494.136579	      -18.153405	       -2.208900	       +2.601155	  -118567.275555	       +0.801403	       +0.000001	       -9.647760	       -9.098063
               0	              16	       -7.821581	       -3.412567	     -483.643930	     +489.523366	      -18.001528	       -2.208900	       +2.495116	   -21503.693274	       +0.801512	       +0.000001	       -9.626976	       -9.092061
               0	              17	       -7.821581	       -3.412567	     -483.643930	     +489.523366	      -18.001528	       -2.208900	       +2.406254	   +94341.351916	       +0.801512	       +0.000001	       -9.715837	       -9.154692
               0	              18	       -7.130428	       -2.721415	     -294.918596	     +304.030445	      -15.639121	       -2.208900	       +3.836017	    +7394.146199	       +0.801643	       +0.000001	       -2.691254	       -1.651489
               0	              19	       -7.130428	       -2.721415	     -294.918596	     +304.030445	      -15.639121	       -2.208900	       +3.870170	    -3098.976675	       +0.801643	       +0.000001	       -2.657101	       -1.605064
               0	              20	       -6.799255	       -2.390241	     -453.270895	     +456.036230	      -17.717259	       -2.208900	       +2.895930	  +923953.573551	       +0.801545	       +0.000001	      -12.055994	      -10.013464
               0	              21	       -6.799255	       -2.390241	     -453.270895	     +456.036230	      -17.717259	       -2.208900	       +3.534266	 -1155572.145811	       +0.801545	       +0.000001	      -11.417659	       -9.565381
               0	              22	       -6.718285	       -2.309271	     -452.781367	     +455.662711	      -17.601776	       -2.208900	       +2.895185	 +1200508.410425	       +0.801626	       +0.000001	      -11.825247	       -9.923073
               0	              23	       -6.718285	       -2.309271	     -452.781367	     +455.662711	      -17.601776	       -2.208900	       +3.394080	  -988425.810136	       +0.801626	       +0.000001	      -11.326351	       -9.549260
               0	              24	       -5.398968	       -0.989955	     -402.917797	     +412.160622	      -16.397305	       -2.208900	      -35.135103	  +558195.501289	       +0.801363	       +0.000001	      -42.289583	      +22.145668
               0	              25	       -5.398968	       -0.989955	     -402.917797	     +412.160622	      -16.397305	       -2.208900	      -35.296047	  -542814.950193	       +0.801363	       +0.000001	      -42.450527	      +22.412847
               0	              26	       -2.591355	       +1.817659	     -410.014157	     +427.733322	      -11.090056	       +0.000000	       +3.152470	 -2919182.204755	       -0.801620	       -0.000001	       +9.781579	       +6.980326
               0	              27	       -2.591355	       +1.817659	     -410.014157	     +427.733322	      -11.090056	       +0.000000	       +4.291937	 +2919022.226883	       -0.801620	       -0.000001	      +10.921046	       +7.877048
               0	              28	       -2.515375	       +1.893639	     -408.313159	     +425.557908	      -11.013263	       +0.000000	       +3.325807	  +174410.711273	       -0.801540	       -0.000001	       +9.557293	       +6.827867
               0	              29	       -2.515375	       +1.893639	     -408.313159	     +425.557908	      -11.013263	       +0.000000	       +3.106191	  -183746.435241	       -0.801540	       -0.000001	       +9.337677	       +6.669565
               0	              30	       -2.347811	       +2.061203	     -391.701029	     +400.590064	      -11.097328	       +0.000000	       -3.224802	   +30120.413189	       -0.801475	       -0.000001	       -5.433096	       -4.795143
               0	              31	       -2.347811	       +2.061203	     -391.701029	     +400.590064	      -11.097328	       +0.000000	       -3.349559	   -59177.235396	       -0.801475	       -0.000001	       -5.557853	       -4.895465
               0	              32	       -2.339588	       +2.069426	     -389.765640	     +398.931031	      -11.103978	       +0.000000	       -3.012819	  +126254.672099	       -0.801490	       -0.000001	       -4.951406	       -4.414364
               0	              33	       -2.339588	       +2.069426	     -389.765640	     +398.931031	      -11.103978	       +0.000000	       -2.929025	   -88415.525161	       -0.801490	       -0.000001	       -4.867612	       -4.345640
               0	              34	       +1.083633	       +5.492647	     -423.689329	     +433.308862	       -6.156760	       +0.000000	       -4.657522	    +1002.631044	       -0.801357	       -0.000001	       -1.194749	       -0.319282
               0	              35	       +1.083633	       +5.492647	     -423.689329	     +433.308862	       -6.156760	       +0.000000	       -4.677220	     -843.952582	       -0.801357	       -0.000001	       -1.214447	       -0.326069
               0	              36	       +3.734850	       +8.143864	     -325.044173	     +339.801211	       -5.762110	       +0.000000	      -12.746343	     +366.964285	       -0.801595	       -0.000001	       -3.751415	       +1.911674
               0	              37	       +3.734850	       +8.143864	     -325.044173	     +339.801211	       -5.762110	       +0.000000	      -12.715901	     -867.661793	       -0.801595	       -0.000001	       -3.720973	       +1.872356
               0	              38	       +3.946919	       +8.355933	     -128.255799	     +153.938819	       -3.817845	       +0.000000	      +68.574653	     -832.578459	       -0.801587	       -0.000001	      +90.439828	       +9.956849
               0	              39	       +3.946919	       +8.355933	     -128.255799	     +153.938819	       -3.817845	       +0.000000	      +68.443543	     +481.665494	       -0.801587	       -0.000001	      +90.308718	       +9.977469
               0	              40	       +4.785055	       +9.194069	      -15.930532	      +48.014825	       -2.424951	       +0.000000	       -6.071988	    -2808.049449	       -0.801633	       -0.000001	      +23.587354	       -1.284556
               0	              41	       +4.785055	       +9.194069	      -15.930532	      +48.014825	       -2.424951	       +0.000000	       -6.064736	    +2616.975991	       -0.801633	       -0.000001	      +23.594606	       -1.321719
               0	              42	       +5.503172	       +9.912186	     -345.077481	     +360.861731	       -5.752252	       +0.000000	       -4.481651	   -17705.924046	       -0.801513	       -0.000001	       +5.550347	       +5.553454
               0	              43	       +5.503172	       +9.912186	     -345.077481	     +360.861731	       -5.752252	       +0.000000	       -4.449456	   +19226.197233	       -0.801513	       -0.000001	       +5.582541	       +5.589277
               0	              44	       +5.579950	       +9.988964	     -343.542273	     +359.276853	       -5.747146	       +0.000000	       -4.473900	   +14989.673451	       -0.801365	       -0.000001	       +5.513534	       +5.514806
               0	              45	       +5.579950	       +9.988964	     -343.542273	     +359.276853	       -5.747146	       +0.000000	       -4.500493	   -14284.375100	       -0.801365	       -0.000001	       +5.486941	       +5.488414
               0	              46	       +7.479930	      +11.888944	     -318.712447	     +343.442537	       -5.589779	       +0.000000	       -7.328811	 -1470219.295488	       -0.698271	       -0.000001	      +11.811501	      +11.811501
               0	              47	       +7.479930	      +11.888944	     -318.712447	     +343.442537	       -5.589779	       +0.000000	       -6.666192	 +1455696.788180	       -0.698271	       -0.000001	      +12.474119	      +12.474119
               0	              48	       +7.497363	      +11.906377	     -319.930043	     +344.630943	       -5.594893	       +0.000000	       -6.692826	 -1079331.449396	       -0.697443	       -0.000001	      +12.413181	      +12.413181
               0	              49	       +7.497363	      +11.906377	     -319.930043	     +344.630943	       -5.594893	       +0.000000	       -6.385986	 +1087215.266184	       -0.697443	       -0.000001	      +12.720021	      +12.720021
               0	              50	       +7.654692	      +12.063706	     -261.961779	     +289.722974	       -5.656184	       +0.000000	      -25.441563	  +367031.205519	       -0.690059	       -0.000001	       -3.336552	       -3.336552
               0	              51	       +7.654692	      +12.063706	     -261.961779	     +289.722974	       -5.656184	       +0.000000	      -25.839025	  -361362.760514	       -0.690059	       -0.000001	       -3.734014	       -3.734014
               0	              52	      +10.761649	      +15.170663	     -298.264686	     +321.013222	       -5.287493	       +0.000000	       -3.883612	 -1036311.378863	       -0.570736	       -0.000000	      +13.577430	      +13.577430
