# Generated by LORRAX unknown at 2026-07-18 02:26:56 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	sex_head        	coh_head        	eqp0            	eqp1            

k-point 0:
               0	               0	       -5.697462	       -5.697462	       +1.784419	       +3.318819	      -17.416565	       -2.600230	       -4.475093	       -8.960488	       -0.118370	       -1.240930	      -25.748908	      -25.748908
               0	               1	       -5.697462	       -5.697462	       +1.784419	       +3.318819	      -17.416565	       -2.600230	       -4.475093	       -8.960488	       -0.118370	       -1.240930	      -25.748908	      -25.748908
               0	               2	       +6.280883	       +6.280883	      +12.669137	       +5.311132	      -12.891291	       -2.600230	       -3.940525	       -8.637455	       -0.118370	       -1.240930	       -7.489002	       -7.489002
               0	               3	       +6.280883	       +6.280883	      +12.671498	       +5.311132	      -12.891291	       -2.600230	       -3.940525	       -8.637455	       -0.118370	       -1.240930	       -7.486641	       -7.486641
               0	               4	       +6.280883	       +6.280883	      +12.665266	       +5.311132	      -12.891291	       -2.600230	       -3.940525	       -8.637455	       -0.118370	       -1.240930	       -7.492872	       -7.492872
               0	               5	       +6.280883	       +6.280883	      +12.671754	       +5.311132	      -12.891291	       -2.600230	       -3.940525	       -8.637455	       -0.118370	       -1.240930	       -7.486385	       -7.486385
               0	               6	       +6.280883	       +6.280883	      +12.662600	       +5.311132	      -12.891291	       -2.600230	       -3.940525	       -8.637455	       -0.118370	       -1.240930	       -7.495538	       -7.495538
               0	               7	       +6.280883	       +6.280883	      +12.668285	       +5.311132	      -12.891291	       -2.600230	       -3.940525	       -8.637455	       -0.118370	       -1.240930	       -7.489854	       -7.489854
               0	               8	       +8.821292	       +8.821292	      +16.930823	       +2.204585	       -5.714557	       +0.000000	       -2.286302	       -7.968918	       +0.000000	       -1.240930	       +3.165631	       +3.165631
               0	               9	       +8.821292	       +8.821292	      +16.937850	       +2.204585	       -5.714557	       +0.000000	       -2.286302	       -7.968918	       +0.000000	       -1.240930	       +3.172658	       +3.172658
               0	              10	       +8.821292	       +8.821292	      +16.933981	       +2.204585	       -5.714557	       +0.000000	       -2.286302	       -7.968918	       +0.000000	       -1.240930	       +3.168789	       +3.168789
               0	              11	       +8.821292	       +8.821292	      +16.938709	       +2.204585	       -5.714557	       +0.000000	       -2.286302	       -7.968918	       +0.000000	       -1.240930	       +3.173517	       +3.173517
               0	              12	       +8.821292	       +8.821292	      +16.948195	       +2.204585	       -5.714557	       +0.000000	       -2.286302	       -7.968918	       +0.000000	       -1.240930	       +3.183003	       +3.183003
               0	              13	       +8.821292	       +8.821292	      +16.949334	       +2.204585	       -5.714557	       +0.000000	       -2.286302	       -7.968918	       +0.000000	       -1.240930	       +3.184142	       +3.184142
               0	              14	       +9.629157	       +9.629157	      +16.423389	       +4.932272	       -5.857358	       +0.000000	       -2.437155	       -8.624358	       +0.000000	       -1.240930	       +4.436790	       +4.436790
               0	              15	       +9.629157	       +9.629157	      +16.423389	       +4.932272	       -5.857358	       +0.000000	       -2.437155	       -8.624358	       +0.000000	       -1.240930	       +4.436790	       +4.436790
               0	              16	      +14.014757	      +14.014757	      +22.123638	       +2.131375	       -4.315846	       +0.000000	       -2.076892	       -7.404858	       +0.000000	       -1.240930	      +10.457417	      +10.457417
               0	              17	      +14.014757	      +14.014757	      +22.123638	       +2.131375	       -4.315846	       +0.000000	       -2.076892	       -7.404858	       +0.000000	       -1.240930	      +10.457417	      +10.457417
               0	              18	      +14.014757	      +14.014757	      +22.123638	       +2.131375	       -4.315846	       +0.000000	       -2.076892	       -7.404858	       +0.000000	       -1.240930	      +10.457417	      +10.457417
               0	              19	      +14.014757	      +14.014757	      +22.123638	       +2.131375	       -4.315846	       +0.000000	       -2.076892	       -7.404858	       +0.000000	       -1.240930	      +10.457417	      +10.457417
               0	              20	      +14.243046	      +14.243046	      +24.808725	       -2.643060	       -2.600185	       +0.000000	       -1.515414	       -6.585909	       +0.000000	       -1.240930	      +11.464156	      +11.464156
               0	              21	      +14.243046	      +14.243046	      +24.808725	       -2.643060	       -2.600185	       +0.000000	       -1.515414	       -6.585909	       +0.000000	       -1.240930	      +11.464156	      +11.464156
               0	              22	      +17.517766	      +17.517766	      +27.650337	       -1.684205	       -2.276318	       +0.000000	       -1.413956	       -6.595102	       +0.000000	       -1.240930	      +15.680757	      +15.680757
               0	              23	      +17.517766	      +17.517766	      +27.650888	       -1.684205	       -2.276318	       +0.000000	       -1.413956	       -6.595102	       +0.000000	       -1.240930	      +15.681308	      +15.681308
               0	              24	      +17.517766	      +17.517766	      +27.645322	       -1.684205	       -2.276318	       +0.000000	       -1.413956	       -6.595102	       +0.000000	       -1.240930	      +15.675742	      +15.675742
               0	              25	      +17.517766	      +17.517766	      +27.650063	       -1.684205	       -2.276318	       +0.000000	       -1.413956	       -6.595102	       +0.000000	       -1.240930	      +15.680483	      +15.680483
               0	              26	      +17.517766	      +17.517766	      +27.650476	       -1.684205	       -2.276318	       +0.000000	       -1.413956	       -6.595102	       +0.000000	       -1.240930	      +15.680895	      +15.680895
               0	              27	      +17.517766	      +17.517766	      +27.649741	       -1.684205	       -2.276318	       +0.000000	       -1.413956	       -6.595102	       +0.000000	       -1.240930	      +15.680160	      +15.680160
               0	              28	      +21.692473	      +21.692473	      +33.700228	       -5.405226	       -1.189489	       +0.000000	       -0.867694	       -5.619851	       +0.000000	       -1.240930	      +20.617968	      +20.617968
               0	              29	      +21.692473	      +21.692473	      +33.700228	       -5.405226	       -1.189489	       +0.000000	       -0.867694	       -5.619851	       +0.000000	       -1.240930	      +20.617968	      +20.617968
               0	              30	      +29.382010	      +29.382010	      +37.184234	       +2.727934	       -2.176837	       +0.000000	       -1.557479	       -5.968429	       +0.000000	       -1.240930	      +30.209424	      +30.209424
               0	              31	      +29.382010	      +29.382010	      +37.184290	       +2.727934	       -2.176837	       +0.000000	       -1.557479	       -5.968429	       +0.000000	       -1.240930	      +30.209480	      +30.209480
               0	              32	      +29.382010	      +29.382010	      +37.184163	       +2.727934	       -2.176837	       +0.000000	       -1.557479	       -5.968429	       +0.000000	       -1.240930	      +30.209353	      +30.209353
               0	              33	      +29.382010	      +29.382010	      +37.183731	       +2.727934	       -2.176837	       +0.000000	       -1.557479	       -5.968429	       +0.000000	       -1.240930	      +30.208921	      +30.208921
               0	              34	      +29.382010	      +29.382010	      +37.184153	       +2.727934	       -2.176837	       +0.000000	       -1.557479	       -5.968429	       +0.000000	       -1.240930	      +30.209343	      +30.209343
               0	              35	      +29.382010	      +29.382010	      +37.184042	       +2.727934	       -2.176837	       +0.000000	       -1.557479	       -5.968429	       +0.000000	       -1.240930	      +30.209233	      +30.209233
               0	              36	      +30.461606	      +30.461606	      +37.546230	       +4.246062	       -2.212801	       +0.000000	       -1.625901	       -6.147995	       +0.000000	       -1.240930	      +31.805595	      +31.805595
               0	              37	      +30.461606	      +30.461606	      +37.546230	       +4.246062	       -2.212801	       +0.000000	       -1.625901	       -6.147995	       +0.000000	       -1.240930	      +31.805595	      +31.805595
               0	              38	      +30.461606	      +30.461606	      +37.546230	       +4.246062	       -2.212801	       +0.000000	       -1.625901	       -6.147995	       +0.000000	       -1.240930	      +31.805595	      +31.805595
               0	              39	      +30.461606	      +30.461606	      +37.546230	       +4.246062	       -2.212801	       +0.000000	       -1.625901	       -6.147995	       +0.000000	       -1.240930	      +31.805595	      +31.805595
               0	              40	      +32.099306	      +32.099306	      +39.417740	       +3.948827	       -2.292367	       +0.000000	       -1.596521	       -6.430733	       +0.000000	       -1.240930	      +33.046945	      +33.046945
               0	              41	      +32.099306	      +32.099306	      +39.415988	       +3.948827	       -2.292367	       +0.000000	       -1.596521	       -6.430733	       +0.000000	       -1.240930	      +33.045194	      +33.045194
               0	              42	      +32.099306	      +32.099306	      +39.430099	       +3.948827	       -2.292367	       +0.000000	       -1.596521	       -6.430733	       +0.000000	       -1.240930	      +33.059304	      +33.059304
               0	              43	      +32.099306	      +32.099306	      +39.394989	       +3.948827	       -2.292367	       +0.000000	       -1.596521	       -6.430733	       +0.000000	       -1.240930	      +33.024194	      +33.024194
               0	              44	      +32.099306	      +32.099306	      +39.426932	       +3.948827	       -2.292367	       +0.000000	       -1.596521	       -6.430733	       +0.000000	       -1.240930	      +33.056137	      +33.056137
               0	              45	      +32.099306	      +32.099306	      +39.422380	       +3.948827	       -2.292367	       +0.000000	       -1.596521	       -6.430733	       +0.000000	       -1.240930	      +33.051585	      +33.051585
               0	              46	      +35.634546	      +35.634546	      +43.772074	       +1.996172	       -2.165170	       +0.000000	       -1.583615	       -4.801583	       +0.000000	       -1.240930	      +37.217877	      +37.217877
               0	              47	      +35.634546	      +35.634546	      +43.772074	       +1.996172	       -2.165170	       +0.000000	       -1.583615	       -4.801583	       +0.000000	       -1.240930	      +37.217877	      +37.217877
               0	              48	      +35.634546	      +35.634546	      +43.772074	       +1.996172	       -2.165170	       +0.000000	       -1.583615	       -4.801583	       +0.000000	       -1.240930	      +37.217877	      +37.217877
               0	              49	      +35.634546	      +35.634546	      +43.772074	       +1.996172	       -2.165170	       +0.000000	       -1.583615	       -4.801583	       +0.000000	       -1.240930	      +37.217877	      +37.217877
               0	              50	      +35.634546	      +35.634546	      +43.772074	       +1.996172	       -2.165170	       +0.000000	       -1.583615	       -4.801583	       +0.000000	       -1.240930	      +37.217877	      +37.217877
               0	              51	      +35.634546	      +35.634546	      +43.772074	       +1.996172	       -2.165170	       +0.000000	       -1.583615	       -4.801583	       +0.000000	       -1.240930	      +37.217877	      +37.217877
               0	              52	      +41.091814	      +41.091814	      +49.398861	       +1.966899	       -1.336433	       +0.000000	       -1.114365	       -4.797012	       +0.000000	       -1.240930	      +44.117950	      +44.117950
               0	              53	      +41.091814	      +41.091814	      +49.398934	       +1.966899	       -1.336433	       +0.000000	       -1.114365	       -4.797012	       +0.000000	       -1.240930	      +44.118023	      +44.118023
               0	              54	      +41.091814	      +41.091814	      +49.398813	       +1.966899	       -1.336433	       +0.000000	       -1.114365	       -4.797012	       +0.000000	       -1.240930	      +44.117902	      +44.117902
               0	              55	      +41.091814	      +41.091814	      +49.398943	       +1.966899	       -1.336433	       +0.000000	       -1.114365	       -4.797012	       +0.000000	       -1.240930	      +44.118032	      +44.118032
               0	              56	      +41.091814	      +41.091814	      +49.398804	       +1.966899	       -1.336433	       +0.000000	       -1.114365	       -4.797012	       +0.000000	       -1.240930	      +44.117892	      +44.117892
               0	              57	      +41.091814	      +41.091814	      +49.398855	       +1.966899	       -1.336433	       +0.000000	       -1.114365	       -4.797012	       +0.000000	       -1.240930	      +44.117944	      +44.117944
               0	              58	      +44.700508	      +44.700508	      +55.315517	       -2.526958	       -1.063694	       +0.000000	       -0.905375	       -2.900625	       +0.000000	       -1.240930	      +47.918866	      +47.918866
               0	              59	      +44.700508	      +44.700508	      +55.315517	       -2.526958	       -1.063694	       +0.000000	       -0.905375	       -2.900625	       +0.000000	       -1.240930	      +47.918866	      +47.918866

k-point 1:
               1	               0	       -4.897274	       -4.897274	       +2.488944	       +3.503048	      -17.155930	       -2.600230	       -4.434657	       -8.966349	       -0.118370	       -1.240930	      -24.564944	      -24.564944
               1	               1	       -4.897274	       -4.897274	       +2.488944	       +3.503048	      -17.155930	       -2.600230	       -4.434657	       -8.966349	       -0.118370	       -1.240930	      -24.564944	      -24.564944
               1	               2	       +2.340141	       +2.340141	       +9.569448	       +3.795728	      -13.662926	       -2.600230	       -3.823985	       -8.631152	       -0.118370	       -1.240930	      -12.752887	      -12.752887
               1	               3	       +2.340141	       +2.340141	       +9.569448	       +3.795728	      -13.662926	       -2.600230	       -3.823985	       -8.631152	       -0.118370	       -1.240930	      -12.752887	      -12.752887
               1	               4	       +5.514186	       +5.514186	      +12.216247	       +4.731037	      -12.850854	       -2.600230	       -3.835663	       -8.600820	       -0.118370	       -1.240930	       -8.340053	       -8.340053
               1	               5	       +5.514186	       +5.514186	      +12.227865	       +4.731037	      -12.850854	       -2.600230	       -3.835663	       -8.600820	       -0.118370	       -1.240930	       -8.328434	       -8.328434
