# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -3.02615113E+00  -1.92349085E-01   2.83380205E+00
# Error est. for CH(vbm) CH(cbm) diff =   8.41008958E-03   1.39677472E-02   5.55765758E-03
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -1.32985887E-02  -1.27059757E-03   1.20279911E-02
      2  -2.65971774E-02  -2.54119513E-03   2.40559823E-02
      3  -2.95266457E-01  -1.61185707E-02   2.79147887E-01
      4  -5.63935737E-01  -2.96959462E-02   5.34239791E-01
      5  -6.04816584E-01  -3.03817140E-02   5.74434870E-01
      6  -6.45697430E-01  -3.10674818E-02   6.14629949E-01
      7  -6.86578277E-01  -3.17532496E-02   6.54825027E-01
      8  -7.27459124E-01  -3.24390174E-02   6.95020106E-01
      9  -1.46502457E+00  -5.82775697E-02   1.40674700E+00
     10  -2.20259002E+00  -8.41161221E-02   2.11847390E+00
     11  -2.22842858E+00  -8.42969982E-02   2.14413158E+00
     12  -2.25426713E+00  -8.44778743E-02   2.16978925E+00
     13  -2.42189637E+00  -8.57967297E-02   2.33609964E+00
     14  -2.58952562E+00  -8.71155851E-02   2.50241003E+00
     15  -2.75715486E+00  -8.84344406E-02   2.66872042E+00
     16  -2.92478411E+00  -8.97532960E-02   2.83503081E+00
     17  -2.92500688E+00  -9.21105063E-02   2.83289637E+00
     18  -2.92522964E+00  -9.44677166E-02   2.83076193E+00
     19  -2.92694344E+00  -9.75293507E-02   2.82941409E+00
     20  -2.92865724E+00  -1.00590985E-01   2.82806625E+00
     21  -2.92940491E+00  -1.12066631E-01   2.81733828E+00
     22  -2.93015258E+00  -1.23542278E-01   2.80661030E+00
     23  -2.93835911E+00  -1.34636667E-01   2.80372244E+00
     24  -2.94656563E+00  -1.45731056E-01   2.80083457E+00
     25  -2.95477215E+00  -1.56825445E-01   2.79794671E+00
     26  -2.96297868E+00  -1.67919834E-01   2.79505884E+00
     27  -2.98968882E+00  -1.71989485E-01   2.81769933E+00
     28  -3.01639896E+00  -1.76059136E-01   2.84033982E+00
     29  -3.01687103E+00  -1.76936398E-01   2.83993464E+00
     30  -3.01734311E+00  -1.77813660E-01   2.83952945E+00
     31  -3.01754208E+00  -1.78097499E-01   2.83944458E+00
     32  -3.01774104E+00  -1.78381338E-01   2.83935971E+00
