# Generated by LORRAX 0.1.0 at 2026-05-15 21:52:47 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	eqp0            	eqp1            

k-point 0:
               0	               0	      -85.896997	      -85.896997	     -746.715657	     +718.241777	      -50.514512	       +0.000000	      -50.514512	       +0.000000	     -129.502904	     -129.502904
               0	               1	      -85.896997	      -85.896997	     -746.715657	     +718.241777	      -50.514512	       +0.000000	      -50.514512	       +0.000000	     -129.502904	     -129.502904
               0	               2	      -85.875238	      -85.875238	     -746.681786	     +717.777438	      -50.519463	       +0.000000	      -50.519463	       +0.000000	     -129.943274	     -129.943274
               0	               3	      -85.875238	      -85.875238	     -746.681786	     +717.777438	      -50.519463	       +0.000000	      -50.519463	       +0.000000	     -129.943274	     -129.943274
               0	               4	      -56.526268	      -56.526268	     -709.783272	     +666.742389	      -38.955323	       +0.000000	      -38.955323	       +0.000000	     -120.951528	     -120.951528
               0	               5	      -56.526268	      -56.526268	     -709.783272	     +666.742389	      -38.955323	       +0.000000	      -38.955323	       +0.000000	     -120.951528	     -120.951528
               0	               6	      -56.466078	      -56.466078	     -709.468999	     +665.385352	      -38.867806	       +0.000000	      -38.867806	       +0.000000	     -121.819260	     -121.819260
               0	               7	      -56.466078	      -56.466078	     -709.468999	     +665.385352	      -38.867806	       +0.000000	      -38.867806	       +0.000000	     -121.819260	     -121.819260
               0	               8	      -55.622985	      -55.622985	     -709.305939	     +677.125759	      -39.458924	       +0.000000	      -39.458924	       +0.000000	     -111.098028	     -111.098028
               0	               9	      -55.622985	      -55.622985	     -709.305939	     +677.125759	      -39.458924	       +0.000000	      -39.458924	       +0.000000	     -111.098028	     -111.098028
               0	              10	      -55.554996	      -55.554996	     -706.574949	     +648.233098	      -37.169372	       +0.000000	      -37.169372	       +0.000000	     -132.680595	     -132.680595
               0	              11	      -55.554996	      -55.554996	     -706.574949	     +648.233098	      -37.169372	       +0.000000	      -37.169372	       +0.000000	     -132.680595	     -132.680595
               0	              12	      -55.537945	      -55.537945	     -709.073342	     +677.967808	      -39.545383	       +0.000000	      -39.545383	       +0.000000	     -110.196300	     -110.196300
               0	              13	      -55.537945	      -55.537945	     -709.073342	     +677.967808	      -39.545383	       +0.000000	      -39.545383	       +0.000000	     -110.196300	     -110.196300
               0	              14	      -55.534941	      -55.534941	     -706.683857	     +650.139383	      -37.333924	       +0.000000	      -37.333924	       +0.000000	     -131.212323	     -131.212323
               0	              15	      -55.534941	      -55.534941	     -706.683857	     +650.139383	      -37.333924	       +0.000000	      -37.333924	       +0.000000	     -131.212323	     -131.212323
               0	              16	      -18.868682	      -18.868682	     -446.661625	     +427.688895	      -17.496282	       +0.000000	      -17.496282	       +0.000000	      -53.965294	      -53.965294
               0	              17	      -18.868682	      -18.868682	     -446.661625	     +427.688895	      -17.496282	       +0.000000	      -17.496282	       +0.000000	      -53.965294	      -53.965294
               0	              18	      -18.102407	      -18.102407	     -428.315102	     +416.073486	      -17.540836	       +0.000000	      -17.540836	       +0.000000	      -47.323288	      -47.323288
               0	              19	      -18.102407	      -18.102407	     -428.315102	     +416.073486	      -17.540836	       +0.000000	      -17.540836	       +0.000000	      -47.323288	      -47.323288
               0	              20	      -17.808185	      -17.808185	     -438.065743	     +428.790023	      -17.809256	       +0.000000	      -17.809256	       +0.000000	      -44.894233	      -44.894233
               0	              21	      -17.808185	      -17.808185	     -438.065743	     +428.790023	      -17.809256	       +0.000000	      -17.809256	       +0.000000	      -44.894233	      -44.894233
               0	              22	      -17.806835	      -17.806835	     -438.052938	     +428.802109	      -17.811323	       +0.000000	      -17.811323	       +0.000000	      -44.873475	      -44.873475
               0	              23	      -17.806835	      -17.806835	     -438.052938	     +428.802109	      -17.811323	       +0.000000	      -17.811323	       +0.000000	      -44.873475	      -44.873475
               0	              24	      -17.705076	      -17.705076	     -434.762461	     +426.742376	      -17.830894	       +0.000000	      -17.830894	       +0.000000	      -43.681873	      -43.681873
               0	              25	      -17.705076	      -17.705076	     -434.762461	     +426.742376	      -17.830894	       +0.000000	      -17.830894	       +0.000000	      -43.681873	      -43.681873
               0	              26	      -17.704544	      -17.704544	     -434.749261	     +426.719501	      -17.830339	       +0.000000	      -17.830339	       +0.000000	      -43.690438	      -43.690438
               0	              27	      -17.704544	      -17.704544	     -434.749261	     +426.719501	      -17.830339	       +0.000000	      -17.830339	       +0.000000	      -43.690438	      -43.690438
               0	              28	      -10.651857	      -10.651857	     -463.452491	     +457.780110	      -13.785047	       +0.000000	      -13.785047	       +0.000000	      -33.242474	      -33.242474
               0	              29	      -10.651857	      -10.651857	     -463.452491	     +457.780110	      -13.785047	       +0.000000	      -13.785047	       +0.000000	      -33.242474	      -33.242474
               0	              30	      -10.128663	      -10.128663	     -424.773251	     +415.253051	      -13.367602	       +0.000000	      -13.367602	       +0.000000	      -36.255405	      -36.255405
               0	              31	      -10.128663	      -10.128663	     -424.773252	     +415.253051	      -13.367602	       +0.000000	      -13.367602	       +0.000000	      -36.255405	      -36.255405
               0	              32	       -9.680354	       -9.680354	     -437.967045	     +428.997150	      -13.394760	       +0.000000	      -13.394760	       +0.000000	      -35.759414	      -35.759414
               0	              33	       -9.680354	       -9.680354	     -437.967045	     +428.997150	      -13.394760	       +0.000000	      -13.394760	       +0.000000	      -35.759414	      -35.759414
               0	              34	       -9.590868	       -9.590868	     -444.762972	     +435.881198	      -13.616248	       +0.000000	      -13.616248	       +0.000000	      -36.114270	      -36.114270
               0	              35	       -9.590868	       -9.590868	     -444.762972	     +435.881198	      -13.616248	       +0.000000	      -13.616248	       +0.000000	      -36.114270	      -36.114270
               0	              36	       -9.467457	       -9.467457	     -431.968380	     +425.779063	      -13.286076	       +0.000000	      -13.286076	       +0.000000	      -32.761469	      -32.761469
               0	              37	       -9.467457	       -9.467457	     -431.968379	     +425.779063	      -13.286076	       +0.000000	      -13.286076	       +0.000000	      -32.761468	      -32.761468
               0	              38	       -9.080054	       -9.080054	     -438.090346	     +426.736855	      -12.912987	       +0.000000	      -12.912987	       +0.000000	      -37.179466	      -37.179466
               0	              39	       -9.080054	       -9.080054	     -438.090346	     +426.736855	      -12.912987	       +0.000000	      -12.912987	       +0.000000	      -37.179466	      -37.179466
