# Breit Σ_xc comparison (eV).  std = sigSX + sigCOH (charge Σ_xc)
# screened = Σ^B from screened W^{ij}; unscr = Σ^B from bare V^{ij}
#  k    n     sigSX      sigCOH        std    SigB_scr   SigB_unscr   std+Bscr  std+Bunscr
   0    0   -50.77861     0.00000   -50.77861   -0.035172   -0.035172   -50.81378   -50.81378
   0    1   -50.78873     0.00000   -50.78873   -0.035173   -0.035173   -50.82390   -50.82390
   0    2   -46.37672     0.00000   -46.37672   -0.034055   -0.034055   -46.41078   -46.41078
   0    3   -46.38269     0.00000   -46.38269   -0.034069   -0.034069   -46.41676   -46.41676
   0    4   -43.51573     0.00000   -43.51573   -0.037891   -0.037891   -43.55363   -43.55363
   0    5   -43.49386     0.00000   -43.49386   -0.038054   -0.038054   -43.53192   -43.53192
   0    6   -43.12872     0.00000   -43.12872   -0.037594   -0.037594   -43.16632   -43.16632
   0    7   -43.12047     0.00000   -43.12047   -0.037736   -0.037736   -43.15821   -43.15821
   0    8   -43.58742     0.00000   -43.58742   -0.037507   -0.037507   -43.62493   -43.62493
   0    9   -43.57008     0.00000   -43.57008   -0.037643   -0.037643   -43.60773   -43.60773
   0   10   -37.89184     0.00000   -37.89184   -0.031678   -0.031678   -37.92352   -37.92352
   0   11   -37.85893     0.00000   -37.85893   -0.031605   -0.031605   -37.89053   -37.89053
   0   12   -37.48483     0.00000   -37.48483   -0.030828   -0.030828   -37.51566   -37.51566
   0   13   -37.47701     0.00000   -37.47701   -0.030832   -0.030832   -37.50784   -37.50784
   0   14   -37.53423     0.00000   -37.53423   -0.030621   -0.030621   -37.56485   -37.56485
   0   15   -37.51712     0.00000   -37.51712   -0.030508   -0.030508   -37.54763   -37.54763
   0   16   -18.04338     0.00000   -18.04338   -0.001567   -0.001567   -18.04494   -18.04494
   0   17   -18.04502     0.00000   -18.04502   -0.001487   -0.001487   -18.04651   -18.04651
   0   18   -17.99633     0.00000   -17.99633   -0.001495   -0.001495   -17.99783   -17.99783
   0   19   -17.87679     0.00000   -17.87679   -0.001523   -0.001523   -17.87832   -17.87832
   0   20   -18.09366     0.00000   -18.09366   -0.001591   -0.001591   -18.09525   -18.09525
   0   21   -18.09754     0.00000   -18.09754   -0.001603   -0.001603   -18.09914   -18.09914
   0   22   -17.99073     0.00000   -17.99073   -0.001651   -0.001651   -17.99238   -17.99238
   0   23   -17.99414     0.00000   -17.99414   -0.001665   -0.001665   -17.99580   -17.99580
   0   24   -18.09532     0.00000   -18.09532   -0.001621   -0.001621   -18.09694   -18.09694
