# Generated by LORRAX 0.1.0 at 2026-05-12 03:11:33 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.372253	      -65.372253	      +29.046455	     +582.952175	      -40.593618	       -3.563713	      -40.593618	       +0.000000	     +530.811396	     +530.811396
               0	               1	      -65.372253	      -65.372253	      +29.046455	     +582.952175	      -40.593618	       -3.563713	      -40.593618	       +0.000000	     +530.811396	     +530.811396
               0	               2	      -41.997239	      -41.997239	      +51.436583	     +586.280891	      -34.719024	       -3.563713	      -34.719024	       +0.000000	     +568.279427	     +568.279427
               0	               3	      -41.997239	      -41.997239	      +51.436583	     +586.280891	      -34.719024	       -3.563713	      -34.719024	       +0.000000	     +568.279427	     +568.279427
               0	               4	      -39.497235	      -39.497235	      +48.363182	     +579.021027	      -34.116455	       -3.563713	      -34.116455	       +0.000000	     +559.151298	     +559.151298
               0	               5	      -39.497235	      -39.497235	      +48.363182	     +579.021027	      -34.116455	       -3.563713	      -34.116455	       +0.000000	     +559.151298	     +559.151298
               0	               6	      -39.272877	      -39.272877	      +49.569632	     +590.404388	      -34.801713	       -3.563713	      -34.801713	       +0.000000	     +570.370593	     +570.370593
               0	               7	      -39.272877	      -39.272877	      +49.569632	     +590.404388	      -34.801713	       -3.563713	      -34.801713	       +0.000000	     +570.370593	     +570.370593
               0	               8	      -19.398604	      -19.398604	       +9.477705	     +383.619904	      -26.167301	       -3.563713	      -26.167301	       +0.000000	     +340.763007	     +340.763007
               0	               9	      -19.398604	      -19.398604	       +9.477705	     +383.619904	      -26.167301	       -3.563713	      -26.167301	       +0.000000	     +340.763007	     +340.763007
               0	              10	      -18.214280	      -18.214280	      +12.284206	     +356.521744	      -26.237665	       -3.563713	      -26.237665	       +0.000000	     +316.330619	     +316.330619
               0	              11	      -18.214280	      -18.214280	      +12.284206	     +356.521744	      -26.237665	       -3.563713	      -26.237665	       +0.000000	     +316.330619	     +316.330619
               0	              12	      -10.873768	      -10.873768	      +18.868760	     +401.951356	      -18.923722	       -3.563713	      -18.923722	       +0.000000	     +382.972673	     +382.972673
               0	              13	      -10.873768	      -10.873768	      +18.868760	     +401.951356	      -18.923722	       -3.563713	      -18.923722	       +0.000000	     +382.972673	     +382.972673
               0	              14	       -7.815640	       -7.815640	      +37.835671	     +492.449268	      -22.316454	       -3.563713	      -22.316454	       +0.000000	     +485.652032	     +485.652032
               0	              15	       -7.815640	       -7.815640	      +37.835671	     +492.449268	      -22.316454	       -3.563713	      -22.316454	       +0.000000	     +485.652032	     +485.652032
               0	              16	       -7.759785	       -7.759785	      +36.901147	     +487.583264	      -22.324797	       -3.563713	      -22.324797	       +0.000000	     +479.834817	     +479.834817
               0	              17	       -7.759785	       -7.759785	      +36.901147	     +487.583264	      -22.324797	       -3.563713	      -22.324797	       +0.000000	     +479.834817	     +479.834817
               0	              18	       -7.145276	       -7.145276	      +20.749566	     +304.616517	      -16.997045	       -3.563713	      -16.997045	       +0.000000	     +291.371994	     +291.371994
               0	              19	       -7.145276	       -7.145276	      +20.749566	     +304.616517	      -16.997045	       -3.563713	      -16.997045	       +0.000000	     +291.371994	     +291.371994
               0	              20	       -6.779803	       -6.779803	      +40.204986	     +459.288557	      -24.390193	       -3.563713	      -24.390193	       +0.000000	     +450.713157	     +450.713157
               0	              21	       -6.779803	       -6.779803	      +40.204986	     +459.288557	      -24.390193	       -3.563713	      -24.390193	       +0.000000	     +450.713157	     +450.713157
               0	              22	       -6.699109	       -6.699109	      +39.931230	     +458.750214	      -24.403538	       -3.563713	      -24.403538	       +0.000000	     +449.874368	     +449.874368
               0	              23	       -6.699109	       -6.699109	      +39.931230	     +458.750214	      -24.403538	       -3.563713	      -24.403538	       +0.000000	     +449.874368	     +449.874368
               0	              24	       -5.386093	       -5.386093	      +41.857618	     +413.887686	      -18.510241	       -3.563713	      -18.510241	       +0.000000	     +418.724823	     +418.724823
               0	              25	       -5.386093	       -5.386093	      +41.857618	     +413.887686	      -18.510241	       -3.563713	      -18.510241	       +0.000000	     +418.724823	     +418.724823
               0	              26	       -2.581488	       -2.581488	      +43.570119	     +424.262489	      -14.301398	       +0.000000	      -14.301398	       +0.000000	     +439.229813	     +439.229813
               0	              27	       -2.581488	       -2.581488	      +43.570119	     +424.262489	      -14.301398	       +0.000000	      -14.301398	       +0.000000	     +439.229813	     +439.229813
               0	              28	       -2.505729	       -2.505729	      +43.295990	     +422.398760	      -14.433500	       +0.000000	      -14.433500	       +0.000000	     +436.827750	     +436.827750
               0	              29	       -2.505729	       -2.505729	      +43.295990	     +422.398760	      -14.433500	       +0.000000	      -14.433500	       +0.000000	     +436.827750	     +436.827750
               0	              30	       -2.332526	       -2.332526	      +42.421203	     +408.632181	      -17.292297	       +0.000000	      -17.292297	       +0.000000	     +416.468791	     +416.468791
               0	              31	       -2.332526	       -2.332526	      +42.421203	     +408.632181	      -17.292297	       +0.000000	      -17.292297	       +0.000000	     +416.468791	     +416.468791
               0	              32	       -2.326587	       -2.326587	      +42.289590	     +406.072636	      -17.214780	       +0.000000	      -17.214780	       +0.000000	     +413.932666	     +413.932666
               0	              33	       -2.326587	       -2.326587	      +42.289590	     +406.072636	      -17.214780	       +0.000000	      -17.214780	       +0.000000	     +413.932666	     +413.932666
               0	              34	       +1.113320	       +1.113320	      +24.044532	     +431.391632	       -6.744845	       +0.000000	       -6.744845	       +0.000000	     +441.946475	     +441.946475
