# Generated by LORRAX 0.1.0 at 2026-07-02 20:11:01 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	sex_head        	coh_head        	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.372253	      -65.372253	      +29.046455	     +586.888067	      -40.027975	       -3.563713	      -15.328449	      -13.417457	       -0.740123	       -1.411795	     +547.160642	     +547.160642
               0	               1	      -65.372253	      -65.372253	      +29.046455	     +586.888067	      -40.027975	       -3.563713	      -15.328449	      -13.417457	       -0.740123	       -1.411795	     +547.160642	     +547.160642
               0	               2	      -41.997239	      -41.997239	      +51.436583	     +584.957099	      -33.999264	       -3.563713	      -12.421601	      -12.174052	       -0.740123	       -1.411795	     +577.798765	     +577.798765
               0	               3	      -41.997239	      -41.997239	      +51.436583	     +584.957099	      -33.999264	       -3.563713	      -12.421601	      -12.174052	       -0.740123	       -1.411795	     +577.798765	     +577.798765
               0	               4	      -39.497235	      -39.497235	      +48.363182	     +579.024135	      -33.328867	       -3.563713	      -12.126855	      -12.010013	       -0.740123	       -1.411795	     +569.921582	     +569.921582
               0	               5	      -39.497235	      -39.497235	      +48.363182	     +579.024135	      -33.328867	       -3.563713	      -12.126855	      -12.010013	       -0.740123	       -1.411795	     +569.921582	     +569.921582
               0	               6	      -39.272877	      -39.272877	      +49.569632	     +589.368972	      -33.403064	       -3.563713	      -12.149490	      -12.074377	       -0.740123	       -1.411795	     +581.311673	     +581.311673
               0	               7	      -39.272877	      -39.272877	      +49.569632	     +589.368972	      -33.403064	       -3.563713	      -12.149490	      -12.074377	       -0.740123	       -1.411795	     +581.311673	     +581.311673
               0	               8	      -19.398604	      -19.398604	       +9.477705	     +386.206781	      -22.470735	       -3.563713	       -7.001892	       -9.507643	       -0.740123	       -1.411795	     +356.704216	     +356.704216
               0	               9	      -19.398604	      -19.398604	       +9.477705	     +386.206781	      -22.470735	       -3.563713	       -7.001892	       -9.507643	       -0.740123	       -1.411795	     +356.704216	     +356.704216
