# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 332

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.48          0.00 B        0          0.00 B
    2.73          0.00 B        0          0.00 B
    2.99          0.00 B        0          0.00 B
    3.27          0.00 B        0          0.00 B
    3.52          0.00 B        0          0.00 B
    3.77          0.00 B        1          8.00 B
    4.02          0.00 B        3        192.00 B
    4.27          0.00 B        3        192.00 B
    4.52          0.00 B        3        192.00 B
    4.77          0.00 B        2         64.00 B
    5.02          0.00 B        4         72.00 B
    5.27          0.00 B        4         56.00 B
    6.87          0.00 B        0          0.00 B
    7.12          0.00 B        2         24.00 B
    7.37          0.00 B        4       56.25 MiB
    7.62          0.00 B        9       56.25 MiB
    7.87          0.00 B       15       61.31 MiB
    8.12          0.00 B       17       61.58 MiB
    8.37          0.00 B       15       65.55 MiB
    8.62          0.00 B       18       66.49 MiB
    8.87          0.00 B       23       67.98 MiB
    9.12          0.00 B       21       68.25 MiB
    9.37          0.00 B       22       76.87 MiB
    9.62          0.00 B       14       75.36 MiB
    9.87          0.00 B       12       79.40 MiB
   10.12          0.00 B       14       90.65 MiB
   10.37          0.00 B       16       96.27 MiB
   10.62          0.00 B       13       56.52 MiB
   10.87          0.00 B       18       56.52 MiB
   11.12          0.00 B       23       56.52 MiB
   11.37          0.00 B       27       56.52 MiB
   11.62          0.00 B       27       56.52 MiB
   11.87          0.00 B       23       56.52 MiB
   12.12          0.00 B       24       56.52 MiB
   12.37          0.00 B       22       56.52 MiB
   12.63          0.00 B       47       56.52 MiB
   12.88          0.00 B       47       56.53 MiB
   13.13          0.00 B       50      169.02 MiB
   13.38          0.00 B       56        1.92 GiB
   13.63          0.00 B       56        1.92 GiB
   13.88          0.00 B       54      281.52 MiB
   14.13          0.00 B       55      281.53 MiB
   14.38          0.00 B       52      281.52 MiB
   14.63          0.00 B       52      281.52 MiB
   14.88          0.00 B       52      281.52 MiB
   15.14          0.00 B       51      225.27 MiB
   15.39          0.00 B       54      225.28 MiB
   15.64          0.00 B       57      230.07 MiB
   15.89          0.00 B       52      233.90 MiB
   16.14          0.00 B       58      235.11 MiB
   16.39          0.00 B       62      236.19 MiB
   16.64          0.00 B       65      238.08 MiB
   16.89          0.00 B       63      245.63 MiB
   17.14          0.00 B       64      245.63 MiB
   17.39          0.00 B       53      226.86 MiB
   17.64          0.00 B       57      399.39 MiB
   17.89          0.00 B       60      400.97 MiB
   18.15          0.00 B       60      400.97 MiB
   18.40          0.00 B       60      400.97 MiB
   18.65          0.00 B       60      400.97 MiB
   18.90          0.00 B       60      400.97 MiB
