# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 615

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.46          0.00 B        0          0.00 B
    2.71          0.00 B        0          0.00 B
    2.96          0.00 B        0          0.00 B
    3.22          0.00 B        0          0.00 B
    3.47          0.00 B        0          0.00 B
    3.72          0.00 B        3        192.00 B
    3.97          0.00 B        3        192.00 B
    4.22          0.00 B        3        192.00 B
    4.47          0.00 B        3        192.00 B
    4.72          0.00 B        3         48.00 B
    4.97          0.00 B        2         24.00 B
    5.22          0.00 B        2         24.00 B
    6.24          0.00 B        0          0.00 B
    6.49          0.00 B        2         24.00 B
    6.74          0.00 B        4       56.25 MiB
    6.99          0.00 B        4       56.25 MiB
    7.24          0.00 B        8       56.25 MiB
    7.49          0.00 B       15       61.31 MiB
    7.74          0.00 B       17       61.58 MiB
    7.99          0.00 B       14       65.55 MiB
    8.25          0.00 B       14       75.36 MiB
    8.50          0.00 B       14       75.36 MiB
    8.75          0.00 B       12       79.40 MiB
    9.00          0.00 B       14       90.65 MiB
    9.25          0.00 B       16       96.27 MiB
    9.50          0.00 B       18       56.52 MiB
    9.75          0.00 B       22       56.52 MiB
   10.00          0.00 B       27       56.52 MiB
   10.25          0.00 B       27       56.52 MiB
   10.50          0.00 B       23       56.52 MiB
   10.75          0.00 B       22       56.52 MiB
   11.01          0.00 B       22       56.52 MiB
   11.26          0.00 B       44       56.52 MiB
   11.51          0.00 B       48       84.65 MiB
   11.76          0.00 B       54      169.03 MiB
   12.01          0.00 B       54      169.03 MiB
   12.26          0.00 B       51      225.27 MiB
   12.51          0.00 B       51      225.27 MiB
   12.76          0.00 B       51      225.27 MiB
   13.01          0.00 B       51      225.27 MiB
   13.26          0.00 B       51      225.27 MiB
   13.51          0.00 B       51      225.27 MiB
   13.76          0.00 B       55      225.27 MiB
   14.01          0.00 B       56      230.07 MiB
   14.26          0.00 B       58      230.34 MiB
   14.51          0.00 B       55      234.31 MiB
   14.76          0.00 B       53      226.86 MiB
   15.01          0.00 B       57      226.86 MiB
   15.27          0.00 B       59      228.44 MiB
   15.52          0.00 B       59      228.44 MiB
   15.77          0.00 B       59      228.44 MiB
   16.02          0.00 B       59      228.44 MiB
   16.27          0.00 B       60      228.44 MiB
   16.52          0.00 B       60      228.44 MiB
   16.77          0.00 B       60      228.44 MiB
   17.02          0.00 B       60      228.44 MiB
   17.27          0.00 B       63        1.26 GiB
   17.52          0.00 B       64        1.26 GiB
   17.77          0.00 B       64        1.26 GiB
   18.02          0.00 B       67        2.30 GiB
   18.27          0.00 B       67        2.30 GiB
   18.52          0.00 B       67        2.30 GiB
   18.78          0.00 B       69        3.35 GiB
   19.03          0.00 B       69        3.35 GiB
   19.28          0.00 B       69        3.35 GiB
   19.53          0.00 B       69        3.35 GiB
   19.78          0.00 B       69        3.35 GiB
   20.03          0.00 B       70        3.35 GiB
   20.28          0.00 B       70        3.35 GiB
   20.53          0.00 B       70        3.35 GiB
   20.79          0.00 B       69        5.01 GiB
   21.04          0.00 B       69        5.01 GiB
   21.29          0.00 B       65        3.14 GiB
   21.54          0.00 B       65        3.14 GiB
   21.79          0.00 B       65        3.14 GiB
   22.04          0.00 B       65        3.14 GiB
   22.29          0.00 B       65        3.14 GiB
   22.54          0.00 B       65        3.14 GiB
   22.79          0.00 B       65        3.14 GiB
   23.04          0.00 B       65        3.14 GiB
   23.30          0.00 B       65        3.14 GiB
   23.55          0.00 B       65        3.14 GiB
   23.80          0.00 B       65        3.14 GiB
   24.05          0.00 B       65        3.14 GiB
   24.30          0.00 B       65        3.14 GiB
   24.55          0.00 B       65        3.14 GiB
   24.80          0.00 B       65        3.14 GiB
   25.05          0.00 B       65        3.14 GiB
   25.30          0.00 B       65        3.14 GiB
   25.55          0.00 B       65        3.14 GiB
   25.80          0.00 B       65        3.14 GiB
   26.05          0.00 B       62        2.10 GiB
   26.30          0.00 B       62        2.10 GiB
   26.55          0.00 B       62        2.10 GiB
   26.80          0.00 B       62        2.10 GiB
   27.05          0.00 B       62        2.10 GiB
