# Generated by LORRAX 0.1.0 at 2026-05-13 18:02:10 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.372253	      -61.028672	      +29.046455	     +586.888067	      -40.027912	       -3.563713	       +4.068110	      +18.688868	       +0.288737	       +0.000000	     +579.974720	     +579.974720
               0	               1	      -65.372253	      -61.028672	      +29.046455	     +586.888067	      -40.027912	       -3.563713	       +4.068577	      -18.668015	       +0.288737	       +0.000000	     +579.975187	     +579.975187
               0	               2	      -41.997239	      -37.653659	      +51.436583	     +584.957099	      -33.868926	       -3.563713	       +4.182183	    +4171.482557	       +0.454268	       +0.000000	     +606.706939	     +606.706939
               0	               3	      -41.997239	      -37.653659	      +51.436583	     +584.957099	      -33.868926	       -3.563713	       +4.178141	    +2813.324190	       +0.454268	       +0.000000	     +606.702897	     +606.702897
               0	               4	      -39.497235	      -35.153654	      +48.363182	     +579.024135	      -33.354519	       -3.563713	       +4.245269	    -2449.458295	       +0.483941	       +0.000000	     +598.278068	     +598.278068
               0	               5	      -39.497235	      -35.153654	      +48.363182	     +579.024135	      -33.354519	       -3.563713	       +4.244751	    -2601.534794	       +0.483941	       +0.000000	     +598.277550	     +598.277550
               0	               6	      -39.272877	      -34.929297	      +49.569632	     +589.368972	      -33.492964	       -3.563713	       +4.180923	    -1580.762716	       +0.486794	       +0.000000	     +609.626563	     +609.626563
               0	               7	      -39.272877	      -34.929297	      +49.569632	     +589.368972	      -33.492964	       -3.563713	       +4.182554	     -207.083006	       +0.486794	       +0.000000	     +609.628194	     +609.628194
               0	               8	      -19.398604	      -15.055023	       +9.477705	     +386.206781	      -22.470746	       -3.563713	       +6.518871	       +0.189794	       +1.019119	       +0.000001	     +379.732611	     +379.732611
               0	               9	      -19.398604	      -15.055023	       +9.477705	     +386.206781	      -22.470746	       -3.563713	       +6.517959	       +0.202132	       +1.019119	       +0.000001	     +379.731699	     +379.731699
               0	              10	      -18.214280	      -13.870699	      +12.284206	     +355.332755	      -22.259576	       -3.563713	       +6.510759	      -12.943833	       +1.090158	       +0.000001	     +351.868144	     +351.868144
               0	              11	      -18.214280	      -13.870699	      +12.284206	     +355.332755	      -22.259576	       -3.563713	       +6.512099	      -12.487650	       +1.090158	       +0.000001	     +351.869483	     +351.869483
               0	              12	      -10.873768	       -6.530187	      +18.868760	     +394.732161	      -18.150188	       -3.563713	       +4.647573	       +6.236606	       +1.411915	       +0.000001	     +400.098305	     +282.980218
               0	              13	      -10.873768	       -6.530187	      +18.868760	     +394.732161	      -18.150188	       -3.563713	       +4.647481	       +5.348338	       +1.411915	       +0.000001	     +400.098213	     +282.854152
               0	              14	       -7.815640	       -3.472059	      +37.835671	     +494.042902	      -19.046127	       -3.563713	       +3.324887	     +582.062721	       +1.411900	       +0.000001	     +516.157332	     +377.455227
               0	              15	       -7.815640	       -3.472059	      +37.835671	     +494.042902	      -19.046127	       -3.563713	       +3.324465	     +351.051818	       +1.411900	       +0.000001	     +516.156910	     +377.475999
               0	              16	       -7.759785	       -3.416205	      +36.901147	     +489.243671	      -18.960347	       -3.563713	       +3.326775	     -290.358563	       +1.412074	       +0.000001	     +510.511246	     +373.840059
               0	              17	       -7.759785	       -3.416205	      +36.901147	     +489.243671	      -18.960347	       -3.563713	       +3.327307	     -424.405160	       +1.412074	       +0.000001	     +510.511778	     +373.830665
               0	              18	       -7.145276	       -2.801696	      +20.749566	     +302.039962	      -16.532541	       -3.563713	       +3.218505	       -9.367295	       +1.412282	       +0.000001	     +309.475491	     +230.993817
               0	              19	       -7.145276	       -2.801696	      +20.749566	     +302.039962	      -16.532541	       -3.563713	       +3.217410	      -13.495422	       +1.412282	       +0.000001	     +309.474396	     +231.006386
               0	              20	       -6.779803	       -2.436222	      +40.204986	     +456.942559	      -18.648404	       -3.563713	       +2.637508	     -513.253344	       +1.412017	       +0.000001	     +481.136648	     +359.579581
               0	              21	       -6.779803	       -2.436222	      +40.204986	     +456.942559	      -18.648404	       -3.563713	       +2.637262	      -49.912799	       +1.412017	       +0.000001	     +481.136403	     +359.576697
               0	              22	       -6.699109	       -2.355528	      +39.931230	     +456.364267	      -18.609732	       -3.563713	       +2.618346	     +503.968342	       +1.412210	       +0.000001	     +480.304110	     +359.195251
               0	              23	       -6.699109	       -2.355528	      +39.931230	     +456.364267	      -18.609732	       -3.563713	       +2.618455	      +77.236430	       +1.412210	       +0.000001	     +480.304220	     +359.194433
               0	              24	       -5.386093	       -1.042513	      +41.857618	     +412.834993	      -17.282464	       -3.563713	       +1.824641	      +30.265381	       +1.411960	       +0.000001	     +439.234788	     +330.088736
               0	              25	       -5.386093	       -1.042513	      +41.857618	     +412.834993	      -17.282464	       -3.563713	       +1.824986	      +18.453055	       +1.411960	       +0.000001	     +439.235133	     +330.089249
               0	              26	       -2.581488	       +1.762093	      +43.570119	     +424.365204	      -11.030162	       +0.000000	       -2.816220	     -817.113320	       -1.412306	       -0.000001	     +454.088942	     +343.376792
