# Generated by LORRAX 0.1.0 at 2026-05-12 05:59:05 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.372253	      -65.372253	      +29.046455	     +582.952175	      -40.593817	       -3.563713	      -40.593817	       +0.000000	     +530.810996	     +530.810996
               0	               1	      -65.372253	      -65.372253	      +29.046455	     +582.952175	      -40.593817	       -3.563713	      -40.593817	       +0.000000	     +530.810996	     +530.810996
               0	               2	      -41.997239	      -41.997239	      +51.436583	     +586.280891	      -34.719457	       -3.563713	      -34.719457	       +0.000000	     +568.278559	     +568.278559
               0	               3	      -41.997239	      -41.997239	      +51.436583	     +586.280891	      -34.719457	       -3.563713	      -34.719457	       +0.000000	     +568.278559	     +568.278559
               0	               4	      -39.497235	      -39.497235	      +48.363182	     +579.021027	      -34.116799	       -3.563713	      -34.116799	       +0.000000	     +559.150612	     +559.150612
               0	               5	      -39.497235	      -39.497235	      +48.363182	     +579.021027	      -34.116799	       -3.563713	      -34.116799	       +0.000000	     +559.150612	     +559.150612
               0	               6	      -39.272877	      -39.272877	      +49.569632	     +590.404388	      -34.802168	       -3.563713	      -34.802168	       +0.000000	     +570.369683	     +570.369683
               0	               7	      -39.272877	      -39.272877	      +49.569632	     +590.404388	      -34.802168	       -3.563713	      -34.802168	       +0.000000	     +570.369683	     +570.369683
               0	               8	      -19.398604	      -19.398604	       +9.477705	     +383.619904	      -26.167321	       -3.563713	      -26.167321	       +0.000000	     +340.762966	     +340.762966
               0	               9	      -19.398604	      -19.398604	       +9.477705	     +383.619904	      -26.167321	       -3.563713	      -26.167321	       +0.000000	     +340.762966	     +340.762966
               0	              10	      -18.214280	      -18.214280	      +12.284206	     +356.521744	      -26.237693	       -3.563713	      -26.237693	       +0.000000	     +316.330564	     +316.330564
               0	              11	      -18.214280	      -18.214280	      +12.284206	     +356.521744	      -26.237693	       -3.563713	      -26.237693	       +0.000000	     +316.330564	     +316.330564
               0	              12	      -10.873768	      -10.873768	      +18.868760	     +401.951356	      -18.923762	       -3.563713	      -18.923762	       +0.000000	     +382.972593	     +382.972593
               0	              13	      -10.873768	      -10.873768	      +18.868760	     +401.951356	      -18.923762	       -3.563713	      -18.923762	       +0.000000	     +382.972593	     +382.972593
               0	              14	       -7.815640	       -7.815640	      +37.835671	     +492.449268	      -22.316767	       -3.563713	      -22.316767	       +0.000000	     +485.651406	     +485.651406
               0	              15	       -7.815640	       -7.815640	      +37.835671	     +492.449268	      -22.316767	       -3.563713	      -22.316767	       +0.000000	     +485.651406	     +485.651406
               0	              16	       -7.759785	       -7.759785	      +36.901147	     +487.583264	      -22.325090	       -3.563713	      -22.325090	       +0.000000	     +479.834231	     +479.834231
               0	              17	       -7.759785	       -7.759785	      +36.901147	     +487.583264	      -22.325090	       -3.563713	      -22.325090	       +0.000000	     +479.834231	     +479.834231
               0	              18	       -7.145276	       -7.145276	      +20.749566	     +304.616517	      -16.997068	       -3.563713	      -16.997068	       +0.000000	     +291.371946	     +291.371946
               0	              19	       -7.145276	       -7.145276	      +20.749566	     +304.616517	      -16.997068	       -3.563713	      -16.997068	       +0.000000	     +291.371946	     +291.371946
               0	              20	       -6.779803	       -6.779803	      +40.204986	     +459.288557	      -24.390452	       -3.563713	      -24.390452	       +0.000000	     +450.712638	     +450.712638
               0	              21	       -6.779803	       -6.779803	      +40.204986	     +459.288557	      -24.390452	       -3.563713	      -24.390452	       +0.000000	     +450.712638	     +450.712638
               0	              22	       -6.699109	       -6.699109	      +39.931230	     +458.750214	      -24.403794	       -3.563713	      -24.403794	       +0.000000	     +449.873856	     +449.873856
