# Generated by LORRAX 0.1.0 at 2026-05-14 20:58:01 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	sex_head        	coh_head        	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.372253	      -65.372253	      +29.046455	     +585.024790	      -40.104453	       -3.563713	      -15.394956	      -13.442033	       -0.740123	       -1.411795	     +545.129804	     +545.129804
               0	               1	      -65.372253	      -65.372253	      +29.046455	     +585.024790	      -40.104453	       -3.563713	      -15.394956	      -13.442033	       -0.740123	       -1.411795	     +545.129804	     +545.129804
               0	               2	      -41.997239	      -41.997239	      +51.436583	     +584.839115	      -33.894832	       -3.563713	      -12.425762	      -12.138216	       -0.740123	       -1.411795	     +577.816889	     +577.816889
               0	               3	      -41.997239	      -41.997239	      +51.436583	     +584.839115	      -33.894832	       -3.563713	      -12.425762	      -12.138216	       -0.740123	       -1.411795	     +577.816889	     +577.816889
               0	               4	      -39.497235	      -39.497235	      +48.363182	     +578.982904	      -33.405853	       -3.563713	      -12.192976	      -12.014252	       -0.740123	       -1.411795	     +569.733006	     +569.733006
               0	               5	      -39.497235	      -39.497235	      +48.363182	     +578.982904	      -33.405853	       -3.563713	      -12.192976	      -12.014252	       -0.740123	       -1.411795	     +569.733006	     +569.733006
               0	               6	      -39.272877	      -39.272877	      +49.569632	     +588.164804	      -33.478865	       -3.563713	      -12.225335	      -12.064956	       -0.740123	       -1.411795	     +579.965280	     +579.965280
               0	               7	      -39.272877	      -39.272877	      +49.569632	     +588.164804	      -33.478865	       -3.563713	      -12.225335	      -12.064956	       -0.740123	       -1.411795	     +579.965280	     +579.965280
               0	               8	      -19.398604	      -19.398604	       +9.477705	     +385.157007	      -22.493803	       -3.563713	       -7.043150	       -9.506692	       -0.740123	       -1.411795	     +355.591067	     +355.591067
               0	               9	      -19.398604	      -19.398604	       +9.477705	     +385.157007	      -22.493803	       -3.563713	       -7.043150	       -9.506692	       -0.740123	       -1.411795	     +355.591067	     +355.591067
               0	              10	      -18.214280	      -18.214280	      +12.284206	     +355.583061	      -22.129455	       -3.563713	       -6.913227	       -9.559540	       -0.740123	       -1.411795	     +329.265044	     +329.265044
               0	              11	      -18.214280	      -18.214280	      +12.284206	     +355.583061	      -22.129455	       -3.563713	       -6.913227	       -9.559540	       -0.740123	       -1.411795	     +329.265044	     +329.265044
