# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 609

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.38          0.00 B        0          0.00 B
    2.64          0.00 B        0          0.00 B
    2.89          0.00 B        0          0.00 B
    3.18          0.00 B        0          0.00 B
    3.43          0.00 B        1          8.00 B
    3.68          0.00 B        3        192.00 B
    3.93          0.00 B        3        192.00 B
    4.18          0.00 B        3        192.00 B
    4.43          0.00 B        3        192.00 B
    4.68          0.00 B        4         72.00 B
    4.93          0.00 B        2         24.00 B
    6.00          0.00 B        0          0.00 B
    6.25          0.00 B        3         40.00 B
    6.50          0.00 B        4       56.25 MiB
    6.75          0.00 B       10       56.25 MiB
    7.00          0.00 B       16       61.31 MiB
    7.25          0.00 B       17       61.58 MiB
    7.50          0.00 B       14       65.55 MiB
    7.75          0.00 B       14       75.36 MiB
    8.00          0.00 B       14       75.36 MiB
    8.25          0.00 B       12       79.40 MiB
    8.51          0.00 B       16       96.27 MiB
    8.76          0.00 B       16       96.27 MiB
    9.01          0.00 B       19       56.52 MiB
    9.26          0.00 B       23       56.52 MiB
    9.51          0.00 B       27       56.52 MiB
    9.76          0.00 B       22       56.52 MiB
   10.01          0.00 B       21       56.52 MiB
   10.26          0.00 B       28       56.52 MiB
   10.51          0.00 B       46       56.52 MiB
   10.76          0.00 B       47       56.53 MiB
   11.01          0.00 B       50      169.02 MiB
   11.26          0.00 B       56        1.92 GiB
   11.51          0.00 B       56        1.92 GiB
   11.76          0.00 B       51      225.27 MiB
   12.01          0.00 B       51      225.27 MiB
   12.26          0.00 B       51      225.27 MiB
   12.51          0.00 B       51      225.27 MiB
   12.76          0.00 B       51      225.27 MiB
   13.02          0.00 B       51      225.27 MiB
   13.27          0.00 B       54      225.28 MiB
   13.52          0.00 B       58      230.34 MiB
   13.77          0.00 B       55      234.31 MiB
   14.02          0.00 B       56      243.39 MiB
   14.27          0.00 B       55      226.86 MiB
   14.52          0.00 B       58      228.44 MiB
   14.77          0.00 B       58      228.44 MiB
   15.02          0.00 B       58      228.44 MiB
   15.27          0.00 B       58      228.44 MiB
   15.53          0.00 B       58      228.44 MiB
   15.78          0.00 B       59      228.44 MiB
   16.03          0.00 B       59      228.44 MiB
   16.28          0.00 B       57      734.69 MiB
   16.53          0.00 B       63      734.69 MiB
   16.78          0.00 B       65        1.21 GiB
   17.03          0.00 B       66        1.21 GiB
   17.28          0.00 B       69        1.71 GiB
   17.53          0.00 B       69        2.70 GiB
   17.78          0.00 B       69        2.70 GiB
   18.03          0.00 B       69        2.70 GiB
   18.28          0.00 B       69        2.70 GiB
   18.53          0.00 B       69        2.70 GiB
