# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 642

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.42          0.00 B        0          0.00 B
    2.67          0.00 B        0          0.00 B
    2.92          0.00 B        0          0.00 B
    3.17          0.00 B        0          0.00 B
    3.43          0.00 B        0          0.00 B
    3.68          0.00 B        0          0.00 B
    3.93          0.00 B        1          8.00 B
    4.18          0.00 B        3        192.00 B
    4.43          0.00 B        3        192.00 B
    4.68          0.00 B        3        192.00 B
    4.93          0.00 B        2         64.00 B
    5.18          0.00 B        2         24.00 B
    5.43          0.00 B        2         24.00 B
    6.59          0.00 B        0          0.00 B
    6.84          0.00 B        2         24.00 B
    7.09          0.00 B        4       56.25 MiB
    7.34          0.00 B        9       56.25 MiB
    7.60          0.00 B       15       61.31 MiB
    7.86          0.00 B       17       61.58 MiB
    8.11          0.00 B       14       65.55 MiB
    8.36          0.00 B       14       75.36 MiB
    8.61          0.00 B       14       75.36 MiB
    8.86          0.00 B       12       79.40 MiB
    9.11          0.00 B       16       96.27 MiB
    9.36          0.00 B       17       61.58 MiB
    9.61          0.00 B       19       56.52 MiB
    9.86          0.00 B       23       56.52 MiB
   10.11          0.00 B       26       56.52 MiB
   10.36          0.00 B       22       56.52 MiB
   10.61          0.00 B       20       56.52 MiB
   10.86          0.00 B       26       56.52 MiB
   11.11          0.00 B       46       56.52 MiB
   11.36          0.00 B       47       56.53 MiB
   11.61          0.00 B       50      169.02 MiB
   11.86          0.00 B       56        1.92 GiB
   12.11          0.00 B       56        1.92 GiB
   12.36          0.00 B       51      225.27 MiB
   12.61          0.00 B       51      225.27 MiB
   12.86          0.00 B       51      225.27 MiB
   13.12          0.00 B       51      225.27 MiB
   13.37          0.00 B       51      225.27 MiB
   13.65          0.00 B       51      225.27 MiB
   13.90          0.00 B       56      225.28 MiB
   14.15          0.00 B       58      230.34 MiB
   14.40          0.00 B       55      234.31 MiB
   14.65          0.00 B       56      243.39 MiB
   14.90          0.00 B       55      226.86 MiB
   15.16          0.00 B       58      228.44 MiB
   15.41          0.00 B       58      228.44 MiB
   15.66          0.00 B       58      228.44 MiB
   15.91          0.00 B       58      228.44 MiB
   16.16          0.00 B       58      228.44 MiB
   16.41          0.00 B       58      228.44 MiB
   16.66          0.00 B       59      228.44 MiB
   16.91          0.00 B       59      228.44 MiB
   17.16          0.00 B       62      734.69 MiB
   17.41          0.00 B       63      734.69 MiB
   17.66          0.00 B       66        1.21 GiB
   17.91          0.00 B       69        1.71 GiB
   18.16          0.00 B       69        2.70 GiB
   18.41          0.00 B       69        2.70 GiB
   18.67          0.00 B       69        2.70 GiB
   18.92          0.00 B       69        2.70 GiB
   19.17          0.00 B       69        1.71 GiB
   19.42          0.00 B       69        2.70 GiB
   19.67          0.00 B       69        2.70 GiB
   19.92          0.00 B       69        2.70 GiB
   20.17          0.00 B       69        2.70 GiB
   20.42          0.00 B       69        2.70 GiB
   20.67          0.00 B       69        2.70 GiB
   20.92          0.00 B       69        2.70 GiB
   21.17          0.00 B       69        2.70 GiB
   21.42          0.00 B       69        2.70 GiB
   21.67          0.00 B       69        2.70 GiB
   21.92          0.00 B       68        1.71 GiB
   22.17          0.00 B       69        1.71 GiB
