# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 608

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.48          0.00 B        0          0.00 B
    2.73          0.00 B        0          0.00 B
    2.98          0.00 B        0          0.00 B
    3.27          0.00 B        0          0.00 B
    3.52          0.00 B        1          8.00 B
    3.77          0.00 B        3        192.00 B
    4.02          0.00 B        3        192.00 B
    4.28          0.00 B        3        192.00 B
    4.53          0.00 B        3        192.00 B
    4.78          0.00 B        4         72.00 B
    5.03          0.00 B        2         24.00 B
    6.13          0.00 B        0          0.00 B
    6.38          0.00 B        2         24.00 B
    6.63          0.00 B        4       56.25 MiB
    6.88          0.00 B       10       56.25 MiB
    7.13          0.00 B       15       61.31 MiB
    7.38          0.00 B       17       61.58 MiB
    7.63          0.00 B       14       65.55 MiB
    7.88          0.00 B       14       75.36 MiB
    8.13          0.00 B       14       75.36 MiB
    8.38          0.00 B       12       79.40 MiB
    8.63          0.00 B       16       96.27 MiB
    8.88          0.00 B       14       75.36 MiB
    9.13          0.00 B       21       56.52 MiB
    9.38          0.00 B       25       56.52 MiB
    9.63          0.00 B       28       56.52 MiB
    9.88          0.00 B       22       56.52 MiB
   10.13          0.00 B       21       56.52 MiB
   10.38          0.00 B       28       56.52 MiB
   10.63          0.00 B       47       56.52 MiB
   10.88          0.00 B       47       56.53 MiB
   11.13          0.00 B       50      169.02 MiB
   11.38          0.00 B       56        1.92 GiB
   11.63          0.00 B       56        1.92 GiB
   11.89          0.00 B       51      225.27 MiB
   12.14          0.00 B       51      225.27 MiB
   12.39          0.00 B       51      225.27 MiB
   12.64          0.00 B       51      225.27 MiB
   12.89          0.00 B       51      225.27 MiB
   13.14          0.00 B       51      225.27 MiB
   13.39          0.00 B       54      225.28 MiB
   13.64          0.00 B       58      230.34 MiB
   13.89          0.00 B       55      234.31 MiB
   14.14          0.00 B       56      243.39 MiB
   14.39          0.00 B       56      226.86 MiB
   14.65          0.00 B       58      228.44 MiB
   14.90          0.00 B       58      228.44 MiB
   15.15          0.00 B       58      228.44 MiB
   15.40          0.00 B       58      228.44 MiB
   15.65          0.00 B       58      228.44 MiB
   15.90          0.00 B       59      228.44 MiB
   16.15          0.00 B       59      228.44 MiB
   16.40          0.00 B       59      228.44 MiB
   16.65          0.00 B       57        1.26 GiB
   16.90          0.00 B       62        1.26 GiB
   17.15          0.00 B       63        1.26 GiB
   17.40          0.00 B       63        1.26 GiB
   17.65          0.00 B       66        2.30 GiB
   17.90          0.00 B       66        2.30 GiB
   18.15          0.00 B       65        3.35 GiB
   18.40          0.00 B       68        3.35 GiB
