# Generated by LORRAX 0.1.0 at 2026-05-11 02:54:48 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.461080	      -61.190600	     -633.568138	     +597.721740	      -39.581771	       -2.958852	       +3.733738	       -3.507201	       -0.211994	       -0.000000	      -71.694431	      -71.694431
               0	               1	      -65.461080	      -61.190600	     -633.568138	     +597.721740	      -39.581771	       -2.958852	       +3.741049	       +3.490022	       -0.211994	       -0.000000	      -71.687120	      -71.687120
               0	               2	      -42.076878	      -37.806398	     -603.405061	     +584.964213	      -33.346267	       -2.958852	       +3.302203	    +1619.386474	       -0.333768	       -0.000000	      -48.484913	      -48.484913
               0	               3	      -42.076878	      -37.806398	     -603.405061	     +584.964213	      -33.346267	       -2.958852	       +3.305601	    +1801.574537	       -0.333768	       -0.000000	      -48.481515	      -48.481515
               0	               4	      -39.554728	      -35.284248	     -594.460658	     +578.794552	      -32.838001	       -2.958852	       +3.349720	     -167.465874	       -0.355813	       -0.000000	      -45.154387	      -45.154387
               0	               5	      -39.554728	      -35.284248	     -594.460658	     +578.794552	      -32.838001	       -2.958852	       +3.349732	     -301.148576	       -0.355813	       -0.000000	      -45.154375	      -45.154375
               0	               6	      -39.383435	      -35.112955	     -604.080889	     +588.617696	      -32.870823	       -2.958852	       +3.235695	    -1199.297755	       -0.357416	       -0.000000	      -45.098321	      -45.098321
               0	               7	      -39.383435	      -35.112955	     -604.080889	     +588.617696	      -32.870823	       -2.958852	       +3.233490	    -1790.282825	       -0.357416	       -0.000000	      -45.100525	      -45.100525
               0	               8	      -19.374135	      -15.103655	     -389.844988	     +386.397031	      -21.919839	       -2.958852	       +4.811768	       +0.092936	       -0.754591	       -0.000001	      -20.556027	      -20.556027
               0	               9	      -19.374135	      -15.103655	     -389.844988	     +386.397031	      -21.919839	       -2.958852	       +4.813373	       +0.028096	       -0.754591	       -0.000001	      -20.554423	      -20.554423
               0	              10	      -18.177279	      -13.906799	     -356.448051	     +356.451717	      -21.715823	       -2.958852	       +4.651205	       +5.435253	       -0.808319	       -0.000001	      -17.060952	      -17.060952
               0	              11	      -18.177279	      -13.906799	     -356.448051	     +356.451717	      -21.715823	       -2.958852	       +4.653333	       +6.196749	       -0.808319	       -0.000001	      -17.058824	      -17.058824
               0	              12	      -10.875837	       -6.605356	     -392.368239	     +396.472696	      -17.668268	       -2.958852	       +2.338515	       -0.732288	       -1.053339	       -0.000001	      -11.225296	      -11.156056
               0	              13	      -10.875837	       -6.605356	     -392.368239	     +396.472696	      -17.668268	       -2.958852	       +2.336045	       +2.175009	       -1.053339	       -0.000001	      -11.227766	      -11.158074
               0	              14	       -7.861774	       -3.591294	     -488.082160	     +494.658843	      -18.504392	       -2.958852	       +0.979393	     -417.880219	       -1.053312	       -0.000001	      -10.948316	      -10.492225
               0	              15	       -7.861774	       -3.591294	     -488.082160	     +494.658843	      -18.504392	       -2.958852	       +0.977971	     -353.816446	       -1.053312	       -0.000001	      -10.949737	      -10.493264
               0	              16	       -7.802675	       -3.532194	     -483.466798	     +490.052681	      -18.419912	       -2.958852	       +0.974166	     +327.761565	       -1.053168	       -0.000001	      -10.859863	      -10.409184
