# Generated by LORRAX 0.1.0 at 2026-05-11 19:24:07 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	sex_head        	coh_head        	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.461080	      -65.461080	     -633.568138	     +595.368603	      -39.606412	       -2.958852	      -15.273973	      -13.230313	       -0.852712	       -1.053070	     -106.310233	     -106.310233
               0	               1	      -65.461080	      -65.461080	     -633.568138	     +595.368603	      -39.606412	       -2.958852	      -15.273973	      -13.230313	       -0.852712	       -1.053070	     -106.310233	     -106.310233
               0	               2	      -42.076878	      -42.076878	     -603.405061	     +587.686070	      -33.369203	       -2.958852	      -12.304092	      -11.937940	       -0.852712	       -1.053070	      -73.330226	      -73.330226
               0	               3	      -42.076878	      -42.076878	     -603.405061	     +587.686070	      -33.369203	       -2.958852	      -12.304092	      -11.937940	       -0.852712	       -1.053070	      -73.330226	      -73.330226
               0	               4	      -39.554728	      -39.554728	     -594.460658	     +574.774799	      -32.841400	       -2.958852	      -12.058211	      -11.792834	       -0.852712	       -1.053070	      -76.378305	      -76.378305
               0	               5	      -39.554728	      -39.554728	     -594.460658	     +574.774799	      -32.841400	       -2.958852	      -12.058211	      -11.792834	       -0.852712	       -1.053070	      -76.378305	      -76.378305
               0	               6	      -39.383435	      -39.383435	     -604.080889	     +582.081263	      -32.853729	       -2.958852	      -12.060504	      -11.857341	       -0.852712	       -1.053070	      -78.771199	      -78.771199
               0	               7	      -39.383435	      -39.383435	     -604.080889	     +582.081263	      -32.853729	       -2.958852	      -12.060504	      -11.857341	       -0.852712	       -1.053070	      -78.771199	      -78.771199
               0	               8	      -19.374135	      -19.374135	     -389.844988	     +382.423804	      -21.942388	       -2.958852	       -6.898596	       -9.312464	       -0.852712	       -1.053070	      -45.574632	      -45.574632
               0	               9	      -19.374135	      -19.374135	     -389.844988	     +382.423804	      -21.942388	       -2.958852	       -6.898596	       -9.312464	       -0.852712	       -1.053070	      -45.574632	      -45.574632
               0	              10	      -18.177279	      -18.177279	     -356.448051	     +356.936413	      -21.744092	       -2.958852	       -6.824803	       -9.416642	       -0.852712	       -1.053070	      -37.497175	      -37.497175
               0	              11	      -18.177279	      -18.177279	     -356.448051	     +356.936413	      -21.744092	       -2.958852	       -6.824803	       -9.416642	       -0.852712	       -1.053070	      -37.497175	      -37.497175
               0	              12	      -10.875837	      -10.875837	     -392.368239	     +393.578718	      -17.689993	       -2.958852	       -6.234768	       -8.204400	       -0.852712	       -1.053070	      -30.918681	      -30.918681
