# Generated by LORRAX 0.1.0 at 2026-05-11 19:13:15 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.461080	      -61.190600	     -633.568138	     +598.276609	      -39.609029	       -2.958852	       +2.528921	       -0.529524	       +0.211994	       +0.000000	      -72.371637	      -72.371637
               0	               1	      -65.461080	      -61.190600	     -633.568138	     +598.276609	      -39.609029	       -2.958852	       +2.524905	       -0.530105	       +0.211994	       +0.000000	      -72.375653	      -72.375653
               0	               2	      -42.076878	      -37.806398	     -603.405061	     +586.020527	      -33.356920	       -2.958852	       +5.633755	   +11336.792884	       +0.333768	       +0.000000	      -45.107699	      -45.107699
               0	               3	      -42.076878	      -37.806398	     -603.405061	     +586.020527	      -33.356920	       -2.958852	       +5.634537	   +11311.344209	       +0.333768	       +0.000000	      -45.106917	      -45.106917
               0	               4	      -39.554728	      -35.284248	     -594.460658	     +577.322207	      -32.834078	       -2.958852	       +5.441792	   -42177.774832	       +0.355813	       +0.000000	      -44.530737	      -44.530737
               0	               5	      -39.554728	      -35.284248	     -594.460658	     +577.322207	      -32.834078	       -2.958852	       +5.438572	   -42114.025032	       +0.355813	       +0.000000	      -44.533957	      -44.533957
               0	               6	      -39.383435	      -35.112955	     -604.080889	     +587.875201	      -32.875351	       -2.958852	       +5.921691	   +30087.381710	       +0.357416	       +0.000000	      -43.159348	      -43.159348
               0	               7	      -39.383435	      -35.112955	     -604.080889	     +587.875201	      -32.875351	       -2.958852	       +5.924318	   +30257.973337	       +0.357416	       +0.000000	      -43.156720	      -43.156720
               0	               8	      -19.374135	      -15.103655	     -389.844988	     +380.930578	      -21.901589	       -2.958852	       +6.415834	       +0.843755	       +0.754591	       +0.000001	      -24.400164	      -24.400164
               0	               9	      -19.374135	      -15.103655	     -389.844988	     +380.930578	      -21.901589	       -2.958852	       +6.416971	       +0.843633	       +0.754591	       +0.000001	      -24.399028	      -24.399028
               0	              10	      -18.177279	      -13.906799	     -356.448051	     +348.585276	      -21.702737	       -2.958852	       +6.313627	     -169.156396	       +0.808319	       +0.000001	      -23.251885	      -23.251885
               0	              11	      -18.177279	      -13.906799	     -356.448051	     +348.585276	      -21.702737	       -2.958852	       +6.315485	     -169.128068	       +0.808319	       +0.000001	      -23.250027	      -23.250027
               0	              12	      -10.875837	       -6.605356	     -392.368239	     +389.841410	      -17.651042	       -2.958852	       +3.966022	     -155.529689	       +1.053339	       +0.000001	      -16.211849	      -16.657537
               0	              13	      -10.875837	       -6.605356	     -392.368239	     +389.841410	      -17.651042	       -2.958852	       +3.963545	     -155.529765	       +1.053339	       +0.000001	      -16.214326	      -16.660940
               0	              14	       -7.861774	       -3.591294	     -488.082160	     +493.992813	      -18.514344	       -2.958852	       +3.051940	   -10036.219887	       +1.053312	       +0.000001	       -9.551751	       -9.110090
               0	              15	       -7.861774	       -3.591294	     -488.082160	     +493.992813	      -18.514344	       -2.958852	       +3.050518	   -10454.568873	       +1.053312	       +0.000001	       -9.553174	       -9.111117
               0	              16	       -7.802675	       -3.532194	     -483.466798	     +489.593154	      -18.430728	       -2.958852	       +3.044701	    +9814.644384	       +1.053168	       +0.000001	       -9.259670	       -8.880794
               0	              17	       -7.802675	       -3.532194	     -483.466798	     +489.593154	      -18.430728	       -2.958852	       +3.047928	    +8583.494199	       +1.053168	       +0.000001	       -9.256443	       -8.878519
               0	              18	       -7.121962	       -2.851481	     -294.930732	     +301.266136	      -15.947116	       -2.958852	       +2.871792	     +263.501272	       +1.053395	       +0.000001	       -6.739920	       -6.830226
               0	              19	       -7.121962	       -2.851481	     -294.930732	     +301.266136	      -15.947116	       -2.958852	       +2.872842	     +260.884897	       +1.053395	       +0.000001	       -6.738870	       -6.829437
               0	              20	       -6.780841	       -2.510361	     -453.019111	     +456.816438	      -18.026912	       -2.958852	       +2.197074	    -3464.467062	       +1.053103	       +0.000001	      -12.032511	      -10.757562
               0	              21	       -6.780841	       -2.510361	     -453.019111	     +456.816438	      -18.026912	       -2.958852	       +2.197064	    -3486.477682	       +1.053103	       +0.000001	      -12.032521	      -10.757595
               0	              22	       -6.699897	       -2.429417	     -452.529078	     +456.038347	      -17.983258	       -2.958852	       +2.171812	    +2487.497380	       +1.053256	       +0.000001	      -12.302177	      -10.948256
               0	              23	       -6.699897	       -2.429417	     -452.529078	     +456.038347	      -17.983258	       -2.958852	       +2.171459	    +2596.353994	       +1.053256	       +0.000001	      -12.302530	      -10.948620
               0	              24	       -5.381421	       -1.110941	     -403.081609	     +418.242264	      -16.783151	       -2.958852	       +1.437389	     +481.023946	       +1.053349	       +0.000001	       -0.185106	       -1.369374
               0	              25	       -5.381421	       -1.110941	     -403.081609	     +418.242264	      -16.783151	       -2.958852	       +1.426785	     +480.738420	       +1.053349	       +0.000001	       -0.195711	       -1.377303
               0	              26	       -2.574767	       +1.695714	     -410.183162	     +425.641514	      -11.100650	       +0.000000	       -2.559303	    +4303.121536	       -1.053450	       -0.000001	       +1.798398	       +0.759287
               0	              27	       -2.574767	       +1.695714	     -410.183162	     +425.641514	      -11.100650	       +0.000000	       -2.559484	    +4030.260466	       -1.053450	       -0.000001	       +1.798217	       +0.759186
               0	              28	       -2.498945	       +1.771535	     -408.433639	     +423.163870	      -11.079799	       +0.000000	       -2.572496	    -4984.095966	       -1.053461	       -0.000001	       +1.077935	       +0.224782
               0	              29	       -2.498945	       +1.771535	     -408.433639	     +423.163870	      -11.079799	       +0.000000	       -2.571527	    -4894.889078	       -1.053461	       -0.000001	       +1.078904	       +0.225557
               0	              30	       -2.333879	       +1.936602	     -391.799010	     +404.057673	      -11.151924	       +0.000000	       -2.598153	    +1808.806840	       -1.053240	       -0.000001	       -1.491415	       -1.702775
               0	              31	       -2.333879	       +1.936602	     -391.799010	     +404.057673	      -11.151924	       +0.000000	       -2.591144	     +905.892772	       -1.053240	       -0.000001	       -1.484405	       -1.697454
               0	              32	       -2.325690	       +1.944791	     -389.901683	     +402.039905	      -11.154265	       +0.000000	       -2.576710	      +21.938947	       -1.053221	       -0.000001	       -1.592753	       -1.776078
               0	              33	       -2.325690	       +1.944791	     -389.901683	     +402.039905	      -11.154265	       +0.000000	       -2.580578	     -854.472712	       -1.053221	       -0.000001	       -1.596621	       -1.779023
               0	              34	       +1.102385	       +5.372865	     -423.376266	     +435.959947	       -6.171537	       +0.000000	       -3.633427	       +0.073516	       -1.053364	       -0.000001	       +2.778716	       +2.470407
               0	              35	       +1.102385	       +5.372865	     -423.376266	     +435.959947	       -6.171537	       +0.000000	       -3.627135	       +0.070824	       -1.053364	       -0.000001	       +2.785008	       +2.475702
               0	              36	       +3.746505	       +8.016986	     -324.918669	     +338.930090	       -5.798508	       +0.000000	       -3.702105	       -4.798244	       -1.053124	       -0.000001	       +4.510808	       +4.365074
               0	              37	       +3.746505	       +8.016986	     -324.918669	     +338.930090	       -5.798508	       +0.000000	       -3.702634	       -4.809949	       -1.053124	       -0.000001	       +4.510280	       +4.364460
               0	              38	       +3.953430	       +8.223910	     -127.812990	     +128.516304	       -3.928747	       +0.000000	       -3.570455	       +1.814505	       -1.053463	       -0.000001	       -6.795887	       -4.525754
               0	              39	       +3.953430	       +8.223910	     -127.812990	     +128.516304	       -3.928747	       +0.000000	       -3.571265	       +1.810542	       -1.053463	       -0.000001	       -6.796697	       -4.523818
               0	              40	       +4.786070	       +9.056551	      -15.658586	      +21.614039	       -2.479856	       +0.000000	       -3.288438	       -6.499855	       -1.053233	       -0.000001	       +0.187158	       +0.982986
               0	              41	       +4.786070	       +9.056551	      -15.658586	      +21.614039	       -2.479856	       +0.000000	       -3.288565	       -6.518307	       -1.053233	       -0.000001	       +0.187031	       +0.983140
               0	              42	       +5.517734	       +9.788215	     -345.006963	     +362.401912	       -5.867674	       +0.000000	       -4.169915	       -2.329764	       -1.053454	       -0.000001	       +7.357360	       +7.038021
               0	              43	       +5.517734	       +9.788215	     -345.006963	     +362.401912	       -5.867674	       +0.000000	       -4.170657	      +31.932692	       -1.053454	       -0.000001	       +7.356618	       +7.037396
               0	              44	       +5.594438	       +9.864918	     -343.466739	     +360.657021	       -5.867127	       +0.000000	       -4.171732	       -4.178668	       -1.053376	       -0.000001	       +7.151424	       +6.910282
               0	              45	       +5.594438	       +9.864918	     -343.466739	     +360.657021	       -5.867127	       +0.000000	       -4.173396	      -76.327536	       -1.053376	       -0.000001	       +7.149759	       +6.908848
               0	              46	       +7.492860	      +11.763341	     -318.597129	     +343.830221	       -5.679600	       +0.000000	       -4.124775	     +921.248954	       -0.926456	       -0.000001	      +15.428716	      +15.428716
               0	              47	       +7.492860	      +11.763341	     -318.597129	     +343.830221	       -5.679600	       +0.000000	       -4.126913	     +991.202182	       -0.926456	       -0.000001	      +15.426578	      +15.426578
               0	              48	       +7.510374	      +11.780854	     -319.870878	     +345.262914	       -5.683661	       +0.000000	       -4.107136	     -982.302686	       -0.925351	       -0.000001	      +15.601239	      +15.601239
               0	              49	       +7.510374	      +11.780854	     -319.870878	     +345.262914	       -5.683661	       +0.000000	       -4.109345	    -1076.591552	       -0.925351	       -0.000001	      +15.599029	      +15.599029
               0	              50	       +7.663743	      +11.934224	     -262.366984	     +284.346694	       -5.761576	       +0.000000	       -4.490288	      +89.343754	       -0.915785	       -0.000001	      +11.727846	      +11.727846
               0	              51	       +7.663743	      +11.934224	     -262.366984	     +284.346694	       -5.761576	       +0.000000	       -4.490132	      +88.588123	       -0.915785	       -0.000001	      +11.728002	      +11.728002
               0	              52	      +10.772983	      +15.043464	     -298.229905	     +322.705348	       -5.322252	       +0.000000	       -3.931828	     +248.744461	       -0.757122	       -0.000001	      +15.221363	      +15.221363
               0	              53	      +10.772983	      +15.043464	     -298.229905	     +322.705348	       -5.322252	       +0.000000	       -3.932279	     +401.690601	       -0.757122	       -0.000001	      +15.220912	      +15.220912
               0	              54	      +10.787584	      +15.058064	     -298.369408	     +322.647804	       -5.324703	       +0.000000	       -3.941083	     -290.374177	       -0.756506	       -0.000001	      +15.012610	      +15.012610
               0	              55	      +10.787584	      +15.058064	     -298.369408	     +322.647804	       -5.324703	       +0.000000	       -3.940442	      -71.532172	       -0.756506	       -0.000001	      +15.013251	      +15.013251
               0	              56	      +10.866953	      +15.137434	     -342.238093	     +359.339599	       -3.383630	       +0.000000	       -3.192552	      -11.348268	       -0.753178	       -0.000001	      +10.525324	      +10.525324
               0	              57	      +10.866953	      +15.137434	     -342.238093	     +359.339599	       -3.383630	       +0.000000	       -3.191525	      -11.468826	       -0.753178	       -0.000001	      +10.526352	      +10.526352
               0	              58	      +11.110950	      +15.381430	     -312.853424	     +337.335336	       -5.879299	       +0.000000	       -4.245568	     +287.840183	       -0.743127	       -0.000001	      +14.357045	      +14.357045
               0	              59	      +11.110950	      +15.381430	     -312.853424	     +337.335336	       -5.879299	       +0.000000	       -4.247937	     +862.195846	       -0.743127	       -0.000001	      +14.354676	      +14.354676
               0	              60	      +11.117844	      +15.388325	     -312.398402	     +337.053477	       -5.894858	       +0.000000	       -4.238675	     -445.860582	       -0.742847	       -0.000001	      +14.521542	      +14.521542
               0	              61	      +11.117844	      +15.388325	     -312.398402	     +337.053477	       -5.894858	       +0.000000	       -4.240546	     -904.758513	       -0.742847	       -0.000001	      +14.519671	      +14.519671
               0	              62	      +11.239118	      +15.509598	     -116.766721	     +149.873539	       -2.429393	       +0.000000	       -2.598106	       -4.880528	       -0.737954	       -0.000001	      +28.079320	      +28.079320
               0	              63	      +11.239118	      +15.509598	     -116.766721	     +149.873539	       -2.429393	       +0.000000	       -2.598182	       -4.905392	       -0.737954	       -0.000001	      +28.079243	      +28.079243
               0	              64	      +14.037417	      +18.307898	      -20.026534	      +67.191525	       -2.079779	       +0.000000	       -2.302514	       -2.891909	       -0.640596	       -0.000000	      +42.782698	      +42.782698
               0	              65	      +14.037417	      +18.307898	      -20.026534	      +67.191525	       -2.079779	       +0.000000	       -2.302236	       -2.880512	       -0.640596	       -0.000000	      +42.782976	      +42.782976
               0	              66	      +14.279780	      +18.550261	      -28.874660	      +29.799753	       -1.837809	       +0.000000	       -2.344826	      -54.091129	       -0.633359	       -0.000000	       -3.257542	       -3.257542
               0	              67	      +14.279780	      +18.550261	      -28.874660	      +29.799753	       -1.837809	       +0.000000	       -2.344885	      -54.182402	       -0.633359	       -0.000000	       -3.257601	       -3.257601
               0	              68	      +14.666693	      +18.937174	     -119.264556	     +133.226082	       -2.988786	       +0.000000	       -2.387405	      -59.670244	       -0.622138	       -0.000000	       +8.585334	       +8.585334
               0	              69	      +14.666693	      +18.937174	     -119.264557	     +133.226082	       -2.988786	       +0.000000	       -2.386713	      -59.588661	       -0.622138	       -0.000000	       +8.586026	       +8.586026
               0	              70	      +16.070604	      +20.341084	      +40.264682	      +98.433071	       -1.659793	       +0.000000	       -1.821500	       -1.353290	       -0.584561	       -0.000000	     +135.216460	     +135.216460
               0	              71	      +16.070604	      +20.341084	      +40.264682	      +98.433071	       -1.659793	       +0.000000	       -1.821543	       -1.351855	       -0.584561	       -0.000000	     +135.216417	     +135.216417
               0	              72	      +18.074526	      +22.345006	     -261.501941	     +287.848056	       -3.230032	       +0.000000	       -2.454974	     -850.635417	       -0.538164	       -0.000000	      +20.661109	      +20.661109
               0	              73	      +18.074526	      +22.345006	     -261.501938	     +287.848056	       -3.230032	       +0.000000	       -2.455399	     -849.097077	       -0.538164	       -0.000000	      +20.660687	      +20.660687
               0	              74	      +18.251233	      +22.521714	     -252.940733	     +277.945422	       -3.175749	       +0.000000	       -2.269866	     +905.898494	       -0.534424	       -0.000000	      +19.559074	      +19.559074
               0	              75	      +18.251233	      +22.521714	     -252.940733	     +277.945422	       -3.175749	       +0.000000	       -2.270026	     +905.020040	       -0.534424	       -0.000000	      +19.558914	      +19.558914
               0	              76	      +20.602106	      +24.872587	      -92.081392	     +312.527787	       -2.256132	       +0.000000	       -1.765305	       +2.317545	       -0.489191	       -0.000000	     +216.424958	     +216.424958
               0	              77	      +20.602106	      +24.872587	      -92.081393	     +312.527787	       -2.256132	       +0.000000	       -1.765152	       +2.291566	       -0.489191	       -0.000000	     +216.425110	     +216.425110
               0	              78	      +20.830552	      +25.101032	     -118.202329	     +156.369876	       -1.989511	       +0.000000	       -1.751662	    +1278.455083	       -0.485200	       -0.000000	      +34.426374	      +34.426374
               0	              79	      +20.830552	      +25.101032	     -118.202326	     +156.369876	       -1.989511	       +0.000000	       -1.751749	    +1153.576391	       -0.485200	       -0.000000	      +34.426289	      +34.426289

k-point 1:
               1	               0	      -65.453279	      -61.182799	     -633.662060	     +591.349263	      -39.571910	       -2.958852	       +3.098871	     -133.717598	       +0.212020	       +0.000000	      -78.785836	      -78.785836
               1	               1	      -65.453279	      -61.182799	     -633.662060	     +591.349263	      -39.571910	       -2.958852	       +3.090585	     -441.795423	       +0.212020	       +0.000000	      -78.794122	      -78.794122
               1	               2	      -42.131329	      -37.860849	     -601.191521	     +585.699797	      -33.286200	       -2.958852	       +3.606786	  -654125.284254	       +0.333322	       +0.000000	      -45.171138	      -45.171138
               1	               3	      -42.131329	      -37.860849	     -601.191521	     +585.699797	      -33.286200	       -2.958852	       +4.133401	  +694844.443582	       +0.333322	       +0.000000	      -44.644523	      -44.644523
               1	               4	      -39.599192	      -35.328712	     -597.717058	     +577.864470	      -32.931161	       -2.958852	       +3.733088	   -49117.793692	       +0.355399	       +0.000000	      -49.050662	      -49.050662
               1	               5	      -39.599192	      -35.328712	     -597.717063	     +577.864470	      -32.931161	       -2.958852	       +3.738272	   -43556.914696	       +0.355399	       +0.000000	      -49.045484	      -49.045484
               1	               6	      -39.488546	      -35.218065	     -602.096291	     +585.007499	      -32.851936	       -2.958852	       +3.565852	  -613272.736776	       +0.356431	       +0.000000	      -46.374877	      -46.374877
               1	               7	      -39.488546	      -35.218065	     -602.096297	     +585.007499	      -32.851936	       -2.958852	       +4.046523	  +667216.442299	       +0.356431	       +0.000000	      -45.894211	      -45.894211
               1	               8	      -18.545595	      -14.275114	     -388.187443	     +380.447175	      -21.865378	       -2.958852	       +6.281114	    -8111.672289	       +0.790987	       +0.000001	      -23.324531	      -23.324531
               1	               9	      -18.545595	      -14.275114	     -388.187443	     +380.447175	      -21.865378	       -2.958852	       +6.283926	    -6747.565947	       +0.790987	       +0.000001	      -23.321720	      -23.321720
               1	              10	      -17.814950	      -13.544470	     -366.150342	     +358.551288	      -21.781020	       -2.958852	       +6.296177	   -39791.431377	       +0.826126	       +0.000001	      -23.083897	      -23.083897
               1	              11	      -17.814950	      -13.544470	     -366.150342	     +358.551288	      -21.781020	       -2.958852	       +6.295344	   -39666.147916	       +0.826126	       +0.000001	      -23.084730	      -23.084730
               1	              12	      -10.273785	       -6.003305	     -410.587036	     +410.070490	      -17.905695	       -2.958852	       +4.118140	   -24314.963735	       +1.053081	       +0.000001	      -14.304101	      -13.212850
               1	              13	      -10.273785	       -6.003305	     -410.587036	     +410.070490	      -17.905695	       -2.958852	       +4.114493	   -28365.552951	       +1.053081	       +0.000001	      -14.307748	      -13.213356
               1	              14	       -9.040023	       -4.769542	     -407.542718	     +409.144766	      -17.253610	       -2.958852	       +3.599715	   -26971.110391	       +1.053462	       +0.000001	      -12.051846	      -11.284147
               1	              15	       -9.040023	       -4.769542	     -407.542691	     +409.144766	      -17.253610	       -2.958852	       +3.588928	   -35276.069388	       +1.053462	       +0.000001	      -12.062607	      -11.293460
               1	              16	       -8.913920	       -4.643440	     -388.020152	     +392.498244	      -17.472144	       -2.958852	       +3.271133	   +54845.096203	       +1.053399	       +0.000001	       -9.722920	       -9.520319
               1	              17	       -8.913920	       -4.643440	     -388.020154	     +392.498244	      -17.472144	       -2.958852	       +3.262721	   +55865.152650	       +1.053399	       +0.000001	       -9.731334	       -9.526561
               1	              18	       -7.742956	       -3.472476	     -443.964722	     +447.972693	      -18.110813	       -2.958852	       +2.824774	   -28272.976704	       +1.053149	       +0.000001	      -11.278068	      -10.405261
               1	              19	       -7.742956	       -3.472476	     -443.964729	     +447.972693	      -18.110813	       -2.958852	       +2.822215	   -35274.818136	       +1.053149	       +0.000001	      -11.280634	      -10.404921
               1	              20	       -7.005214	       -2.734734	     -449.231207	     +455.824313	      -17.822057	       -2.958852	       +2.586294	   +51242.579524	       +1.053465	       +0.000001	       -8.642658	       -8.220905
               1	              21	       -7.005214	       -2.734733	     -449.231270	     +455.824313	      -17.822057	       -2.958852	       +2.581697	   +48449.552212	       +1.053465	       +0.000001	       -8.647318	       -8.224170
               1	              22	       -6.681850	       -2.411369	     -312.241847	     +320.405199	      -16.291141	       -2.958852	       +2.727357	   -25166.950199	       +1.053295	       +0.000001	       -5.400432	       -5.704690
               1	              23	       -6.681849	       -2.411369	     -312.241863	     +320.405199	      -16.291141	       -2.958852	       +2.727373	   -23738.539060	       +1.053295	       +0.000001	       -5.400433	       -5.704626
               1	              24	       -6.090484	       -1.820004	     -443.823763	     +456.947862	      -17.272056	       -2.958852	       +2.068601	  +103801.909439	       +1.053430	       +0.000001	       -2.079356	       -3.047776
               1	              25	       -6.090483	       -1.820003	     -443.823817	     +456.947862	      -17.272056	       -2.958852	       +2.070274	  +114413.200051	       +1.053430	       +0.000001	       -2.077737	       -3.047189
               1	              26	       -3.159537	       +1.110943	     -411.576293	     +423.761584	      -11.276938	       +0.000000	       -2.307938	  -157914.295120	       -1.053349	       -0.000001	       -1.399585	       -1.783873
               1	              27	       -3.159535	       +1.110946	     -411.576039	     +423.761584	      -11.276938	       +0.000000	       -2.449182	  -187950.842707	       -1.053349	       -0.000001	       -1.540576	       -1.897339
               1	              28	       -2.958523	       +1.311957	     -435.639359	     +445.940092	      -11.852901	       +0.000000	       -2.594653	  -103424.895793	       -1.053437	       -0.000001	       -4.146821	       -3.826129
               1	              29	       -2.958520	       +1.311960	     -435.639107	     +445.940092	      -11.852901	       +0.000000	       -2.731458	  -135856.889609	       -1.053437	       -0.000001	       -4.283375	       -3.923861
               1	              30	       -2.356331	       +1.914149	     -431.782740	     +443.498560	      -11.077427	       +0.000000	       -3.074417	  +124140.344091	       -1.053289	       -0.000001	       -2.436024	       -2.416896
               1	              31	       -2.356331	       +1.914150	     -431.782789	     +443.498560	      -11.077427	       +0.000000	       -3.086666	  +136989.477440	       -1.053289	       -0.000001	       -2.448323	       -2.426233
               1	              32	       -1.544766	       +2.725715	     -412.026231	     +427.239895	      -11.271509	       +0.000000	       -2.997632	   +66105.270656	       -1.053463	       -0.000001	       +0.944522	       +0.336188
               1	              33	       -1.544765	       +2.725715	     -412.026278	     +427.239895	      -11.271509	       +0.000000	       -3.006604	   +79880.039355	       -1.053463	       -0.000001	       +0.935504	       +0.324734
               1	              34	       +2.988145	       +7.258625	     -330.647283	     +348.010060	       -5.812074	       +0.000000	       -3.921674	   +58035.705167	       -1.053464	       -0.000001	       +7.629028	       +6.384014
               1	              35	       +2.988145	       +7.258625	     -330.647257	     +348.010060	       -5.812074	       +0.000000	       -3.925038	   +58290.521449	       -1.053464	       -0.000001	       +7.625691	       +6.383099
               1	              36	       +3.659469	       +7.929950	     -290.061236	     +303.164278	       -5.230560	       +0.000000	       -3.653813	   -15604.104109	       -1.053255	       -0.000001	       +4.218669	       +4.062581
               1	              37	       +3.659469	       +7.929950	     -290.061236	     +303.164278	       -5.230560	       +0.000000	       -3.647206	   -16545.870018	       -1.053255	       -0.000001	       +4.225276	       +4.064807
               1	              38	       +4.172688	       +8.443168	     -344.220517	     +358.229780	       -6.533906	       +0.000000	       -4.254184	   +30336.445141	       -1.053225	       -0.000001	       +3.221173	       +3.577549
               1	              39	       +4.172688	       +8.443168	     -344.220553	     +358.229780	       -6.533906	       +0.000000	       -4.259751	   +29617.624402	       -1.053225	       -0.000001	       +3.215571	       +3.577260
               1	              40	       +5.105824	       +9.376305	     -243.099500	     +247.662710	       -5.162278	       +0.000000	       -4.167865	   +35575.679995	       -1.053359	       -0.000001	       -4.766933	       -1.162263
               1	              41	       +5.105825	       +9.376305	     -243.099465	     +247.662710	       -5.162278	       +0.000000	       -4.163456	   +39634.032616	       -1.053359	       -0.000001	       -4.762489	       -1.075731
               1	              42	       +5.443105	       +9.713586	     -139.701110	     +150.329485	       -3.930200	       +0.000000	       -3.903176	   +42819.870437	       -1.053459	       -0.000001	       +2.794999	       +3.095699
               1	              43	       +5.443105	       +9.713586	     -139.701113	     +150.329485	       -3.930200	       +0.000000	       -3.900997	   +43840.000405	       -1.053459	       -0.000001	       +2.797175	       +3.091506
               1	              44	       +7.036408	      +11.306889	     -256.272424	     +270.426475	       -4.840274	       +0.000000	       -3.825698	    -9102.647634	       -0.956216	       -0.000001	       +5.488079	       +5.488079
               1	              45	       +7.036409	      +11.306889	     -256.272285	     +270.426475	       -4.840274	       +0.000000	       -3.825221	   -11509.387105	       -0.956216	       -0.000001	       +5.488694	       +5.488694
               1	              46	       +7.073964	      +11.344445	     -289.155525	     +301.551649	       -5.346368	       +0.000000	       -4.147668	   +11282.302823	       -0.953696	       -0.000001	       +2.902087	       +2.902087
               1	              47	       +7.073964	      +11.344445	     -289.155670	     +301.551649	       -5.346368	       +0.000000	       -4.157589	    +9791.055642	       -0.953696	       -0.000001	       +2.892021	       +2.892021
               1	              48	       +7.695938	      +11.966418	     -353.648368	     +379.164277	       -5.975713	       +0.000000	       -4.081141	   -91519.011677	       -0.913802	       -0.000001	      +15.459055	      +15.459055
               1	              49	       +7.695938	      +11.966419	     -353.648303	     +379.164277	       -5.975713	       +0.000000	       -4.076527	   -85759.253777	       -0.913802	       -0.000001	      +15.463735	      +15.463735
               1	              50	       +8.343085	      +12.613565	     -310.973813	     +332.854040	       -5.078314	       +0.000000	       -3.770579	   -45296.563132	       -0.875690	       -0.000001	      +13.031333	      +13.031333
               1	              51	       +8.343085	      +12.613565	     -310.973826	     +332.854040	       -5.078314	       +0.000000	       -3.766330	   -45187.416806	       -0.875690	       -0.000001	      +13.035569	      +13.035569
               1	              52	       +9.010856	      +13.281336	     -264.069111	     +284.708874	       -4.817305	       +0.000000	       -3.950174	   +71418.519787	       -0.839558	       -0.000001	      +11.872284	      +11.872284
               1	              53	       +9.010856	      +13.281336	     -264.069065	     +284.708874	       -4.817305	       +0.000000	       -3.952395	   +70057.905846	       -0.839558	       -0.000001	      +11.870108	      +11.870108
               1	              54	       +9.168321	      +13.438802	     -324.609980	     +346.863007	       -5.610764	       +0.000000	       -4.082014	  +303854.966755	       -0.831468	       -0.000001	      +12.560249	      +12.560249
               1	              55	       +9.168322	      +13.438802	     -324.610107	     +346.863007	       -5.610764	       +0.000000	       -4.100585	  +285585.884816	       -0.831468	       -0.000001	      +12.541551	      +12.541551
               1	              56	       +9.744848	      +14.015329	     -217.916064	     +237.410082	       -4.338488	       +0.000000	       -3.448646	  +175313.425184	       -0.803133	       -0.000001	      +11.706884	      +11.706884
               1	              57	       +9.744849	      +14.015329	     -217.916175	     +237.410082	       -4.338488	       +0.000000	       -3.454374	  +155898.870108	       -0.803133	       -0.000001	      +11.701045	      +11.701045
               1	              58	      +11.947323	      +16.217803	     -303.233419	     +338.142073	       -5.620340	       +0.000000	       -3.833755	   -92250.809945	       -0.710621	       -0.000001	      +25.454560	      +25.454560
