# Generated by LORRAX unknown at 2026-07-21 07:41:46 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.461080	      -61.190600	      +29.058914	     +592.650240	      -39.594160	       -2.958852	       +4.136073	       +0.000000	       +0.211994	       +0.000000	     +586.251067	     +586.251067
               0	               1	      -65.461080	      -61.190600	      +29.058914	     +592.650240	      -39.594160	       -2.958852	       +4.136073	       +0.000000	       +0.211994	       +0.000000	     +586.251067	     +586.251067
               0	               2	      -42.076878	      -37.806398	      +51.496510	     +586.293431	      -33.471716	       -2.958852	       +3.804039	       -0.000480	       +0.333768	       +0.000000	     +608.122264	     +608.122264
               0	               3	      -42.076878	      -37.806398	      +51.496510	     +586.293431	      -33.471716	       -2.958852	       +3.804039	       -0.000480	       +0.333768	       +0.000000	     +608.122264	     +608.122264
               0	               4	      -39.554728	      -35.284248	      +48.359659	     +577.679088	      -32.814702	       -2.958852	       +3.955896	       +0.000057	       +0.355813	       +0.000000	     +597.179941	     +597.179941
               0	               5	      -39.554728	      -35.284248	      +48.359659	     +577.679088	      -32.814702	       -2.958852	       +3.955896	       +0.000057	       +0.355813	       +0.000000	     +597.179941	     +597.179941
               0	               6	      -39.383435	      -35.112955	      +49.598206	     +588.539697	      -32.790390	       -2.958852	       +3.805598	       +0.000432	       +0.357416	       +0.000000	     +609.153111	     +609.153111
               0	               7	      -39.383435	      -35.112955	      +49.598206	     +588.539697	      -32.790390	       -2.958852	       +3.805598	       +0.000432	       +0.357416	       +0.000000	     +609.153111	     +609.153111
               0	               8	      -19.374135	      -15.103655	       +9.477662	     +386.788236	      -21.936193	       -2.958852	       +6.297162	       +0.000001	       +0.754591	       +0.000001	     +380.626866	     +380.626866
               0	               9	      -19.374135	      -15.103655	       +9.477662	     +386.788236	      -21.936193	       -2.958852	       +6.297162	       +0.000001	       +0.754591	       +0.000001	     +380.626866	     +380.626866
               0	              10	      -18.177279	      -13.906799	      +12.289315	     +357.670660	      -21.756145	       -2.958852	       +6.282576	       -0.000003	       +0.808319	       +0.000001	     +354.486406	     +354.486406
               0	              11	      -18.177279	      -13.906799	      +12.289315	     +357.670660	      -21.756145	       -2.958852	       +6.282576	       -0.000003	       +0.808319	       +0.000001	     +354.486406	     +354.486406
               0	              12	      -10.875837	       -6.605356	      +18.925542	     +395.030803	      -17.754741	       -2.958852	       +4.465720	       +0.000000	       +1.053339	       +0.000001	     +400.667325	     +287.341816
               0	              13	      -10.875837	       -6.605356	      +18.925542	     +395.030803	      -17.754741	       -2.958852	       +4.465720	       +0.000000	       +1.053339	       +0.000001	     +400.667325	     +287.341816
               0	              14	       -7.861774	       -3.591294	      +38.156570	     +493.753837	      -18.620381	       -2.958852	       +3.128237	       -0.000040	       +1.053312	       +0.000001	     +516.418262	     +382.792061
               0	              15	       -7.861774	       -3.591294	      +38.156570	     +493.753837	      -18.620381	       -2.958852	       +3.128237	       -0.000040	       +1.053312	       +0.000001	     +516.418262	     +382.792061
               0	              16	       -7.802675	       -3.532194	      +37.228007	     +489.090389	      -18.468599	       -2.958852	       +3.078915	       +0.000038	       +1.053168	       +0.000001	     +510.928711	     +379.257026
               0	              17	       -7.802675	       -3.532194	      +37.228007	     +489.090389	      -18.468599	       -2.958852	       +3.078915	       +0.000038	       +1.053168	       +0.000001	     +510.928711	     +379.257026
               0	              18	       -7.121962	       -2.851481	      +20.710682	     +299.012673	      -15.840040	       -2.958852	       +2.871673	       +0.000001	       +1.053395	       +0.000001	     +306.754988	     +232.892972
               0	              19	       -7.121962	       -2.851481	      +20.710682	     +299.012673	      -15.840040	       -2.958852	       +2.871673	       +0.000001	       +1.053395	       +0.000001	     +306.754988	     +232.892972
               0	              20	       -6.780841	       -2.510361	      +40.508773	     +460.140206	      -18.091909	       -2.958852	       +2.314837	       -0.000049	       +1.053103	       +0.000001	     +484.871907	     +366.327387
               0	              21	       -6.780841	       -2.510361	      +40.508773	     +460.140206	      -18.091909	       -2.958852	       +2.314837	       -0.000049	       +1.053103	       +0.000001	     +484.871907	     +366.327387
               0	              22	       -6.699897	       -2.429417	      +40.231847	     +459.621327	      -17.989060	       -2.958852	       +2.249057	       +0.000050	       +1.053256	       +0.000001	     +484.113172	     +366.078458
               0	              23	       -6.699897	       -2.429417	      +40.231847	     +459.621327	      -17.989060	       -2.958852	       +2.249057	       +0.000050	       +1.053256	       +0.000001	     +484.113172	     +366.078458
               0	              24	       -5.381421	       -1.110941	      +41.846886	     +419.153618	      -16.669673	       -2.958852	       +1.586182	       +0.000004	       +1.053349	       +0.000001	     +445.917013	     +337.548572
               0	              25	       -5.381421	       -1.110941	      +41.846886	     +419.153618	      -16.669673	       -2.958852	       +1.586182	       +0.000004	       +1.053349	       +0.000001	     +445.917013	     +337.548572
               0	              26	       -2.574767	       +1.695714	      +43.391622	     +425.262899	      -11.201697	       +0.000000	       -2.490146	       -0.000019	       -1.053450	       -0.000001	     +454.962679	     +347.306847
               0	              27	       -2.574767	       +1.695714	      +43.391622	     +425.262899	      -11.201697	       +0.000000	       -2.490146	       -0.000019	       -1.053450	       -0.000001	     +454.962679	     +347.306847
