# Generated by LORRAX unknown at 2026-07-21 19:57:30 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.461080	      -61.190600	      +29.058914	     +595.712446	      -39.589382	       -2.958852	       +3.950480	       +0.000000	       +0.211994	       +0.000000	     +589.132457	     +589.132457
               0	               1	      -65.461080	      -61.190600	      +29.058914	     +595.712446	      -39.589382	       -2.958852	       +3.950480	       +0.000000	       +0.211994	       +0.000000	     +589.132457	     +589.132457
               0	               2	      -42.076878	      -37.806398	      +51.496510	     +584.249205	      -33.461267	       -2.958852	       +3.528842	       +0.004173	       +0.333768	       +0.000000	     +605.813291	     +605.813291
               0	               3	      -42.076878	      -37.806398	      +51.496510	     +584.249205	      -33.461267	       -2.958852	       +3.528842	       +0.004173	       +0.333768	       +0.000000	     +605.813291	     +605.813291
               0	               4	      -39.554728	      -35.284248	      +48.359659	     +578.189662	      -32.809423	       -2.958852	       +3.838627	       +0.005854	       +0.355813	       +0.000000	     +597.578525	     +597.578525
               0	               5	      -39.554728	      -35.284248	      +48.359659	     +578.189662	      -32.809423	       -2.958852	       +3.838627	       +0.005854	       +0.355813	       +0.000000	     +597.578525	     +597.578525
               0	               6	      -39.383435	      -35.112955	      +49.598206	     +588.213258	      -32.791635	       -2.958852	       +3.373384	       -0.010127	       +0.357416	       +0.000000	     +608.393214	     +608.393214
               0	               7	      -39.383435	      -35.112955	      +49.598206	     +588.213258	      -32.791635	       -2.958852	       +3.373384	       -0.010127	       +0.357416	       +0.000000	     +608.393214	     +608.393214
               0	               8	      -19.374135	      -15.103655	       +9.477662	     +385.162153	      -21.926868	       -2.958852	       +6.337416	       +0.000001	       +0.754591	       +0.000001	     +379.050363	     +379.050363
               0	               9	      -19.374135	      -15.103655	       +9.477662	     +385.162153	      -21.926868	       -2.958852	       +6.337416	       +0.000001	       +0.754591	       +0.000001	     +379.050363	     +379.050363
               0	              10	      -18.177279	      -13.906799	      +12.289315	     +354.512709	      -21.733565	       -2.958852	       +6.341529	       -0.000009	       +0.808319	       +0.000001	     +351.409988	     +351.409988
               0	              11	      -18.177279	      -13.906799	      +12.289315	     +354.512709	      -21.733565	       -2.958852	       +6.341529	       -0.000009	       +0.808319	       +0.000001	     +351.409988	     +351.409988
               0	              12	      -10.875837	       -6.605356	      +18.925542	     +408.092390	      -17.662052	       -2.958852	       +4.405923	       +0.000003	       +1.053339	       +0.000001	     +413.761803	     +298.808429
               0	              13	      -10.875837	       -6.605356	      +18.925542	     +408.092390	      -17.662052	       -2.958852	       +4.405923	       +0.000003	       +1.053339	       +0.000001	     +413.761803	     +298.808429
               0	              14	       -7.861774	       -3.591294	      +38.156570	     +493.707871	      -18.544566	       -2.958852	       +3.076246	       -0.000951	       +1.053312	       +0.000001	     +516.396121	     +381.653509
               0	              15	       -7.861774	       -3.591294	      +38.156570	     +493.707871	      -18.544566	       -2.958852	       +3.076246	       -0.000951	       +1.053312	       +0.000001	     +516.396121	     +381.653509
               0	              16	       -7.802675	       -3.532194	      +37.228007	     +488.937539	      -18.393836	       -2.958852	       +3.017431	       +0.000897	       +1.053168	       +0.000001	     +510.789140	     +378.178389
               0	              17	       -7.802675	       -3.532194	      +37.228007	     +488.937539	      -18.393836	       -2.958852	       +3.017431	       +0.000897	       +1.053168	       +0.000001	     +510.789140	     +378.178389
               0	              18	       -7.121962	       -2.851481	      +20.710682	     +302.274040	      -15.969256	       -2.958852	       +2.920612	       -0.000000	       +1.053395	       +0.000001	     +309.936078	     +233.810333
               0	              19	       -7.121962	       -2.851481	      +20.710682	     +302.274040	      -15.969256	       -2.958852	       +2.920612	       -0.000000	       +1.053395	       +0.000001	     +309.936078	     +233.810333
               0	              20	       -6.780841	       -2.510361	      +40.508773	     +463.025020	      -18.057775	       -2.958852	       +2.100365	       -0.000566	       +1.053103	       +0.000001	     +487.576382	     +370.880361
               0	              21	       -6.780841	       -2.510361	      +40.508773	     +463.025020	      -18.057775	       -2.958852	       +2.100365	       -0.000566	       +1.053103	       +0.000001	     +487.576382	     +370.880361
               0	              22	       -6.699897	       -2.429417	      +40.231847	     +462.692571	      -17.955830	       -2.958852	       +2.073557	       +0.000457	       +1.053256	       +0.000001	     +487.042146	     +370.682866
               0	              23	       -6.699897	       -2.429417	      +40.231847	     +462.692571	      -17.955830	       -2.958852	       +2.073557	       +0.000457	       +1.053256	       +0.000001	     +487.042146	     +370.682866
               0	              24	       -5.381421	       -1.110941	      +41.846886	     +397.060684	      -16.778300	       -2.958852	       +1.646576	       +0.000038	       +1.053349	       +0.000001	     +423.775845	     +315.572010
               0	              25	       -5.381421	       -1.110941	      +41.846886	     +397.060684	      -16.778300	       -2.958852	       +1.646576	       +0.000038	       +1.053349	       +0.000001	     +423.775845	     +315.572010
               0	              26	       -2.574767	       +1.695714	      +43.391622	     +416.346420	      -11.137880	       +0.000000	       -2.460072	       -0.000588	       -1.053450	       -0.000001	     +446.140089	     +342.872491
               0	              27	       -2.574767	       +1.695714	      +43.391622	     +416.346420	      -11.137880	       +0.000000	       -2.460072	       -0.000588	       -1.053450	       -0.000001	     +446.140089	     +342.872491
               0	              28	       -2.498945	       +1.771535	      +43.117527	     +415.313129	      -11.067976	       +0.000000	       -2.499104	       +0.000476	       -1.053461	       -0.000001	     +444.863576	     +341.414988
               0	              29	       -2.498945	       +1.771535	      +43.117527	     +415.313129	      -11.067976	       +0.000000	       -2.499104	       +0.000476	       -1.053461	       -0.000001	     +444.863576	     +341.414988
