# Sigma frequency debug decomposition (all energies in eV)
# k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    

k-point 0:
k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    
              0		              0		        -61.029		        -65.372		         29.046		        -15.372		        -13.488		        -40.204		          2.179		            nan		            nan		         -1.221		            nan
              0		              1		        -61.029		        -65.372		         29.046		        -15.372		        -13.488		        -40.204		          2.179		            nan		            nan		         -1.221		            nan
              0		              2		        -37.654		        -41.997		         51.437		        -12.448		        -12.180		        -34.027		          3.043		            nan		            nan		         -0.039		            nan
              0		              3		        -37.654		        -41.997		         51.437		        -12.448		        -12.180		        -34.027		          3.043		            nan		            nan		         -0.039		            nan
              0		              4		        -35.154		        -39.497		         48.363		        -12.150		        -12.015		        -33.351		          2.985		            nan		            nan		         -0.203		            nan
              0		              5		        -35.154		        -39.497		         48.363		        -12.150		        -12.015		        -33.351		          2.985		            nan		            nan		         -0.203		            nan
              0		              6		        -34.929		        -39.273		         49.570		        -12.164		        -12.066		        -33.392		          3.339		            nan		            nan		          0.395		            nan
              0		              7		        -34.929		        -39.273		         49.570		        -12.164		        -12.066		        -33.392		          3.339		            nan		            nan		          0.395		            nan
              0		              8		        -15.055		        -19.399		          9.478		         -6.999		         -9.488		        -22.429		          3.707		            nan		            nan		         -0.086		            nan
              0		              9		        -15.055		        -19.399		          9.478		         -6.999		         -9.488		        -22.429		          3.707		            nan		            nan		         -0.086		            nan
              0		             10		        -13.871		        -18.214		         12.284		         -6.907		         -9.586		        -22.193		          3.540		            nan		            nan		          0.034		            nan
              0		             11		        -13.871		        -18.214		         12.284		         -6.907		         -9.586		        -22.193		          3.540		            nan		            nan		          0.034		            nan
              0		             12		         -6.530		        -10.874		         18.869		         -6.267		         -8.400		        -18.086		          2.663		          6.053		         -1.454		         -0.078		          4.521
              0		             13		         -6.530		        -10.874		         18.869		         -6.267		         -8.400		        -18.086		          2.663		          6.053		         -1.454		         -0.078		          4.521
              0		             14		         -3.472		         -7.816		         37.836		         -7.340		         -8.879		        -19.103		          2.000		          5.290		         -2.050		         -0.193		          3.047
              0		             15		         -3.472		         -7.816		         37.836		         -7.340		         -8.879		        -19.103		          2.000		          5.290		         -2.050		         -0.193		          3.047
              0		             16		         -3.416		         -7.760		         36.901		         -7.271		         -8.862		        -18.951		          1.982		          5.252		         -2.058		         -0.188		          3.007
              0		             17		         -3.416		         -7.760		         36.901		         -7.271		         -8.862		        -18.951		          1.982		          5.252		         -2.058		         -0.188		          3.007
              0		             18		         -2.802		         -7.145		         20.750		         -5.749		         -8.176		        -16.452		          2.297		          5.000		         -1.797		         -0.045		          3.158
              0		             19		         -2.802		         -7.145		         20.750		         -5.749		         -8.176		        -16.452		          2.297		          5.000		         -1.797		         -0.045		          3.158
              0		             20		         -2.436		         -6.780		         40.205		         -7.496		         -8.882		        -18.736		          1.987		          4.867		         -2.355		          0.126		          2.638
              0		             21		         -2.436		         -6.780		         40.205		         -7.496		         -8.882		        -18.736		          1.987		          4.867		         -2.355		          0.126		          2.638
              0		             22		         -2.356		         -6.699		         39.931		         -7.473		         -8.865		        -18.641		          1.938		          4.828		         -2.381		          0.125		          2.571
              0		             23		         -2.356		         -6.699		         39.931		         -7.473		         -8.865		        -18.641		          1.938		          4.828		         -2.381		          0.125		          2.571
              0		             24		         -1.042		         -5.386		         41.858		         -7.021		         -8.595		        -17.336		          1.571		          4.424		         -2.732		          0.232		          1.924
              0		             25		         -1.042		         -5.386		         41.858		         -7.021		         -8.595		        -17.336		          1.571		          4.424		         -2.732		          0.232		          1.924
              0		             26		          1.762		         -2.582		         43.570		         -5.149		         -8.567		        -11.074		         -2.291		          2.106		         -4.677		         -0.182		         -2.753
              0		             27		          1.762		         -2.582		         43.570		         -5.149		         -8.567		        -11.074		         -2.291		          2.106		         -4.677		         -0.182		         -2.753
              0		             28		          1.838		         -2.506		         43.296		         -5.120		         -8.563		        -11.010		         -2.319		          2.087		         -4.715		         -0.177		         -2.805
              0		             29		          1.838		         -2.506		         43.296		         -5.120		         -8.563		        -11.010		         -2.319		          2.087		         -4.715		         -0.177		         -2.805
              0		             30		          2.011		         -2.333		         42.421		         -4.988		         -8.721		        -11.125		         -2.071		          2.192		         -4.800		         -0.072		         -2.681
              0		             31		          2.011		         -2.333		         42.421		         -4.988		         -8.721		        -11.125		         -2.071		          2.192		         -4.800		         -0.072		         -2.681
              0		             32		          2.017		         -2.327		         42.290		         -4.982		         -8.716		        -11.136		         -2.024		          2.203		         -4.761		         -0.072		         -2.631
              0		             33		          2.017		         -2.327		         42.290		         -4.982		         -8.716		        -11.136		         -2.024		          2.203		         -4.761		         -0.072		         -2.631
              0		             34		          5.457		          1.113		         24.045		         -3.205		         -6.979		         -6.082		         -2.739		          0.935		         -4.692		         -0.089		         -3.846
              0		             35		          5.457		          1.113		         24.045		         -3.205		         -6.979		         -6.082		         -2.739		          0.935		         -4.692		         -0.089		         -3.846
              0		             36		          8.058		          3.714		         27.477		         -3.130		         -6.586		         -5.752		         -2.377		          0.820		         -4.518		         -0.037		         -3.734
              0		             37		          8.058		          3.714		         27.477		         -3.130		         -6.586		         -5.752		         -2.377		          0.820		         -4.518		         -0.037		         -3.734
              0		             38		          8.296		          3.952		         21.758		         -2.225		         -5.458		         -4.003		         -2.237		          0.530		         -5.041		          0.104		         -4.406
              0		             39		          8.296		          3.952		         21.758		         -2.225		         -5.458		         -4.003		         -2.237		          0.530		         -5.041		          0.104		         -4.406
              0		             40		          9.120		          4.776		         14.550		         -1.409		         -4.875		         -2.540		         -2.319		          0.334		         -4.144		         -0.042		         -3.851
              0		             41		          9.120		          4.776		         14.550		         -1.409		         -4.875		         -2.540		         -2.319		          0.334		         -4.144		         -0.042		         -3.851
              0		             42		          9.830		          5.486		         34.714		         -3.248		         -6.501		         -5.839		         -2.357		          0.763		         -5.292		         -0.118		         -4.648
              0		             43		          9.830		          5.486		         34.714		         -3.248		         -6.501		         -5.839		         -2.357		          0.763		         -5.292		         -0.118		         -4.648
              0		             44		          9.906		          5.562		         34.722		         -3.241		         -6.484		         -5.834		         -2.344		          0.761		         -5.312		         -0.118		         -4.668
              0		             45		          9.906		          5.562		         34.722		         -3.241		         -6.484		         -5.834		         -2.344		          0.761		         -5.312		         -0.118		         -4.668
              0		             46		         11.805		          7.462		         39.389		         -3.275		         -6.461		         -5.656		         -2.283		            nan		            nan		          0.118		            nan
              0		             47		         11.805		          7.462		         39.389		         -3.275		         -6.461		         -5.656		         -2.283		            nan		            nan		          0.118		            nan
              0		             48		         11.823		          7.479		         39.423		         -3.277		         -6.420		         -5.662		         -2.273		            nan		            nan		          0.122		            nan
              0		             49		         11.823		          7.479		         39.423		         -3.277		         -6.420		         -5.662		         -2.273		            nan		            nan		          0.122		            nan
              0		             50		         11.984		          7.641		         39.779		         -3.356		         -6.467		         -5.753		         -2.343		            nan		            nan		         -0.039		            nan
              0		             51		         11.984		          7.641		         39.779		         -3.356		         -6.467		         -5.753		         -2.343		            nan		            nan		         -0.039		            nan
              0		             52		         15.094		         10.751		         46.968		         -3.302		         -6.202		         -5.336		         -2.381		            nan		            nan		         -0.058		            nan
              0		             53		         15.094		         10.751		         46.968		         -3.302		         -6.202		         -5.336		         -2.381		            nan		            nan		         -0.058		            nan
              0		             54		         15.109		         10.765		         46.999		         -3.303		         -6.197		         -5.335		         -2.365		            nan		            nan		         -0.057		            nan
              0		             55		         15.109		         10.765		         46.999		         -3.303		         -6.197		         -5.335		         -2.365		            nan		            nan		         -0.057		            nan
              0		             56		         15.191		         10.848		         27.096		         -2.149		         -5.276		         -3.361		         -2.076		            nan		            nan		          0.102		            nan
              0		             57		         15.191		         10.848		         27.096		         -2.149		         -5.276		         -3.361		         -2.076		            nan		            nan		          0.102		            nan
              0		             58		         15.448		         11.104		         52.071		         -3.658		         -6.409		         -5.909		         -2.373		            nan		            nan		         -0.122		            nan
              0		             59		         15.448		         11.104		         52.071		         -3.658		         -6.409		         -5.909		         -2.373		            nan		            nan		         -0.122		            nan
              0		             60		         15.454		         11.111		         52.215		         -3.667		         -6.365		         -5.928		         -2.371		            nan		            nan		         -0.129		            nan
              0		             61		         15.454		         11.111		         52.215		         -3.667		         -6.365		         -5.928		         -2.371		            nan		            nan		         -0.129		            nan
              0		             62		         15.582		         11.238		         20.780		         -1.599		         -4.248		         -2.426		         -1.974		            nan		            nan		         -0.217		            nan
              0		             63		         15.582		         11.238		         20.780		         -1.599		         -4.248		         -2.426		         -1.974		            nan		            nan		         -0.217		            nan
              0		             64		         18.354		         14.010		         23.572		         -1.457		         -3.228		         -2.074		         -1.514		            nan		            nan		         -0.198		            nan
              0		             65		         18.354		         14.010		         23.572		         -1.457		         -3.228		         -2.074		         -1.514		            nan		            nan		         -0.198		            nan
              0		             66		         18.607		         14.264		         24.022		         -1.374		         -3.680		         -1.959		         -1.650		            nan		            nan		         -0.007		            nan
              0		             67		         18.607		         14.264		         24.022		         -1.374		         -3.680		         -1.959		         -1.650		            nan		            nan		         -0.007		            nan
              0		             68		         18.998		         14.655		         31.956		         -1.924		         -4.016		         -2.883		         -1.593		            nan		            nan		         -0.076		            nan
              0		             69		         18.998		         14.655		         31.956		         -1.924		         -4.016		         -2.883		         -1.593		            nan		            nan		         -0.076		            nan
              0		             70		         20.396		         16.052		         21.426		         -1.152		         -2.481		         -1.656		         -1.081		            nan		            nan		         -0.099		            nan
              0		             71		         20.396		         16.052		         21.426		         -1.152		         -2.481		         -1.656		         -1.081		            nan		            nan		         -0.099		            nan
              0		             72		         22.420		         18.076		         40.963		         -2.383		         -4.240		         -3.250		         -1.826		            nan		            nan		         -0.217		            nan
              0		             73		         22.420		         18.076		         40.963		         -2.383		         -4.240		         -3.250		         -1.826		            nan		            nan		         -0.217		            nan
              0		             74		         22.595		         18.251		         40.374		         -2.329		         -3.820		         -3.185		         -1.580		            nan		            nan		         -0.204		            nan
              0		             75		         22.595		         18.251		         40.374		         -2.329		         -3.820		         -3.185		         -1.580		            nan		            nan		         -0.204		            nan
              0		             76		         24.940		         20.596		         35.278		         -1.643		         -3.783		         -2.271		         -1.757		            nan		            nan		         -0.271		            nan
              0		             77		         24.940		         20.596		         35.278		         -1.643		         -3.783		         -2.271		         -1.757		            nan		            nan		         -0.271		            nan
              0		             78		         25.159		         20.815		         36.343		         -1.491		         -3.052		         -2.007		         -1.183		            nan		            nan		         -0.006		            nan
              0		             79		         25.159		         20.815		         36.343		         -1.491		         -3.052		         -2.007		         -1.183		            nan		            nan		         -0.006		            nan

k-point 1:
k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    
              1		              0		        -61.049		        -65.393		         29.312		        -15.365		        -13.449		        -40.113		          2.119		            nan		            nan		         -1.305		            nan
              1		              1		        -61.049		        -65.393		         29.312		        -15.365		        -13.449		        -40.113		          2.118		            nan		            nan		         -1.303		            nan
              1		              2		        -37.737		        -42.081		         50.927		        -12.433		        -12.168		        -34.046		          3.252		            nan		            nan		          0.080		            nan
              1		              3		        -37.737		        -42.081		         50.927		        -12.433		        -12.170		        -34.048		          3.105		            nan		            nan		          0.097		            nan
              1		              4		        -35.233		        -39.577		         47.749		        -12.122		        -11.999		        -33.360		          3.480		            nan		            nan		          0.338		            nan
              1		              5		        -35.233		        -39.577		         47.749		        -12.121		        -12.002		        -33.363		          3.252		            nan		            nan		          0.365		            nan
              1		              6		        -35.083		        -39.427		         48.742		        -12.147		        -12.044		        -33.394		          3.107		            nan		            nan		         -0.156		            nan
              1		              7		        -35.083		        -39.427		         48.742		        -12.147		        -12.045		        -33.394		          3.050		            nan		            nan		         -0.148		            nan
              1		              8		        -13.741		        -18.085		         13.070		         -7.068		         -9.653		        -22.409		          3.617		            nan		            nan		          0.011		            nan
              1		              9		        -13.741		        -18.085		         13.070		         -7.069		         -9.654		        -22.413		          3.617		            nan		            nan		          0.002		            nan
              1		             10		        -13.295		        -17.639		         13.837		         -7.016		         -9.708		        -22.361		          3.623		            nan		            nan		         -0.070		            nan
              1		             11		        -13.295		        -17.639		         13.837		         -7.016		         -9.708		        -22.361		          3.620		            nan		            nan		         -0.081		            nan
              1		             12		         -6.181		        -10.525		         22.254		         -6.504		         -8.572		        -18.415		          2.356		          5.973		         -1.626		         -0.168		          4.179
              1		             13		         -6.181		        -10.525		         22.254		         -6.505		         -8.573		        -18.416		          2.359		          5.969		         -1.625		         -0.167		          4.177
              1		             14		         -5.223		         -9.567		         23.066		         -6.398		         -8.557		        -17.855		          2.007		          5.441		         -1.873		         -0.073		          3.495
              1		             15		         -5.223		         -9.567		         23.066		         -6.399		         -8.558		        -17.857		          2.019		          5.442		         -1.878		         -0.049		          3.516
              1		             16		         -4.833		         -9.176		         21.633		         -6.252		         -8.520		        -17.693		          2.274		          5.576		         -1.739		         -0.008		          3.829
              1		             17		         -4.833		         -9.176		         21.633		         -6.253		         -8.520		        -17.694		          2.287		          5.555		         -1.744		          0.021		          3.832
              1		             18		         -3.777		         -8.120		         34.387		         -7.232		         -8.834		        -18.836		          2.460		          5.358		         -1.929		          0.113		          3.541
              1		             19		         -3.777		         -8.120		         34.387		         -7.232		         -8.834		        -18.837		          2.472		          5.363		         -1.927		          0.118		          3.554
              1		             20		         -2.700		         -7.044		         24.669		         -6.115		         -8.518		        -17.140		          2.238		          5.062		         -2.021		          0.034		          3.075
              1		             21		         -2.700		         -7.044		         24.669		         -6.115		         -8.518		        -17.141		          2.225		          5.056		         -2.020		          0.023		          3.059
              1		             22		         -2.251		         -6.595		         32.361		         -6.699		         -8.765		        -17.879		          1.942		          4.938		         -1.993		         -0.352		          2.593
              1		             23		         -2.251		         -6.595		         32.361		         -6.699		         -8.763		        -17.877		          2.026		          4.849		         -1.975		         -0.221		          2.653
              1		             24		         -1.946		         -6.290		         38.268		         -6.938		         -8.577		        -17.481		          1.196		          4.397		         -2.507		         -0.113		          1.777
              1		             25		         -1.946		         -6.290		         38.267		         -6.938		         -8.574		        -17.477		          1.290		          4.307		         -2.484		          0.014		          1.837
              1		             26		          1.287		         -3.057		         53.235		         -6.000		         -8.826		        -12.398		         -1.919		          2.271		         -4.517		         -0.011		         -2.258
              1		             27		          1.287		         -3.057		         53.235		         -6.000		         -8.821		        -12.396		         -2.144		          1.928		         -4.837		          0.415		         -2.493
              1		             28		          1.389		         -2.955		         50.547		         -5.743		         -8.620		        -11.790		         -1.970		          2.240		         -4.817		          0.205		         -2.372
              1		             29		          1.389		         -2.955		         50.547		         -5.743		         -8.618		        -11.789		         -2.096		          2.040		         -4.980		          0.441		         -2.500
              1		             30		          2.480		         -1.864		         47.549		         -5.448		         -8.274		        -10.712		         -2.596		          1.952		         -5.028		         -0.264		         -3.340
              1		             31		          2.480		         -1.864		         47.549		         -5.448		         -8.275		        -10.713		         -2.631		          1.941		         -5.041		         -0.272		         -3.372
              1		             32		          3.080		         -1.264		         51.241		         -5.515		         -8.650		        -11.355		         -2.133		          1.802		         -4.834		          0.259		         -2.774
              1		             33		          3.080		         -1.264		         51.241		         -5.515		         -8.650		        -11.355		         -2.143		          1.803		         -4.855		          0.257		         -2.795
              1		             34		          6.993		          2.650		         30.063		         -3.321		         -6.798		         -6.132		         -2.503		          0.869		         -4.396		         -0.058		         -3.585
              1		             35		          6.994		          2.650		         30.063		         -3.321		         -6.799		         -6.133		         -2.514		          0.872		         -4.391		         -0.064		         -3.583
              1		             36		          7.237		          2.893		         27.035		         -2.985		         -6.376		         -5.576		         -2.391		          0.842		         -4.652		         -0.141		         -3.950
              1		             37		          7.237		          2.893		         27.035		         -2.986		         -6.383		         -5.578		         -2.392		          0.843		         -4.588		         -0.142		         -3.887
              1		             38		          7.648		          3.305		         34.160		         -3.481		         -6.660		         -6.230		         -2.783		          0.804		         -5.548		         -0.096		         -4.839
              1		             39		          7.648		          3.305		         34.160		         -3.482		         -6.662		         -6.230		         -2.764		          0.809		         -5.443		         -0.104		         -4.738
              1		             40		          9.499		          5.155		         30.162		         -2.732		         -5.997		         -4.726		         -2.599		          0.585		         -4.033		         -0.093		         -3.541
              1		             41		          9.499		          5.155		         30.162		         -2.732		         -5.996		         -4.726		         -2.591		          0.591		         -4.058		         -0.085		         -3.552
              1		             42		          9.937		          5.593		         37.611		         -3.398		         -6.397		         -5.874		         -2.785		          0.644		         -5.945		         -0.246		         -5.547
              1		             43		          9.937		          5.593		         37.611		         -3.397		         -6.396		         -5.874		         -2.784		          0.645		         -5.822		         -0.258		         -5.436
              1		             44		         11.512		          7.168		         40.554		         -3.514		         -6.546		         -6.084		         -2.491		            nan		            nan		         -0.094		            nan
              1		             45		         11.512		          7.168		         40.554		         -3.514		         -6.548		         -6.085		         -2.499		            nan		            nan		         -0.088		            nan
              1		             46		         11.960		          7.617		         27.706		         -2.265		         -5.540		         -3.875		         -2.212		            nan		            nan		          0.037		            nan
              1		             47		         11.960		          7.617		         27.705		         -2.265		         -5.537		         -3.875		         -2.196		            nan		            nan		          0.058		            nan
              1		             48		         12.063		          7.720		         33.659		         -2.818		         -6.104		         -4.900		         -2.404		            nan		            nan		         -0.160		            nan
              1		             49		         12.063		          7.720		         33.658		         -2.818		         -6.103		         -4.901		         -2.395		            nan		            nan		         -0.144		            nan
              1		             50		         13.487		          9.144		         38.316		         -2.926		         -6.095		         -4.957		         -2.073		            nan		            nan		          0.260		            nan
              1		             51		         13.487		          9.144		         38.316		         -2.926		         -6.095		         -4.957		         -2.074		            nan		            nan		          0.261		            nan
              1		             52		         14.055		          9.711		         30.194		         -2.271		         -5.333		         -3.739		         -2.149		            nan		            nan		          0.003		            nan
              1		             53		         14.055		          9.711		         30.194		         -2.270		         -5.334		         -3.739		         -2.153		            nan		            nan		         -0.009		            nan
              1		             54		         14.409		         10.065		         43.847		         -3.208		         -6.153		         -5.355		         -2.266		            nan		            nan		         -0.143		            nan
              1		             55		         14.409		         10.065		         43.847		         -3.208		         -6.155		         -5.355		         -2.262		            nan		            nan		         -0.139		            nan
              1		             56		         14.488		         10.145		         38.036		         -2.816		         -5.925		         -4.676		         -2.318		            nan		            nan		         -0.223		            nan
              1		             57		         14.488		         10.145		         38.036		         -2.816		         -5.926		         -4.676		         -2.325		            nan		            nan		         -0.229		            nan
              1		             58		         16.701		         12.357		         53.778		         -3.526		         -6.201		         -5.570		         -2.088		            nan		            nan		          0.317		            nan
              1		             59		         16.701		         12.357		         53.778		         -3.526		         -6.201		         -5.570		         -2.087		            nan		            nan		          0.321		            nan
              1		             60		         17.885		         13.542		         25.746		         -1.394		         -4.118		         -2.061		         -1.768		            nan		            nan		          0.000		            nan
              1		             61		         17.885		         13.542		         25.746		         -1.394		         -4.116		         -2.061		         -1.770		            nan		            nan		         -0.004		            nan
              1		             62		         18.221		         13.877		         25.281		         -1.418		         -3.937		         -2.051		         -1.671		            nan		            nan		          0.024		            nan
              1		             63		         18.221		         13.877		         25.281		         -1.418		         -3.936		         -2.051		         -1.670		            nan		            nan		          0.019		            nan
              1		             64		         19.184		         14.841		         29.447		         -1.752		         -3.766		         -2.611		         -1.693		            nan		            nan		         -0.137		            nan
              1		             65		         19.184		         14.841		         29.447		         -1.752		         -3.772		         -2.611		         -1.692		            nan		            nan		         -0.132		            nan
              1		             66		         19.934		         15.591		         33.987		         -1.862		         -4.092		         -2.829		         -1.568		            nan		            nan		          0.006		            nan
              1		             67		         19.934		         15.591		         33.987		         -1.862		         -4.097		         -2.829		         -1.576		            nan		            nan		          0.002		            nan
              1		             68		         20.633		         16.289		         37.977		         -2.245		         -4.386		         -3.268		         -1.845		            nan		            nan		         -0.383		            nan
              1		             69		         20.633		         16.289		         37.977		         -2.245		         -4.386		         -3.268		         -1.845		            nan		            nan		         -0.390		            nan
