# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 173

── Peak live HBM  at t=12.98s  ──────────────────────────
bytes_in_use                = 5.25 GiB
device.peak_bytes_in_use    = 9.21 GiB  (cumulative)
sum of jax.live_arrays()    = 16.95 GiB
n live arrays at peak        = 34

Top JAX arrays at peak:
            size  dtype         shape
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
     1012.50 MiB  complex128    (9, 80, 2, 24, 24, 80)
       56.25 MiB  complex128    (9, 640, 640)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 80, 2, 640)

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.57          0.00 B        0          0.00 B
    2.82          0.00 B        0          0.00 B
    3.07          0.00 B        0          0.00 B
    3.33          0.00 B        0          0.00 B
    3.58          0.00 B        0          0.00 B
    3.84          0.00 B        0          0.00 B
    4.09          0.00 B        0          0.00 B
    4.37        512.00 B        2         24.00 B
    4.62        512.00 B        2         24.00 B
    4.87        768.00 B        3         40.00 B
    5.12       28.13 MiB        4       28.13 MiB
    5.37      267.19 MiB        5        1.02 GiB
    5.62      267.19 MiB        8        1.02 GiB
    5.87      267.21 MiB       12        1.02 GiB
    6.12      267.21 MiB       16        1.02 GiB
    6.37        1.02 GiB       16        1.02 GiB
    6.63        1.02 GiB       16        1.02 GiB
    6.88        1.02 GiB       16        1.02 GiB
    7.13        1.02 GiB       16        1.02 GiB
    7.38      288.29 MiB       18        1.06 GiB
    7.63       28.11 MiB       18       42.20 MiB
    7.88       67.27 MiB       20       84.39 MiB
    8.13       67.27 MiB       20       84.39 MiB
    8.38       77.33 MiB       22      196.89 MiB
    8.63      119.52 MiB       22      196.89 MiB
