# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 166

── Peak live HBM  at t=11.77s  ──────────────────────────
bytes_in_use                = 5.25 GiB
device.peak_bytes_in_use    = 9.21 GiB  (cumulative)
sum of jax.live_arrays()    = 16.95 GiB
n live arrays at peak        = 34

Top JAX arrays at peak:
            size  dtype         shape
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
     1012.50 MiB  complex128    (9, 80, 2, 24, 24, 80)
       56.25 MiB  complex128    (9, 640, 640)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 80, 2, 640)

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.45          0.00 B        0          0.00 B
    2.71          0.00 B        0          0.00 B
    2.96          0.00 B        0          0.00 B
    3.21          0.00 B        0          0.00 B
    3.51        256.00 B        0          0.00 B
    3.76        512.00 B        2         24.00 B
    4.01        768.00 B        3         40.00 B
    4.26       21.09 MiB        4       28.13 MiB
    4.51      267.19 MiB        6        1.02 GiB
    4.76      267.19 MiB        8        1.02 GiB
    5.01      267.21 MiB       12        1.02 GiB
    5.26      267.21 MiB       16        1.02 GiB
    5.51        1.02 GiB       16        1.02 GiB
    5.76        1.02 GiB       16        1.02 GiB
    6.01        1.02 GiB       16        1.02 GiB
    6.26      281.26 MiB       17        1.04 GiB
    6.51       21.08 MiB       17       28.14 MiB
    6.76       67.27 MiB       20       84.39 MiB
    7.01       67.27 MiB       20       84.39 MiB
    7.26       77.33 MiB       22      196.89 MiB
    7.51       77.33 MiB       22      196.89 MiB
    7.76       91.39 MiB       25      253.14 MiB
    8.01       91.39 MiB       23      253.14 MiB
    8.26       91.39 MiB       23      253.14 MiB
    8.51       91.39 MiB       23      253.14 MiB
    8.76      114.83 MiB       23      253.14 MiB
    9.01      114.83 MiB       23      253.14 MiB
    9.26       63.27 MiB       22      140.64 MiB
    9.51        1.30 GiB       23        2.11 GiB
    9.77      822.64 MiB       25        2.11 GiB
   10.02      822.65 MiB       31        2.11 GiB
   10.27        1.05 GiB       32        3.10 GiB
   10.52      822.65 MiB       32        2.11 GiB
   10.77        2.29 GiB       32        9.04 GiB
   11.02        1.30 GiB       31        5.08 GiB
   11.27        1.30 GiB       31        5.08 GiB
   11.52        2.29 GiB       32        9.04 GiB
   11.77        5.25 GiB       34       16.95 GiB
   12.02        5.25 GiB       34       16.95 GiB
   12.27        5.25 GiB       34       16.95 GiB
   12.52        5.25 GiB       34       16.95 GiB
   12.77        5.25 GiB       34       16.95 GiB
   13.02        5.25 GiB       34       16.95 GiB
   13.27        5.25 GiB       34       16.95 GiB
   13.52        5.25 GiB       34       16.95 GiB
   13.77      316.40 MiB       30        1.13 GiB
   14.03      316.40 MiB       30        1.13 GiB
   14.28      316.40 MiB       30        1.13 GiB
   14.53      316.40 MiB       30        1.13 GiB
   14.78      316.40 MiB       30        1.13 GiB
   15.03      316.40 MiB       30        1.13 GiB
   15.28      316.40 MiB       30        1.13 GiB
   15.53      316.40 MiB       30        1.13 GiB
   15.78      316.40 MiB       30        1.13 GiB
   16.03      316.40 MiB       30        1.13 GiB
   16.28      316.40 MiB       30        1.13 GiB
   16.53      316.40 MiB       30        1.13 GiB
   16.78      316.40 MiB       30        1.13 GiB
   17.03      316.40 MiB       30        1.13 GiB
   17.28      316.40 MiB       30        1.13 GiB
   17.53      316.40 MiB       30        1.13 GiB
   17.78      316.40 MiB       30        1.13 GiB
   18.03      316.40 MiB       30        1.13 GiB
   18.28      316.40 MiB       30        1.13 GiB
   18.54      316.40 MiB       30        1.13 GiB
   18.79      316.40 MiB       30        1.13 GiB
   19.04        7.04 MiB       21       14.08 MiB
   19.29        7.04 MiB       22       14.08 MiB
   19.54        7.04 MiB       24       14.08 MiB
   19.79        7.04 MiB       28       14.08 MiB
   20.04        7.04 MiB       27       14.08 MiB
   20.29        7.04 MiB       28       14.08 MiB
   20.54        9.15 MiB       34       16.19 MiB
   20.79        8.10 MiB       31       15.13 MiB
   21.04        8.10 MiB       31       15.13 MiB
   21.29        8.10 MiB       42       16.19 MiB
   21.54        1.77 GiB       51        1.78 GiB
   21.79        1.77 GiB       44        1.78 GiB
   22.04        1.80 GiB       53        1.80 GiB
   22.29      509.86 MiB       48       67.67 MiB
   22.54        1.84 GiB       50        1.85 GiB
