# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 166

── Peak live HBM  at t=12.38s  ──────────────────────────
bytes_in_use                = 5.25 GiB
device.peak_bytes_in_use    = 9.21 GiB  (cumulative)
sum of jax.live_arrays()    = 16.95 GiB
n live arrays at peak        = 34

Top JAX arrays at peak:
            size  dtype         shape
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
     1012.50 MiB  complex128    (9, 80, 2, 24, 24, 80)
       56.25 MiB  complex128    (9, 640, 640)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 80, 2, 640)

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.60          0.00 B        0          0.00 B
    2.85          0.00 B        0          0.00 B
    3.10          0.00 B        0          0.00 B
    3.35          0.00 B        0          0.00 B
    3.60        512.00 B        2         24.00 B
    3.85        512.00 B        2         24.00 B
    4.10        768.00 B        3         40.00 B
    4.35       21.09 MiB        4       28.13 MiB
    4.60      267.19 MiB        6        1.02 GiB
    4.85      267.19 MiB        8        1.02 GiB
    5.11      267.21 MiB       16        1.02 GiB
    5.36      267.21 MiB       16        1.02 GiB
    5.61        1.02 GiB       16        1.02 GiB
    5.86        1.02 GiB       16        1.02 GiB
    6.11        1.02 GiB       16        1.02 GiB
    6.36        1.02 GiB       16        1.02 GiB
    6.61      281.26 MiB       17        1.04 GiB
    6.86       21.08 MiB       17       28.14 MiB
    7.11       67.27 MiB       20       84.39 MiB
    7.36       67.27 MiB       20       84.39 MiB
    7.61       77.33 MiB       22      196.89 MiB
    7.86      119.52 MiB       22      196.89 MiB
    8.11       91.39 MiB       26      253.14 MiB
    8.37       91.39 MiB       23      253.14 MiB
    8.62       91.39 MiB       23      253.14 MiB
    8.87       91.39 MiB       23      253.14 MiB
    9.13       91.39 MiB       23      253.14 MiB
    9.38      114.83 MiB       23      253.14 MiB
    9.63      114.83 MiB       23      253.14 MiB
    9.88       63.27 MiB       21      140.64 MiB
   10.13        1.30 GiB       23        2.11 GiB
   10.38      822.64 MiB       25        2.11 GiB
   10.63      822.65 MiB       31        2.11 GiB
   10.88        1.30 GiB       32        2.11 GiB
   11.13      822.65 MiB       32        2.11 GiB
   11.38        2.29 GiB       32        9.04 GiB
   11.63        1.30 GiB       31        5.08 GiB
   11.88        1.30 GiB       31        5.08 GiB
   12.13        4.32 GiB       31        5.08 GiB
   12.38        5.25 GiB       34       16.95 GiB
   12.63        5.25 GiB       34       16.95 GiB
   12.89        5.25 GiB       34       16.95 GiB
   13.14        5.25 GiB       34       16.95 GiB
   13.39        5.25 GiB       34       16.95 GiB
   13.64        5.25 GiB       34       16.95 GiB
