# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 164

── Peak live HBM  at t=12.26s  ──────────────────────────
bytes_in_use                = 5.25 GiB
device.peak_bytes_in_use    = 9.21 GiB  (cumulative)
sum of jax.live_arrays()    = 16.95 GiB
n live arrays at peak        = 34

Top JAX arrays at peak:
            size  dtype         shape
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
        3.96 GiB  complex128    (9, 640, 46080)
     1012.50 MiB  complex128    (9, 80, 2, 24, 24, 80)
       56.25 MiB  complex128    (9, 640, 640)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 640, 80, 2)
       14.06 MiB  complex128    (9, 80, 2, 640)

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.47          0.00 B        0          0.00 B
    2.73          0.00 B        0          0.00 B
    2.98          0.00 B        0          0.00 B
    3.23          0.00 B        0          0.00 B
    3.49        256.00 B        0          0.00 B
    3.74        512.00 B        2         24.00 B
    3.99        768.00 B        3         40.00 B
    4.24       21.09 MiB        4       28.13 MiB
    4.49      267.19 MiB        6        1.02 GiB
    4.74      267.19 MiB        8        1.02 GiB
    4.99      267.21 MiB       16        1.02 GiB
    5.24      267.21 MiB       16        1.02 GiB
    5.49        1.02 GiB       16        1.02 GiB
    5.74        1.02 GiB       16        1.02 GiB
    5.99        1.02 GiB       16        1.02 GiB
    6.24        1.02 GiB       16        1.02 GiB
    6.50      288.29 MiB       18        1.06 GiB
    6.75       28.11 MiB       18       42.20 MiB
    7.00       67.27 MiB       20       84.39 MiB
    7.25       67.27 MiB       20       84.39 MiB
    7.50       77.33 MiB       22      196.89 MiB
    7.75       91.39 MiB       23      253.14 MiB
    8.00       91.39 MiB       26      253.14 MiB
    8.25       91.39 MiB       23      253.14 MiB
    8.50       91.39 MiB       23      253.14 MiB
    8.75       91.39 MiB       23      253.14 MiB
    9.00      114.83 MiB       23      253.14 MiB
    9.25      114.83 MiB       23      253.14 MiB
    9.50      105.46 MiB       24      309.39 MiB
    9.75      316.39 MiB       22        1.13 GiB
   10.00      822.64 MiB       24        2.11 GiB
   10.25      822.65 MiB       26        2.11 GiB
   10.50      822.65 MiB       31        2.11 GiB
   10.75        1.79 GiB       33        4.09 GiB
   11.00        2.29 GiB       32        9.04 GiB
   11.25        2.29 GiB       32        9.04 GiB
   11.50        4.26 GiB       31        5.08 GiB
   11.76        4.32 GiB       31        5.08 GiB
   12.01        1.30 GiB       31        5.08 GiB
   12.26        5.25 GiB       34       16.95 GiB
   12.51        5.25 GiB       34       16.95 GiB
   12.76        5.25 GiB       34       16.95 GiB
   13.01        5.25 GiB       34       16.95 GiB
   13.26        5.25 GiB       34       16.95 GiB
   13.51        5.25 GiB       34       16.95 GiB
   13.76        5.25 GiB       34       16.95 GiB
   14.01      316.40 MiB       30        1.13 GiB
   14.26      316.40 MiB       30        1.13 GiB
   14.51      316.40 MiB       30        1.13 GiB
   14.76      316.40 MiB       30        1.13 GiB
   15.01      316.40 MiB       30        1.13 GiB
   15.26      316.40 MiB       30        1.13 GiB
   15.51      316.40 MiB       30        1.13 GiB
   15.76      316.40 MiB       30        1.13 GiB
   16.01      316.40 MiB       30        1.13 GiB
   16.26      316.40 MiB       30        1.13 GiB
   16.51      316.40 MiB       30        1.13 GiB
   16.77      316.40 MiB       30        1.13 GiB
   17.02      316.40 MiB       30        1.13 GiB
   17.27      316.40 MiB       30        1.13 GiB
   17.52      316.40 MiB       30        1.13 GiB
   17.77      316.40 MiB       30        1.13 GiB
   18.02      316.40 MiB       30        1.13 GiB
   18.27      316.40 MiB       30        1.13 GiB
   18.52      316.40 MiB       30        1.13 GiB
   18.77      316.40 MiB       30        1.13 GiB
   19.02      316.40 MiB       30        1.13 GiB
   19.27      316.40 MiB       30        1.13 GiB
   19.52        7.04 MiB       21       14.08 MiB
   19.77        7.04 MiB       23       14.08 MiB
   20.02        7.04 MiB       26       14.08 MiB
   20.27        7.04 MiB       25       14.08 MiB
   20.52        7.04 MiB       30       14.08 MiB
   20.77        7.04 MiB       27       14.08 MiB
   21.02        8.10 MiB       31       15.13 MiB
   21.27        8.10 MiB       31       15.13 MiB
   21.52        8.10 MiB       42       16.19 MiB
   21.77        1.77 GiB       51        1.78 GiB
   22.03        1.78 GiB       56        1.78 GiB
   22.28        1.80 GiB       46        1.80 GiB
   22.53        1.80 GiB       53        1.80 GiB
   22.78      959.86 MiB       50      967.67 MiB
   23.03        1.84 GiB       50        1.85 GiB
   23.28      145.81 MiB       51      153.90 MiB
   23.53       22.25 MiB       47       72.53 MiB
   23.78       22.25 MiB       47       72.53 MiB
   24.03       22.25 MiB       47       72.53 MiB
   24.28       22.25 MiB       47       72.53 MiB
   24.53       22.25 MiB       47       72.53 MiB
   24.78       22.25 MiB       47       72.53 MiB
   25.03       36.31 MiB       51      128.86 MiB
   25.28       36.31 MiB       46      128.86 MiB
   25.53       22.17 MiB       44       72.44 MiB
   25.78       22.19 MiB       47       72.47 MiB
   26.03       22.20 MiB       51       72.47 MiB
   26.29       22.21 MiB       54       72.48 MiB
   26.54       22.22 MiB       56       72.49 MiB
   26.79       22.18 MiB       48       72.46 MiB
   27.04       29.21 MiB       46       86.52 MiB
   27.29       43.27 MiB       51      114.64 MiB
   27.54       43.27 MiB       47      114.64 MiB
   27.79       43.27 MiB       48      114.64 MiB
   28.04       43.27 MiB       54      114.64 MiB
   28.29       57.33 MiB       51      170.89 MiB
   28.54       62.25 MiB       52      180.03 MiB
   28.79       71.75 MiB       59      199.03 MiB
   29.05       85.82 MiB       66      255.28 MiB
   29.30      310.82 MiB       66      255.28 MiB
   29.55      226.44 MiB       66      367.78 MiB
   29.80      156.13 MiB       67      367.78 MiB
   30.05      170.19 MiB       65      311.53 MiB
   30.30      113.58 MiB       51      227.14 MiB
   30.55      265.79 MiB       51      227.14 MiB
   30.80      200.42 MiB       52      311.52 MiB
   31.05      170.89 MiB       55      284.28 MiB
   31.30      170.98 MiB       55      284.37 MiB
   31.59      170.71 MiB       53      284.27 MiB
   31.84      170.71 MiB       54      284.27 MiB
   32.09      171.76 MiB       55      285.15 MiB
   32.34      171.76 MiB       55      285.15 MiB
   32.59      172.64 MiB       56      286.03 MiB
   32.84      173.52 MiB       57      286.91 MiB
   33.09      202.53 MiB       74      373.06 MiB
   33.35      371.25 MiB       65      569.92 MiB
   33.60      386.51 MiB       68      629.68 MiB
   33.85      407.60 MiB       69      714.06 MiB
   34.10      415.52 MiB       72      745.70 MiB
   34.35      436.61 MiB       74      830.07 MiB
   34.60      348.57 MiB       65      489.06 MiB
   34.85      370.88 MiB       75      576.96 MiB
   35.10      377.91 MiB       77      605.08 MiB
   35.35      370.88 MiB       76      576.96 MiB
   35.60      371.07 MiB       81      577.11 MiB
   35.85      401.56 MiB       80      613.97 MiB
   36.11      384.06 MiB       86      617.49 MiB
   36.36      384.06 MiB       86      617.49 MiB
   36.61      384.06 MiB       86      617.49 MiB
   36.86      384.72 MiB       89      620.12 MiB
   37.11      381.97 MiB       92      621.00 MiB
   37.36      384.50 MiB       92      621.00 MiB
   37.61      384.94 MiB       92      621.00 MiB
   37.86      385.94 MiB       78      613.87 MiB
   38.11      394.83 MiB       93      652.64 MiB
   38.37      394.83 MiB       93      652.64 MiB
   38.62      395.49 MiB       94      655.28 MiB
   38.87      395.49 MiB       94      655.28 MiB
   39.12      390.88 MiB       79      630.57 MiB
   39.37      398.52 MiB       68      560.27 MiB
   39.62      472.84 MiB       72      634.10 MiB
   39.87      472.84 MiB       73      670.13 MiB
   40.12      400.77 MiB       70      562.03 MiB
   40.37      401.64 MiB       71      562.91 MiB
   40.62      407.80 MiB       71      562.91 MiB
   41.16        1.07 MiB       40        2.13 MiB
   42.22        1.07 MiB       40        2.13 MiB
   42.71        1.07 MiB       40        2.13 MiB
   43.11        1.07 MiB       40        2.13 MiB
   43.36        1.07 MiB       40        2.13 MiB
   43.61        1.07 MiB       40        2.13 MiB
   43.86        1.07 MiB       40        2.13 MiB
   44.12        1.07 MiB       40        2.13 MiB
   44.37        1.07 MiB       40        2.13 MiB
   44.62        1.07 MiB       40        2.13 MiB
   44.78        1.07 MiB       40        2.13 MiB
