# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 157

── Peak live HBM  at t=22.17s  ──────────────────────────
bytes_in_use                = 5.32 GiB
device.peak_bytes_in_use    = 9.21 GiB  (cumulative)
sum of jax.live_arrays()    = 1.78 GiB
n live arrays at peak        = 44

Top JAX arrays at peak:
            size  dtype         shape
        1.76 GiB  complex128    (4, 640, 46080)
       14.06 MiB  complex128    (9, 80, 2, 640)
        2.81 MiB  complex128    (4, 24, 24, 80)
        2.81 MiB  complex128    (4, 1, 24, 24, 80)
        1.05 MiB  float64       (24, 24, 80, 3)
        1.05 MiB  float64       (24, 24, 80, 3)
        5.00 KiB  int64         (640,)
        5.00 KiB  int64         (640,)
        640.00 B  float64       (1, 1, 1, 80)
        640.00 B  float64       (1, 1, 1, 80)

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.63          0.00 B        0          0.00 B
    2.88          0.00 B        0          0.00 B
    3.14          0.00 B        0          0.00 B
    3.39          0.00 B        0          0.00 B
    3.64        512.00 B        2         24.00 B
    3.89        512.00 B        2         24.00 B
    4.14        768.00 B        3         40.00 B
    4.39       21.09 MiB        4       28.13 MiB
    4.64      267.19 MiB        6        1.02 GiB
    4.89      267.20 MiB       10        1.02 GiB
    5.14      267.21 MiB       16        1.02 GiB
    5.39      267.21 MiB       16        1.02 GiB
    5.64        1.02 GiB       16        1.02 GiB
    5.89        1.02 GiB       16        1.02 GiB
    6.14        1.02 GiB       16        1.02 GiB
    6.39        1.02 GiB       16        1.02 GiB
    6.64       21.08 MiB       16       28.14 MiB
    6.89       28.11 MiB       18       42.20 MiB
    7.14       67.27 MiB       20       84.39 MiB
    7.39       67.27 MiB       20       84.39 MiB
    7.64       77.33 MiB       22      196.89 MiB
    7.89       91.39 MiB       25      253.14 MiB
    8.14       91.39 MiB       23      253.14 MiB
    8.39       91.39 MiB       23      253.14 MiB
    8.64       91.39 MiB       23      253.14 MiB
    8.89       91.39 MiB       23      253.14 MiB
    9.14      114.83 MiB       23      253.14 MiB
    9.39      114.83 MiB       23      253.14 MiB
    9.64      119.52 MiB       25      365.64 MiB
    9.90      316.39 MiB       23        1.13 GiB
   10.15      822.64 MiB       24        2.11 GiB
   10.40      822.65 MiB       31        2.11 GiB
   10.65      822.65 MiB       31        2.11 GiB
   10.90      822.65 MiB       32        2.11 GiB
   11.15        2.29 GiB       32        9.04 GiB
   11.40        3.28 GiB       32        9.04 GiB
   11.65        4.26 GiB       31        5.08 GiB
   11.90        4.32 GiB       31        5.08 GiB
   12.15        5.25 GiB       34       16.95 GiB
   12.40        5.25 GiB       34       16.95 GiB
   12.65        5.25 GiB       34       16.95 GiB
   12.90        5.25 GiB       34       16.95 GiB
   13.15        5.25 GiB       34       16.95 GiB
   13.40        5.25 GiB       34       16.95 GiB
   13.65        5.25 GiB       34       16.95 GiB
   13.90        5.25 GiB       34       16.95 GiB
   14.15      316.40 MiB       30        1.13 GiB
   14.40      316.40 MiB       30        1.13 GiB
   14.66      316.40 MiB       30        1.13 GiB
   14.91      316.40 MiB       30        1.13 GiB
   15.16      316.40 MiB       30        1.13 GiB
   15.41      316.40 MiB       30        1.13 GiB
   15.66      316.40 MiB       30        1.13 GiB
   15.91      316.40 MiB       30        1.13 GiB
   16.16      316.40 MiB       30        1.13 GiB
   16.41      316.40 MiB       30        1.13 GiB
   16.66      316.40 MiB       30        1.13 GiB
   16.91      316.40 MiB       30        1.13 GiB
   17.16      316.40 MiB       30        1.13 GiB
   17.41      316.40 MiB       30        1.13 GiB
   17.66      316.40 MiB       30        1.13 GiB
   17.91      316.40 MiB       30        1.13 GiB
   18.16      316.40 MiB       30        1.13 GiB
   18.41      316.40 MiB       30        1.13 GiB
   18.66      316.40 MiB       30        1.13 GiB
   18.91      316.40 MiB       30        1.13 GiB
   19.16      316.40 MiB       30        1.13 GiB
   19.41        7.04 MiB       21       14.08 MiB
   19.66        7.04 MiB       22       14.08 MiB
   19.92        7.04 MiB       24       14.08 MiB
   20.17        7.04 MiB       28       14.08 MiB
   20.42        7.04 MiB       27       14.08 MiB
   20.67        7.04 MiB       27       14.08 MiB
   20.92       10.21 MiB       37       17.24 MiB
   21.17        8.10 MiB       31       15.13 MiB
   21.42        8.10 MiB       31       15.13 MiB
   21.67        1.77 GiB       51        1.78 GiB
   21.92        1.77 GiB       55        1.78 GiB
   22.17        5.32 GiB       44        1.78 GiB
   22.42        1.80 GiB       53        1.80 GiB
   22.67      509.86 MiB       48       67.67 MiB
   22.92        1.84 GiB       50        1.85 GiB
   23.17      145.72 MiB       50      153.82 MiB
   23.42       22.25 MiB       47       72.53 MiB
   23.67       22.25 MiB       47       72.53 MiB
   23.92       22.25 MiB       47       72.53 MiB
   24.18       22.25 MiB       47       72.53 MiB
   24.43       22.25 MiB       47       72.53 MiB
   24.68       22.25 MiB       47       72.53 MiB
   24.93       22.25 MiB       47       72.53 MiB
   25.18       22.25 MiB       44       72.61 MiB
   25.43       37.87 MiB       46      135.11 MiB
   25.68       22.19 MiB       45       72.46 MiB
   25.93       22.19 MiB       48       72.46 MiB
   26.18       43.27 MiB       51      114.64 MiB
   26.43       43.27 MiB       47      114.64 MiB
   26.68       43.27 MiB       48      114.64 MiB
   26.93       50.30 MiB       49      121.67 MiB
   27.18       57.33 MiB       51      170.89 MiB
   27.43       57.34 MiB       53      170.90 MiB
   27.68       62.25 MiB       52      180.03 MiB
   27.93       85.82 MiB       64      255.28 MiB
   28.18       85.82 MiB       66      255.28 MiB
   28.44       99.89 MiB       65      311.53 MiB
   28.69      156.14 MiB       67      367.78 MiB
   28.94      238.03 MiB       66      367.78 MiB
   29.19      113.58 MiB       51      227.14 MiB
   29.44      113.58 MiB       51      227.14 MiB
   29.69      200.42 MiB       52      311.52 MiB
   29.94      170.86 MiB       54      284.28 MiB
   30.20      170.96 MiB       55      284.37 MiB
   30.45      170.71 MiB       53      284.27 MiB
   30.70      170.71 MiB       54      284.27 MiB
   30.95      170.71 MiB       54      284.27 MiB
   31.20      171.73 MiB       55      285.15 MiB
   31.45      172.61 MiB       56      286.03 MiB
   31.70      173.49 MiB       57      286.91 MiB
   31.95      173.49 MiB       57      286.91 MiB
   32.20      357.16 MiB       64      513.67 MiB
   32.45      372.44 MiB       66      573.43 MiB
   32.70      400.57 MiB       68      685.93 MiB
   32.95      415.51 MiB       72      745.70 MiB
   33.20      436.60 MiB       74      830.07 MiB
   33.45      348.55 MiB       65      489.06 MiB
   33.70      348.55 MiB       65      489.06 MiB
   33.96      370.88 MiB       76      576.96 MiB
   34.21      377.91 MiB       77      605.08 MiB
   34.46      370.98 MiB       80      577.06 MiB
   34.71      452.54 MiB       84      743.17 MiB
   34.96      384.07 MiB       88      617.49 MiB
   35.21      384.07 MiB       88      617.49 MiB
   35.46      384.07 MiB       88      617.49 MiB
   35.71      384.50 MiB       91      619.25 MiB
   35.96      553.70 MiB       91      619.25 MiB
   36.22      384.50 MiB       91      619.25 MiB
   36.47      376.91 MiB       91      600.79 MiB
   36.72      418.92 MiB       83      719.44 MiB
   36.97      389.78 MiB       92      650.89 MiB
   37.22      385.26 MiB       85      634.19 MiB
   37.47      390.75 MiB       93      653.52 MiB
   37.72      390.75 MiB       93      653.52 MiB
   37.97      384.28 MiB       79      630.57 MiB
   38.22      437.68 MiB       72      598.94 MiB
   38.47      508.87 MiB       75      850.31 MiB
   38.72      400.76 MiB       70      562.03 MiB
   38.98      402.52 MiB       72      563.79 MiB
   39.23      407.80 MiB       71      562.91 MiB
   39.80        1.07 MiB       40        2.13 MiB
   40.61        1.07 MiB       40        2.13 MiB
   40.97        1.07 MiB       40        2.13 MiB
   41.28        1.07 MiB       40        2.13 MiB
   41.53        1.07 MiB       40        2.13 MiB
   41.78        1.07 MiB       40        2.13 MiB
   42.03        1.07 MiB       40        2.13 MiB
   42.28        1.07 MiB       40        2.13 MiB
   42.54        1.07 MiB       40        2.13 MiB
   42.54        1.07 MiB       40        2.13 MiB
