# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 211

── Peak live HBM  at t=29.00s  ──────────────────────────
bytes_in_use                = 2.24 GiB
device.peak_bytes_in_use    = 5.75 GiB  (cumulative)
sum of jax.live_arrays()    = 1.80 GiB
n live arrays at peak        = 53

Top JAX arrays at peak:
            size  dtype         shape
        1.76 GiB  complex128    (4, 640, 46080)
       25.00 MiB  complex128    (4, 640, 640)
       14.06 MiB  complex128    (9, 80, 2, 640)
        1.05 MiB  float64       (24, 24, 80, 3)
        1.05 MiB  float64       (24, 24, 80, 3)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (1, 24, 24, 80)

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.60          0.00 B        0          0.00 B
    2.85          0.00 B        0          0.00 B
    3.10          0.00 B        0          0.00 B
    3.35          0.00 B        0          0.00 B
    3.61        512.00 B        2         24.00 B
    3.86        512.00 B        2         24.00 B
    4.11        768.00 B        3         40.00 B
    4.36       21.09 MiB        4       28.13 MiB
    4.61      267.19 MiB        6        1.02 GiB
    4.86      267.20 MiB       10        1.02 GiB
    5.11      267.21 MiB       16        1.02 GiB
    5.36      267.21 MiB       16        1.02 GiB
    5.61        1.02 GiB       16        1.02 GiB
    5.86        1.02 GiB       16        1.02 GiB
    6.11        1.02 GiB       16        1.02 GiB
    6.36        1.02 GiB       16        1.02 GiB
    6.61      295.30 MiB       18        1.06 GiB
    6.86       21.08 MiB       17       28.14 MiB
    7.11       67.27 MiB       20       84.39 MiB
    7.36       67.27 MiB       20       84.39 MiB
    7.61       67.27 MiB       20       84.39 MiB
    7.86       77.33 MiB       22      196.89 MiB
    8.11       91.39 MiB       25      253.14 MiB
    8.39       91.39 MiB       23      253.14 MiB
    8.64       91.39 MiB       23      253.14 MiB
    8.89       91.39 MiB       23      253.14 MiB
    9.14       91.39 MiB       23      253.14 MiB
    9.39      114.83 MiB       23      253.14 MiB
    9.64      114.83 MiB       23      253.14 MiB
    9.89      119.52 MiB       25      365.64 MiB
   10.20       63.27 MiB       21      140.64 MiB
   10.45       63.27 MiB       21      140.64 MiB
   10.70       63.27 MiB       21      140.64 MiB
   10.96       63.27 MiB       21      140.64 MiB
   11.21       63.27 MiB       21      140.64 MiB
   11.46       63.27 MiB       21      140.64 MiB
   11.71      569.52 MiB       23        1.37 GiB
   11.96      442.96 MiB       25        1.37 GiB
   12.21      442.96 MiB       31        1.37 GiB
   12.46      513.27 MiB       32        1.62 GiB
   12.71      569.52 MiB       32        1.62 GiB
   12.96      822.65 MiB       32        3.10 GiB
   13.21        1.30 GiB       31        2.11 GiB
   13.46      569.52 MiB       31        2.11 GiB
   13.71        1.35 GiB       31        2.11 GiB
   13.96        1.30 GiB       34        5.08 GiB
