# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 141

── Peak live HBM  at t=20.57s  ──────────────────────────
bytes_in_use                = 2.24 GiB
device.peak_bytes_in_use    = 5.75 GiB  (cumulative)
sum of jax.live_arrays()    = 1.80 GiB
n live arrays at peak        = 54

Top JAX arrays at peak:
            size  dtype         shape
        1.76 GiB  complex128    (4, 640, 46080)
       25.00 MiB  complex128    (4, 640, 640)
       14.06 MiB  complex128    (9, 80, 2, 640)
        1.05 MiB  float64       (24, 24, 80, 3)
        1.05 MiB  float64       (24, 24, 80, 3)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (24, 24, 80)
      720.00 KiB  complex128    (1, 24, 24, 80)

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.08          0.00 B        0          0.00 B
    2.33          0.00 B        0          0.00 B
    2.58          0.00 B        0          0.00 B
    2.83          0.00 B        0          0.00 B
    3.50          0.00 B        0          0.00 B
    3.75          0.00 B        0          0.00 B
    4.00          0.00 B        0          0.00 B
    4.26        512.00 B        2         24.00 B
    4.51        768.00 B        3         40.00 B
    4.76       28.13 MiB        4       28.13 MiB
    5.01      267.19 MiB        4       28.13 MiB
    5.26      267.19 MiB        7        1.02 GiB
    5.51      267.21 MiB       11        1.02 GiB
    5.77      267.21 MiB       16        1.02 GiB
    6.02      267.21 MiB       16        1.02 GiB
    6.27        1.02 GiB       16        1.02 GiB
    6.52        1.02 GiB       16        1.02 GiB
    6.77      281.26 MiB       17        1.04 GiB
    7.02       21.08 MiB       17       28.14 MiB
    7.27       67.27 MiB       20       84.39 MiB
    7.52       77.33 MiB       22      196.89 MiB
    7.77       91.39 MiB       25      253.14 MiB
    8.02       91.39 MiB       23      253.14 MiB
    8.27       91.39 MiB       23      253.14 MiB
    8.52       91.39 MiB       23      253.14 MiB
    8.77      114.83 MiB       23      253.14 MiB
    9.04       63.27 MiB       21      140.64 MiB
    9.29      569.52 MiB       23        1.37 GiB
    9.54      442.96 MiB       25        1.37 GiB
    9.79      442.96 MiB       31        1.37 GiB
   10.04      442.96 MiB       31        1.37 GiB
   10.29      442.96 MiB       32        1.37 GiB
   10.54      822.65 MiB       32        3.10 GiB
   10.79      569.52 MiB       31        2.11 GiB
   11.04      569.52 MiB       31        2.11 GiB
   11.29      569.52 MiB       31        2.11 GiB
   11.54        1.30 GiB       36        5.08 GiB
   11.79        1.30 GiB       38        5.08 GiB
   12.05        1.30 GiB       38        5.08 GiB
   12.30        1.05 GiB       36        4.09 GiB
   12.55        1.05 GiB       36        4.09 GiB
   12.80      822.65 MiB       34        3.10 GiB
   13.05      822.65 MiB       34        3.10 GiB
   13.30      822.65 MiB       34        3.10 GiB
   13.55      822.65 MiB       34        3.10 GiB
   13.80      569.52 MiB       32        2.11 GiB
   14.05      569.52 MiB       32        2.11 GiB
   14.30      569.52 MiB       32        2.11 GiB
   14.55      569.52 MiB       32        2.11 GiB
   14.80        7.04 MiB       25       14.08 MiB
   15.05        7.04 MiB       21       14.08 MiB
   15.30        9.15 MiB       33       16.19 MiB
   15.55      458.10 MiB       32       15.13 MiB
   15.80      458.10 MiB       32       15.13 MiB
   16.05      458.10 MiB       33      915.13 MiB
   16.30        8.10 MiB       31       15.13 MiB
   16.55      458.10 MiB       32       15.13 MiB
   16.81      458.10 MiB       33      915.13 MiB
   17.06      458.10 MiB       32       15.13 MiB
   17.31      458.10 MiB       33      915.13 MiB
   17.56      458.10 MiB       32       15.13 MiB
   17.81      458.10 MiB       33      915.13 MiB
   18.06      458.10 MiB       43       16.19 MiB
   18.32        2.21 GiB       52        1.78 GiB
   18.57        2.21 GiB       57        2.66 GiB
   18.82        2.21 GiB       45        1.78 GiB
   19.07      483.14 MiB       45      941.23 MiB
   19.32      483.14 MiB       44       41.23 MiB
   19.57      483.14 MiB       45      491.23 MiB
   19.82       33.14 MiB       43       41.23 MiB
   20.07      483.14 MiB       44       41.23 MiB
   20.32      483.14 MiB       45      941.23 MiB
   20.57        2.24 GiB       54        1.80 GiB
   20.82      508.18 MiB       47      966.27 MiB
   21.07      509.86 MiB       48       67.67 MiB
   21.32        1.84 GiB       50        1.85 GiB
   21.57      145.72 MiB       50      153.82 MiB
   21.82       22.25 MiB       43       72.53 MiB
   22.08       36.31 MiB       51      128.86 MiB
   22.33       37.87 MiB       46      135.11 MiB
   22.58       43.28 MiB       49      114.65 MiB
   22.83       43.27 MiB       48      114.64 MiB
   23.08       43.27 MiB       48      114.64 MiB
   23.33       43.27 MiB       48      114.64 MiB
   23.58       43.26 MiB       47      114.64 MiB
   23.83       57.33 MiB       51      170.89 MiB
   24.08       59.96 MiB       51      175.46 MiB
   24.33       67.00 MiB       53      189.53 MiB
   24.58       85.82 MiB       65      255.28 MiB
   24.83       85.82 MiB       66      255.28 MiB
   25.08       99.88 MiB       65      311.53 MiB
   25.33      156.13 MiB       67      367.78 MiB
   25.59      209.90 MiB       66      367.78 MiB
   25.84      113.58 MiB       51      227.14 MiB
   26.09      113.58 MiB       51      227.14 MiB
   26.34      200.41 MiB       52      311.52 MiB
   26.59      170.85 MiB       53      284.27 MiB
   26.84      170.85 MiB       54      284.27 MiB
   27.09      312.36 MiB       54      284.27 MiB
   27.34      171.73 MiB       55      285.15 MiB
   27.59      172.61 MiB       56      286.03 MiB
   27.84      173.49 MiB       57      286.91 MiB
   28.09      174.37 MiB       59      288.67 MiB
   28.34      357.16 MiB       64      513.67 MiB
   28.59      372.63 MiB       66      573.43 MiB
   28.85      400.76 MiB       68      685.93 MiB
   29.10      408.67 MiB       71      717.57 MiB
   29.35      429.76 MiB       73      801.95 MiB
   29.60      348.55 MiB       65      489.06 MiB
   29.85      348.55 MiB       65      489.06 MiB
