# Generated by LORRAX unknown at 2026-07-18 18:35:26 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	sex_head        	coh_head        	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.372251	      -65.372251	     -633.537809	     +585.187446	      -39.278226	       -1.253412	      -14.783737	      -13.313298	       -0.470814	       -0.391299	     -115.725623	     -115.725623
               0	               1	      -65.372251	      -65.372251	     -633.537809	     +585.187446	      -39.278226	       -1.253412	      -14.783737	      -13.313298	       -0.470814	       -0.391299	     -115.725623	     -115.725623
               0	               2	      -41.997237	      -41.997237	     -603.125173	     +583.307476	      -33.160356	       -1.253412	      -11.869513	      -12.046358	       -0.470814	       -0.391299	      -76.893923	      -76.893923
               0	               3	      -41.997237	      -41.997237	     -603.125173	     +583.307476	      -33.160356	       -1.253412	      -11.869513	      -12.046358	       -0.470814	       -0.391299	      -76.893923	      -76.893923
               0	               4	      -39.497232	      -39.497232	     -594.659640	     +576.520235	      -32.507697	       -1.253412	      -11.591357	      -11.871149	       -0.470814	       -0.391299	      -74.109608	      -74.109608
               0	               5	      -39.497232	      -39.497232	     -594.659640	     +576.520235	      -32.507697	       -1.253412	      -11.591357	      -11.871149	       -0.470814	       -0.391299	      -74.109608	      -74.109608
               0	               6	      -39.272875	      -39.272875	     -604.047485	     +585.900356	      -32.487615	       -1.253412	      -11.555757	      -11.951061	       -0.470814	       -0.391299	      -74.141562	      -74.141562
               0	               7	      -39.272875	      -39.272875	     -604.047485	     +585.900356	      -32.487615	       -1.253412	      -11.555757	      -11.951061	       -0.470814	       -0.391299	      -74.141562	      -74.141562
               0	               8	      -19.398604	      -19.398604	     -389.060448	     +383.935978	      -21.712080	       -1.253412	       -6.568373	       -9.343422	       -0.470814	       -0.391299	      -42.748345	      -42.748345
               0	               9	      -19.398604	      -19.398604	     -389.060448	     +383.935978	      -21.712080	       -1.253412	       -6.568373	       -9.343422	       -0.470814	       -0.391299	      -42.748345	      -42.748345
               0	              10	      -18.214280	      -18.214280	     -356.022197	     +353.658971	      -21.511800	       -1.253412	       -6.504013	       -9.440529	       -0.470814	       -0.391299	      -39.819568	      -39.819568
               0	              11	      -18.214280	      -18.214280	     -356.022197	     +353.658971	      -21.511800	       -1.253412	       -6.504013	       -9.440529	       -0.470814	       -0.391299	      -39.819568	      -39.819568
               0	              12	      -10.873768	      -10.873768	     -391.985357	     +394.126038	      -17.391839	       -1.253412	       -5.900228	       -8.217744	       -0.470814	       -0.391299	      -29.369131	      -29.369131
               0	              13	      -10.873768	      -10.873768	     -391.985357	     +394.126038	      -17.391839	       -1.253412	       -5.900228	       -8.217744	       -0.470814	       -0.391299	      -29.369131	      -29.369131
               0	              14	       -7.815640	       -7.815640	     -486.095274	     +491.882567	      -18.201453	       -1.253412	       -6.793575	       -8.739842	       -0.470814	       -0.391299	      -27.947577	      -27.947577
               0	              15	       -7.815640	       -7.815640	     -486.095274	     +491.882567	      -18.201453	       -1.253412	       -6.793575	       -8.739842	       -0.470814	       -0.391299	      -27.947577	      -27.947577
               0	              16	       -7.759785	       -7.759785	     -481.256741	     +487.106203	      -18.056026	       -1.253412	       -6.728254	       -8.721894	       -0.470814	       -0.391299	      -27.656711	      -27.656711
               0	              17	       -7.759785	       -7.759785	     -481.256741	     +487.106203	      -18.056026	       -1.253412	       -6.728254	       -8.721894	       -0.470814	       -0.391299	      -27.656711	      -27.656711
               0	              18	       -7.145276	       -7.145276	     -295.385240	     +301.330959	      -15.772230	       -1.253412	       -5.499200	       -7.955583	       -0.470814	       -0.391299	      -23.281294	      -23.281294
               0	              19	       -7.145276	       -7.145276	     -295.385240	     +301.330959	      -15.772230	       -1.253412	       -5.499200	       -7.955583	       -0.470814	       -0.391299	      -23.281294	      -23.281294
               0	              20	       -6.779803	       -6.779803	     -451.346233	     +456.242598	      -17.735939	       -1.253412	       -6.934977	       -8.752569	       -0.470814	       -0.391299	      -28.527121	      -28.527121
               0	              21	       -6.779803	       -6.779803	     -451.346233	     +456.242598	      -17.735939	       -1.253412	       -6.934977	       -8.752569	       -0.470814	       -0.391299	      -28.527121	      -28.527121
               0	              22	       -6.699109	       -6.699109	     -450.857049	     +455.768441	      -17.628492	       -1.253412	       -6.908962	       -8.741037	       -0.470814	       -0.391299	      -28.367100	      -28.367100
               0	              23	       -6.699109	       -6.699109	     -450.857049	     +455.768441	      -17.628492	       -1.253412	       -6.908962	       -8.741037	       -0.470814	       -0.391299	      -28.367100	      -28.367100
               0	              24	       -5.386093	       -5.386093	     -403.814652	     +408.132755	      -16.571476	       -1.253412	       -6.634762	       -8.354316	       -0.470814	       -0.391299	      -27.242451	      -27.242451
               0	              25	       -5.386093	       -5.386093	     -403.814652	     +408.132755	      -16.571476	       -1.253412	       -6.634762	       -8.354316	       -0.470814	       -0.391299	      -27.242451	      -27.242451
               0	              26	       -2.581488	       -2.581488	     -411.238694	     +421.358347	      -11.194352	       +0.000000	       -5.169297	       -8.428774	       -0.000000	       -0.391299	      -14.672771	      -14.672771
               0	              27	       -2.581488	       -2.581488	     -411.238694	     +421.358347	      -11.194352	       +0.000000	       -5.169297	       -8.428774	       -0.000000	       -0.391299	      -14.672771	      -14.672771
               0	              28	       -2.505730	       -2.505730	     -409.528104	     +419.594582	      -11.118434	       +0.000000	       -5.139437	       -8.424897	       -0.000000	       -0.391299	      -14.616291	      -14.616291
               0	              29	       -2.505730	       -2.505730	     -409.528104	     +419.594582	      -11.118434	       +0.000000	       -5.139437	       -8.424897	       -0.000000	       -0.391299	      -14.616291	      -14.616291
               0	              30	       -2.332526	       -2.332526	     -393.289650	     +406.559218	      -11.137149	       +0.000000	       -5.009828	       -8.558272	       -0.000000	       -0.391299	      -11.435681	      -11.435681
               0	              31	       -2.332526	       -2.332526	     -393.289650	     +406.559218	      -11.137149	       +0.000000	       -5.009828	       -8.558272	       -0.000000	       -0.391299	      -11.435681	      -11.435681
               0	              32	       -2.326587	       -2.326587	     -391.266441	     +404.160222	      -11.146366	       +0.000000	       -5.003789	       -8.560422	       -0.000000	       -0.391299	      -11.816795	      -11.816795
               0	              33	       -2.326587	       -2.326587	     -391.266441	     +404.160222	      -11.146366	       +0.000000	       -5.003789	       -8.560422	       -0.000000	       -0.391299	      -11.816795	      -11.816795
               0	              34	       +1.113320	       +1.113320	     -422.123794	     +429.913117	       -6.256673	       +0.000000	       -3.224884	       -6.818895	       -0.000000	       -0.391299	       -8.511130	       -8.511130
               0	              35	       +1.113320	       +1.113320	     -422.123794	     +429.913117	       -6.256673	       +0.000000	       -3.224884	       -6.818895	       -0.000000	       -0.391299	       -8.511130	       -8.511130
               0	              36	       +3.714012	       +3.714012	     -324.509874	     +333.552936	       -5.824887	       +0.000000	       -3.152091	       -6.451260	       -0.000000	       -0.391299	       -6.385175	       -6.385175
               0	              37	       +3.714012	       +3.714012	     -324.509874	     +333.552936	       -5.824887	       +0.000000	       -3.152091	       -6.451260	       -0.000000	       -0.391299	       -6.385175	       -6.385175
               0	              38	       +3.951990	       +3.951990	     -128.775703	     +134.642674	       -3.912381	       +0.000000	       -2.203101	       -4.919339	       -0.000000	       -0.391299	       -5.167851	       -5.167851
               0	              39	       +3.951990	       +3.951990	     -128.775703	     +134.642674	       -3.912381	       +0.000000	       -2.203101	       -4.919339	       -0.000000	       -0.391299	       -5.167851	       -5.167851
               0	              40	       +4.776397	       +4.776397	      -16.658215	      +24.711233	       -2.467705	       +0.000000	       -1.385376	       -4.223267	       -0.000000	       -0.391299	       -0.023330	       -0.023330
               0	              41	       +4.776397	       +4.776397	      -16.658215	      +24.711233	       -2.467705	       +0.000000	       -1.385376	       -4.223267	       -0.000000	       -0.391299	       -0.023330	       -0.023330
               0	              42	       +5.486221	       +5.486221	     -344.609150	     +359.715285	       -5.886815	       +0.000000	       -3.255084	       -6.324081	       -0.000000	       -0.391299	       -0.359845	       -0.359845
               0	              43	       +5.486221	       +5.486221	     -344.609150	     +359.715285	       -5.886815	       +0.000000	       -3.255084	       -6.324081	       -0.000000	       -0.391299	       -0.359845	       -0.359845
               0	              44	       +5.562324	       +5.562324	     -343.080103	     +358.307708	       -5.883287	       +0.000000	       -3.248567	       -6.315794	       -0.000000	       -0.391299	       -0.220044	       -0.220044
               0	              45	       +5.562324	       +5.562324	     -343.080103	     +358.307708	       -5.883287	       +0.000000	       -3.248567	       -6.315794	       -0.000000	       -0.391299	       -0.220044	       -0.220044
               0	              46	       +7.461578	       +7.461578	     -318.694332	     +333.352998	       -5.718170	       +0.000000	       -3.289326	       -6.212616	       -0.000000	       -0.391299	       -0.561447	       -0.561447
