# Generated by LORRAX 0.1.0 at 2026-05-14 22:10:38 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.372253	      -65.372253	     -633.537809	     +605.906009	      -39.681295	       -3.563713	      -39.681295	       +0.000000	     -106.994390	     -106.994390
               0	               1	      -65.372253	      -65.372253	     -633.537809	     +605.906009	      -39.681295	       -3.563713	      -39.681295	       +0.000000	     -106.994390	     -106.994390
               0	               2	      -41.997239	      -41.997239	     -603.125175	     +576.332565	      -33.819667	       -3.563713	      -33.819667	       +0.000000	      -94.431944	      -94.431944
               0	               3	      -41.997239	      -41.997239	     -603.125175	     +576.332565	      -33.819667	       -3.563713	      -33.819667	       +0.000000	      -94.431944	      -94.431944
               0	               4	      -39.497235	      -39.497235	     -594.659641	     +578.585462	      -33.196605	       -3.563713	      -33.196605	       +0.000000	      -82.467389	      -82.467389
               0	               5	      -39.497235	      -39.497235	     -594.659641	     +578.585462	      -33.196605	       -3.563713	      -33.196605	       +0.000000	      -82.467389	      -82.467389
               0	               6	      -39.272877	      -39.272877	     -604.047486	     +591.530906	      -33.290475	       -3.563713	      -33.290475	       +0.000000	      -79.097531	      -79.097531
               0	               7	      -39.272877	      -39.272877	     -604.047486	     +591.530906	      -33.290475	       -3.563713	      -33.290475	       +0.000000	      -79.097531	      -79.097531
               0	               8	      -19.398604	      -19.398604	     -389.060448	     +409.882838	      -22.697662	       -3.563713	      -22.697662	       +0.000000	      -24.572934	      -24.572934
               0	               9	      -19.398604	      -19.398604	     -389.060448	     +409.882838	      -22.697662	       -3.563713	      -22.697662	       +0.000000	      -24.572934	      -24.572934
               0	              10	      -18.214280	      -18.214280	     -356.022197	     +374.343967	      -22.106170	       -3.563713	      -22.106170	       +0.000000	      -25.890571	      -25.890571
               0	              11	      -18.214280	      -18.214280	     -356.022197	     +374.343967	      -22.106170	       -3.563713	      -22.106170	       +0.000000	      -25.890571	      -25.890571
               0	              12	      -10.873768	      -10.873768	     -391.985351	     +384.358949	      -16.988650	       -3.563713	      -16.988650	       +0.000000	      -41.603703	      -41.603703
               0	              13	      -10.873768	      -10.873768	     -391.985351	     +384.358949	      -16.988650	       -3.563713	      -16.988650	       +0.000000	      -41.603703	      -41.603703
               0	              14	       -7.815640	       -7.815640	     -486.095270	     +479.779522	      -18.311186	       -3.563713	      -18.311186	       +0.000000	      -42.938119	      -42.938119
               0	              15	       -7.815640	       -7.815640	     -486.095270	     +479.779522	      -18.311186	       -3.563713	      -18.311186	       +0.000000	      -42.938119	      -42.938119
               0	              16	       -7.759785	       -7.759785	     -481.256736	     +473.314066	      -18.090944	       -3.563713	      -18.090944	       +0.000000	      -44.124558	      -44.124558
               0	              17	       -7.759785	       -7.759785	     -481.256736	     +473.314066	      -18.090944	       -3.563713	      -18.090944	       +0.000000	      -44.124558	      -44.124558
               0	              18	       -7.145276	       -7.145276	     -295.385239	     +302.505013	      -15.584469	       -3.563713	      -15.584469	       +0.000000	      -24.049165	      -24.049165
               0	              19	       -7.145276	       -7.145276	     -295.385239	     +302.505013	      -15.584469	       -3.563713	      -15.584469	       +0.000000	      -24.049165	      -24.049165
               0	              20	       -6.779803	       -6.779803	     -451.346227	     +462.664096	      -18.506403	       -3.563713	      -18.506403	       +0.000000	      -25.694936	      -25.694936
               0	              21	       -6.779803	       -6.779803	     -451.346227	     +462.664096	      -18.506403	       -3.563713	      -18.506403	       +0.000000	      -25.694936	      -25.694936
               0	              22	       -6.699109	       -6.699109	     -450.857043	     +463.103369	      -18.493874	       -3.563713	      -18.493874	       +0.000000	      -24.741422	      -24.741422
               0	              23	       -6.699109	       -6.699109	     -450.857043	     +463.103369	      -18.493874	       -3.563713	      -18.493874	       +0.000000	      -24.741422	      -24.741422
               0	              24	       -5.386093	       -5.386093	     -403.814666	     +400.723023	      -16.291936	       -3.563713	      -16.291936	       +0.000000	      -35.675516	      -35.675516
               0	              25	       -5.386093	       -5.386093	     -403.814666	     +400.723023	      -16.291936	       -3.563713	      -16.291936	       +0.000000	      -35.675516	      -35.675516
               0	              26	       -2.581488	       -2.581488	     -411.238708	     +405.511431	      -10.250948	       +0.000000	      -10.250948	       +0.000000	      -26.229174	      -26.229174
               0	              27	       -2.581488	       -2.581488	     -411.238708	     +405.511431	      -10.250948	       +0.000000	      -10.250948	       +0.000000	      -26.229174	      -26.229174
               0	              28	       -2.505729	       -2.505729	     -409.528116	     +406.327760	      -10.258866	       +0.000000	      -10.258866	       +0.000000	      -23.718088	      -23.718088
               0	              29	       -2.505729	       -2.505729	     -409.528116	     +406.327760	      -10.258866	       +0.000000	      -10.258866	       +0.000000	      -23.718088	      -23.718088
               0	              30	       -2.332526	       -2.332526	     -393.289661	     +393.985846	      -10.408105	       +0.000000	      -10.408105	       +0.000000	      -20.120024	      -20.120024
               0	              31	       -2.332526	       -2.332526	     -393.289661	     +393.985846	      -10.408105	       +0.000000	      -10.408105	       +0.000000	      -20.120024	      -20.120024
               0	              32	       -2.326587	       -2.326587	     -391.266454	     +393.483664	      -10.476646	       +0.000000	      -10.476646	       +0.000000	      -18.736082	      -18.736082
               0	              33	       -2.326587	       -2.326587	     -391.266454	     +393.483664	      -10.476646	       +0.000000	      -10.476646	       +0.000000	      -18.736082	      -18.736082
               0	              34	       +1.113320	       +1.113320	     -422.123784	     +395.738700	       -4.747233	       +0.000000	       -4.747233	       +0.000000	      -35.879549	      -35.879549
               0	              35	       +1.113320	       +1.113320	     -422.123784	     +395.738700	       -4.747233	       +0.000000	       -4.747233	       +0.000000	      -35.879549	      -35.879549
               0	              36	       +3.714014	       +3.714014	     -324.509874	     +319.063240	       -4.540428	       +0.000000	       -4.540428	       +0.000000	      -14.527490	      -14.527490
               0	              37	       +3.714014	       +3.714014	     -324.509874	     +319.063240	       -4.540428	       +0.000000	       -4.540428	       +0.000000	      -14.527490	      -14.527490
               0	              38	       +3.951991	       +3.951991	     -128.775653	     +190.977916	       -3.553522	       +0.000000	       -3.553522	       +0.000000	      +55.095218	      +55.095218
               0	              39	       +3.951991	       +3.951991	     -128.775653	     +190.977916	       -3.553522	       +0.000000	       -3.553522	       +0.000000	      +55.095218	      +55.095218
               0	              40	       +4.776397	       +4.776397	      -16.658197	      +90.260802	       -1.838832	       +0.000000	       -1.838832	       +0.000000	      +69.924942	      +69.924942
               0	              41	       +4.776397	       +4.776397	      -16.658197	      +90.260802	       -1.838832	       +0.000000	       -1.838832	       +0.000000	      +69.924942	      +69.924942
               0	              42	       +5.486224	       +5.486224	     -344.609156	     +303.912092	       -3.936150	       +0.000000	       -3.936150	       +0.000000	      -48.569363	      -48.569363
               0	              43	       +5.486224	       +5.486224	     -344.609156	     +303.912092	       -3.936150	       +0.000000	       -3.936150	       +0.000000	      -48.569363	      -48.569363
               0	              44	       +5.562327	       +5.562327	     -343.080107	     +302.715739	       -3.916471	       +0.000000	       -3.916471	       +0.000000	      -48.197310	      -48.197310
               0	              45	       +5.562327	       +5.562327	     -343.080107	     +302.715739	       -3.916471	       +0.000000	       -3.916471	       +0.000000	      -48.197310	      -48.197310
               0	              46	       +7.461580	       +7.461580	     -318.694310	     +322.204332	       -4.346068	       +0.000000	       -4.346068	       +0.000000	       -5.182114	       -5.182114
               0	              47	       +7.461580	       +7.461580	     -318.694310	     +322.204332	       -4.346068	       +0.000000	       -4.346068	       +0.000000	       -5.182114	       -5.182114
               0	              48	       +7.478940	       +7.478940	     -319.808125	     +324.736396	       -4.357355	       +0.000000	       -4.357355	       +0.000000	       -3.786438	       -3.786438
               0	              49	       +7.478940	       +7.478940	     -319.808125	     +324.736396	       -4.357355	       +0.000000	       -4.357355	       +0.000000	       -3.786438	       -3.786438
               0	              50	       +7.640758	       +7.640758	     -263.440465	     +189.871023	       -4.522092	       +0.000000	       -4.522092	       +0.000000	      -82.613625	      -82.613625
               0	              51	       +7.640758	       +7.640758	     -263.440465	     +189.871023	       -4.522092	       +0.000000	       -4.522092	       +0.000000	      -82.613625	      -82.613625
               0	              52	      +10.750584	      +10.750584	     -298.378412	     +132.032438	       -3.315651	       +0.000000	       -3.315651	       +0.000000	     -172.977276	     -172.977276
               0	              53	      +10.750584	      +10.750584	     -298.378412	     +132.032438	       -3.315651	       +0.000000	       -3.315651	       +0.000000	     -172.977276	     -172.977276
               0	              54	      +10.765263	      +10.765263	     -298.515519	     +132.680010	       -3.316770	       +0.000000	       -3.316770	       +0.000000	     -172.469048	     -172.469048
               0	              55	      +10.765263	      +10.765263	     -298.515518	     +132.680010	       -3.316770	       +0.000000	       -3.316770	       +0.000000	     -172.469048	     -172.469048

k-point 1:
               1	               0	      -65.392799	      -65.392799	     -633.749368	     +573.266921	      -39.198773	       -3.563713	      -39.198773	       +0.000000	     -138.879993	     -138.879993
               1	               1	      -65.392799	      -65.392799	     -633.749368	     +573.266921	      -39.198773	       -3.563713	      -39.198773	       +0.000000	     -138.879993	     -138.879993
               1	               2	      -42.080407	      -42.080407	     -603.472686	     +576.317768	      -33.798524	       -3.563713	      -33.798524	       +0.000000	      -94.751967	      -94.751967
               1	               3	      -42.080407	      -42.080407	     -603.472687	     +576.317768	      -33.798524	       -3.563713	      -33.798524	       +0.000000	      -94.751967	      -94.751967
               1	               4	      -39.576634	      -39.576634	     -596.501340	     +578.755116	      -33.161083	       -3.563713	      -33.161083	       +0.000000	      -84.068390	      -84.068390
               1	               5	      -39.576634	      -39.576634	     -596.501337	     +578.755116	      -33.161083	       -3.563713	      -33.161083	       +0.000000	      -84.068386	      -84.068386
               1	               6	      -39.426548	      -39.426548	     -600.838784	     +590.211592	      -33.257349	       -3.563713	      -33.257349	       +0.000000	      -77.141891	      -77.141891
               1	               7	      -39.426548	      -39.426548	     -600.838788	     +590.211592	      -33.257349	       -3.563713	      -33.257349	       +0.000000	      -77.141895	      -77.141895
               1	               8	      -18.084493	      -18.084493	     -387.755499	     +401.636848	      -22.387946	       -3.563713	      -22.387946	       +0.000000	      -30.894543	      -30.894543
               1	               9	      -18.084493	      -18.084493	     -387.755500	     +401.636848	      -22.387946	       -3.563713	      -22.387946	       +0.000000	      -30.894544	      -30.894544
               1	              10	      -17.638783	      -17.638783	     -371.715020	     +377.484692	      -22.001144	       -3.563713	      -22.001144	       +0.000000	      -38.232615	      -38.232615
               1	              11	      -17.638783	      -17.638783	     -371.715020	     +377.484692	      -22.001144	       -3.563713	      -22.001144	       +0.000000	      -38.232615	      -38.232615
               1	              12	      -10.524665	      -10.524665	     -417.797227	     +422.635308	      -17.741866	       -3.563713	      -17.741866	       +0.000000	      -30.645651	      -30.645651
               1	              13	      -10.524665	      -10.524665	     -417.797234	     +422.635308	      -17.741866	       -3.563713	      -17.741866	       +0.000000	      -30.645658	      -30.645658
               1	              14	       -9.566583	       -9.566583	     -378.705672	     +382.688899	      -17.237879	       -3.563713	      -17.237879	       +0.000000	      -30.492531	      -30.492531
               1	              15	       -9.566583	       -9.566583	     -378.705675	     +382.688899	      -17.237879	       -3.563713	      -17.237879	       +0.000000	      -30.492535	      -30.492535
               1	              16	       -9.176330	       -9.176330	     -371.675647	     +375.090338	      -16.822701	       -3.563713	      -16.822701	       +0.000000	      -30.230712	      -30.230712
               1	              17	       -9.176330	       -9.176330	     -371.675645	     +375.090338	      -16.822701	       -3.563713	      -16.822701	       +0.000000	      -30.230710	      -30.230710
               1	              18	       -8.120290	       -8.120290	     -440.824740	     +444.119003	      -18.348115	       -3.563713	      -18.348115	       +0.000000	      -33.401967	      -33.401967
               1	              19	       -8.120290	       -8.120290	     -440.824751	     +444.119003	      -18.348115	       -3.563713	      -18.348115	       +0.000000	      -33.401977	      -33.401977
               1	              20	       -7.044058	       -7.044058	     -314.721588	     +328.054436	      -16.377983	       -3.563713	      -16.377983	       +0.000000	      -19.423117	      -19.423117
               1	              21	       -7.044058	       -7.044058	     -314.721599	     +328.054436	      -16.377983	       -3.563713	      -16.377983	       +0.000000	      -19.423128	      -19.423128
               1	              22	       -6.595082	       -6.595082	     -417.091137	     +415.785532	      -17.075062	       -3.563713	      -17.075062	       +0.000000	      -35.455728	      -35.455728
               1	              23	       -6.595079	       -6.595079	     -417.090832	     +415.785532	      -17.075062	       -3.563713	      -17.075062	       +0.000000	      -35.455423	      -35.455423
               1	              24	       -6.289900	       -6.289900	     -453.898444	     +433.808076	      -16.374812	       -3.563713	      -16.374812	       +0.000000	      -52.839992	      -52.839992
