# Generated by LORRAX unknown at 2026-07-21 06:40:39 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.484467	      -61.075453	     -633.566542	     +592.503354	      -39.294945	       -2.208900	       +4.669414	       +0.002250	       +0.160552	       +0.000000	      -75.688719	      -75.688719
               0	               1	      -65.484467	      -61.075453	     -633.566542	     +592.503354	      -39.294945	       -2.208900	       +4.669414	       +0.002224	       +0.160552	       +0.000000	      -75.688719	      -75.688719
               0	               2	      -42.100571	      -37.691557	     -603.387236	     +584.117714	      -33.196992	       -2.208900	       +4.243632	    +1265.266375	       +0.253277	       +0.000000	      -48.222882	      -48.222882
               0	               3	      -42.100571	      -37.691557	     -603.387236	     +584.117714	      -33.196992	       -2.208900	       +4.243632	    +1265.265321	       +0.253277	       +0.000000	      -48.222882	      -48.222882
               0	               4	      -39.580049	      -35.171035	     -594.480713	     +577.216745	      -32.463463	       -2.208900	       +4.329400	     -424.862032	       +0.270091	       +0.000000	      -45.398030	      -45.398030
               0	               5	      -39.580049	      -35.171035	     -594.480713	     +577.216745	      -32.463463	       -2.208900	       +4.329400	     -424.861139	       +0.270091	       +0.000000	      -45.398030	      -45.398030
               0	               6	      -39.404857	      -34.995843	     -604.079149	     +587.413764	      -32.497268	       -2.208900	       +4.258823	     -834.061740	       +0.271343	       +0.000000	      -44.903830	      -44.903830
               0	               7	      -39.404857	      -34.995843	     -604.079149	     +587.413764	      -32.497268	       -2.208900	       +4.258823	     -834.062989	       +0.271343	       +0.000000	      -44.903830	      -44.903830
               0	               8	      -19.386943	      -14.977929	     -389.972762	     +382.352736	      -21.688148	       -2.208900	       +5.896914	       -0.139219	       +0.576924	       +0.000000	      -23.411259	      -23.411259
               0	               9	      -19.386943	      -14.977929	     -389.972762	     +382.352736	      -21.688148	       -2.208900	       +5.896914	       -0.139222	       +0.576924	       +0.000000	      -23.411259	      -23.411259
               0	              10	      -18.188235	      -13.779222	     -356.540829	     +348.704715	      -21.566543	       -2.208900	       +5.905034	       -2.609227	       +0.618644	       +0.000001	      -23.497623	      -23.497623
               0	              11	      -18.188235	      -13.779222	     -356.540829	     +348.704715	      -21.566543	       -2.208900	       +5.905034	       -2.609227	       +0.618644	       +0.000001	      -23.497623	      -23.497623
               0	              12	      -10.891408	       -6.482395	     -392.608741	     +390.241962	      -17.409707	       -2.208900	       +3.967812	       -9.312847	       +0.801380	       +0.000001	      -15.808675	      -14.473760
               0	              13	      -10.891408	       -6.482395	     -392.608741	     +390.241962	      -17.409707	       -2.208900	       +3.967812	       -9.312834	       +0.801380	       +0.000001	      -15.808675	      -14.473760
               0	              14	       -7.880919	       -3.471905	     -488.232089	     +494.550228	      -18.215673	       -2.208900	       +2.532485	    -1763.824506	       +0.801403	       +0.000001	       -9.365049	       -9.000293
               0	              15	       -7.880919	       -3.471905	     -488.232089	     +494.550228	      -18.215673	       -2.208900	       +2.532485	    -1763.823815	       +0.801403	       +0.000001	       -9.365049	       -9.000293
