# Generated by LORRAX unknown at 2026-07-21 06:15:01 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.484467	      -61.075453	     -633.566542	     +591.511866	      -39.534946	       -2.208900	       +2.685760	    -3085.003334	       +0.160552	       +0.000000	      -78.903862	      -78.903862
               0	               1	      -65.484467	      -61.075453	     -633.566542	     +591.511866	      -39.534946	       -2.208900	       +2.691460	    +3084.019094	       +0.160552	       +0.000000	      -78.898161	      -78.898161
               0	               2	      -42.100571	      -37.691557	     -603.387236	     +584.881366	      -33.342942	       -2.208900	       +3.227939	  -444064.659016	       +0.253277	       +0.000000	      -48.620873	      -48.620873
               0	               3	      -42.100571	      -37.691557	     -603.387236	     +584.881366	      -33.342942	       -2.208900	       +2.936698	  +413166.375896	       +0.253277	       +0.000000	      -48.912115	      -48.912115
               0	               4	      -39.580049	      -35.171035	     -594.480713	     +577.707920	      -32.484464	       -2.208900	       +3.291584	  +326050.919657	       +0.270091	       +0.000000	      -45.965673	      -45.965673
               0	               5	      -39.580049	      -35.171035	     -594.480713	     +577.707920	      -32.484464	       -2.208900	       +3.453229	  -312179.025927	       +0.270091	       +0.000000	      -45.804028	      -45.804028
               0	               6	      -39.404857	      -34.995843	     -604.079149	     +588.170747	      -32.508395	       -2.208900	       +2.525141	 -1147394.368285	       +0.271343	       +0.000000	      -45.891656	      -45.891656
               0	               7	      -39.404857	      -34.995843	     -604.079149	     +588.170747	      -32.508395	       -2.208900	       +3.135065	 +1161009.092245	       +0.271343	       +0.000000	      -45.281732	      -45.281732
               0	               8	      -19.386943	      -14.977929	     -389.972762	     +383.598265	      -21.697345	       -2.208900	       +5.505772	     -102.709350	       +0.576924	       +0.000000	      -22.566070	      -22.566070
               0	               9	      -19.386943	      -14.977929	     -389.972762	     +383.598265	      -21.697345	       -2.208900	       +5.503658	     +105.584897	       +0.576924	       +0.000000	      -22.568184	      -22.568184
               0	              10	      -18.188235	      -13.779222	     -356.540829	     +348.542777	      -21.598021	       -2.208900	       +5.610741	     +964.511694	       +0.618644	       +0.000001	      -23.985331	      -23.985331
