# Generated by LORRAX unknown at 2026-07-21 06:20:44 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.484467	      -61.075453	     -633.566542	     +590.700687	      -39.499262	       -2.208900	       +3.556379	  -149156.809806	       +0.160552	       +0.000000	      -78.808738	      -78.808738
               0	               1	      -65.484467	      -61.075453	     -633.566542	     +590.700687	      -39.499262	       -2.208900	       +4.334807	  +149151.837711	       +0.160552	       +0.000000	      -78.030309	      -78.030309
               0	               2	      -42.100571	      -37.691557	     -603.387236	     +585.130012	      -33.381935	       -2.208900	      -27.231636	  +828593.702254	       +0.253277	       +0.000000	      -78.870795	      -78.870795
               0	               3	      -42.100571	      -37.691557	     -603.387236	     +585.130012	      -33.381935	       -2.208900	      -30.977287	 -2473249.066146	       +0.253277	       +0.000000	      -82.616446	      -82.616446
               0	               4	      -39.580049	      -35.171035	     -594.480713	     +577.755741	      -32.478447	       -2.208900	      -15.347951	 -1551187.057349	       +0.270091	       +0.000000	      -64.551371	      -64.551371
               0	               5	      -39.580049	      -35.171035	     -594.480713	     +577.755741	      -32.478447	       -2.208900	      -12.510912	  +910959.076371	       +0.270091	       +0.000000	      -61.714331	      -61.714331
               0	               6	      -39.404857	      -34.995843	     -604.079149	     +588.215591	      -32.509902	       -2.208900	      -47.755370	 +2037030.115390	       +0.271343	       +0.000000	      -96.128830	      -96.128830
               0	               7	      -39.404857	      -34.995843	     -604.079149	     +588.215591	      -32.509902	       -2.208900	      -45.935339	  +165742.364295	       +0.271343	       +0.000000	      -94.308800	      -94.308800
               0	               8	      -19.386943	      -14.977929	     -389.972762	     +383.718979	      -21.698668	       -2.208900	       +5.785562	    -1563.415555	       +0.576924	       +0.000000	      -22.166889	      -22.166889
               0	               9	      -19.386943	      -14.977929	     -389.972762	     +383.718979	      -21.698668	       -2.208900	       +5.768805	    +1559.767681	       +0.576924	       +0.000000	      -22.183645	      -22.183645
               0	              10	      -18.188235	      -13.779222	     -356.540829	     +348.401651	      -21.597910	       -2.208900	       +5.317306	    -6164.532279	       +0.618644	       +0.000001	      -24.419782	      -24.419782
