# Generated by LORRAX unknown at 2026-07-21 01:56:02 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.484467	      -61.075453	     -633.566542	     +591.604009	      -39.467486	       -2.208900	      -37.483243	  +138606.566419	       +0.160552	       +0.000000	     -118.913262	     -118.913262
               0	               1	      -65.484467	      -61.075453	     -633.566542	     +591.604009	      -39.467486	       -2.208900	      -37.559570	  -138603.358662	       +0.160552	       +0.000000	     -118.989589	     -118.989589
               0	               2	      -42.100571	      -37.691557	     -603.387236	     +584.115671	      -33.301635	       -2.208900	      +30.673152	 +5731548.120532	       +0.253277	       +0.000000	      -21.900047	      -21.900047
               0	               3	      -42.100571	      -37.691557	     -603.387236	     +584.115671	      -33.301635	       -2.208900	      +25.979290	 -5441621.293063	       +0.253277	       +0.000000	      -26.593909	      -26.593909
               0	               4	      -39.580049	      -35.171035	     -594.480713	     +577.561488	      -32.523733	       -2.208900	      +41.754466	 -5205272.426216	       +0.270091	       +0.000000	       -7.688493	       -7.688493
               0	               5	      -39.580049	      -35.171035	     -594.480713	     +577.561488	      -32.523733	       -2.208900	      +44.792881	 +4526848.637097	       +0.270091	       +0.000000	       -4.650077	       -4.650077
               0	               6	      -39.404857	      -34.995843	     -604.079149	     +587.428811	      -32.511041	       -2.208900	       +3.401862	 +1207594.175254	       +0.271343	       +0.000000	      -45.759517	      -45.759517
               0	               7	      -39.404857	      -34.995843	     -604.079149	     +587.428811	      -32.511041	       -2.208900	       +4.066587	  -808406.662582	       +0.271343	       +0.000000	      -45.094792	      -45.094792
               0	               8	      -19.386943	      -14.977929	     -389.972762	     +384.593457	      -21.626114	       -2.208900	       +5.551185	    +2280.973022	       +0.576924	       +0.000000	      -21.454234	      -21.454234
               0	               9	      -19.386943	      -14.977929	     -389.972762	     +384.593457	      -21.626114	       -2.208900	       +5.557947	    -2273.791301	       +0.576924	       +0.000000	      -21.447472	      -21.447472
               0	              10	      -18.188235	      -13.779222	     -356.540829	     +352.184894	      -21.557420	       -2.208900	       +9.831990	   +20034.680578	       +0.618644	       +0.000001	      -16.081365	      -16.081365
               0	              11	      -18.188235	      -13.779222	     -356.540829	     +352.184894	      -21.557420	       -2.208900	       +9.867561	   -22976.217126	       +0.618644	       +0.000001	      -16.045794	      -16.045794
               0	              12	      -10.891408	       -6.482395	     -392.608741	     +388.536744	      -17.375669	       -2.208900	      -12.683663	   -77298.403753	       +0.801380	       +0.000001	      -34.131329	      -10.129841
               0	              13	      -10.891408	       -6.482395	     -392.608741	     +388.536744	      -17.375669	       -2.208900	      -12.818576	   +75620.423771	       +0.801380	       +0.000001	      -34.266242	      -10.124620
               0	              14	       -7.880919	       -3.471905	     -488.232089	     +494.136579	      -18.153405	       -2.208900	       +1.169258	   +22933.541337	       +0.801403	       +0.000001	      -11.079657	      -10.083640
               0	              15	       -7.880919	       -3.471905	     -488.232089	     +494.136579	      -18.153405	       -2.208900	       +1.119058	  -118538.319106	       +0.801403	       +0.000001	      -11.129857	      -10.117656
               0	              16	       -7.821581	       -3.412567	     -483.643930	     +489.523366	      -18.001528	       -2.208900	       +1.120984	   -21492.746823	       +0.801512	       +0.000001	      -11.001108	      -10.057801
               0	              17	       -7.821581	       -3.412567	     -483.643930	     +489.523366	      -18.001528	       -2.208900	       +1.182945	   +94306.264954	       +0.801512	       +0.000001	      -10.939147	      -10.014376
               0	              18	       -7.130428	       -2.721415	     -294.918596	     +304.030445	      -15.639121	       -2.208900	       +6.447964	    +7395.049608	       +0.801643	       +0.000001	       -0.079307	       +1.577595
               0	              19	       -7.130428	       -2.721415	     -294.918596	     +304.030445	      -15.639121	       -2.208900	       +6.455308	    -3096.666913	       +0.801643	       +0.000001	       -0.071963	       +1.593360
               0	              20	       -6.799255	       -2.390241	     -453.270895	     +456.036230	      -17.717259	       -2.208900	       -3.548693	  +924193.076889	       +0.801545	       +0.000001	      -18.500618	      -13.939443
               0	              21	       -6.799255	       -2.390241	     -453.270895	     +456.036230	      -17.717259	       -2.208900	       -3.733199	 -1155806.395634	       +0.801545	       +0.000001	      -18.685124	      -13.903878
               0	              22	       -6.718285	       -2.309271	     -452.781367	     +455.662711	      -17.601776	       -2.208900	       -3.303333	 +1200751.117955	       +0.801626	       +0.000001	      -18.023765	      -13.802547
               0	              23	       -6.718285	       -2.309271	     -452.781367	     +455.662711	      -17.601776	       -2.208900	       -3.582154	  -988645.999180	       +0.801626	       +0.000001	      -18.302585	      -13.825001
               0	              24	       -5.398968	       -0.989955	     -402.917797	     +412.160622	      -16.397305	       -2.208900	      -69.723990	  +558175.876349	       +0.801363	       +0.000001	      -76.878470	      +25.855763
               0	              25	       -5.398968	       -0.989955	     -402.917797	     +412.160622	      -16.397305	       -2.208900	      -70.254509	  -542809.588498	       +0.801363	       +0.000001	      -77.408989	      +26.160416
               0	              26	       -2.591355	       +1.817659	     -410.014157	     +427.733322	      -11.090056	       +0.000000	       +1.242490	 -2919905.461388	       -0.801620	       -0.000001	       +7.871598	       +5.497807
               0	              27	       -2.591355	       +1.817659	     -410.014157	     +427.733322	      -11.090056	       +0.000000	       +1.957846	 +2919892.405661	       -0.801620	       -0.000001	       +8.586955	       +6.063067
               0	              28	       -2.515375	       +1.893639	     -408.313159	     +425.557908	      -11.013263	       +0.000000	       +1.233193	  +174362.441854	       -0.801540	       -0.000001	       +7.464679	       +5.207987
               0	              29	       -2.515375	       +1.893639	     -408.313159	     +425.557908	      -11.013263	       +0.000000	       +1.285044	  -183873.587075	       -0.801540	       -0.000001	       +7.516530	       +5.258045
               0	              30	       -2.347811	       +2.061203	     -391.701029	     +400.590064	      -11.097328	       +0.000000	       -2.836900	   +30572.515162	       -0.801475	       -0.000001	       -5.045193	       -4.485592
               0	              31	       -2.347811	       +2.061203	     -391.701029	     +400.590064	      -11.097328	       +0.000000	       -2.789289	   -58564.995242	       -0.801475	       -0.000001	       -4.997583	       -4.448947
               0	              32	       -2.339588	       +2.069426	     -389.765640	     +398.931031	      -11.103978	       +0.000000	       -2.517021	  +125873.333747	       -0.801490	       -0.000001	       -4.455607	       -4.019260
               0	              33	       -2.339588	       +2.069426	     -389.765640	     +398.931031	      -11.103978	       +0.000000	       -2.568375	   -89063.320866	       -0.801490	       -0.000001	       -4.506962	       -4.058144
               0	              34	       +1.083633	       +5.492647	     -423.689329	     +433.308862	       -6.156760	       +0.000000	       -4.875680	    +1002.762074	       -0.801357	       -0.000001	       -1.412906	       -0.453423
               0	              35	       +1.083633	       +5.492647	     -423.689329	     +433.308862	       -6.156760	       +0.000000	       -4.884130	     -843.998002	       -0.801357	       -0.000001	       -1.421356	       -0.452786
               0	              36	       +3.734850	       +8.143864	     -325.044173	     +339.801211	       -5.762110	       +0.000000	      -13.073555	     +366.492478	       -0.801595	       -0.000001	       -4.078628	       +1.836226
               0	              37	       +3.734850	       +8.143864	     -325.044173	     +339.801211	       -5.762110	       +0.000000	      -13.027504	     -868.126576	       -0.801595	       -0.000001	       -4.032577	       +1.798979
               0	              38	       +3.946919	       +8.355933	     -128.255799	     +153.938819	       -3.817845	       +0.000000	      +70.312466	     -834.721942	       -0.801587	       -0.000001	      +92.177641	      +10.055315
               0	              39	       +3.946919	       +8.355933	     -128.255799	     +153.938819	       -3.817845	       +0.000000	      +70.131022	     +483.795383	       -0.801587	       -0.000001	      +91.996197	      +10.073407
               0	              40	       +4.785055	       +9.194069	      -15.930532	      +48.014825	       -2.424951	       +0.000000	       -6.362575	    -2808.938642	       -0.801633	       -0.000001	      +23.296767	       -1.200897
               0	              41	       +4.785055	       +9.194069	      -15.930532	      +48.014825	       -2.424951	       +0.000000	       -6.346662	    +2617.447466	       -0.801633	       -0.000001	      +23.312680	       -1.240169
