# Generated by LORRAX unknown at 2026-07-20 22:59:40 UTC
# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=0    E_DFT=  -65.484467  Re= -175.509010  Im=-5142.374960
n=1    E_DFT=  -65.484467  Re= -174.151142  Im= 5145.128740
n=2    E_DFT=  -42.100571  Re=  -91.972452  Im=-11991985.041853
n=3    E_DFT=  -42.100571  Re=  -96.432805  Im=10271489.222209
n=4    E_DFT=  -39.580049  Re= -129.104298  Im=8379302.181696
n=5    E_DFT=  -39.580049  Re= -126.367666  Im=-7386016.375887
n=6    E_DFT=  -39.404857  Re=  -26.697184  Im=2071586.663832
n=7    E_DFT=  -39.404857  Re=  -39.595098  Im=-1446646.186934
n=8    E_DFT=  -19.386943  Re=  -27.863139  Im= -207.403460
n=9    E_DFT=  -19.386943  Re=  -27.851279  Im=  221.174351
n=10   E_DFT=  -18.188235  Re=  -24.963757  Im=-33908.299779
n=11   E_DFT=  -18.188235  Re=  -25.019981  Im=37300.433407
n=12   E_DFT=  -10.891408  Re=  -22.425918  Im=10887.610552
n=13   E_DFT=  -10.891408  Re=  -22.435251  Im=-7354.497433
n=14   E_DFT=   -7.880919  Re=   -9.708201  Im=940164.868433
n=15   E_DFT=   -7.880919  Re=   -9.668162  Im=-911357.628942
n=16   E_DFT=   -7.821581  Re=   -9.597342  Im=-717759.204243
n=17   E_DFT=   -7.821581  Re=   -9.753600  Im=695575.747191
n=18   E_DFT=   -7.130428  Re=   -5.262559  Im= 7627.145009
n=19   E_DFT=   -7.130428  Re=   -5.264364  Im= 2285.050717
n=20   E_DFT=   -6.799255  Re=    0.386616  Im=70794.000722
n=21   E_DFT=   -6.799255  Re=    2.485152  Im=128851.439738
n=22   E_DFT=   -6.718285  Re=    0.610024  Im=-185967.555057
n=23   E_DFT=   -6.718285  Re=    2.577585  Im=17430.367287
n=24   E_DFT=   -5.398968  Re=  -11.672847  Im=-11113.115859
n=25   E_DFT=   -5.398968  Re=  -11.740820  Im=-10537.759832
n=26   E_DFT=   -2.591355  Re=    9.022950  Im=-3040085.476357
n=27   E_DFT=   -2.591355  Re=   11.613471  Im=2797523.452151
n=28   E_DFT=   -2.515375  Re=    9.913429  Im=138155.588693
n=29   E_DFT=   -2.515375  Re=   10.166980  Im=84724.657655
n=30   E_DFT=   -2.347811  Re=    2.715699  Im=1567922.510646
n=31   E_DFT=   -2.347811  Re=    2.420507  Im=-1446683.057932
n=32   E_DFT=   -2.339588  Re=    2.689265  Im=-1341465.489700
n=33   E_DFT=   -2.339588  Re=    2.866604  Im=1243514.378308
n=34   E_DFT=    1.083633  Re=    2.725137  Im= -630.152934
n=35   E_DFT=    1.083633  Re=    2.732034  Im=  948.184581
n=36   E_DFT=    3.734850  Re=    6.655166  Im= -994.584739
n=37   E_DFT=    3.734850  Re=    6.656038  Im= -152.215816
