# Generated by LORRAX unknown at 2026-07-20 22:59:40 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.484467	      -61.075453	     -633.566542	     +593.833576	      -39.539305	       -2.208900	      -96.236550	    -5142.374960	       +0.160552	       +0.000000	     -175.508821	     -175.508821
               0	               1	      -65.484467	      -61.075453	     -633.566542	     +593.833576	      -39.539305	       -2.208900	      -94.879060	    +5145.128740	       +0.160552	       +0.000000	     -174.151331	     -174.151331
               0	               2	      -42.100571	      -37.691557	     -603.387236	     +585.334417	      -33.387229	       -2.208900	      -40.531709	-11991985.041853	       +0.253277	       +0.000000	      -91.971758	      -91.971758
               0	               3	      -42.100571	      -37.691557	     -603.387236	     +585.334417	      -33.387229	       -2.208900	      -44.993451	+10271489.222209	       +0.253277	       +0.000000	      -96.433499	      -96.433499
               0	               4	      -39.580049	      -35.171035	     -594.480713	     +577.029819	      -32.464543	       -2.208900	      -79.188783	 +8379302.181696	       +0.270091	       +0.000000	     -129.104220	     -129.104220
               0	               5	      -39.580049	      -35.171035	     -594.480713	     +577.029819	      -32.464543	       -2.208900	      -76.452306	 -7386016.375887	       +0.270091	       +0.000000	     -126.367744	     -126.367744
               0	               6	      -39.404857	      -34.995843	     -604.079149	     +588.129933	      -32.481934	       -2.208900	      +21.734128	 +2071586.663832	       +0.271343	       +0.000000	      -26.697023	      -26.697023
               0	               7	      -39.404857	      -34.995843	     -604.079149	     +588.129933	      -32.481934	       -2.208900	       +8.835890	 -1446646.186934	       +0.271343	       +0.000000	      -39.595260	      -39.595260
               0	               8	      -19.386943	      -14.977929	     -389.972762	     +381.491147	      -21.735686	       -2.208900	       +2.354150	     -207.403460	       +0.576924	       +0.000000	      -27.863150	      -27.863150
               0	               9	      -19.386943	      -14.977929	     -389.972762	     +381.491147	      -21.735686	       -2.208900	       +2.366032	     +221.174351	       +0.576924	       +0.000000	      -27.851267	      -27.851267
               0	              10	      -18.188235	      -13.779222	     -356.540829	     +351.432240	      -21.561126	       -2.208900	       +1.705953	   -33908.299779	       +0.618644	       +0.000001	      -24.963761	      -24.963761
               0	              11	      -18.188235	      -13.779222	     -356.540829	     +351.432240	      -21.561126	       -2.208900	       +1.649737	   +37300.433407	       +0.618644	       +0.000001	      -25.019977	      -25.019977
               0	              12	      -10.891408	       -6.482395	     -392.608741	     +396.042368	      -17.336848	       -2.208900	       -8.522702	   +10887.610552	       +0.801380	       +0.000001	      -22.425923	      -15.064602
               0	              13	      -10.891408	       -6.482395	     -392.608741	     +396.042368	      -17.336848	       -2.208900	       -8.532025	    -7354.497433	       +0.801380	       +0.000001	      -22.435246	      -14.848939
               0	              14	       -7.880919	       -3.471905	     -488.232089	     +494.911204	      -18.210835	       -2.208900	       +1.823424	  +940164.868433	       +0.801403	       +0.000001	       -9.708296	       -9.100300
               0	              15	       -7.880919	       -3.471905	     -488.232089	     +494.911204	      -18.210835	       -2.208900	       +1.863653	  -911357.628942	       +0.801403	       +0.000001	       -9.668067	       -9.044210
               0	              16	       -7.821581	       -3.412567	     -483.643930	     +490.258236	      -18.052355	       -2.208900	       +1.840962	  -717759.204243	       +0.801512	       +0.000001	       -9.597087	       -9.025081
               0	              17	       -7.821581	       -3.412567	     -483.643930	     +490.258236	      -18.052355	       -2.208900	       +1.684195	  +695575.747191	       +0.801512	       +0.000001	       -9.753854	       -9.131578
               0	              18	       -7.130428	       -2.721415	     -294.918596	     +301.709487	      -15.679777	       -2.208900	       +3.626336	    +7627.145009	       +0.801643	       +0.000001	       -5.262550	       -5.514817
               0	              19	       -7.130428	       -2.721415	     -294.918596	     +301.709487	      -15.679777	       -2.208900	       +3.624512	    +2285.050717	       +0.801643	       +0.000001	       -5.264374	       -5.512277
               0	              20	       -6.799255	       -2.390241	     -453.270895	     +462.942637	      -17.693451	       -2.208900	       +8.408456	   +70794.000722	       +0.801545	       +0.000001	       +0.386746	       +1.119119
               0	              21	       -6.799255	       -2.390241	     -453.270895	     +462.942637	      -17.693451	       -2.208900	      +10.506731	  +128851.439738	       +0.801545	       +0.000001	       +2.485022	       +2.105798
               0	              22	       -6.718285	       -2.309271	     -452.781367	     +462.457525	      -17.575115	       -2.208900	       +8.509087	  -185967.555057	       +0.801626	       +0.000001	       +0.610129	       +1.960063
               0	              23	       -6.718285	       -2.309271	     -452.781367	     +462.457525	      -17.575115	       -2.208900	      +10.476437	   +17430.367287	       +0.801626	       +0.000001	       +2.577480	       +2.226063
               0	              24	       -5.398968	       -0.989955	     -402.917797	     +418.222788	      -16.414699	       -2.208900	      -10.563131	   -11113.115859	       +0.801363	       +0.000001	      -11.672839	      -17.815592
               0	              25	       -5.398968	       -0.989955	     -402.917797	     +418.222788	      -16.414699	       -2.208900	      -10.631121	   -10537.759832	       +0.801363	       +0.000001	      -11.740829	      -18.028438
               0	              26	       -2.591355	       +1.817659	     -410.014157	     +426.115459	      -11.097537	       +0.000000	       +4.019147	 -3040085.476357	       -0.801620	       -0.000001	       +9.022912	      +11.830054
               0	              27	       -2.591355	       +1.817659	     -410.014157	     +426.115459	      -11.097537	       +0.000000	       +6.609745	 +2797523.452151	       -0.801620	       -0.000001	      +11.613510	      +13.777873
               0	              28	       -2.515375	       +1.893639	     -408.313159	     +424.450448	      -11.014991	       +0.000000	       +4.791081	  +138155.588693	       -0.801540	       -0.000001	       +9.913378	      +11.899129
               0	              29	       -2.515375	       +1.893639	     -408.313159	     +424.450448	      -11.014991	       +0.000000	       +5.044733	   +84724.657655	       -0.801540	       -0.000001	      +10.167031	      +12.431497
               0	              30	       -2.347811	       +2.061203	     -391.701029	     +409.647361	      -11.045818	       +0.000000	       -4.184945	 +1567922.510646	       -0.801475	       -0.000001	       +2.715568	       +2.037558
               0	              31	       -2.347811	       +2.061203	     -391.701029	     +409.647361	      -11.045818	       +0.000000	       -4.479877	 -1446683.057932	       -0.801475	       -0.000001	       +2.420637	       +1.540236
               0	              32	       -2.339588	       +2.069426	     -389.765640	     +407.589705	      -11.054533	       +0.000000	       -4.080077	 -1341465.489700	       -0.801490	       -0.000001	       +2.689454	       +1.748921
               0	              33	       -2.339588	       +2.069426	     -389.765640	     +407.589705	      -11.054533	       +0.000000	       -3.903116	 +1243514.378308	       -0.801490	       -0.000001	       +2.866415	       +2.236906
               0	              34	       +1.083633	       +5.492647	     -423.689329	     +437.936702	       -6.168032	       +0.000000	       -5.354204	     -630.152934	       -0.801357	       -0.000001	       +2.725138	       +2.409309
               0	              35	       +1.083633	       +5.492647	     -423.689329	     +437.936702	       -6.168032	       +0.000000	       -5.347309	     +948.184581	       -0.801357	       -0.000001	       +2.732033	       +2.445274
               0	              36	       +3.734850	       +8.143864	     -325.044173	     +338.372376	       -5.751340	       +0.000000	       -0.921698	     -994.584739	       -0.801595	       -0.000001	       +6.655164	       +6.824927
               0	              37	       +3.734850	       +8.143864	     -325.044173	     +338.372376	       -5.751340	       +0.000000	       -0.920823	     -152.215816	       -0.801595	       -0.000001	       +6.656039	       +7.331934
               0	              38	       +3.946919	       +8.355933	     -128.255799	     +158.133931	       -3.847023	       +0.000000	       -1.741931	    -7237.928931	       -0.801587	       -0.000001	      +24.289177	      -78.168606
               0	              39	       +3.946919	       +8.355933	     -128.255799	     +158.133931	       -3.847023	       +0.000000	       -1.851407	    +7328.585552	       -0.801587	       -0.000001	      +24.179701	      -37.464928
               0	              40	       +4.785055	       +9.194069	      -15.930532	      +51.677644	       -2.420848	       +0.000000	       -4.170580	    -2859.287450	       -0.801633	       -0.000001	      +29.155684	      +37.365054
               0	              41	       +4.785055	       +9.194069	      -15.930532	      +51.677644	       -2.420848	       +0.000000	       -4.173730	    +2350.071380	       -0.801633	       -0.000001	      +29.152534	      +35.714862
               0	              42	       +5.503172	       +9.912186	     -345.077481	     +365.742794	       -5.770486	       +0.000000	       -4.158065	  +821337.649535	       -0.801513	       -0.000001	      +10.736762	      +22.240730
               0	              43	       +5.503172	       +9.912186	     -345.077481	     +365.742794	       -5.770486	       +0.000000	       -4.870417	  -830896.556277	       -0.801513	       -0.000001	      +10.024410	      +15.186401
               0	              44	       +5.579950	       +9.988964	     -343.542273	     +364.285794	       -5.764798	       +0.000000	       -4.460021	  -825795.773364	       -0.801365	       -0.000001	      +10.518701	      +22.854198
               0	              45	       +5.579950	       +9.988964	     -343.542273	     +364.285794	       -5.764798	       +0.000000	       -4.026383	  +837038.015220	       -0.801365	       -0.000001	      +10.952339	      +17.964902
               0	              46	       +7.479930	      +11.888944	     -318.712447	     +344.378548	       -5.605262	       +0.000000	       -2.552911	  -418589.274142	       -0.698271	       -0.000001	      +17.507928	      +17.507928
               0	              47	       +7.479930	      +11.888944	     -318.712447	     +344.378548	       -5.605262	       +0.000000	       -2.631062	  +356904.448075	       -0.698271	       -0.000001	      +17.429777	      +17.429777
               0	              48	       +7.497363	      +11.906377	     -319.930043	     +345.507142	       -5.608997	       +0.000000	       -2.251153	 -1491866.566303	       -0.697443	       -0.000001	      +17.716949	      +17.716949
               0	              49	       +7.497363	      +11.906377	     -319.930043	     +345.507142	       -5.608997	       +0.000000	       -2.410395	 +1573082.722011	       -0.697443	       -0.000001	      +17.557706	      +17.557706
               0	              50	       +7.654692	      +12.063706	     -261.961779	     +292.966066	       -5.689106	       +0.000000	       -8.131319	   +17450.169572	       -0.690059	       -0.000001	      +17.183862	      +17.183862
               0	              51	       +7.654692	      +12.063706	     -261.961779	     +292.966066	       -5.689106	       +0.000000	       -7.775910	   -37186.008995	       -0.690059	       -0.000001	      +17.539271	      +17.539271
               0	              52	      +10.761649	      +15.170663	     -298.264686	     +327.856683	       -5.280638	       +0.000000	       +1.301689	 -1848635.053161	       -0.570736	       -0.000000	      +25.613047	      +25.613047
               0	              53	      +10.761649	      +15.170663	     -298.264686	     +327.856683	       -5.280638	       +0.000000	       +2.836550	 +1709763.875036	       -0.570736	       -0.000000	      +27.147908	      +27.147908
               0	              54	      +10.776236	      +15.185250	     -298.403096	     +327.958075	       -5.275942	       +0.000000	       +2.325924	 +1477952.916031	       -0.570273	       -0.000000	      +26.604961	      +26.604961
               0	              55	      +10.776236	      +15.185250	     -298.403096	     +327.958075	       -5.275942	       +0.000000	       +2.128097	 -1340573.414242	       -0.570273	       -0.000000	      +26.407134	      +26.407134
               0	              56	      +10.850507	      +15.259521	     -342.313898	     +364.233867	       -3.303196	       +0.000000	       -6.153803	    -1868.123545	       -0.567927	       -0.000000	      +12.462970	      +12.462970
               0	              57	      +10.850507	      +15.259521	     -342.313898	     +364.233867	       -3.303196	       +0.000000	       -6.111989	    +1636.494772	       -0.567927	       -0.000000	      +12.504784	      +12.504784
               0	              58	      +11.100027	      +15.509040	     -312.924111	     +337.096309	       -5.823409	       +0.000000	      -11.320536	  +443353.422468	       -0.560186	       -0.000000	       +7.028253	       +7.028253
               0	              59	      +11.100027	      +15.509040	     -312.924111	     +337.096309	       -5.823409	       +0.000000	      -12.292516	  -390994.623013	       -0.560186	       -0.000000	       +6.056273	       +6.056273
               0	              60	      +11.106968	      +15.515981	     -312.468863	     +336.548955	       -5.844841	       +0.000000	      -11.252755	  +370959.180679	       -0.559974	       -0.000000	       +6.982495	       +6.982495
               0	              61	      +11.106968	      +15.515981	     -312.468863	     +336.548955	       -5.844841	       +0.000000	      -12.906014	  -419123.653279	       -0.559974	       -0.000000	       +5.329237	       +5.329237
               0	              62	      +11.233375	      +15.642389	     -118.421764	     +217.861456	       -2.355245	       +0.000000	       -4.908378	    +5846.927277	       -0.556135	       -0.000000	      +92.176069	      +92.176069
               0	              63	      +11.233375	      +15.642389	     -118.421764	     +217.861456	       -2.355245	       +0.000000	       -4.875757	    -5464.710571	       -0.556135	       -0.000000	      +92.208690	      +92.208690
               0	              64	      +14.035511	      +18.444525	      -21.437985	     +190.335849	       -2.052644	       +0.000000	       +7.743437	    -2853.757775	       -0.482771	       -0.000000	     +174.588657	     +174.588657
               0	              65	      +14.035511	      +18.444525	      -21.437985	     +190.335849	       -2.052644	       +0.000000	       +7.928451	    +2718.195520	       -0.482771	       -0.000000	     +174.773671	     +174.773671
               0	              66	      +14.277797	      +18.686811	      -37.866548	     +160.587547	       -1.854484	       +0.000000	       +8.177637	   -11354.849145	       -0.477327	       -0.000000	     +129.044152	     +129.044152
               0	              67	      +14.277797	      +18.686811	      -37.866548	     +160.587547	       -1.854484	       +0.000000	       +8.137961	    +9429.531693	       -0.477327	       -0.000000	     +129.004476	     +129.004476
               0	              68	      +14.661947	      +19.070961	     -110.753574	     +223.725581	       -2.889568	       +0.000000	      +11.489592	   -20271.612801	       -0.468942	       -0.000000	     +121.572031	     +121.572031
               0	              69	      +14.661947	      +19.070961	     -110.753574	     +223.725581	       -2.889568	       +0.000000	      +11.722780	   +17090.800033	       -0.468942	       -0.000000	     +121.805219	     +121.805219
               0	              70	      +16.071643	      +20.480656	      +42.340978	     +173.185412	       -1.598398	       +0.000000	       -2.114064	    -1001.094746	       -0.440543	       -0.000000	     +211.813928	     +211.813928
               0	              71	      +16.071643	      +20.480656	      +42.340978	     +173.185412	       -1.598398	       +0.000000	       -2.068239	     +895.559391	       -0.440543	       -0.000000	     +211.859753	     +211.859753
               0	              72	      +18.061621	      +22.470634	     -261.937857	     +292.880986	       -3.164025	       +0.000000	       -1.582739	 -2154303.376654	       -0.405848	       -0.000000	      +26.196365	      +26.196365
               0	              73	      +18.061621	      +22.470634	     -261.937857	     +292.880986	       -3.164025	       +0.000000	       +0.405948	 +2068279.977433	       -0.405848	       -0.000000	      +28.185052	      +28.185052
               0	              74	      +18.238654	      +22.647668	     -253.387945	     +284.811322	       -3.100553	       +0.000000	       -0.216841	  +823050.347811	       -0.403024	       -0.000000	      +28.105984	      +28.105984
               0	              75	      +18.238654	      +22.647668	     -253.387945	     +284.811322	       -3.100553	       +0.000000	       -0.556883	  -735977.189140	       -0.403024	       -0.000000	      +27.765942	      +27.765942
               0	              76	      +20.596833	      +25.005846	      -92.098058	     +205.968034	       -2.223338	       +0.000000	       +2.526206	   -14761.304797	       -0.368841	       -0.000000	     +114.172844	     +114.172844
               0	              77	      +20.596833	      +25.005846	      -92.098058	     +205.968034	       -2.223338	       +0.000000	       +2.666384	   +17556.808833	       -0.368841	       -0.000000	     +114.313022	     +114.313022
               0	              78	      +20.823270	      +25.232283	     -118.538981	     +156.501205	       -1.947123	       +0.000000	       +1.258207	  +712487.194825	       -0.365861	       -0.000000	      +37.273307	      +37.273307
               0	              79	      +20.823270	      +25.232283	     -118.538981	     +156.501205	       -1.947123	       +0.000000	       +1.607406	  -807929.631662	       -0.365861	       -0.000000	      +37.622507	      +37.622507
               0	              80	      +20.838623	      +25.247637	     -118.088539	     +155.949361	       -1.944393	       +0.000000	       +1.193742	  +804721.860010	       -0.365661	       -0.000000	      +37.110170	      +37.110170
               0	              81	      +20.838623	      +25.247637	     -118.088539	     +155.949361	       -1.944393	       +0.000000	       +1.936105	  -711622.553120	       -0.365661	       -0.000000	      +37.852533	      +37.852533
               0	              82	      +21.148651	      +25.557664	      +97.303806	     +101.248284	       -1.092167	       +0.000000	       -1.304128	     +372.138149	       -0.361663	       -0.000000	     +196.155796	     +196.155796
               0	              83	      +21.148651	      +25.557664	      +97.303806	     +101.248284	       -1.092167	       +0.000000	       -1.294014	     -612.584791	       -0.361663	       -0.000000	     +196.165909	     +196.165909
               0	              84	      +21.801451	      +26.210465	      -54.360570	     +150.469372	       -1.557851	       +0.000000	       +1.960259	   +36612.698209	       -0.353524	       -0.000000	      +96.511210	      +96.511210
               0	              85	      +21.801451	      +26.210465	      -54.360570	     +150.469372	       -1.557851	       +0.000000	       +2.017298	   -34990.223610	       -0.353524	       -0.000000	      +96.568249	      +96.568249
