# Generated by LORRAX unknown at 2026-07-20 23:38:50 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	sex_head        	coh_head        	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.484467	      -65.484467	     -633.566542	     +590.516954	      -39.490288	       -2.208900	      -13.597077	      -14.728198	       -0.606220	       -0.801340	     -110.865151	     -110.865151
               0	               1	      -65.484467	      -65.484467	     -633.566542	     +590.516954	      -39.490288	       -2.208900	      -13.597077	      -14.728198	       -0.606220	       -0.801340	     -110.865151	     -110.865151
               0	               2	      -42.100571	      -42.100571	     -603.387236	     +585.164399	      -33.385723	       -2.208900	      -11.137826	      -13.643083	       -0.606220	       -0.801340	      -76.389469	      -76.389469
               0	               3	      -42.100571	      -42.100571	     -603.387236	     +585.164399	      -33.385723	       -2.208900	      -11.137826	      -13.643083	       -0.606220	       -0.801340	      -76.389469	      -76.389469
               0	               4	      -39.580049	      -39.580049	     -594.480713	     +577.769763	      -32.478260	       -2.208900	      -10.763020	      -13.380508	       -0.606220	       -0.801340	      -73.332737	      -73.332737
               0	               5	      -39.580049	      -39.580049	     -594.480713	     +577.769763	      -32.478260	       -2.208900	      -10.763020	      -13.380508	       -0.606220	       -0.801340	      -73.332737	      -73.332737
               0	               6	      -39.404857	      -39.404857	     -604.079149	     +588.254447	      -32.510928	       -2.208900	      -10.768393	      -13.469035	       -0.606220	       -0.801340	      -72.573058	      -72.573058
               0	               7	      -39.404857	      -39.404857	     -604.079149	     +588.254447	      -32.510928	       -2.208900	      -10.768393	      -13.469035	       -0.606220	       -0.801340	      -72.573058	      -72.573058
               0	               8	      -19.386943	      -19.386943	     -389.972762	     +383.717782	      -21.698542	       -2.208900	       -6.324088	      -10.566421	       -0.606220	       -0.801340	      -44.844031	      -44.844031
               0	               9	      -19.386943	      -19.386943	     -389.972762	     +383.717782	      -21.698542	       -2.208900	       -6.324088	      -10.566421	       -0.606220	       -0.801340	      -44.844031	      -44.844031
               0	              10	      -18.188235	      -18.188235	     -356.540829	     +348.392387	      -21.597819	       -2.208900	       -6.295616	      -10.731961	       -0.606220	       -0.801340	      -46.773838	      -46.773838
