# Generated by LORRAX unknown at 2026-07-20 23:19:39 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	               0	      -65.484467	      -61.075453	     -633.566542	     +591.604009	      -39.467486	       -2.208900	      -41.660988	  +138606.627717	       +0.160552	       +0.000000	     -123.091007	     -123.091007
               0	               1	      -65.484467	      -61.075453	     -633.566542	     +591.604009	      -39.467486	       -2.208900	      -41.748039	  -138603.419952	       +0.160552	       +0.000000	     -123.178057	     -123.178057
               0	               2	      -42.100571	      -37.691557	     -603.387236	     +584.115671	      -33.301635	       -2.208900	       +7.172322	 +5731549.684812	       +0.253277	       +0.000000	      -45.400877	      -45.400877
               0	               3	      -42.100571	      -37.691557	     -603.387236	     +584.115671	      -33.301635	       -2.208900	      +12.130128	 -5441622.730838	       +0.253277	       +0.000000	      -40.443072	      -40.443072
               0	               4	      -39.580049	      -35.171035	     -594.480713	     +577.561488	      -32.523733	       -2.208900	       +7.926869	 -5205273.720758	       +0.270091	       +0.000000	      -41.516090	      -41.516090
               0	               5	      -39.580049	      -35.171035	     -594.480713	     +577.561488	      -32.523733	       -2.208900	       +4.071387	 +4526849.838787	       +0.270091	       +0.000000	      -45.371572	      -45.371572
               0	               6	      -39.404857	      -34.995843	     -604.079149	     +587.428811	      -32.511041	       -2.208900	      +18.135967	 +1207594.587675	       +0.271343	       +0.000000	      -31.025411	      -31.025411
               0	               7	      -39.404857	      -34.995843	     -604.079149	     +587.428811	      -32.511041	       -2.208900	      +18.765612	  -808407.102103	       +0.271343	       +0.000000	      -30.395766	      -30.395766
               0	               8	      -19.386943	      -14.977929	     -389.972762	     +384.593457	      -21.626114	       -2.208900	       +6.054924	    +2280.973241	       +0.576924	       +0.000000	      -20.950495	      -20.950495
               0	               9	      -19.386943	      -14.977929	     -389.972762	     +384.593457	      -21.626114	       -2.208900	       +6.053042	    -2273.791525	       +0.576924	       +0.000000	      -20.952377	      -20.952377
               0	              10	      -18.188235	      -13.779222	     -356.540829	     +352.184894	      -21.557420	       -2.208900	       +6.930456	   +20034.685281	       +0.618644	       +0.000001	      -18.982899	      -18.982899
               0	              11	      -18.188235	      -13.779222	     -356.540829	     +352.184894	      -21.557420	       -2.208900	       +6.955781	   -22976.222028	       +0.618644	       +0.000001	      -18.957573	      -18.957573
               0	              12	      -10.891408	       -6.482395	     -392.608741	     +388.536744	      -17.375669	       -2.208900	       -5.225213	   -77298.427147	       +0.801380	       +0.000001	      -26.672879	      -10.374246
               0	              13	      -10.891408	       -6.482395	     -392.608741	     +388.536744	      -17.375669	       -2.208900	       -5.328401	   +75620.447507	       +0.801380	       +0.000001	      -26.776067	      -10.370320
               0	              14	       -7.880919	       -3.471905	     -488.232089	     +494.136579	      -18.153405	       -2.208900	       +2.332480	   +22933.586224	       +0.801403	       +0.000001	       -9.916435	       -9.282603
               0	              15	       -7.880919	       -3.471905	     -488.232089	     +494.136579	      -18.153405	       -2.208900	       +2.479621	  -118538.365006	       +0.801403	       +0.000001	       -9.769294	       -9.180960
               0	              16	       -7.821581	       -3.412567	     -483.643930	     +489.523366	      -18.001528	       -2.208900	       +2.383448	   -21492.777129	       +0.801512	       +0.000001	       -9.738644	       -9.169871
               0	              17	       -7.821581	       -3.412567	     -483.643930	     +489.523366	      -18.001528	       -2.208900	       +2.293232	   +94306.296422	       +0.801512	       +0.000001	       -9.828859	       -9.233419
               0	              18	       -7.130428	       -2.721415	     -294.918596	     +304.030445	      -15.639121	       -2.208900	       +4.891704	    +7395.054456	       +0.801643	       +0.000001	       -1.635567	       -0.342814
               0	              19	       -7.130428	       -2.721415	     -294.918596	     +304.030445	      -15.639121	       -2.208900	       +4.913450	    -3096.670164	       +0.801643	       +0.000001	       -1.613821	       -0.310648
               0	              20	       -6.799255	       -2.390241	     -453.270895	     +456.036230	      -17.717259	       -2.208900	       +1.896408	  +924192.871108	       +0.801545	       +0.000001	      -13.055517	      -10.616795
               0	              21	       -6.799255	       -2.390241	     -453.270895	     +456.036230	      -17.717259	       -2.208900	       +2.500876	 -1155806.183786	       +0.801545	       +0.000001	      -12.451049	      -10.177518
               0	              22	       -6.718285	       -2.309271	     -452.781367	     +455.662711	      -17.601776	       -2.208900	       +1.929537	 +1200750.915019	       +0.801626	       +0.000001	      -12.790894	      -10.523509
               0	              23	       -6.718285	       -2.309271	     -452.781367	     +455.662711	      -17.601776	       -2.208900	       +2.442756	  -988645.796119	       +0.801626	       +0.000001	      -12.277676	      -10.128825
               0	              24	       -5.398968	       -0.989955	     -402.917797	     +412.160622	      -16.397305	       -2.208900	      -47.383495	  +558176.021696	       +0.801363	       +0.000001	      -54.537975	      +15.643087
               0	              25	       -5.398968	       -0.989955	     -402.917797	     +412.160622	      -16.397305	       -2.208900	      -47.551402	  -542809.738413	       +0.801363	       +0.000001	      -54.705882	      +15.763821
               0	              26	       -2.591355	       +1.817659	     -410.014157	     +427.733322	      -11.090056	       +0.000000	       +5.542277	 -2919904.856430	       -0.801620	       -0.000001	      +12.171386	       +8.822471
               0	              27	       -2.591355	       +1.817659	     -410.014157	     +427.733322	      -11.090056	       +0.000000	       +6.681234	 +2919891.786913	       -0.801620	       -0.000001	      +13.310343	       +9.720460
               0	              28	       -2.515375	       +1.893639	     -408.313159	     +425.557908	      -11.013263	       +0.000000	       +5.587756	  +174362.603937	       -0.801540	       -0.000001	      +11.819242	       +8.578332
               0	              29	       -2.515375	       +1.893639	     -408.313159	     +425.557908	      -11.013263	       +0.000000	       +5.349171	  -183873.736071	       -0.801540	       -0.000001	      +11.580657	       +8.407549
               0	              30	       -2.347811	       +2.061203	     -391.701029	     +400.590064	      -11.097328	       +0.000000	       -3.225307	   +30572.539670	       -0.801475	       -0.000001	       -5.433601	       -4.793441
               0	              31	       -2.347811	       +2.061203	     -391.701029	     +400.590064	      -11.097328	       +0.000000	       -3.354022	   -58565.026231	       -0.801475	       -0.000001	       -5.562315	       -4.896782
               0	              32	       -2.339588	       +2.069426	     -389.765640	     +398.931031	      -11.103978	       +0.000000	       -2.902677	  +125873.286948	       -0.801490	       -0.000001	       -4.841264	       -4.325406
               0	              33	       -2.339588	       +2.069426	     -389.765640	     +398.931031	      -11.103978	       +0.000000	       -2.817965	   -89063.267843	       -0.801490	       -0.000001	       -4.756552	       -4.256075
               0	              34	       +1.083633	       +5.492647	     -423.689329	     +433.308862	       -6.156760	       +0.000000	       -4.499607	    +1002.762206	       -0.801357	       -0.000001	       -1.036834	       -0.221949
               0	              35	       +1.083633	       +5.492647	     -423.689329	     +433.308862	       -6.156760	       +0.000000	       -4.514067	     -843.998153	       -0.801357	       -0.000001	       -1.051293	       -0.225876
               0	              36	       +3.734850	       +8.143864	     -325.044173	     +339.801211	       -5.762110	       +0.000000	      -14.209225	     +366.493068	       -0.801595	       -0.000001	       -5.214298	       +1.560288
               0	              37	       +3.734850	       +8.143864	     -325.044173	     +339.801211	       -5.762110	       +0.000000	      -14.174675	     -868.127297	       -0.801595	       -0.000001	       -5.179747	       +1.513095
               0	              38	       +3.946919	       +8.355933	     -128.255799	     +153.938819	       -3.817845	       +0.000000	      +75.196176	     -834.726097	       -0.801587	       -0.000001	      +97.061352	      +10.393078
               0	              39	       +3.946919	       +8.355933	     -128.255799	     +153.938819	       -3.817845	       +0.000000	      +75.034174	     +483.799468	       -0.801587	       -0.000001	      +96.899349	      +10.414219
               0	              40	       +4.785055	       +9.194069	      -15.930532	      +48.014825	       -2.424951	       +0.000000	       -6.525108	    -2808.941628	       -0.801633	       -0.000001	      +23.134234	       -1.148264
               0	              41	       +4.785055	       +9.194069	      -15.930532	      +48.014825	       -2.424951	       +0.000000	       -6.513120	    +2617.450402	       -0.801633	       -0.000001	      +23.146222	       -1.185958
               0	              42	       +5.503172	       +9.912186	     -345.077481	     +360.861731	       -5.752252	       +0.000000	       -4.507900	   -18124.362727	       -0.801513	       -0.000001	       +5.524097	       +5.525474
               0	              43	       +5.503172	       +9.912186	     -345.077481	     +360.861731	       -5.752252	       +0.000000	       -4.473994	   +18778.363960	       -0.801513	       -0.000001	       +5.558004	       +5.562654
               0	              44	       +5.579950	       +9.988964	     -343.542273	     +359.276853	       -5.747146	       +0.000000	       -4.497305	   +15404.300121	       -0.801365	       -0.000001	       +5.490129	       +5.491801
               0	              45	       +5.579950	       +9.988964	     -343.542273	     +359.276853	       -5.747146	       +0.000000	       -4.523489	   -13839.879259	       -0.801365	       -0.000001	       +5.463946	       +5.465718
               0	              46	       +7.479930	      +11.888944	     -318.712447	     +343.442537	       -5.589779	       +0.000000	       -6.451089	 -1470332.243822	       -0.698271	       -0.000001	      +12.689223	      +12.689223
               0	              47	       +7.479930	      +11.888944	     -318.712447	     +343.442537	       -5.589779	       +0.000000	       -5.788891	 +1455656.662508	       -0.698271	       -0.000001	      +13.351420	      +13.351420
               0	              48	       +7.497363	      +11.906377	     -319.930043	     +344.630943	       -5.594893	       +0.000000	       -6.062340	 -1079597.471132	       -0.697443	       -0.000001	      +13.043667	      +13.043667
               0	              49	       +7.497363	      +11.906377	     -319.930043	     +344.630943	       -5.594893	       +0.000000	       -5.758849	 +1087634.532996	       -0.697443	       -0.000001	      +13.347158	      +13.347158
               0	              50	       +7.654692	      +12.063706	     -261.961779	     +289.722974	       -5.656184	       +0.000000	      -14.482376	  +367051.660492	       -0.690059	       -0.000001	       +7.622635	       +7.622635
               0	              51	       +7.654692	      +12.063706	     -261.961779	     +289.722974	       -5.656184	       +0.000000	      -14.892857	  -361383.112301	       -0.690059	       -0.000001	       +7.212154	       +7.212154
               0	              52	      +10.761649	      +15.170663	     -298.264686	     +321.013222	       -5.287493	       +0.000000	       -3.324078	 -1036388.169879	       -0.570736	       -0.000000	      +14.136964	      +14.136964
               0	              53	      +10.761649	      +15.170663	     -298.264686	     +321.013222	       -5.287493	       +0.000000	       -3.215327	 +1040331.574060	       -0.570736	       -0.000000	      +14.245715	      +14.245715
               0	              54	      +10.776236	      +15.185250	     -298.403096	     +321.190144	       -5.283729	       +0.000000	       -3.185639	  +767753.607205	       -0.570273	       -0.000000	      +14.317680	      +14.317680
               0	              55	      +10.776236	      +15.185250	     -298.403096	     +321.190144	       -5.283729	       +0.000000	       -3.372530	  -770148.607250	       -0.570273	       -0.000000	      +14.130790	      +14.130790
               0	              56	      +10.850507	      +15.259521	     -342.313898	     +364.542270	       -3.287718	       +0.000000	       -4.799894	    +1001.863386	       -0.567927	       -0.000000	      +14.140760	      +14.140760
               0	              57	      +10.850507	      +15.259521	     -342.313898	     +364.542270	       -3.287718	       +0.000000	       -4.828604	    -1010.856105	       -0.567927	       -0.000000	      +14.112050	      +14.112050
               0	              58	      +11.100027	      +15.509040	     -312.924111	     +336.801606	       -5.811108	       +0.000000	       -1.142155	  -124716.962881	       -0.560186	       -0.000000	      +16.924232	      +16.924232
               0	              59	      +11.100027	      +15.509040	     -312.924111	     +336.801606	       -5.811108	       +0.000000	       -1.336467	  +108149.065063	       -0.560186	       -0.000000	      +16.729920	      +16.729920
               0	              60	      +11.106968	      +15.515981	     -312.468863	     +336.461015	       -5.833822	       +0.000000	       -1.213347	   -96065.789571	       -0.559974	       -0.000000	      +16.944983	      +16.944983
               0	              61	      +11.106968	      +15.515981	     -312.468863	     +336.461015	       -5.833822	       +0.000000	       -1.427440	  +112758.214729	       -0.559974	       -0.000000	      +16.730890	      +16.730890
               0	              62	      +11.233375	      +15.642389	     -118.421764	     +215.553501	       -2.346166	       +0.000000	       +0.612593	     +121.668707	       -0.556135	       -0.000000	      +95.398165	      +95.398165
               0	              63	      +11.233375	      +15.642389	     -118.421764	     +215.553501	       -2.346166	       +0.000000	       +0.691074	     +212.536061	       -0.556135	       -0.000000	      +95.476646	      +95.476646
               0	              64	      +14.035511	      +18.444525	      -21.437985	     +189.538987	       -2.045148	       +0.000000	      +13.025242	   -11357.952509	       -0.482771	       -0.000000	     +179.081096	     +179.081096
               0	              65	      +14.035511	      +18.444525	      -21.437985	     +189.538987	       -2.045148	       +0.000000	      +13.009717	   +11940.836046	       -0.482771	       -0.000000	     +179.065571	     +179.065571
