# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 62

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.32          0.00 B        0          0.00 B
    2.57          0.00 B        0          0.00 B
    2.83          0.00 B        4       22.52 KiB
    3.08          0.00 B        4       22.52 KiB
    3.33          0.00 B        4        7.54 KiB
    3.58          0.00 B        5       28.13 MiB
    3.83          0.00 B        6        1.35 GiB
    4.08          0.00 B        8        1.35 GiB
    4.33          0.00 B       12        1.35 GiB
    4.58          0.00 B       17        1.35 GiB
    4.83          0.00 B       17        1.35 GiB
    5.08          0.00 B       17        1.35 GiB
    5.33          0.00 B       17        1.35 GiB
    5.58          0.00 B       17        1.35 GiB
    5.83          0.00 B       19        1.39 GiB
    6.08          0.00 B       15       28.14 MiB
    6.34          0.00 B       15       28.14 MiB
    6.59          0.00 B       15       28.14 MiB
    6.84          0.00 B       15       28.14 MiB
    7.09          0.00 B       15       28.14 MiB
    7.34          0.00 B       15       28.14 MiB
    7.59          0.00 B       15       28.14 MiB
    7.84          0.00 B       19       42.23 MiB
    8.09          0.00 B       22      126.60 MiB
    8.34          0.00 B       25      168.79 MiB
    8.59          0.00 B       30        1.39 GiB
    8.84          0.00 B       31        2.71 GiB
    9.09          0.00 B       31        1.40 GiB
    9.34          0.00 B       31        1.40 GiB
    9.59          0.00 B       32        1.41 GiB
    9.84          0.00 B       34        1.43 GiB
   10.09          0.00 B       38        1.45 GiB
   10.34          0.00 B       26       28.15 MiB
   10.59          0.00 B       25       28.15 MiB
   10.85          0.00 B       27       28.17 MiB
   11.10          0.00 B       28      478.16 MiB
   11.35          0.00 B       28      478.16 MiB
   11.60          0.00 B       28      478.16 MiB
   11.85          0.00 B       28      478.16 MiB
   12.10          0.00 B       39      478.17 MiB
   12.35          0.00 B       38      478.17 MiB
   12.60          0.00 B       42      717.23 MiB
   12.85          0.00 B       44      717.23 MiB
   13.10          0.00 B       46      843.79 MiB
   13.35          0.00 B       46      731.29 MiB
   13.60          0.00 B       48      731.30 MiB
   13.85          0.00 B       48      731.30 MiB
   14.10          0.00 B       48      731.30 MiB
   14.35          0.00 B       49      731.53 MiB
   14.60          0.00 B       50      731.77 MiB
   14.85          0.00 B       52      732.24 MiB
   15.10          0.00 B       53      732.47 MiB
   15.36          0.00 B       53      732.71 MiB
   15.61          0.00 B       53      732.71 MiB
   15.86          0.00 B       57      734.20 MiB
   16.41          0.00 B       18       13.00 KiB
   17.02          0.00 B       18       13.00 KiB
   17.27          0.00 B       18       13.00 KiB
   17.52          0.00 B       18       13.00 KiB
   17.77          0.00 B       18       13.00 KiB
   18.02          0.00 B       18       13.00 KiB
   18.17          0.00 B       18       13.00 KiB
