# memory_timeline.txt — live-array sampler output
# Interval: 0.050s  |  Samples: 562

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.28          0.00 B        0          0.00 B
    2.33          0.00 B        0          0.00 B
    2.38          0.00 B        0          0.00 B
    2.43          0.00 B        0          0.00 B
    2.48          0.00 B        0          0.00 B
    2.53          0.00 B        0          0.00 B
    2.58          0.00 B        0          0.00 B
    2.63          0.00 B        0          0.00 B
    2.69          0.00 B        0          0.00 B
    2.74          0.00 B        0          0.00 B
    2.79          0.00 B        0          0.00 B
    2.84          0.00 B        0          0.00 B
    2.89          0.00 B        0          0.00 B
    2.94          0.00 B        0          0.00 B
    2.99          0.00 B        0          0.00 B
    3.04          0.00 B        0          0.00 B
    3.09          0.00 B        0          0.00 B
    3.15          0.00 B        0          0.00 B
    3.24          0.00 B        0          0.00 B
    3.31          0.00 B        0          0.00 B
    3.36          0.00 B        0          0.00 B
    3.41          0.00 B        0          0.00 B
    3.46          0.00 B        0          0.00 B
    3.51          0.00 B        0          0.00 B
    3.56          0.00 B        1          8.00 B
    3.61          0.00 B        1          8.00 B
    3.66          0.00 B        1          8.00 B
    3.71          0.00 B        1          8.00 B
    3.76          0.00 B        1          8.00 B
    3.81          0.00 B        3        192.00 B
    3.86          0.00 B        3        192.00 B
    3.91          0.00 B        3        192.00 B
    3.96          0.00 B        3        192.00 B
    4.01          0.00 B        3        192.00 B
    4.06          0.00 B        3        192.00 B
    4.11          0.00 B        3        192.00 B
    4.16          0.00 B        3        192.00 B
    4.21          0.00 B        3        192.00 B
    4.26          0.00 B        3        192.00 B
    4.31          0.00 B        3        192.00 B
    4.36          0.00 B        3        192.00 B
    4.41          0.00 B        3        192.00 B
    4.46          0.00 B        3        192.00 B
    4.51          0.00 B        3        192.00 B
    4.56          0.00 B        2         64.00 B
    4.61          0.00 B        1         32.00 B
    4.66          0.00 B        3         48.00 B
    4.71          0.00 B        5        136.00 B
    4.76          0.00 B        4         72.00 B
    4.81          0.00 B        2         24.00 B
    4.86          0.00 B        2         24.00 B
    4.91          0.00 B        2         24.00 B
    4.96          0.00 B        2         24.00 B
    5.01          0.00 B        2         24.00 B
    5.06          0.00 B        2         24.00 B
    5.11          0.00 B        2         24.00 B
    5.16          0.00 B        2         24.00 B
    5.21          0.00 B        0          0.00 B
    5.87          0.00 B        0          0.00 B
    5.92          0.00 B        0          0.00 B
    5.97          0.00 B        2         24.00 B
    6.02          0.00 B        2         24.00 B
    6.07          0.00 B        2         24.00 B
    6.12          0.00 B        2         24.00 B
    6.17          0.00 B        3         40.00 B
    6.22          0.00 B        4       14.06 MiB
    6.27          0.00 B        4       28.13 MiB
    6.32          0.00 B        4       28.13 MiB
    6.37          0.00 B        4       28.13 MiB
    6.42          0.00 B        4       28.13 MiB
    6.47          0.00 B        4       28.13 MiB
    6.52          0.00 B        4       28.13 MiB
    6.57          0.00 B        5        1.02 GiB
    6.62          0.00 B        6        1.02 GiB
    6.67          0.00 B        6        1.02 GiB
    6.72          0.00 B        7        1.02 GiB
    6.77          0.00 B        7        1.02 GiB
    6.82          0.00 B        7        1.02 GiB
    6.87          0.00 B        8        1.02 GiB
    6.92          0.00 B        8        1.02 GiB
    6.97          0.00 B       10        1.02 GiB
    7.02          0.00 B       11        1.02 GiB
    7.07          0.00 B       11        1.02 GiB
    7.12          0.00 B       12        1.02 GiB
    7.18          0.00 B       16        1.02 GiB
    7.23          0.00 B       16        1.02 GiB
    7.28          0.00 B       16        1.02 GiB
    7.33          0.00 B       16        1.02 GiB
    7.38          0.00 B       16        1.02 GiB
    7.43          0.00 B       16        1.02 GiB
    7.48          0.00 B       16        1.02 GiB
    7.53          0.00 B       16        1.02 GiB
    7.58          0.00 B       16        1.02 GiB
    7.63          0.00 B       16        1.02 GiB
    7.68          0.00 B       16        1.02 GiB
    7.73          0.00 B       16        1.02 GiB
    7.78          0.00 B       18        1.06 GiB
    7.83          0.00 B       17        1.04 GiB
    7.89          0.00 B       14       28.14 MiB
    7.94          0.00 B       15       28.14 MiB
    7.99          0.00 B       15       28.14 MiB
    8.04          0.00 B       17       28.14 MiB
    8.09          0.00 B       17       28.14 MiB
    8.14          0.00 B       17       42.20 MiB
    8.19          0.00 B       18       42.20 MiB
    8.24          0.00 B       18       42.20 MiB
    8.29          0.00 B       20       84.39 MiB
    8.34          0.00 B       20       84.39 MiB
    8.39          0.00 B       22      196.89 MiB
    8.44          0.00 B       22      196.89 MiB
    8.49          0.00 B       22      196.89 MiB
    8.54          0.00 B       22      196.89 MiB
    8.59          0.00 B       22      196.89 MiB
    8.64          0.00 B       22      196.89 MiB
    8.69          0.00 B       24      196.89 MiB
    8.74          0.00 B       25      196.89 MiB
    8.79          0.00 B       25      196.89 MiB
    8.84          0.00 B       24      196.89 MiB
    8.89          0.00 B       25      196.89 MiB
    8.94          0.00 B       25      196.89 MiB
    9.08          0.00 B       22      196.89 MiB
    9.14          0.00 B       22      196.89 MiB
    9.19          0.00 B       22      196.89 MiB
    9.24          0.00 B       22      196.89 MiB
