# Sigma frequency debug decomposition (all energies in eV)
# k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    

k-point 0:
k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    
              0		              0		        -12.333		         -5.697		          2.448		         -3.657		         -8.350		        -14.959		          2.215		            nan		            nan		          0.001		            nan
              0		              1		        -12.333		         -5.697		          2.448		         -3.657		         -8.350		        -14.959		          2.215		            nan		            nan		          0.001		            nan
              0		              2		         -0.386		          6.249		         18.106		         -2.889		         -7.630		         -9.610		          0.253		          3.059		         -2.725		          0.001		          0.335
              0		              3		         -0.386		          6.249		         18.106		         -2.889		         -7.630		         -9.611		          0.254		          3.059		         -2.724		          0.001		          0.336
              0		              4		         -0.338		          6.297		         18.089		         -2.765		         -7.540		         -9.197		          0.078		          2.922		         -2.774		          0.001		          0.148
              0		              5		         -0.338		          6.297		         18.089		         -2.977		         -7.692		         -9.893		          0.382		          3.148		         -2.696		          0.002		          0.454
              0		              6		         -0.338		          6.297		         18.089		         -2.985		         -7.699		         -9.918		          0.384		          3.154		         -2.698		          0.001		          0.457
              0		              7		         -0.338		          6.297		         18.089		         -2.830		         -7.590		         -9.421		          0.174		          2.994		         -2.751		          0.001		          0.245
              0		              8		          2.163		          8.798		         17.496		         -2.088		         -7.399		         -4.765		         -3.381		          1.014		         -4.852		          0.000		         -3.837
              0		              9		          2.163		          8.798		         17.496		         -2.088		         -7.399		         -4.765		         -3.382		          1.014		         -4.852		          0.000		         -3.838
              0		             10		          2.198		          8.833		         17.472		         -2.098		         -7.399		         -4.791		         -3.358		          1.020		         -4.841		          0.000		         -3.820
              0		             11		          2.198		          8.833		         17.472		         -2.104		         -7.403		         -4.810		         -3.350		          1.026		         -4.838		          0.001		         -3.812
              0		             12		          2.198		          8.833		         17.472		         -2.079		         -7.406		         -4.736		         -3.407		          1.005		         -4.878		          0.000		         -3.872
              0		             13		          2.198		          8.833		         17.472		         -2.069		         -7.406		         -4.707		         -3.423		          0.996		         -4.884		          0.000		         -3.888
              0		             14		          2.994		          9.629		         19.948		         -2.148		         -7.529		         -4.872		         -3.390		          0.996		         -5.024		          0.001		         -4.027
              0		             15		          2.994		          9.629		         19.948		         -2.148		         -7.529		         -4.872		         -3.390		          0.996		         -5.024		          0.001		         -4.027
              0		             16		          7.379		         14.015		         23.945		         -1.896		         -6.776		         -3.540		         -3.250		          0.527		         -5.112		          0.001		         -4.584
              0		             17		          7.379		         14.015		         23.945		         -1.875		         -6.788		         -3.508		         -3.272		          0.522		         -5.135		          0.001		         -4.613
              0		             18		          7.379		         14.015		         23.945		         -1.905		         -6.769		         -3.555		         -3.235		          0.529		         -5.094		          0.001		         -4.564
              0		             19		          7.379		         14.015		         23.945		         -1.903		         -6.773		         -3.554		         -3.243		          0.529		         -5.105		          0.001		         -4.575
              0		             20		          7.608		         14.243		         15.395		         -2.357		         -7.174		         -5.843		         -2.147		          1.149		         -4.757		          0.000		         -3.607
              0		             21		          7.608		         14.243		         15.395		         -2.357		         -7.174		         -5.843		         -2.147		          1.149		         -4.757		          0.000		         -3.607
              0		             22		         10.875		         17.511		         21.623		         -1.868		         -6.849		         -3.800		         -3.017		            nan		            nan		         -0.000		            nan
              0		             23		         10.875		         17.511		         21.623		         -1.868		         -6.850		         -3.799		         -3.018		            nan		            nan		         -0.000		            nan
              0		             24		         10.886		         17.521		         21.617		         -1.755		         -6.701		         -3.426		         -3.088		            nan		            nan		          0.000		            nan
              0		             25		         10.886		         17.521		         21.617		         -1.885		         -6.865		         -3.836		         -3.022		            nan		            nan		         -0.000		            nan
              0		             26		         10.886		         17.521		         21.617		         -1.837		         -6.813		         -3.679		         -3.061		            nan		            nan		          0.000		            nan
              0		             27		         10.886		         17.521		         21.617		         -1.997		         -7.025		         -4.265		         -2.897		            nan		            nan		         -0.000		            nan
              0		             28		         15.057		         21.692		         20.063		         -1.763		         -6.525		         -3.293		         -2.945		            nan		            nan		          0.000		            nan
              0		             29		         15.057		         21.692		         20.063		         -1.763		         -6.525		         -3.293		         -2.945		            nan		            nan		          0.000		            nan
              0		             30		         22.746		         29.381		         45.982		         -1.549		         -5.009		         -2.235		         -2.256		            nan		            nan		          0.000		            nan
              0		             31		         22.746		         29.381		         45.982		         -1.549		         -5.010		         -2.235		         -2.257		            nan		            nan		          0.000		            nan
              0		             32		         22.747		         29.383		         45.984		         -1.558		         -5.056		         -2.267		         -2.269		            nan		            nan		          0.001		            nan
              0		             33		         22.747		         29.383		         45.984		         -1.564		         -5.067		         -2.290		         -2.261		            nan		            nan		          0.001		            nan
              0		             34		         22.747		         29.383		         45.984		         -1.524		         -4.978		         -2.148		         -2.275		            nan		            nan		          0.000		            nan
              0		             35		         22.747		         29.383		         45.984		         -1.549		         -5.021		         -2.232		         -2.258		            nan		            nan		         -0.000		            nan
              0		             36		         23.826		         30.462		         50.998		         -1.320		         -4.221		         -1.620		         -2.014		            nan		            nan		          0.001		            nan
              0		             37		         23.826		         30.462		         50.998		         -1.307		         -4.259		         -1.600		         -2.033		            nan		            nan		          0.001		            nan
              0		             38		         23.826		         30.462		         50.998		         -1.311		         -4.244		         -1.606		         -2.025		            nan		            nan		          0.001		            nan
