# Generated by LORRAX 0.1.0 at 2026-07-08 09:22:44 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	               0	       -5.697472	      -12.332784	       +2.448449	       +3.318391	      -17.406554	       -2.590893	       +7.185792	       +0.000004	       +1.249151	       +0.000001	       -4.453922	       -4.947653
               0	               1	       -5.697472	      -12.332784	       +2.448449	       +3.318391	      -17.406554	       -2.590893	       +7.185792	       -0.000002	       +1.249151	       +0.000001	       -4.453923	       -4.947652
               0	               2	       +6.249019	       -0.386293	      +18.105519	       +5.317895	      -12.901092	       -2.590893	       +1.366095	       +0.004486	       +1.249112	       +0.000001	      +11.888417	      +10.647601
               0	               3	       +6.249019	       -0.386293	      +18.105519	       +5.317895	      -12.901092	       -2.590893	       +1.366118	       -0.000118	       +1.249112	       +0.000001	      +11.888439	      +10.647527
               0	               4	       +6.296980	       -0.338332	      +18.088769	       +5.309107	      -12.875317	       -2.590893	       +1.345646	       -0.003470	       +1.249148	       +0.000001	      +11.868205	      +10.643596
               0	               5	       +6.296980	       -0.338332	      +18.088769	       +5.309107	      -12.875317	       -2.590893	       +1.343814	       +0.002207	       +1.249148	       +0.000001	      +11.866373	      +10.642299
               0	               6	       +6.296980	       -0.338332	      +18.088769	       +5.309107	      -12.875317	       -2.590893	       +1.344034	       -0.003662	       +1.249148	       +0.000001	      +11.866593	      +10.642341
               0	               7	       +6.296980	       -0.338332	      +18.088769	       +5.309107	      -12.875317	       -2.590893	       +1.345353	       +0.001116	       +1.249148	       +0.000001	      +11.867912	      +10.643470
               0	               8	       +8.798077	       +2.162765	      +17.495541	       +2.214852	       -5.729285	       +0.000000	       -3.717921	       -0.000001	       -1.249151	       -0.000001	      +10.263187	       +9.943623
               0	               9	       +8.798077	       +2.162765	      +17.495541	       +2.214852	       -5.729285	       +0.000000	       -3.717930	       +0.000007	       -1.249151	       -0.000001	      +10.263179	       +9.943616
               0	              10	       +8.833005	       +2.197693	      +17.471518	       +2.199620	       -5.708551	       +0.000000	       -3.735350	       -0.000010	       -1.249167	       -0.000001	      +10.227237	       +9.922989
               0	              11	       +8.833005	       +2.197693	      +17.471518	       +2.199620	       -5.708551	       +0.000000	       -3.735289	       -0.000007	       -1.249167	       -0.000001	      +10.227298	       +9.923055
               0	              12	       +8.833005	       +2.197693	      +17.471518	       +2.199620	       -5.708551	       +0.000000	       -3.735813	       +0.000020	       -1.249167	       -0.000001	      +10.226774	       +9.922623
