
 frequency_dependence   0

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form  -2

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  0  0  0  0 -1  0 -1  0
 mtrx03 =  0 -1  0 -1  0  0  0  0 -1
 mtrx04 =  0  0 -1  0 -1  0 -1  0  0
 mtrx05 =  0  1  0  0  0  1  1  0  0
 mtrx06 =  0  0  1  1  0  0  0  1  0
 mtrx07 = -1  0  0  0 -1  0  0  0 -1
 mtrx08 =  1  0  0  0  0  1  0  1  0
 mtrx09 =  0  1  0  1  0  0  0  0  1
 mtrx10 =  0  0  1  0  1  0  1  0  0
 mtrx11 =  0 -1  0  0  0 -1 -1  0  0
 mtrx12 =  0  0 -1 -1  0  0  0 -1  0
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -5.697469701   -5.697469701  -17.485304569   12.907182948   -9.317655035  -13.895776655    5.102407533   -8.793369122   -8.793369122   -8.949675992  -13.527797613   -8.425390080   -8.425390080    1.000000000
   2   -5.697469701   -5.697469701  -17.485304569   12.907182948   -9.317655035  -13.895776655    5.102407533   -8.793369122   -8.793369122   -8.949675992  -13.527797613   -8.425390080   -8.425390080    1.000000000
   3    6.249016478    6.249016478  -12.951089377    8.950441355   -9.831548700  -13.832196721   17.951319755    4.119123034    4.119123034   -8.623649699  -12.624297721    5.327022034    5.327022034    1.000000000
   4    6.249016478    6.249016478  -12.951089377    8.950441355   -9.831548700  -13.832196721   17.951319755    4.119123034    4.119123034   -8.623649699  -12.624297721    5.327022034    5.327022034    1.000000000
   5    6.296977283    6.296977283  -12.925151391    8.928866801   -9.828720534  -13.825005124   17.994296703    4.169291579    4.169291579   -8.618435759  -12.614720349    5.379576353    5.379576353    1.000000000
   6    6.296977283    6.296977283  -12.925151391    8.928866801   -9.828720534  -13.825005124   17.994296703    4.169291579    4.169291579   -8.618435759  -12.614720349    5.379576353    5.379576353    1.000000000
   7    6.296977515    6.296977515  -12.925151391    8.928866801   -9.828720534  -13.825005124   17.994296703    4.169291579    4.169291579   -8.618435759  -12.614720349    5.379576353    5.379576353    1.000000000
   8    6.296977515    6.296977515  -12.925151391    8.928866801   -9.828720534  -13.825005124   17.994296703    4.169291579    4.169291579   -8.618435759  -12.614720349    5.379576353    5.379576353    1.000000000
   9    8.798073587    8.798073587   -5.753525463    3.427544108   -9.061609405  -11.387590760   19.126691369    7.739100609    7.739100609   -7.959953400  -10.285934755    8.840756614    8.840756614    1.000000000
  10    8.798073587    8.798073587   -5.753525463    3.427544108   -9.061609405  -11.387590760   19.126691369    7.739100609    7.739100609   -7.959953400  -10.285934755    8.840756614    8.840756614    1.000000000
