
 frequency_dependence   3

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form   2
 finite_difference_spacing  1.000000

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  0  0  0  0 -1  0 -1  0
 mtrx03 =  0 -1  0 -1  0  0  0  0 -1
 mtrx04 =  0  0 -1  0 -1  0 -1  0  0
 mtrx05 =  0  1  0  0  0  1  1  0  0
 mtrx06 =  0  0  1  1  0  0  0  1  0
 mtrx07 = -1  0  0  0 -1  0  0  0 -1
 mtrx08 =  1  0  0  0  0  1  0  1  0
 mtrx09 =  0  1  0  1  0  0  0  0  1
 mtrx10 =  0  0  1  0  1  0  1  0  0
 mtrx11 =  0 -1  0  0  0 -1 -1  0  0
 mtrx12 =  0  0 -1 -1  0  0  0 -1  0
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -5.697469701   -5.697469701  -17.485304569   13.915859631   -6.784028886  -10.353473823    5.102407533   -5.251066290   -5.429806790   -6.784028886  -10.353473823   -5.251066290   -5.429806790    0.599598714
   2   -5.697469701   -5.697469701  -17.485304569   13.915859631   -6.784028886  -10.353473823    5.102407533   -5.251066290   -5.429806790   -6.784028886  -10.353473823   -5.251066290   -5.429806790    0.599598714
   3    6.249016478    6.249016478  -12.951089377    9.468902996   -8.106065022  -11.588251402   17.951319755    6.363068353    6.338076019   -8.106065022  -11.588251402    6.363068353    6.338076019    0.780868718
   4    6.249016478    6.249016478  -12.951089377    9.468902996   -8.106065022  -11.588251402   17.951319755    6.363068353    6.338076019   -8.106065022  -11.588251402    6.363068353    6.338076019    0.780868718
   5    6.296977283    6.296977283  -12.925151391    9.455450956   -8.113842256  -11.583542691   17.994296703    6.410754011    6.385846038   -8.113842256  -11.583542691    6.410754011    6.385846038    0.781080251
   6    6.296977283    6.296977283  -12.925151391    9.455450956   -8.113842256  -11.583542691   17.994296703    6.410754011    6.385846038   -8.113842256  -11.583542691    6.410754011    6.385846038    0.781080251
   7    6.296977515    6.296977515  -12.925151391    9.455450956   -8.113842256  -11.583542691   17.994296703    6.410754011    6.385846089   -8.113842256  -11.583542691    6.410754011    6.385846089    0.781080251
   8    6.296977515    6.296977515  -12.925151391    9.455450956   -8.113842256  -11.583542691   17.994296703    6.410754011    6.385846089   -8.113842256  -11.583542691    6.410754011    6.385846089    0.781080251
   9    8.798073587    8.798073587   -5.753525463    4.497883648   -8.209222404   -9.464864220   19.126691369    9.661827149    9.464805548   -8.209222404   -9.464864220    9.661827149    9.464805548    0.771900679
  10    8.798073587    8.798073587   -5.753525463    4.497883648   -8.209222404   -9.464864220   19.126691369    9.661827149    9.464805548   -8.209222404   -9.464864220    9.661827149    9.464805548    0.771900679
