# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.78111523E+00  -9.18367045E+00   5.97444781E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.15543037E+00   1.22023060E+00   6.48002333E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.27169911E-01  -1.73212426E-01   5.39574854E-02
      2  -4.54340871E-01  -3.46426715E-01   1.07914156E-01
      3  -9.04007650E-01  -5.53311025E-01   3.50696625E-01
      4  -1.35367547E+00  -7.60197140E-01   5.93478330E-01
      5  -1.99784853E+00  -1.01884139E+00   9.79007145E-01
      6  -2.64201929E+00  -1.27748160E+00   1.36453770E+00
      7  -3.55442959E+00  -1.49686272E+00   2.05756687E+00
      8  -4.46683804E+00  -1.71624037E+00   2.75059767E+00
      9  -4.57193196E+00  -2.64123645E+00   1.93069551E+00
     10  -4.67702592E+00  -3.56623288E+00   1.11079304E+00
     11  -4.79995849E+00  -4.00574508E+00   7.94213411E-01
     12  -4.92289097E+00  -4.44525730E+00   4.77633670E-01
     13  -5.13081509E+00  -4.60015619E+00   5.30658895E-01
     14  -5.33873880E+00  -4.75505270E+00   5.83686091E-01
     15  -5.54440601E+00  -4.99885348E+00   5.45552531E-01
     16  -5.75007350E+00  -5.24265549E+00   5.07418015E-01
     17  -5.91734519E+00  -5.40759348E+00   5.09751711E-01
     18  -6.08461768E+00  -5.57253095E+00   5.12086730E-01
     19  -6.24135359E+00  -5.68529424E+00   5.56059354E-01
     20  -6.39808939E+00  -5.79805862E+00   6.00030771E-01
     21  -6.49345590E+00  -5.92472660E+00   5.68729302E-01
     22  -6.58882242E+00  -6.05139457E+00   5.37427849E-01
     23  -6.74121735E+00  -6.16368063E+00   5.77536724E-01
     24  -6.89361228E+00  -6.27596669E+00   6.17645584E-01
     25  -6.96686112E+00  -6.36929051E+00   5.97570611E-01
     26  -7.04010960E+00  -6.46261458E+00   5.77495023E-01
     27  -7.11180151E+00  -6.55573715E+00   5.56064367E-01
     28  -7.18349374E+00  -6.64885953E+00   5.34634211E-01
     29  -7.24811751E+00  -6.72225355E+00   5.25863964E-01
     30  -7.31274133E+00  -6.79564757E+00   5.17093764E-01
     31  -7.40097425E+00  -6.85414573E+00   5.46828522E-01
     32  -7.48920713E+00  -6.91264390E+00   5.76563239E-01
     33  -7.55729801E+00  -6.97484587E+00   5.82452141E-01
     34  -7.62538890E+00  -7.03704760E+00   5.88341303E-01
     35  -7.68350468E+00  -7.08183748E+00   6.01667204E-01
     36  -7.74162051E+00  -7.12662667E+00   6.14993848E-01
     37  -7.79182496E+00  -7.17405226E+00   6.17772694E-01
     38  -7.84202948E+00  -7.22148001E+00   6.20549465E-01
     39  -7.90099867E+00  -7.27604507E+00   6.24953602E-01
     40  -7.95996772E+00  -7.33061052E+00   6.29357209E-01
     41  -7.99894674E+00  -7.37738606E+00   6.21560687E-01
     42  -8.03792580E+00  -7.42416147E+00   6.13764329E-01
     43  -8.08272778E+00  -7.47092807E+00   6.11799715E-01
     44  -8.12752971E+00  -7.51769467E+00   6.09835044E-01
     45  -8.16736541E+00  -7.55478043E+00   6.12584984E-01
     46  -8.20720104E+00  -7.59186595E+00   6.15335090E-01
     47  -8.23371792E+00  -7.61934862E+00   6.14369297E-01
     48  -8.26023528E+00  -7.64683205E+00   6.13403236E-01
     49  -8.30908980E+00  -7.67893881E+00   6.30150988E-01
     50  -8.35794428E+00  -7.71104554E+00   6.46898734E-01
     51  -8.39456596E+00  -7.74035049E+00   6.54215470E-01
     52  -8.43118768E+00  -7.76965539E+00   6.61532297E-01
     53  -8.46424571E+00  -7.79875700E+00   6.65488704E-01
     54  -8.49730371E+00  -7.82785867E+00   6.69445040E-01
     55  -8.51966420E+00  -7.85625348E+00   6.63410718E-01
     56  -8.54202468E+00  -7.88464842E+00   6.57376254E-01
     57  -8.56407521E+00  -7.90462113E+00   6.59454077E-01
     58  -8.58612578E+00  -7.92459389E+00   6.61531887E-01
     59  -8.60590533E+00  -7.94401688E+00   6.61888450E-01
     60  -8.62568486E+00  -7.96343985E+00   6.62245014E-01
# k =  -0.000000  -0.000000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.70644809E+00  -9.34299892E+00   3.63449171E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.11578622E+00   1.25031602E+00   1.34529804E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.53870777E-01  -2.17857735E-01   3.60130417E-02
      2  -5.07739631E-01  -4.35710206E-01   7.20294251E-02
      3  -9.22050425E-01  -7.34781095E-01   1.87269330E-01
      4  -1.33636188E+00  -1.03385113E+00   3.02510745E-01
      5  -1.73148682E+00  -1.23475089E+00   4.96735927E-01
      6  -2.12764152E+00  -1.43564620E+00   6.91995321E-01
      7  -3.31275088E+00  -1.57284828E+00   1.73990260E+00
      8  -4.49932022E+00  -1.71002478E+00   2.78929544E+00
      9  -4.62400459E+00  -2.69615199E+00   1.92785260E+00
     10  -4.74868629E+00  -3.68229164E+00   1.06639465E+00
     11  -4.91746845E+00  -3.89393407E+00   1.02353438E+00
     12  -5.08624785E+00  -4.10559864E+00   9.80649212E-01
     13  -5.31479577E+00  -4.44784487E+00   8.66950900E-01
     14  -5.54280623E+00  -4.79009927E+00   7.52706962E-01
     15  -5.73163025E+00  -5.06609861E+00   6.65531643E-01
     16  -5.92070873E+00  -5.34209961E+00   5.78609118E-01
     17  -6.07284549E+00  -5.48576643E+00   5.87079065E-01
     18  -6.22481403E+00  -5.62945990E+00   5.95354128E-01
     19  -6.37384751E+00  -5.73516802E+00   6.38679496E-01
     20  -6.52269892E+00  -5.84085053E+00   6.81848397E-01
