# q=  0.25000000E-03  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.25310308E-07     -0.64975313E-07     -0.12324869E-06     -0.10320357E-04
       2     -0.50108261E-07     -0.64975313E-07     -0.24661344E-06     -0.10320357E-04
       3     -0.54092220E-07     -0.64975313E-07     -0.32608028E-06     -0.10320357E-04
       4     -0.58133596E-07     -0.64975313E-07     -0.40657958E-06     -0.10320357E-04
       5     -0.60328648E-07     -0.64975313E-07     -0.48064468E-06     -0.10320357E-04
       6     -0.62455163E-07     -0.64975313E-07     -0.55485756E-06     -0.10320357E-04
       7     -0.63364643E-07     -0.64975313E-07     -0.66924374E-06     -0.10320357E-04
       8     -0.64274119E-07     -0.64975313E-07     -0.78363713E-06     -0.10320357E-04
       9     -0.64461765E-07     -0.64975313E-07     -0.92049399E-06     -0.10320357E-04
      10     -0.64649335E-07     -0.64975313E-07     -0.10551295E-05     -0.10320357E-04
      11     -0.64761011E-07     -0.64975313E-07     -0.12081472E-05     -0.10320357E-04
      12     -0.64872750E-07     -0.64975313E-07     -0.13479616E-05     -0.10320357E-04
      13     -0.64886243E-07     -0.64975313E-07     -0.14760823E-05     -0.10320357E-04
      14     -0.64901041E-07     -0.64975313E-07     -0.16042062E-05     -0.10320357E-04
      15     -0.64914008E-07     -0.64975313E-07     -0.17098001E-05     -0.10320357E-04
      16     -0.64926197E-07     -0.64975313E-07     -0.18153909E-05     -0.10320357E-04
      17     -0.64929865E-07     -0.64975313E-07     -0.18839274E-05     -0.10320357E-04
      18     -0.64933554E-07     -0.64975313E-07     -0.19527463E-05     -0.10320357E-04
      19     -0.64936144E-07     -0.64975313E-07     -0.20232897E-05     -0.10320357E-04
      20     -0.64938781E-07     -0.64975313E-07     -0.20943615E-05     -0.10320357E-04
      21     -0.64941006E-07     -0.64975313E-07     -0.21933662E-05     -0.10320357E-04
      22     -0.64943234E-07     -0.64975313E-07     -0.22927593E-05     -0.10320357E-04
      23     -0.64944599E-07     -0.64975313E-07     -0.23642535E-05     -0.10320357E-04
      24     -0.64945967E-07     -0.64975313E-07     -0.24354187E-05     -0.10320357E-04
      25     -0.64947668E-07     -0.64975313E-07     -0.25701109E-05     -0.10320357E-04
      26     -0.64949365E-07     -0.64975313E-07     -0.27061480E-05     -0.10320357E-04
      27     -0.64950211E-07     -0.64975313E-07     -0.28096369E-05     -0.10320357E-04
      28     -0.64951061E-07     -0.64975313E-07     -0.29133245E-05     -0.10320357E-04
      29     -0.64951609E-07     -0.64975313E-07     -0.30154511E-05     -0.10320357E-04
      30     -0.64952157E-07     -0.64975313E-07     -0.31176758E-05     -0.10320357E-04
      31     -0.64952654E-07     -0.64975313E-07     -0.31796424E-05     -0.10320357E-04
      32     -0.64953151E-07     -0.64975313E-07     -0.32413639E-05     -0.10320357E-04
      33     -0.64953658E-07     -0.64975313E-07     -0.33057922E-05     -0.10320357E-04
      34     -0.64954033E-07     -0.64975313E-07     -0.33702303E-05     -0.10320357E-04
      35     -0.64954434E-07     -0.64975313E-07     -0.34268950E-05     -0.10320357E-04
      36     -0.64954832E-07     -0.64975313E-07     -0.34836371E-05     -0.10320357E-04
      37     -0.64955496E-07     -0.64975313E-07     -0.35662170E-05     -0.10320357E-04
      38     -0.64956157E-07     -0.64975313E-07     -0.36491165E-05     -0.10320357E-04
      39     -0.64956491E-07     -0.64975313E-07     -0.37404992E-05     -0.10320357E-04
      40     -0.64956832E-07     -0.64975313E-07     -0.38320369E-05     -0.10320357E-04
      41     -0.64957447E-07     -0.64975313E-07     -0.38989720E-05     -0.10320357E-04
      42     -0.64958063E-07     -0.64975313E-07     -0.39656429E-05     -0.10320357E-04
      43     -0.64958455E-07     -0.64975313E-07     -0.40168649E-05     -0.10320357E-04
      44     -0.64958821E-07     -0.64975313E-07     -0.40681113E-05     -0.10320357E-04
      45     -0.64959277E-07     -0.64975313E-07     -0.41924431E-05     -0.10320357E-04
      46     -0.64959732E-07     -0.64975313E-07     -0.43168738E-05     -0.10320357E-04
      47     -0.64960164E-07     -0.64975313E-07     -0.43831732E-05     -0.10320357E-04
      48     -0.64960605E-07     -0.64975313E-07     -0.44495725E-05     -0.10320357E-04
      49     -0.64960823E-07     -0.64975313E-07     -0.45566401E-05     -0.10320357E-04
      50     -0.64961040E-07     -0.64975313E-07     -0.46639480E-05     -0.10320357E-04
      51     -0.64961330E-07     -0.64975313E-07     -0.48092259E-05     -0.10320357E-04
      52     -0.64961620E-07     -0.64975313E-07     -0.49540562E-05     -0.10320357E-04
 
# q=  0.00000000E+00  0.00000000E+00  0.25000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.30928658E-02     -0.15640308E-01     -0.10180648E-06     -0.93873098E-05
       2     -0.62555148E-02     -0.15640308E-01     -0.20294978E-06     -0.93873098E-05
       3     -0.80209998E-02     -0.15640308E-01     -0.26329934E-06     -0.93873098E-05
       4     -0.97406685E-02     -0.15640308E-01     -0.32462124E-06     -0.93873098E-05
       5     -0.11154544E-01     -0.15640308E-01     -0.38371766E-06     -0.93873098E-05
       6     -0.12565611E-01     -0.15640308E-01     -0.44273520E-06     -0.93873098E-05
       7     -0.13444171E-01     -0.15640308E-01     -0.50994888E-06     -0.93873098E-05
       8     -0.14322185E-01     -0.15640308E-01     -0.57794984E-06     -0.93873098E-05
       9     -0.14685620E-01     -0.15640308E-01     -0.65656257E-06     -0.93873098E-05
      10     -0.15049117E-01     -0.15640308E-01     -0.73492874E-06     -0.93873098E-05
      11     -0.15216027E-01     -0.15640308E-01     -0.82760752E-06     -0.93873098E-05
      12     -0.15382868E-01     -0.15640308E-01     -0.91713508E-06     -0.93873098E-05
      13     -0.15433458E-01     -0.15640308E-01     -0.99557932E-06     -0.93873098E-05
      14     -0.15482129E-01     -0.15640308E-01     -0.10726185E-05     -0.93873098E-05
      15     -0.15512614E-01     -0.15640308E-01     -0.11543019E-05     -0.93873098E-05
      16     -0.15543387E-01     -0.15640308E-01     -0.12359469E-05     -0.93873098E-05
      17     -0.15563213E-01     -0.15640308E-01     -0.12818204E-05     -0.93873098E-05
      18     -0.15582809E-01     -0.15640308E-01     -0.13268528E-05     -0.93873098E-05
      19     -0.15588199E-01     -0.15640308E-01     -0.13789049E-05     -0.93873098E-05
      20     -0.15593202E-01     -0.15640308E-01     -0.14300979E-05     -0.93873098E-05
      21     -0.15596293E-01     -0.15640308E-01     -0.15169690E-05     -0.93873098E-05
      22     -0.15599387E-01     -0.15640308E-01     -0.16051768E-05     -0.93873098E-05
      23     -0.15601683E-01     -0.15640308E-01     -0.16757377E-05     -0.93873098E-05
      24     -0.15603976E-01     -0.15640308E-01     -0.17458329E-05     -0.93873098E-05
      25     -0.15606355E-01     -0.15640308E-01     -0.18429391E-05     -0.93873098E-05
      26     -0.15608728E-01     -0.15640308E-01     -0.19406970E-05     -0.93873098E-05
      27     -0.15610403E-01     -0.15640308E-01     -0.20424088E-05     -0.93873098E-05
      28     -0.15612085E-01     -0.15640308E-01     -0.21444454E-05     -0.93873098E-05
      29     -0.15613264E-01     -0.15640308E-01     -0.22426030E-05     -0.93873098E-05
      30     -0.15614445E-01     -0.15640308E-01     -0.23427624E-05     -0.93873098E-05
      31     -0.15615286E-01     -0.15640308E-01     -0.24336423E-05     -0.93873098E-05
      32     -0.15616120E-01     -0.15640308E-01     -0.25194037E-05     -0.93873098E-05
      33     -0.15616634E-01     -0.15640308E-01     -0.26111970E-05     -0.93873098E-05
      34     -0.15617085E-01     -0.15640308E-01     -0.27038236E-05     -0.93873098E-05
      35     -0.15617700E-01     -0.15640308E-01     -0.27717468E-05     -0.93873098E-05
      36     -0.15618286E-01     -0.15640308E-01     -0.28393783E-05     -0.93873098E-05
      37     -0.15618955E-01     -0.15640308E-01     -0.29295276E-05     -0.93873098E-05
      38     -0.15619626E-01     -0.15640308E-01     -0.30206153E-05     -0.93873098E-05
      39     -0.15620129E-01     -0.15640308E-01     -0.30872915E-05     -0.93873098E-05
      40     -0.15620646E-01     -0.15640308E-01     -0.31524711E-05     -0.93873098E-05
      41     -0.15621331E-01     -0.15640308E-01     -0.32141978E-05     -0.93873098E-05
      42     -0.15622005E-01     -0.15640308E-01     -0.32750238E-05     -0.93873098E-05
      43     -0.15622421E-01     -0.15640308E-01     -0.33355916E-05     -0.93873098E-05
      44     -0.15622854E-01     -0.15640308E-01     -0.33959289E-05     -0.93873098E-05
      45     -0.15623363E-01     -0.15640308E-01     -0.34891167E-05     -0.93873098E-05
      46     -0.15623879E-01     -0.15640308E-01     -0.35826510E-05     -0.93873098E-05
      47     -0.15624325E-01     -0.15640308E-01     -0.36731461E-05     -0.93873098E-05
      48     -0.15624764E-01     -0.15640308E-01     -0.37632448E-05     -0.93873098E-05
      49     -0.15624993E-01     -0.15640308E-01     -0.38553951E-05     -0.93873098E-05
      50     -0.15625224E-01     -0.15640308E-01     -0.39489587E-05     -0.93873098E-05
      51     -0.15625544E-01     -0.15640308E-01     -0.40867049E-05     -0.93873098E-05
      52     -0.15625862E-01     -0.15640308E-01     -0.42225849E-05     -0.93873098E-05
 
# q=  0.00000000E+00  0.00000000E+00  0.50000000E+00  (qpt 3)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.29420262E-02     -0.27023291E-01     -0.10834447E-06     -0.11076002E-04
       2     -0.59338998E-02     -0.27023291E-01     -0.21587471E-06     -0.11076002E-04
       3     -0.86871245E-02     -0.27023291E-01     -0.29022486E-06     -0.11076002E-04
       4     -0.11414685E-01     -0.27023291E-01     -0.36176261E-06     -0.11076002E-04
       5     -0.13636475E-01     -0.27023291E-01     -0.43548056E-06     -0.11076002E-04
       6     -0.15854927E-01     -0.27023291E-01     -0.50918949E-06     -0.11076002E-04
       7     -0.17641724E-01     -0.27023291E-01     -0.59098613E-06     -0.11076002E-04
       8     -0.19428206E-01     -0.27023291E-01     -0.67128476E-06     -0.11076002E-04
       9     -0.20595018E-01     -0.27023291E-01     -0.75133758E-06     -0.11076002E-04
      10     -0.21765185E-01     -0.27023291E-01     -0.83054178E-06     -0.11076002E-04
      11     -0.22871043E-01     -0.27023291E-01     -0.92732299E-06     -0.11076002E-04
      12     -0.23971486E-01     -0.27023291E-01     -0.10200685E-05     -0.11076002E-04
      13     -0.24386744E-01     -0.27023291E-01     -0.10973556E-05     -0.11076002E-04
      14     -0.24790643E-01     -0.27023291E-01     -0.11722822E-05     -0.11076002E-04
      15     -0.25208782E-01     -0.27023291E-01     -0.12503671E-05     -0.11076002E-04
      16     -0.25626989E-01     -0.27023291E-01     -0.13274819E-05     -0.11076002E-04
      17     -0.25898563E-01     -0.27023291E-01     -0.13811283E-05     -0.11076002E-04
      18     -0.26156501E-01     -0.27023291E-01     -0.14345068E-05     -0.11076002E-04
      19     -0.26334180E-01     -0.27023291E-01     -0.14923676E-05     -0.11076002E-04
      20     -0.26491659E-01     -0.27023291E-01     -0.15507747E-05     -0.11076002E-04
      21     -0.26539196E-01     -0.27023291E-01     -0.16449881E-05     -0.11076002E-04
      22     -0.26587211E-01     -0.27023291E-01     -0.17394145E-05     -0.11076002E-04
      23     -0.26624409E-01     -0.27023291E-01     -0.18231159E-05     -0.11076002E-04
      24     -0.26661874E-01     -0.27023291E-01     -0.19067103E-05     -0.11076002E-04
      25     -0.26697084E-01     -0.27023291E-01     -0.20089898E-05     -0.11076002E-04
      26     -0.26732081E-01     -0.27023291E-01     -0.21117321E-05     -0.11076002E-04
      27     -0.26752684E-01     -0.27023291E-01     -0.22211152E-05     -0.11076002E-04
      28     -0.26773520E-01     -0.27023291E-01     -0.23306322E-05     -0.11076002E-04
      29     -0.26794492E-01     -0.27023291E-01     -0.24447276E-05     -0.11076002E-04
      30     -0.26815983E-01     -0.27023291E-01     -0.25621147E-05     -0.11076002E-04
      31     -0.26833133E-01     -0.27023291E-01     -0.26745099E-05     -0.11076002E-04
      32     -0.26848723E-01     -0.27023291E-01     -0.27816581E-05     -0.11076002E-04
      33     -0.26857579E-01     -0.27023291E-01     -0.28906648E-05     -0.11076002E-04
      34     -0.26863647E-01     -0.27023291E-01     -0.29972078E-05     -0.11076002E-04
      35     -0.26871222E-01     -0.27023291E-01     -0.30878596E-05     -0.11076002E-04
      36     -0.26878760E-01     -0.27023291E-01     -0.31785975E-05     -0.11076002E-04
      37     -0.26884377E-01     -0.27023291E-01     -0.32983673E-05     -0.11076002E-04
      38     -0.26890029E-01     -0.27023291E-01     -0.34147124E-05     -0.11076002E-04
      39     -0.26894525E-01     -0.27023291E-01     -0.34953370E-05     -0.11076002E-04
