# neig  =       200
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  2.93320423E+00  1.42439370E-01  3.19050511E-01  -2.01608881E-01
  2.93402244E+00  2.37091609E-01  -2.38287987E-01  4.24629773E-01
  2.93432987E+00  5.30310671E-01  -3.44299132E-01  -6.41692122E-01
  2.93589355E+00  1.36196959E+00  -3.28970712E-01  1.11970883E+00
  2.93653444E+00  6.88891127E+00  2.61354772E+00  -2.41411629E-01
  2.93756517E+00  1.70823011E+01  7.18603921E-02  -4.13244929E+00
  2.93983784E+00  1.16982034E+00  1.07323591E+00  -1.34108222E-01
  2.94116853E+00  3.24512697E+00  1.50559095E+00  9.89102044E-01
  2.95873133E+00  3.80615380E-01  -4.38686095E-01  4.33785534E-01
  2.95932098E+00  1.37853778E+00  -8.33684996E-01  -8.26744885E-01
  2.95978764E+00  2.21889264E+00  -2.10031205E-01  -1.47471337E+00
  2.96172802E+00  4.54038989E+00  8.32769690E-02  -2.12919112E+00
  2.96294685E+00  2.88912071E+01  -4.61880408E+00  2.74915551E+00
  2.96396115E+00  6.89055845E-01  -1.51344809E-01  8.16180491E-01
  2.96463365E+00  2.30575905E+00  1.51762881E+00  5.06146701E-02
  2.96500334E+00  1.88323909E+00  1.27546794E+00  5.06379932E-01
  2.96685655E+00  1.19426448E+00  -5.60849901E-01  -9.37929565E-01
  2.96781392E+00  1.00408310E+00  5.17818118E-01  -8.57873824E-01
  2.96875712E+00  3.44481494E+00  6.48078098E-01  -1.73919801E+00
  2.96957684E+00  4.24060392E-02  -3.83304230E-02  -2.02328490E-01
  2.97051382E+00  1.97252316E+00  1.36404971E+00  3.34501957E-01
  2.97458065E+00  7.36480333E-02  4.68614869E-02  2.67305133E-01
  2.97580522E+00  6.25988892E-01  -6.70442416E-01  4.20114103E-01
  2.98103171E+00  1.93187013E-01  -2.63345631E-01  3.51903526E-01
  2.98384343E+00  1.65996703E-01  -4.06556345E-01  2.66203183E-02
  2.98494202E+00  7.67970403E-03  8.41247343E-02  -2.45506234E-02
  2.98918848E+00  3.41140206E-01  4.34282001E-01  3.90562863E-01
  3.00603380E+00  2.96790604E-01  -5.17563450E-01  -1.70054932E-01
  3.01007227E+00  2.66893375E-01  -5.16612057E-01  -2.31466161E-03
  3.01147470E+00  1.08977171E+01  -2.86151121E+00  -1.64604700E+00
  3.01228981E+00  6.58211894E+00  2.35851770E-01  -2.55470016E+00
  3.01302519E+00  9.12894186E-01  6.38548798E-01  7.10738784E-01
  3.01392197E+00  2.09180879E+01  3.74585929E-01  -4.55826428E+00
  3.01510543E+00  1.55492770E+01  -3.92413022E+00  3.87916331E-01
  3.02586563E+00  1.40893722E+00  -8.21605221E-01  8.56680850E-01
  3.02747825E+00  1.07218245E-01  -9.58711083E-03  -3.27301592E-01
