# neig  =        50
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  2.94106933E+00  2.86619321E-01  5.27483418E-01  9.15454245E-02
  2.94107169E+00  2.85730175E-01  4.11391758E-01  -3.41301914E-01
  2.94135601E+00  5.86344257E-02  3.00504906E-02  -2.40273581E-01
  2.94135812E+00  6.39750900E-02  -1.95462134E-01  -1.60529263E-01
  2.94155302E+00  1.30218996E-01  -3.21949018E-01  1.62996399E-01
  2.94155556E+00  1.63647820E-01  3.40963433E-01  2.17696478E-01
  2.94360736E+00  3.65723673E+01  -2.13196594E+00  5.65924805E+00
  2.94361307E+00  3.65193469E+01  5.84082105E+00  1.55053420E+00
  2.94384695E+00  4.44220547E+00  -1.95683148E+00  -7.82953414E-01
  2.94386396E+00  4.25296805E+00  -7.19498676E-01  1.93268976E+00
  2.94424902E+00  8.76698711E+00  2.94875551E+00  -2.68007541E-01
  2.94425691E+00  9.02877532E+00  3.59734573E-01  -2.98318058E+00
  2.94921539E+00  1.70170712E-01  4.12474429E-01  -5.96297762E-03
  2.94921786E+00  1.72701957E-01  -3.99526690E-01  -1.14369493E-01
  2.94921997E+00  1.69898210E-01  -3.58262953E-01  2.03828032E-01
  2.95071059E+00  2.47118759E-01  4.55915061E-01  1.98141910E-01
  2.95071238E+00  2.24568139E-01  -2.58155283E-01  3.97396514E-01
  2.95071347E+00  2.32501419E-01  4.81282390E-01  -2.94733703E-02
  2.97470332E+00  1.00105468E+01  8.54343658E-01  3.04641489E+00
  2.97470486E+00  1.00124225E+01  -2.46743027E+00  -1.98096199E+00
  2.97584623E+00  8.29135216E+00  1.43850267E+00  -2.49440619E+00
  2.97585525E+00  8.58209603E+00  1.62178489E+00  -2.43965363E+00
  2.97727814E+00  7.32143535E+00  7.38281423E-02  2.70480771E+00
  2.97727969E+00  7.59983142E+00  1.20649654E+00  -2.47874919E+00
  2.97989169E+00  6.63307020E+00  2.19197029E+00  -1.35215992E+00
  2.97989638E+00  6.57888244E+00  2.34144422E+00  1.04714919E+00
  2.98144306E+00  4.12597165E-01  5.52510514E-01  -3.27611503E-01
  2.98144619E+00  4.20908708E-01  5.74454804E-01  3.01513493E-01
  2.98416298E+00  5.29489667E-01  -5.70124024E-01  -4.52159556E-01
  2.98416427E+00  5.30160469E-01  1.90582813E-01  -7.02736551E-01
  2.98720980E+00  6.33906968E-01  3.43282666E-01  7.18375932E-01
  2.98722257E+00  4.94347449E-01  -1.65334952E-01  6.83382618E-01
  2.98722456E+00  4.85596695E-01  5.30280805E-01  4.52105035E-01
  2.99491233E+00  3.12020429E+00  1.23756952E+00  1.26040706E+00
  2.99491651E+00  3.12516178E+00  -3.55147754E-01  -1.73177131E+00
  2.99491906E+00  3.12766894E+00  1.62649575E+00  -6.94392182E-01
  2.99492111E+00  3.13404028E+00  1.60110530E+00  7.55315892E-01
  3.20254167E+00  1.26267685E-01  3.55341635E-01  -8.67291547E-05
  3.20254432E+00  1.51731000E-01  -5.94853933E-02  3.84957774E-01
  3.20611188E+00  1.97301303E+00  9.35889011E-01  1.04743725E+00
  3.20750951E+00  1.87728862E+01  4.04046802E+00  1.56445018E+00
  3.20868994E+00  2.54965191E-01  4.65230832E-01  1.96279047E-01
  3.20908963E+00  8.89269156E-01  8.71257510E-01  -3.60803974E-01
  3.21032755E+00  3.18721722E-01  -5.59616287E-01  7.45072711E-02
  3.21062313E+00  1.14375731E+01  -3.33775897E+00  5.44920294E-01
  3.21119447E+00  2.77950020E+01  -4.69426106E+00  -2.39977395E+00
  3.22994929E+00  7.81058824E+00  -2.67082331E+00  -8.22976965E-01
  3.23058189E+00  2.99200673E-01  3.14799886E-01  -4.47327290E-01
  3.23270592E+00  1.84306417E+00  -6.56494014E-01  -1.18830963E+00
  3.23392685E+00  1.53182241E+00  5.07078997E-01  -1.12902316E+00
