# neig  =        50
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  2.94107104E+00  1.08900917E+01  -2.70376939E+00  -1.89201554E+00
  2.94135775E+00  1.43675416E+00  -2.63809256E-01  1.16925567E+00
  2.94155589E+00  4.29232935E+00  7.47203320E-01  -1.93236036E+00
  2.94361207E+00  4.43331449E+00  -2.01671155E+00  6.05135530E-01
  2.94386299E+00  1.33468267E+01  3.63482456E+00  -3.67256180E-01
  2.94425575E+00  6.98311896E+01  -8.28914551E+00  -1.05889392E+00
  2.94921862E+00  4.08052670E+00  -1.14346609E+00  1.66523632E+00
  2.95071238E+00  2.08852751E+01  1.61605275E-01  -4.56718281E+00
  2.97470393E+00  2.98082813E+01  -5.59585498E-01  5.43094332E+00
  2.97585498E+00  1.43647991E+01  1.48744278E+00  -3.48601679E+00
  2.97727951E+00  2.09160236E+01  -1.49035843E+00  -4.32375477E+00
  2.97989509E+00  1.24359734E+01  -1.90814945E+00  2.96562626E+00
  2.98144519E+00  9.04038754E+00  2.99537470E+00  2.60994129E-01
  2.98416297E+00  3.89312473E-01  -4.23936034E-02  6.22507233E-01
  2.98722310E+00  3.11439696E+00  -1.76306171E+00  7.75264900E-02
  2.99491635E+00  1.29060013E+01  -3.27904743E+00  -1.46759985E+00
  3.20254140E+00  3.49140168E+01  1.56279276E+00  -5.69839412E+00
  3.20611076E+00  1.38488465E+02  8.34360947E-01  1.17384968E+01
  3.20750890E+00  5.41278789E+01  -7.35706285E+00  3.87956219E-02
  3.20869748E+00  3.66865410E+02  5.30837998E+00  1.84034375E+01
  3.20910171E+00  2.06423371E+01  9.23030020E-01  -4.44863493E+00
  3.21033511E+00  5.84320281E-01  7.45349091E-02  7.60765948E-01
  3.21066375E+00  5.18819295E+01  -2.55631863E+00  -6.73403034E+00
  3.21119268E+00  7.80406346E-01  8.64017150E-01  -1.84067138E-01
  3.22994915E+00  2.42947928E+00  -7.96149878E-01  -1.34000920E+00
  3.23058204E+00  3.21155524E+01  4.35295701E+00  -3.62867988E+00
  3.23270608E+00  2.56862041E+02  1.40372175E+01  -7.73424633E+00
  3.23392703E+00  6.03751477E+01  6.43026497E+00  -4.36197664E+00
  3.26509979E+00  3.23640355E+00  -1.53410147E+00  9.39646856E-01
  3.26715181E+00  4.82833791E-01  -5.69169350E-01  -3.98597594E-01
  3.26908026E+00  4.52730249E-01  -3.49735982E-01  -5.74817356E-01
  3.27078265E+00  8.42558284E-02  2.31505609E-01  1.75102773E-01
  3.27568573E+00  6.08283627E-02  1.63447837E-01  -1.84697502E-01
  3.27673440E+00  2.24111615E-01  -1.06135631E-01  -4.61353273E-01
  3.27738465E+00  2.32339964E-02  1.42217799E-01  -5.48460938E-02
  3.27994771E+00  5.49464633E-01  4.65979676E-01  -5.76478598E-01
  3.28400523E+00  5.49096916E-02  -2.26800574E-01  5.89168177E-02
  3.28736082E+00  5.24874586E-03  5.42711653E-02  4.79936087E-02
  3.28798271E+00  3.72534551E-03  1.49093475E-02  -5.91866274E-02
  3.28818038E+00  2.62198942E-02  1.55931305E-01  -4.36499973E-02
  3.31553134E+00  3.25838155E-01  -4.91289551E-01  -2.90641931E-01
  3.31644914E+00  5.33376765E-01  -2.67156458E-01  -6.79708902E-01
  3.31750152E+00  1.67548579E+00  7.19693878E-01  -1.07588406E+00
  3.31824769E+00  3.32899649E+00  1.84614499E-01  1.81518979E+00
  3.31908927E+00  1.85196748E-02  1.35396776E-01  -1.36889700E-02
  3.31999025E+00  1.95530661E-01  -2.53283207E-01  3.62461417E-01
  3.32079911E+00  1.59489793E-02  -1.20296972E-01  -3.84397967E-02
  3.32113762E+00  1.64042679E-01  3.81406385E-01  -1.36278570E-01
  3.37223429E+00  8.98198269E-02  2.52446757E-01  1.61525422E-01
  3.37230651E+00  2.70916429E-05  -3.41360956E-03  -3.92923818E-03
