# neig  =        20
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  -3.59573329E+74  4.52969225E+00  -1.51880260E+00  -1.49094967E+00
  -8.90294551E+70  1.42423212E+00  4.82606041E-01  -1.09147768E+00
  -3.19191692E+67  1.45615144E-01  3.37553011E-01  1.77969405E-01
  -9.66937539E+64  1.28771094E-01  -3.17955093E-01  -1.66360012E-01
  -7.34048655E+64  6.43508327E-02  -2.11108166E-02  -2.52794711E-01
  -5.83660117E+64  1.09090859E-01  3.29111221E-01  -2.78686870E-02
  -4.11396912E+64  3.37952790E-01  3.90619417E-01  4.30545307E-01
  -3.58440299E+64  3.03696239E-01  4.54270145E-01  -3.11985375E-01
  -3.03627429E+64  4.42070421E-01  5.52154894E-01  3.70398966E-01
  -2.88107283E+64  1.60780124E-01  -3.00064468E-02  3.99849643E-01
  -2.35605612E+64  4.04814296E-01  -3.25804269E-01  5.46503316E-01
  -1.98770341E+64  4.40684698E-02  1.75814154E-01  1.14707685E-01
  -1.63688904E+64  1.23257059E-01  1.21209408E-01  3.29492548E-01
  -1.47973096E+64  2.74833020E-01  2.00616690E-01  -4.84340752E-01
  -1.39879557E+64  6.52320903E-02  -1.95071349E-01  1.64861333E-01
  -1.20221771E+64  4.08886901E-01  -3.83484603E-01  5.11689809E-01
  -9.19882049E+63  2.38665439E+00  1.17832614E+00  9.99100548E-01
  -7.92776939E+63  3.08488865E-01  -3.67285622E-01  4.16641497E-01
  -6.69676298E+63  6.84156892E-01  8.25123335E-01  -5.76920681E-02
  -6.11052408E+63  2.69809069E-01  -5.19022004E-01  -2.06210597E-02
