# neig  =       100
# vol   = 1.728684800E+04
# nspin, nspinor =        1       2
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  -1.05910532E+105  1.09348965E+00  -1.53123629E-01  1.03442873E+00
  -3.52764259E+103  1.71589083E-01  5.95579428E-02  4.09929182E-01
  -2.66087895E+102  2.49891606E-01  2.88058960E-01  4.08550659E-01
  -5.00634401E+101  4.02789632E+00  -1.92390994E+00  -5.71372795E-01
  -1.84955723E+101  3.77680433E+00  -1.68431341E+00  -9.69480623E-01
  -7.44955403E+99  2.09361788E+00  -9.60436265E-01  -1.08221073E+00
  -2.37860850E+98  6.73318309E-02  -4.99677049E-03  2.59435663E-01
  -5.03090783E+97  1.15404755E+00  -1.07415337E+00  1.55590647E-02
  -1.59299246E+96  7.37566490E-01  -8.54934309E-01  8.15709313E-02
  -1.12468821E+96  4.36323846E-03  6.32518602E-02  -1.90378740E-02
  -8.30357166E+95  3.65217643E-01  -4.19184759E-01  -4.35318022E-01
  -7.55573433E+95  1.24193510E-01  1.76934687E-02  -3.51966549E-01
  -7.29100987E+95  1.03357507E-01  -2.68258825E-01  -1.77185525E-01
  -6.95969028E+95  1.66394884E-01  -2.05943368E-01  3.52111081E-01
  -6.72456998E+95  4.10208477E-01  2.60856611E-01  -5.84946413E-01
  -6.17251374E+95  3.87216547E-01  -3.88753731E-01  4.85887933E-01
  -6.05219771E+95  1.19731337E-01  3.35454191E-01  8.48635510E-02
  -5.92670495E+95  3.17318951E-03  -5.41279680E-02  1.55997623E-02
  -5.60260307E+95  5.52021704E-02  2.33873465E-01  -2.24804953E-02
  -5.43973136E+95  5.32315841E-02  -7.12587741E-02  -2.19439676E-01
  -5.29229123E+95  4.01612376E-02  1.78973690E-01  -9.01646040E-02
  -5.03603812E+95  1.25477084E-01  3.19773587E-01  -1.52387458E-01
  -4.88305095E+95  3.93476949E-02  -1.01317991E-01  1.70535508E-01
  -4.60025006E+95  9.04282775E-02  -2.00375368E-01  -2.24227539E-01
  -4.37393864E+95  2.73521969E-01  3.35376328E-01  -4.01303735E-01
