# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 38

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.21          0.00 B        0          0.00 B
    2.46          0.00 B        0          0.00 B
    2.71          0.00 B        4        7.50 MiB
    2.96          0.00 B        4        7.50 MiB
    3.21          0.00 B        4        7.50 MiB
    3.46          0.00 B       11      243.56 MiB
    3.71          0.00 B       11      243.56 MiB
    3.96          0.00 B       10      243.53 MiB
    4.21          0.00 B       13      243.55 MiB
    4.46          0.00 B       15      250.57 MiB
    4.71          0.00 B       19      257.60 MiB
    5.04          0.00 B       10      243.53 MiB
    5.32          0.00 B       11      243.53 MiB
    5.57          0.00 B       12      243.53 MiB
    5.82          0.00 B       12      243.53 MiB
    6.07          0.00 B       12      243.53 MiB
    6.32          0.00 B       12      243.53 MiB
    6.57          0.00 B       12      243.53 MiB
    6.82          0.00 B       12      243.53 MiB
    7.07          0.00 B       12      243.53 MiB
    7.32          0.00 B       12      243.53 MiB
    7.57          0.00 B       12      243.53 MiB
    7.82          0.00 B       12      243.53 MiB
    8.07          0.00 B       12      243.53 MiB
    8.32          0.00 B       12      243.53 MiB
    8.57          0.00 B       12      243.53 MiB
    8.82          0.00 B       12      243.53 MiB
    9.08          0.00 B       12      243.53 MiB
    9.33          0.00 B       12      243.53 MiB
    9.58          0.00 B       12      243.53 MiB
    9.83          0.00 B       17      243.61 MiB
   10.21          0.00 B        2         16.00 B
   10.81          0.00 B        2         16.00 B
   11.08          0.00 B        2         16.00 B
   11.33          0.00 B        2         16.00 B
   11.58          0.00 B        2         16.00 B
   11.83          0.00 B        2         16.00 B
   12.05          0.00 B        2         16.00 B
