# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 32

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.31          0.00 B        0          0.00 B
    2.56          0.00 B        0          0.00 B
    2.81          0.00 B        4        7.50 MiB
    3.06          0.00 B        4        7.50 MiB
    3.31          0.00 B        4        7.50 MiB
    3.57          0.00 B       11      243.56 MiB
    3.82          0.00 B       11      243.56 MiB
    4.07          0.00 B       12      243.57 MiB
    4.32          0.00 B       11      243.53 MiB
    4.57          0.00 B       12      247.05 MiB
    4.82          0.00 B       15      250.57 MiB
    5.07          0.00 B       23      254.08 MiB
    5.32          0.00 B       10      243.53 MiB
    5.57          0.00 B       10      243.53 MiB
    5.84          0.00 B       11      243.53 MiB
    6.09          0.00 B       12      243.53 MiB
    6.34          0.00 B       12      243.53 MiB
    6.59          0.00 B       12      243.53 MiB
    6.84          0.00 B       12      243.53 MiB
    7.09          0.00 B       12      243.53 MiB
    7.34          0.00 B       12      243.53 MiB
    7.59          0.00 B       12      243.53 MiB
    7.84          0.00 B       12      243.53 MiB
    8.09          0.00 B       12      243.53 MiB
    8.34          0.00 B       12      243.53 MiB
    8.59          0.00 B       12      243.53 MiB
    9.00          0.00 B        2         16.00 B
    9.48          0.00 B        2         16.00 B
    9.80          0.00 B        2         16.00 B
   10.05          0.00 B        2         16.00 B
   10.30          0.00 B        2         16.00 B
   10.43          0.00 B        2         16.00 B
