# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.55905759E+00  -7.99330345E+00   5.65754139E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.16098839E+00   1.26239131E+00   1.01402923E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.32073409E-01  -1.77684627E-01   5.43887815E-02
      2  -4.64144753E-01  -3.55370344E-01   1.08774409E-01
      3  -9.11695640E-01  -5.57781905E-01   3.53913734E-01
      4  -1.35924453E+00  -7.60194729E-01   5.99049800E-01
      5  -1.79697975E+00  -1.00973269E+00   7.87247069E-01
      6  -2.23471697E+00  -1.25927456E+00   9.75442414E-01
      7  -2.73350492E+00  -1.48692020E+00   1.24658472E+00
      8  -3.23228935E+00  -1.71456093E+00   1.51772843E+00
      9  -3.33582509E+00  -2.01593669E+00   1.31988840E+00
     10  -3.43937081E+00  -2.31730944E+00   1.12206137E+00
     11  -3.56944449E+00  -2.63624558E+00   9.33198910E-01
     12  -3.69952181E+00  -2.95518640E+00   7.44335416E-01
     13  -3.92029849E+00  -3.26922052E+00   6.51077972E-01
     14  -4.14106836E+00  -3.58325223E+00   5.57816126E-01
     15  -4.32914345E+00  -3.79121196E+00   5.37931487E-01
     16  -4.51721885E+00  -3.99917295E+00   5.18045904E-01
     17  -4.70100135E+00  -4.12982438E+00   5.71176973E-01
     18  -4.88478336E+00  -4.26048052E+00   6.24302836E-01
     19  -5.02527222E+00  -4.40849558E+00   6.16776637E-01
     20  -5.16575395E+00  -4.55650308E+00   6.09250870E-01
     21  -5.27067790E+00  -4.67726284E+00   5.93415058E-01
     22  -5.37559759E+00  -4.79802048E+00   5.77577102E-01
     23  -5.52094442E+00  -4.92437756E+00   5.96566857E-01
     24  -5.66629521E+00  -5.05073684E+00   6.15558376E-01
     25  -5.73819304E+00  -5.13118918E+00   6.07003863E-01
     26  -5.81009502E+00  -5.21164518E+00   5.98449833E-01
     27  -5.88080764E+00  -5.31095420E+00   5.69853443E-01
     28  -5.95152585E+00  -5.41025972E+00   5.41266129E-01
