# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigSX=  -17.556641+ -0.000000i  sigCOH=    0.000000              sigTOT=  -17.556641+ -0.000000i  VH=    3.292082
n=1   sigSX=  -17.556641+ -0.000000i  sigCOH=    0.000000              sigTOT=  -17.556641+ -0.000000i  VH=    3.292082
n=2   sigSX=  -12.952384+ -0.000000i  sigCOH=    0.000000              sigTOT=  -12.952384+ -0.000000i  VH=    5.568829+ -0.000000i
n=3   sigSX=  -12.952249+  0.000000i  sigCOH=    0.000000              sigTOT=  -12.952249+  0.000000i  VH=    5.569081+ -0.000000i
n=4   sigSX=  -12.952183+  0.000000i  sigCOH=    0.000000              sigTOT=  -12.952183+  0.000000i  VH=    5.568684+ -0.000000i
n=5   sigSX=  -12.951902+  0.000000i  sigCOH=    0.000000              sigTOT=  -12.951902+  0.000000i  VH=    5.568095+  0.000000i
n=6   sigSX=  -12.951700+ -0.000000i  sigCOH=    0.000000              sigTOT=  -12.951700+ -0.000000i  VH=    5.568948+  0.000000i
n=7   sigSX=  -12.952078+ -0.000000i  sigCOH=    0.000000              sigTOT=  -12.952078+ -0.000000i  VH=    5.568860+ -0.000000i
n=8   sigSX=   -5.718587+ -0.000000i  sigCOH=    0.000000              sigTOT=   -5.718587+ -0.000000i  VH=    2.292531+  0.000000i
n=9   sigSX=   -5.718124+  0.000000i  sigCOH=    0.000000              sigTOT=   -5.718124+  0.000000i  VH=    2.294011+ -0.000000i
n=10  sigSX=   -5.718523+ -0.000000i  sigCOH=    0.000000              sigTOT=   -5.718523+ -0.000000i  VH=    2.292929+  0.000000i
n=11  sigSX=   -5.718402+  0.000000i  sigCOH=    0.000000              sigTOT=   -5.718402+  0.000000i  VH=    2.292772+ -0.000000i
n=12  sigSX=   -5.718551+  0.000000i  sigCOH=    0.000000              sigTOT=   -5.718551+  0.000000i  VH=    2.292435+  0.000000i
n=13  sigSX=   -5.718629+ -0.000000i  sigCOH=    0.000000              sigTOT=   -5.718629+ -0.000000i  VH=    2.292224+ -0.000000i
n=14  sigSX=   -5.963215+ -0.000000i  sigCOH=    0.000000              sigTOT=   -5.963215+ -0.000000i  VH=    4.800714+  0.000000i
n=15  sigSX=   -5.963215+ -0.000000i  sigCOH=    0.000000              sigTOT=   -5.963215+ -0.000000i  VH=    4.800714+  0.000000i
n=16  sigSX=   -4.205388              sigCOH=    0.000000              sigTOT=   -4.205388              VH=    2.904221+ -0.000000i
n=17  sigSX=   -4.205349+  0.000000i  sigCOH=    0.000000              sigTOT=   -4.205349+  0.000000i  VH=    2.903976+  0.000000i
n=18  sigSX=   -4.205512+ -0.000000i  sigCOH=    0.000000              sigTOT=   -4.205512+ -0.000000i  VH=    2.903072+  0.000000i
