# Generated by LORRAX 0.1.0 at 2026-05-14 22:45:11 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	eqp0            	eqp1            

k-point 0:
               0	               0	       -5.697473	       -5.697473	       +1.784418	       +3.287395	      -16.989096	       -2.590893	      -16.989096	       +0.000000	      -28.906380	      -28.906380
               0	               1	       -5.697473	       -5.697473	       +1.784418	       +3.287395	      -16.989096	       -2.590893	      -16.989096	       +0.000000	      -28.906380	      -28.906380
               0	               2	       +6.249018	       +6.249018	      +12.633500	       +4.936106	      -12.473600	       -2.590893	      -12.473600	       +0.000000	       -7.377593	       -7.377593
               0	               3	       +6.249018	       +6.249018	      +12.633500	       +4.936106	      -12.473600	       -2.590893	      -12.473600	       +0.000000	       -7.377593	       -7.377593
               0	               4	       +6.296979	       +6.296979	      +12.685345	       +4.933435	      -12.450134	       -2.590893	      -12.450134	       +0.000000	       -7.281489	       -7.281489
               0	               5	       +6.296979	       +6.296979	      +12.685345	       +4.933435	      -12.450134	       -2.590893	      -12.450134	       +0.000000	       -7.281489	       -7.281489
               0	               6	       +6.296979	       +6.296979	      +12.685345	       +4.933435	      -12.450134	       -2.590893	      -12.450134	       +0.000000	       -7.281489	       -7.281489
               0	               7	       +6.296979	       +6.296979	      +12.685345	       +4.933435	      -12.450134	       -2.590893	      -12.450134	       +0.000000	       -7.281489	       -7.281489
               0	               8	       +8.798077	       +8.798077	      +16.911498	       +2.296668	       -5.395638	       +0.000000	       -5.395638	       +0.000000	       +8.416890	       +8.416890
               0	               9	       +8.798077	       +8.798077	      +16.911498	       +2.296668	       -5.395638	       +0.000000	       -5.395638	       +0.000000	       +8.416890	       +8.416890
               0	              10	       +8.833004	       +8.833004	      +16.953937	       +2.287243	       -5.376648	       +0.000000	       -5.376648	       +0.000000	       +8.487884	       +8.487884
               0	              11	       +8.833004	       +8.833004	      +16.953937	       +2.287243	       -5.376648	       +0.000000	       -5.376648	       +0.000000	       +8.487884	       +8.487884
               0	              12	       +8.833004	       +8.833004	      +16.953937	       +2.287243	       -5.376648	       +0.000000	       -5.376648	       +0.000000	       +8.487884	       +8.487884
               0	              13	       +8.833004	       +8.833004	      +16.953937	       +2.287243	       -5.376648	       +0.000000	       -5.376648	       +0.000000	       +8.487884	       +8.487884
               0	              14	       +9.629144	       +9.629144	      +16.423388	       +4.142851	       -5.599756	       +0.000000	       -5.599756	       +0.000000	       +9.366726	       +9.366726
               0	              15	       +9.629144	       +9.629144	      +16.423388	       +4.142851	       -5.599756	       +0.000000	       -5.599756	       +0.000000	       +9.366726	       +9.366726
               0	              16	      +14.014749	      +14.014749	      +22.123637	       +2.140894	       -3.465559	       +0.000000	       -3.465559	       +0.000000	      +17.333412	      +17.333412
               0	              17	      +14.014749	      +14.014749	      +22.123637	       +2.140894	       -3.465559	       +0.000000	       -3.465559	       +0.000000	      +17.333412	      +17.333412
               0	              18	      +14.014749	      +14.014749	      +22.123637	       +2.140894	       -3.465559	       +0.000000	       -3.465559	       +0.000000	      +17.333412	      +17.333412
               0	              19	      +14.014749	      +14.014749	      +22.123637	       +2.140894	       -3.465559	       +0.000000	       -3.465559	       +0.000000	      +17.333412	      +17.333412
               0	              20	      +14.243035	      +14.243035	      +24.808727	       -0.234387	       -1.906778	       +0.000000	       -1.906778	       +0.000000	      +20.760783	      +20.760783
               0	              21	      +14.243035	      +14.243035	      +24.808727	       -0.234387	       -1.906778	       +0.000000	       -1.906778	       +0.000000	      +20.760783	      +20.760783
               0	              22	      +17.510693	      +17.510693	      +27.642166	       -0.673248	       -1.692183	       +0.000000	       -1.692183	       +0.000000	      +23.584551	      +23.584551
               0	              23	      +17.510693	      +17.510693	      +27.642166	       -0.673248	       -1.692183	       +0.000000	       -1.692183	       +0.000000	      +23.584551	      +23.584551
               0	              24	      +17.521346	      +17.521346	      +27.653119	       -0.672918	       -1.694617	       +0.000000	       -1.694617	       +0.000000	      +23.590968	      +23.590968
               0	              25	      +17.521346	      +17.521346	      +27.653119	       -0.672918	       -1.694617	       +0.000000	       -1.694617	       +0.000000	      +23.590968	      +23.590968
               0	              26	      +17.521346	      +17.521346	      +27.653119	       -0.672918	       -1.694617	       +0.000000	       -1.694617	       +0.000000	      +23.590968	      +23.590968
               0	              27	      +17.521346	      +17.521346	      +27.653119	       -0.672918	       -1.694617	       +0.000000	       -1.694617	       +0.000000	      +23.590968	      +23.590968
               0	              28	      +21.692462	      +21.692462	      +33.700229	       -1.479675	       -0.778439	       +0.000000	       -0.778439	       +0.000000	      +30.663678	      +30.663678
               0	              29	      +21.692462	      +21.692462	      +33.700229	       -1.479675	       -0.778439	       +0.000000	       -0.778439	       +0.000000	      +30.663678	      +30.663678
               0	              30	      +29.380858	      +29.380858	      +37.182134	       +3.967743	       -1.739119	       +0.000000	       -1.739119	       +0.000000	      +37.671641	      +37.671641
               0	              31	      +29.380858	      +29.380858	      +37.182134	       +3.967743	       -1.739119	       +0.000000	       -1.739119	       +0.000000	      +37.671641	      +37.671641
               0	              32	      +29.382576	      +29.382576	      +37.185081	       +3.967639	       -1.739965	       +0.000000	       -1.739965	       +0.000000	      +37.672791	      +37.672791
               0	              33	      +29.382576	      +29.382576	      +37.185081	       +3.967639	       -1.739965	       +0.000000	       -1.739965	       +0.000000	      +37.672791	      +37.672791
               0	              34	      +29.382576	      +29.382576	      +37.185081	       +3.967639	       -1.739965	       +0.000000	       -1.739965	       +0.000000	      +37.672791	      +37.672791
               0	              35	      +29.382576	      +29.382576	      +37.185081	       +3.967639	       -1.739965	       +0.000000	       -1.739965	       +0.000000	      +37.672791	      +37.672791
               0	              36	      +30.461597	      +30.461597	      +37.546233	       +3.763711	       -1.612879	       +0.000000	       -1.612879	       +0.000000	      +38.084186	      +38.084186
               0	              37	      +30.461597	      +30.461597	      +37.546233	       +3.763711	       -1.612879	       +0.000000	       -1.612879	       +0.000000	      +38.084186	      +38.084186
