# Generated by LORRAX 0.1.0 at 2026-05-16 20:03:17 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	sex_head        	coh_head        	eqp0            	eqp1            

k-point 0:
               0	               0	       -5.697473	       -5.697473	       +1.784418	       +3.308178	      -17.679261	       -2.590893	       -4.589304	       -8.649647	       -0.081411	       -1.254741	      -25.825617	      -25.825617
               0	               1	       -5.697473	       -5.697473	       +1.784418	       +3.308178	      -17.679261	       -2.590893	       -4.589304	       -8.649647	       -0.081411	       -1.254741	      -25.825617	      -25.825617
               0	               2	       +6.249018	       +6.249018	      +12.633500	       +5.067772	      -12.982134	       -2.590893	       -3.903480	       -8.184975	       -0.081411	       -1.254741	       -7.369317	       -7.369317
               0	               3	       +6.249018	       +6.249018	      +12.633500	       +5.067772	      -12.982134	       -2.590893	       -3.903480	       -8.184975	       -0.081411	       -1.254741	       -7.369317	       -7.369317
               0	               4	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.957954	       -2.590893	       -3.900271	       -8.184369	       -0.081411	       -1.254741	       -7.292804	       -7.292804
               0	               5	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.957954	       -2.590893	       -3.900271	       -8.184369	       -0.081411	       -1.254741	       -7.292804	       -7.292804
               0	               6	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.957954	       -2.590893	       -3.900271	       -8.184369	       -0.081411	       -1.254741	       -7.292804	       -7.292804
               0	               7	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.957954	       -2.590893	       -3.900271	       -8.184369	       -0.081411	       -1.254741	       -7.292804	       -7.292804
               0	               8	       +8.798077	       +8.798077	      +16.911498	       +2.279639	       -5.732270	       +0.000000	       -2.292319	       -7.469075	       -0.000000	       -1.254741	       +3.697473	       +3.697473
               0	               9	       +8.798077	       +8.798077	      +16.911498	       +2.279639	       -5.732270	       +0.000000	       -2.292319	       -7.469075	       -0.000000	       -1.254741	       +3.697473	       +3.697473
               0	              10	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.712316	       +0.000000	       -2.288920	       -7.466040	       -0.000000	       -1.254741	       +3.756528	       +3.756528
               0	              11	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.712316	       +0.000000	       -2.288920	       -7.466040	       -0.000000	       -1.254741	       +3.756528	       +3.756528
               0	              12	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.712316	       +0.000000	       -2.288920	       -7.466040	       -0.000000	       -1.254741	       +3.756528	       +3.756528
               0	              13	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.712316	       +0.000000	       -2.288920	       -7.466040	       -0.000000	       -1.254741	       +3.756528	       +3.756528
               0	              14	       +9.629144	       +9.629144	      +16.423388	       +4.319127	       -5.726339	       +0.000000	       -2.451768	       -8.217066	       -0.000000	       -1.254741	       +4.347342	       +4.347342
               0	              15	       +9.629144	       +9.629144	      +16.423388	       +4.319127	       -5.726339	       +0.000000	       -2.451768	       -8.217066	       -0.000000	       -1.254741	       +4.347342	       +4.347342
               0	              16	      +14.014749	      +14.014749	      +22.123637	       +2.047209	       -3.735005	       +0.000000	       -1.884065	       -6.454843	       -0.000000	       -1.254741	      +12.096933	      +12.096933
               0	              17	      +14.014749	      +14.014749	      +22.123637	       +2.047209	       -3.735005	       +0.000000	       -1.884065	       -6.454843	       -0.000000	       -1.254741	      +12.096933	      +12.096933
               0	              18	      +14.014749	      +14.014749	      +22.123637	       +2.047209	       -3.735005	       +0.000000	       -1.884065	       -6.454843	       -0.000000	       -1.254741	      +12.096933	      +12.096933
               0	              19	      +14.014749	      +14.014749	      +22.123637	       +2.047209	       -3.735005	       +0.000000	       -1.884065	       -6.454843	       -0.000000	       -1.254741	      +12.096933	      +12.096933
               0	              20	      +14.243035	      +14.243035	      +24.808727	       -0.434802	       -1.980479	       +0.000000	       -1.131194	       -4.291803	       -0.000000	       -1.254741	      +16.970449	      +16.970449
               0	              21	      +14.243035	      +14.243035	      +24.808727	       -0.434802	       -1.980479	       +0.000000	       -1.131194	       -4.291803	       -0.000000	       -1.254741	      +16.970449	      +16.970449
               0	              22	      +17.510693	      +17.510693	      +27.642166	       -0.776992	       -1.865359	       +0.000000	       -1.186580	       -5.332719	       -0.000000	       -1.254741	      +18.480516	      +18.480516
               0	              23	      +17.510693	      +17.510693	      +27.642166	       -0.776992	       -1.865359	       +0.000000	       -1.186580	       -5.332719	       -0.000000	       -1.254741	      +18.480516	      +18.480516
               0	              24	      +17.521346	      +17.521346	      +27.653119	       -0.776602	       -1.867508	       +0.000000	       -1.187445	       -5.338309	       -0.000000	       -1.254741	      +18.483256	      +18.483256
               0	              25	      +17.521346	      +17.521346	      +27.653119	       -0.776602	       -1.867508	       +0.000000	       -1.187445	       -5.338309	       -0.000000	       -1.254741	      +18.483256	      +18.483256
               0	              26	      +17.521346	      +17.521346	      +27.653119	       -0.776602	       -1.867508	       +0.000000	       -1.187445	       -5.338309	       -0.000000	       -1.254741	      +18.483256	      +18.483256
               0	              27	      +17.521346	      +17.521346	      +27.653119	       -0.776602	       -1.867508	       +0.000000	       -1.187445	       -5.338309	       -0.000000	       -1.254741	      +18.483256	      +18.483256
               0	              28	      +21.692462	      +21.692462	      +33.700229	       -1.845999	       -0.860589	       +0.000000	       -0.634690	       -3.063146	       -0.000000	       -1.254741	      +27.295806	      +27.295806
               0	              29	      +21.692462	      +21.692462	      +33.700229	       -1.845999	       -0.860589	       +0.000000	       -0.634690	       -3.063146	       -0.000000	       -1.254741	      +27.295806	      +27.295806
               0	              30	      +29.380858	      +29.380858	      +37.182134	       +4.058569	       -1.914390	       +0.000000	       -1.409095	       -4.659095	       -0.000000	       -1.254741	      +33.258123	      +33.258123
               0	              31	      +29.380858	      +29.380858	      +37.182134	       +4.058569	       -1.914390	       +0.000000	       -1.409095	       -4.659095	       -0.000000	       -1.254741	      +33.258123	      +33.258123
               0	              32	      +29.382576	      +29.382576	      +37.185081	       +4.059293	       -1.915302	       +0.000000	       -1.409432	       -4.651363	       -0.000000	       -1.254741	      +33.268277	      +33.268277
               0	              33	      +29.382576	      +29.382576	      +37.185081	       +4.059293	       -1.915302	       +0.000000	       -1.409432	       -4.651363	       -0.000000	       -1.254741	      +33.268277	      +33.268277
               0	              34	      +29.382576	      +29.382576	      +37.185081	       +4.059293	       -1.915302	       +0.000000	       -1.409432	       -4.651363	       -0.000000	       -1.254741	      +33.268277	      +33.268277
               0	              35	      +29.382576	      +29.382576	      +37.185081	       +4.059293	       -1.915302	       +0.000000	       -1.409432	       -4.651363	       -0.000000	       -1.254741	      +33.268277	      +33.268277
               0	              36	      +30.461597	      +30.461597	      +37.546233	       +3.550038	       -1.739822	       +0.000000	       -1.311341	       -5.055068	       -0.000000	       -1.254741	      +32.990040	      +32.990040
               0	              37	      +30.461597	      +30.461597	      +37.546233	       +3.550038	       -1.739822	       +0.000000	       -1.311341	       -5.055068	       -0.000000	       -1.254741	      +32.990040	      +32.990040
               0	              38	      +30.461597	      +30.461597	      +37.546233	       +3.550038	       -1.739822	       +0.000000	       -1.311341	       -5.055068	       -0.000000	       -1.254741	      +32.990040	      +32.990040
               0	              39	      +30.461597	      +30.461597	      +37.546233	       +3.550038	       -1.739822	       +0.000000	       -1.311341	       -5.055068	       -0.000000	       -1.254741	      +32.990040	      +32.990040
               0	              40	      +32.042974	      +32.042974	      +39.365443	       +2.790223	       -1.908532	       +0.000000	       -1.315285	       -4.934867	       -0.000000	       -1.254741	      +33.996982	      +33.996982
               0	              41	      +32.042974	      +32.042974	      +39.365443	       +2.790223	       -1.908532	       +0.000000	       -1.315285	       -4.934867	       -0.000000	       -1.254741	      +33.996982	      +33.996982
               0	              42	      +32.127743	      +32.127743	      +39.444209	       +2.815662	       -1.915220	       +0.000000	       -1.319322	       -4.927431	       -0.000000	       -1.254741	      +34.097898	      +34.097898
               0	              43	      +32.127743	      +32.127743	      +39.444209	       +2.815662	       -1.915220	       +0.000000	       -1.319322	       -4.927431	       -0.000000	       -1.254741	      +34.097898	      +34.097898
               0	              44	      +32.127743	      +32.127743	      +39.444209	       +2.815662	       -1.915220	       +0.000000	       -1.319322	       -4.927431	       -0.000000	       -1.254741	      +34.097898	      +34.097898
               0	              45	      +32.127743	      +32.127743	      +39.444209	       +2.815662	       -1.915220	       +0.000000	       -1.319322	       -4.927431	       -0.000000	       -1.254741	      +34.097898	      +34.097898
               0	              46	      +35.634539	      +35.634539	      +43.772073	       +1.665074	       -1.739289	       +0.000000	       -1.303627	       -3.507845	       -0.000000	       -1.254741	      +38.886387	      +38.886387
               0	              47	      +35.634539	      +35.634539	      +43.772073	       +1.665074	       -1.739289	       +0.000000	       -1.303627	       -3.507845	       -0.000000	       -1.254741	      +38.886387	      +38.886387
               0	              48	      +35.634539	      +35.634539	      +43.772073	       +1.665074	       -1.739289	       +0.000000	       -1.303627	       -3.507845	       -0.000000	       -1.254741	      +38.886387	      +38.886387
               0	              49	      +35.634539	      +35.634539	      +43.772073	       +1.665074	       -1.739289	       +0.000000	       -1.303627	       -3.507845	       -0.000000	       -1.254741	      +38.886387	      +38.886387
               0	              50	      +35.634539	      +35.634539	      +43.772073	       +1.665074	       -1.739289	       +0.000000	       -1.303627	       -3.507845	       -0.000000	       -1.254741	      +38.886387	      +38.886387
               0	              51	      +35.634539	      +35.634539	      +43.772073	       +1.665074	       -1.739289	       +0.000000	       -1.303627	       -3.507845	       -0.000000	       -1.254741	      +38.886387	      +38.886387
               0	              52	      +41.091725	      +41.091725	      +49.401277	       +2.183007	       -0.874998	       +0.000000	       -0.727076	       -3.037670	       -0.000000	       -1.254741	      +46.944540	      +46.944540
               0	              53	      +41.091725	      +41.091725	      +49.401277	       +2.183007	       -0.874998	       +0.000000	       -0.727076	       -3.037670	       -0.000000	       -1.254741	      +46.944540	      +46.944540
               0	              54	      +41.091725	      +41.091725	      +49.401277	       +2.183007	       -0.874998	       +0.000000	       -0.727076	       -3.037670	       -0.000000	       -1.254741	      +46.944540	      +46.944540
               0	              55	      +41.091725	      +41.091725	      +49.401277	       +2.183007	       -0.874998	       +0.000000	       -0.727076	       -3.037670	       -0.000000	       -1.254741	      +46.944540	      +46.944540

k-point 1:
               1	               0	       -4.897281	       -4.897281	       +2.488940	       +3.449872	      -17.467959	       -2.590893	       -4.547162	       -8.678315	       -0.081411	       -1.254741	      -24.754623	      -24.754623
               1	               1	       -4.897281	       -4.897281	       +2.488940	       +3.449872	      -17.467959	       -2.590893	       -4.547162	       -8.678315	       -0.081411	       -1.254741	      -24.754623	      -24.754623
               1	               2	       +2.340153	       +2.340153	       +9.569372	       +3.716758	      -13.749203	       -2.590893	       -3.820658	       -8.177532	       -0.081411	       -1.254741	      -12.461263	      -12.461263
               1	               3	       +2.340153	       +2.340153	       +9.569372	       +3.716758	      -13.749203	       -2.590893	       -3.820658	       -8.177532	       -0.081411	       -1.254741	      -12.461263	      -12.461263
               1	               4	       +5.498636	       +5.498636	      +12.205874	       +4.528662	      -13.004722	       -2.590893	       -3.821733	       -8.180751	       -0.081411	       -1.254741	       -8.272671	       -8.272671
               1	               5	       +5.498636	       +5.498636	      +12.205874	       +4.528662	      -13.004722	       -2.590893	       -3.821733	       -8.180751	       -0.081411	       -1.254741	       -8.272671	       -8.272671
               1	               6	       +5.529910	       +5.529910	      +12.240703	       +4.524511	      -12.988883	       -2.590893	       -3.819330	       -8.182104	       -0.081411	       -1.254741	       -8.225102	       -8.225102
               1	               7	       +5.529910	       +5.529910	      +12.240703	       +4.524511	      -12.988883	       -2.590893	       -3.819330	       -8.182104	       -0.081411	       -1.254741	       -8.225102	       -8.225102
               1	               8	       +8.294527	       +8.294527	      +16.190612	       +2.747383	       -5.561514	       +0.000000	       -2.308255	       -7.385312	       -0.000000	       -1.254741	       +3.682914	       +3.682914
               1	               9	       +8.294527	       +8.294527	      +16.190612	       +2.747383	       -5.561514	       +0.000000	       -2.308255	       -7.385312	       -0.000000	       -1.254741	       +3.682914	       +3.682914
               1	              10	       +9.757278	       +9.757278	      +17.800925	       +2.378930	       -5.371673	       +0.000000	       -2.257197	       -7.337021	       -0.000000	       -1.254741	       +5.213964	       +5.213964
               1	              11	       +9.757278	       +9.757278	      +17.800925	       +2.378930	       -5.371673	       +0.000000	       -2.257197	       -7.337021	       -0.000000	       -1.254741	       +5.213964	       +5.213964
               1	              12	       +9.778784	       +9.778784	      +17.827455	       +2.372127	       -5.361148	       +0.000000	       -2.255489	       -7.335734	       -0.000000	       -1.254741	       +5.247211	       +5.247211
               1	              13	       +9.778784	       +9.778784	      +17.827455	       +2.372127	       -5.361148	       +0.000000	       -2.255489	       -7.335734	       -0.000000	       -1.254741	       +5.247211	       +5.247211
               1	              14	      +13.191998	      +13.191998	      +20.589607	       +3.605967	       -4.724200	       +0.000000	       -2.231949	       -7.320881	       -0.000000	       -1.254741	       +9.918544	       +9.918544
               1	              15	      +13.191998	      +13.191998	      +20.589607	       +3.605967	       -4.724200	       +0.000000	       -2.231949	       -7.320881	       -0.000000	       -1.254741	       +9.918544	       +9.918544
               1	              16	      +13.473781	      +13.473781	      +22.044043	       +1.518386	       -3.553553	       +0.000000	       -1.813957	       -6.186236	       -0.000000	       -1.254741	      +12.008684	      +12.008684
               1	              17	      +13.473781	      +13.473781	      +22.044043	       +1.518386	       -3.553553	       +0.000000	       -1.813957	       -6.186236	       -0.000000	       -1.254741	      +12.008684	      +12.008684
               1	              18	      +13.476682	      +13.476682	      +22.045540	       +1.520920	       -3.554503	       +0.000000	       -1.814435	       -6.186254	       -0.000000	       -1.254741	      +12.011268	      +12.011268
