# Generated by LORRAX 0.1.0 at 2026-05-16 22:05:08 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sig_c(Edft).Re  	sig_c(Edft).Im  	sig_c_head(Edft).Re	sig_c_head(Edft).Im	eqp0            	eqp1            

k-point 0:
               0	               0	       -5.697473	      -12.332783	       +1.784418	       +3.308178	      -17.384919	       -2.590893	       +3.977335	       +0.000000	       +0.931653	       +0.000000	       -8.314988	       -8.314988
               0	               1	       -5.697473	      -12.332783	       +1.784418	       +3.308178	      -17.384919	       -2.590893	       +3.977335	       +0.000000	       +0.931653	       +0.000000	       -8.314988	       -8.314988
               0	               2	       +6.249018	       -0.386293	      +12.633500	       +5.067772	      -12.786164	       -2.590893	       +1.519373	       +0.027445	       +1.254785	       +0.000001	       +6.434480	       +6.396152
               0	               3	       +6.249018	       -0.386293	      +12.633500	       +5.067772	      -12.786164	       -2.590893	       +1.519373	       +0.027443	       +1.254785	       +0.000001	       +6.434480	       +6.396152
               0	               4	       +6.296979	       -0.338332	      +12.685345	       +5.064445	      -12.762837	       -2.590893	       +1.497636	       -0.013559	       +1.254781	       +0.000001	       +6.484588	       +6.445856
               0	               5	       +6.296979	       -0.338332	      +12.685345	       +5.064445	      -12.762837	       -2.590893	       +1.497636	       -0.013560	       +1.254781	       +0.000001	       +6.484588	       +6.445856
               0	               6	       +6.296979	       -0.338332	      +12.685345	       +5.064445	      -12.762837	       -2.590893	       +1.497638	       -0.013699	       +1.254781	       +0.000001	       +6.484590	       +6.445857
               0	               7	       +6.296979	       -0.338332	      +12.685345	       +5.064445	      -12.762837	       -2.590893	       +1.497638	       -0.013699	       +1.254781	       +0.000001	       +6.484590	       +6.445857
               0	               8	       +8.798077	       +2.162766	      +16.911498	       +2.279639	       -5.663635	       +0.000000	       -3.469557	       +0.036324	       -1.254781	       -0.000001	      +10.057946	       +9.797610
               0	               9	       +8.798077	       +2.162766	      +16.911498	       +2.279639	       -5.663635	       +0.000000	       -3.469557	       +0.036325	       -1.254781	       -0.000001	      +10.057946	       +9.797610
               0	              10	       +8.833004	       +2.197693	      +16.953937	       +2.269867	       -5.644372	       +0.000000	       -3.486626	       -0.017080	       -1.254770	       -0.000001	      +10.092806	       +9.831887
               0	              11	       +8.833004	       +2.197693	      +16.953937	       +2.269867	       -5.644372	       +0.000000	       -3.486626	       -0.017080	       -1.254770	       -0.000001	      +10.092806	       +9.831887
               0	              12	       +8.833004	       +2.197693	      +16.953937	       +2.269867	       -5.644372	       +0.000000	       -3.486600	       -0.019350	       -1.254770	       -0.000001	      +10.092832	       +9.831938
               0	              13	       +8.833004	       +2.197693	      +16.953937	       +2.269867	       -5.644372	       +0.000000	       -3.486600	       -0.019350	       -1.254770	       -0.000001	      +10.092832	       +9.831938
               0	              14	       +9.629144	       +2.993833	      +16.423388	       +4.319127	       -5.682851	       +0.000000	       -4.342958	       -0.000001	       -1.254745	       -0.000001	      +10.716706	      +10.520277
               0	              15	       +9.629144	       +2.993833	      +16.423388	       +4.319127	       -5.682851	       +0.000000	       -4.342958	       -0.000001	       -1.254745	       -0.000001	      +10.716706	      +10.520277
               0	              16	      +14.014749	       +7.379439	      +22.123637	       +2.047209	       -3.715822	       +0.000000	       -3.730954	       -0.000002	       -1.127825	       -0.000001	      +16.724070	      +16.724070
               0	              17	      +14.014749	       +7.379439	      +22.123637	       +2.047209	       -3.715822	       +0.000000	       -3.730954	       -0.000002	       -1.127825	       -0.000001	      +16.724070	      +16.724070
               0	              18	      +14.014749	       +7.379439	      +22.123637	       +2.047209	       -3.715822	       +0.000000	       -3.730893	       -0.000003	       -1.127825	       -0.000001	      +16.724131	      +16.724131
               0	              19	      +14.014749	       +7.379439	      +22.123637	       +2.047209	       -3.715822	       +0.000000	       -3.730893	       -0.000003	       -1.127825	       -0.000001	      +16.724131	      +16.724131
               0	              20	      +14.243035	       +7.607724	      +24.808727	       -0.434802	       -1.972476	       +0.000000	       -2.830208	       -0.000001	       -1.116986	       -0.000001	      +19.571241	      +19.571241
               0	              21	      +14.243035	       +7.607724	      +24.808727	       -0.434802	       -1.972476	       +0.000000	       -2.830208	       -0.000001	       -1.116986	       -0.000001	      +19.571241	      +19.571241
               0	              22	      +17.510693	      +10.875383	      +27.642166	       -0.776992	       -1.860957	       +0.000000	       -3.488665	       -0.029970	       -0.981904	       -0.000000	      +21.515551	      +21.515551
               0	              23	      +17.510693	      +10.875383	      +27.642166	       -0.776992	       -1.860957	       +0.000000	       -3.488665	       -0.029970	       -0.981904	       -0.000000	      +21.515551	      +21.515551
               0	              24	      +17.521346	      +10.886036	      +27.653119	       -0.776602	       -1.863095	       +0.000000	       -3.491346	       +0.012662	       -0.981517	       -0.000000	      +21.522076	      +21.522076
               0	              25	      +17.521346	      +10.886036	      +27.653119	       -0.776602	       -1.863095	       +0.000000	       -3.491346	       +0.012662	       -0.981517	       -0.000000	      +21.522076	      +21.522076
               0	              26	      +17.521346	      +10.886036	      +27.653119	       -0.776602	       -1.863095	       +0.000000	       -3.491335	       +0.017271	       -0.981517	       -0.000000	      +21.522087	      +21.522087
               0	              27	      +17.521346	      +10.886036	      +27.653119	       -0.776602	       -1.863095	       +0.000000	       -3.491335	       +0.017271	       -0.981517	       -0.000000	      +21.522087	      +21.522087
               0	              28	      +21.692462	      +15.057151	      +33.700229	       -1.845999	       -0.859701	       +0.000000	       -1.934925	       -0.000000	       -0.850306	       -0.000000	      +29.059604	      +29.059604
               0	              29	      +21.692462	      +15.057151	      +33.700229	       -1.845999	       -0.859701	       +0.000000	       -1.934925	       -0.000000	       -0.850306	       -0.000000	      +29.059604	      +29.059604
               0	              30	      +29.380858	      +22.745547	      +37.182134	       +4.058569	       -1.914254	       +0.000000	       -2.569893	       +0.004391	       -0.682205	       -0.000000	      +36.756556	      +36.756556
               0	              31	      +29.380858	      +22.745547	      +37.182134	       +4.058569	       -1.914254	       +0.000000	       -2.569893	       +0.004391	       -0.682205	       -0.000000	      +36.756556	      +36.756556
               0	              32	      +29.382576	      +22.747265	      +37.185081	       +4.059293	       -1.915166	       +0.000000	       -2.564637	       -0.001829	       -0.682175	       -0.000000	      +36.764571	      +36.764571
               0	              33	      +29.382576	      +22.747265	      +37.185081	       +4.059293	       -1.915166	       +0.000000	       -2.564637	       -0.001828	       -0.682175	       -0.000000	      +36.764571	      +36.764571
               0	              34	      +29.382576	      +22.747265	      +37.185081	       +4.059293	       -1.915166	       +0.000000	       -2.564646	       -0.002581	       -0.682175	       -0.000000	      +36.764562	      +36.764562
               0	              35	      +29.382576	      +22.747265	      +37.185081	       +4.059293	       -1.915166	       +0.000000	       -2.564646	       -0.002581	       -0.682175	       -0.000000	      +36.764562	      +36.764562
               0	              36	      +30.461597	      +23.826286	      +37.546233	       +3.550038	       -1.739772	       +0.000000	       -2.733618	       +0.000027	       -0.663759	       -0.000000	      +36.622882	      +36.622882
               0	              37	      +30.461597	      +23.826286	      +37.546233	       +3.550038	       -1.739772	       +0.000000	       -2.733618	       +0.000027	       -0.663759	       -0.000000	      +36.622882	      +36.622882
               0	              38	      +30.461597	      +23.826286	      +37.546233	       +3.550038	       -1.739772	       +0.000000	       -2.733613	       +0.000014	       -0.663759	       -0.000000	      +36.622886	      +36.622886
               0	              39	      +30.461597	      +23.826286	      +37.546233	       +3.550038	       -1.739772	       +0.000000	       -2.733613	       +0.000014	       -0.663759	       -0.000000	      +36.622886	      +36.622886
               0	              40	      +32.042974	      +25.407664	      +39.365443	       +2.790223	       -1.907989	       +0.000000	       -2.368287	       -0.008796	       -0.638498	       -0.000000	      +37.879390	      +37.879390
               0	              41	      +32.042974	      +25.407664	      +39.365443	       +2.790223	       -1.907989	       +0.000000	       -2.368287	       -0.008796	       -0.638498	       -0.000000	      +37.879390	      +37.879390
               0	              42	      +32.127743	      +25.492433	      +39.444209	       +2.815662	       -1.914661	       +0.000000	       -2.366609	       +0.003947	       -0.637198	       -0.000000	      +37.978601	      +37.978601
               0	              43	      +32.127743	      +25.492433	      +39.444209	       +2.815662	       -1.914661	       +0.000000	       -2.366609	       +0.003946	       -0.637198	       -0.000000	      +37.978601	      +37.978601
               0	              44	      +32.127743	      +25.492433	      +39.444209	       +2.815662	       -1.914661	       +0.000000	       -2.366640	       +0.004837	       -0.637198	       -0.000000	      +37.978569	      +37.978569
               0	              45	      +32.127743	      +25.492433	      +39.444209	       +2.815662	       -1.914661	       +0.000000	       -2.366640	       +0.004838	       -0.637198	       -0.000000	      +37.978569	      +37.978569
               0	              46	      +35.634539	      +28.999229	      +43.772073	       +1.665074	       -1.738719	       +0.000000	       -1.777119	       -0.000000	       -0.587701	       -0.000000	      +41.921310	      +41.921310
               0	              47	      +35.634539	      +28.999229	      +43.772073	       +1.665074	       -1.738719	       +0.000000	       -1.777119	       -0.000000	       -0.587701	       -0.000000	      +41.921310	      +41.921310
               0	              48	      +35.634539	      +28.999229	      +43.772073	       +1.665074	       -1.738719	       +0.000000	       -1.777112	       -0.000000	       -0.587701	       -0.000000	      +41.921317	      +41.921317
               0	              49	      +35.634539	      +28.999229	      +43.772073	       +1.665074	       -1.738719	       +0.000000	       -1.777112	       -0.000000	       -0.587701	       -0.000000	      +41.921317	      +41.921317
               0	              50	      +35.634539	      +28.999229	      +43.772073	       +1.665074	       -1.738719	       +0.000000	       -1.777115	       -0.000000	       -0.587701	       -0.000000	      +41.921314	      +41.921314
               0	              51	      +35.634539	      +28.999229	      +43.772073	       +1.665074	       -1.738719	       +0.000000	       -1.777115	       -0.000000	       -0.587701	       -0.000000	      +41.921314	      +41.921314
               0	              52	      +41.091725	      +34.456414	      +49.401277	       +2.183007	       -0.874296	       +0.000000	       -1.596941	       +0.008199	       -0.524319	       -0.000000	      +49.113047	      +49.113047
               0	              53	      +41.091725	      +34.456414	      +49.401277	       +2.183007	       -0.874296	       +0.000000	       -1.596941	       +0.008199	       -0.524319	       -0.000000	      +49.113047	      +49.113047
               0	              54	      +41.091725	      +34.456414	      +49.401277	       +2.183007	       -0.874296	       +0.000000	       -1.596934	       +0.030916	       -0.524319	       -0.000000	      +49.113054	      +49.113054
               0	              55	      +41.091725	      +34.456414	      +49.401277	       +2.183007	       -0.874296	       +0.000000	       -1.596934	       +0.030916	       -0.524319	       -0.000000	      +49.113054	      +49.113054

k-point 1:
               1	               0	       -4.897281	      -11.532592	       +2.488940	       +3.449872	      -17.172361	       -2.590893	       +3.941690	      -10.128656	       +0.958588	       +0.000000	       -7.291858	       -7.291858
               1	               1	       -4.897281	      -11.532592	       +2.488940	       +3.449872	      -17.172361	       -2.590893	       +3.941690	      -10.128655	       +0.958588	       +0.000000	       -7.291858	       -7.291858
               1	               2	       +2.340153	       -4.295158	       +9.569372	       +3.716758	      -13.513899	       -2.590893	       +2.704262	       +8.268375	       +1.254767	       +0.000001	       +2.476494	       +2.444417
               1	               3	       +2.340153	       -4.295158	       +9.569372	       +3.716758	      -13.513899	       -2.590893	       +2.704262	       +8.268379	       +1.254767	       +0.000001	       +2.476494	       +2.444417
               1	               4	       +5.498636	       -1.136675	      +12.205874	       +4.528662	      -12.802630	       -2.590893	       +1.666865	       +2.792166	       +1.254785	       +0.000001	       +5.598771	       +5.577583
               1	               5	       +5.498636	       -1.136675	      +12.205874	       +4.528662	      -12.802630	       -2.590893	       +1.666864	       +2.792944	       +1.254785	       +0.000001	       +5.598770	       +5.577582
               1	               6	       +5.529910	       -1.105400	      +12.240703	       +4.524511	      -12.787300	       -2.590893	       +1.652251	       +2.798041	       +1.254784	       +0.000001	       +5.630165	       +5.608966
               1	               7	       +5.529910	       -1.105400	      +12.240703	       +4.524511	      -12.787300	       -2.590893	       +1.652250	       +2.798095	       +1.254784	       +0.000001	       +5.630164	       +5.608965
               1	               8	       +8.294527	       +1.659216	      +16.190612	       +2.747383	       -5.507775	       +0.000000	       -3.508948	      -11.601693	       -1.254782	       -0.000001	       +9.921272	       +9.613322
               1	               9	       +8.294527	       +1.659216	      +16.190612	       +2.747383	       -5.507775	       +0.000000	       -3.508948	      -11.601680	       -1.254782	       -0.000001	       +9.921272	       +9.613322
               1	              10	       +9.757278	       +3.121968	      +17.800925	       +2.378930	       -5.317298	       +0.000000	       -3.696279	      -11.944493	       -1.254785	       -0.000001	      +11.166279	      +10.886483
               1	              11	       +9.757278	       +3.121968	      +17.800925	       +2.378930	       -5.317298	       +0.000000	       -3.696279	      -11.945073	       -1.254785	       -0.000001	      +11.166278	      +10.886482
               1	              12	       +9.778784	       +3.143473	      +17.827455	       +2.372127	       -5.307127	       +0.000000	       -3.702910	      -11.910498	       -1.254784	       -0.000001	      +11.189546	      +10.909215
               1	              13	       +9.778784	       +3.143473	      +17.827455	       +2.372127	       -5.307127	       +0.000000	       -3.702910	      -11.910416	       -1.254784	       -0.000001	      +11.189545	      +10.909214
               1	              14	      +13.191998	       +6.556688	      +20.589607	       +3.605967	       -4.695421	       +0.000000	       -4.175255	       -4.120260	       -1.168700	       -0.000001	      +15.324898	      +15.324898
               1	              15	      +13.191998	       +6.556688	      +20.589607	       +3.605967	       -4.695421	       +0.000000	       -4.175255	       -4.120272	       -1.168700	       -0.000001	      +15.324898	      +15.324898
               1	              16	      +13.473781	       +6.838470	      +22.044043	       +1.518386	       -3.533611	       +0.000000	       -3.714447	       +2.183278	       -1.154372	       -0.000001	      +16.314371	      +16.314371
