# Generated by LORRAX 0.1.0 at 2026-05-16 20:02:48 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	sex_head        	coh_head        	eqp0            	eqp1            

k-point 0:
               0	               0	       -5.697473	       -5.697473	       +1.784418	       +3.308178	      -17.700166	       -2.590893	       -4.590162	       -8.659896	       -0.081411	       -1.254741	      -25.857628	      -25.857628
               0	               1	       -5.697473	       -5.697473	       +1.784418	       +3.308178	      -17.700166	       -2.590893	       -4.590162	       -8.659896	       -0.081411	       -1.254741	      -25.857628	      -25.857628
               0	               2	       +6.249018	       +6.249018	      +12.633500	       +5.067772	      -12.994207	       -2.590893	       -3.903999	       -8.194913	       -0.081411	       -1.254741	       -7.391848	       -7.391848
               0	               3	       +6.249018	       +6.249018	      +12.633500	       +5.067772	      -12.994207	       -2.590893	       -3.903999	       -8.194913	       -0.081411	       -1.254741	       -7.391848	       -7.391848
               0	               4	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.969977	       -2.590893	       -3.900788	       -8.194309	       -0.081411	       -1.254741	       -7.315284	       -7.315284
               0	               5	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.969977	       -2.590893	       -3.900788	       -8.194309	       -0.081411	       -1.254741	       -7.315284	       -7.315284
               0	               6	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.969977	       -2.590893	       -3.900788	       -8.194309	       -0.081411	       -1.254741	       -7.315284	       -7.315284
               0	               7	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.969977	       -2.590893	       -3.900788	       -8.194309	       -0.081411	       -1.254741	       -7.315284	       -7.315284
               0	               8	       +8.798077	       +8.798077	      +16.911498	       +2.279639	       -5.737668	       +0.000000	       -2.292525	       -7.478691	       +0.000000	       -1.254741	       +3.682254	       +3.682254
               0	               9	       +8.798077	       +8.798077	      +16.911498	       +2.279639	       -5.737668	       +0.000000	       -2.292525	       -7.478691	       +0.000000	       -1.254741	       +3.682254	       +3.682254
               0	              10	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.717677	       +0.000000	       -2.289124	       -7.475659	       +0.000000	       -1.254741	       +3.741344	       +3.741344
               0	              11	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.717677	       +0.000000	       -2.289124	       -7.475659	       +0.000000	       -1.254741	       +3.741344	       +3.741344
               0	              12	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.717677	       +0.000000	       -2.289124	       -7.475659	       +0.000000	       -1.254741	       +3.741344	       +3.741344
               0	              13	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.717677	       +0.000000	       -2.289124	       -7.475659	       +0.000000	       -1.254741	       +3.741344	       +3.741344
