# Generated by LORRAX 0.1.0 at 2026-05-16 21:44:43 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	sex_head        	coh_head        	eqp0            	eqp1            

k-point 0:
               0	               0	       -5.697473	       -5.697473	       +1.784418	       +3.308178	      -17.384919	       -2.590893	       -4.578399	       -8.504047	       -0.081411	       -1.254741	      -25.374770	      -25.374770
               0	               1	       -5.697473	       -5.697473	       +1.784418	       +3.308178	      -17.384919	       -2.590893	       -4.578399	       -8.504047	       -0.081411	       -1.254741	      -25.374770	      -25.374770
               0	               2	       +6.249018	       +6.249018	      +12.633500	       +5.067772	      -12.786164	       -2.590893	       -3.896492	       -8.041232	       -0.081411	       -1.254741	       -7.022617	       -7.022617
               0	               3	       +6.249018	       +6.249018	      +12.633500	       +5.067772	      -12.786164	       -2.590893	       -3.896492	       -8.041232	       -0.081411	       -1.254741	       -7.022617	       -7.022617
               0	               4	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.762837	       -2.590893	       -3.893306	       -8.040642	       -0.081411	       -1.254741	       -6.946996	       -6.946996
               0	               5	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.762837	       -2.590893	       -3.893306	       -8.040642	       -0.081411	       -1.254741	       -6.946996	       -6.946996
               0	               6	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.762837	       -2.590893	       -3.893306	       -8.040642	       -0.081411	       -1.254741	       -6.946996	       -6.946996
               0	               7	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.762837	       -2.590893	       -3.893306	       -8.040642	       -0.081411	       -1.254741	       -6.946996	       -6.946996
               0	               8	       +8.798077	       +8.798077	      +16.911498	       +2.279639	       -5.663635	       +0.000000	       -2.290007	       -7.329698	       +0.000000	       -1.254741	       +3.907798	       +3.907798
               0	               9	       +8.798077	       +8.798077	      +16.911498	       +2.279639	       -5.663635	       +0.000000	       -2.290007	       -7.329698	       +0.000000	       -1.254741	       +3.907798	       +3.907798
               0	              10	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.644372	       +0.000000	       -2.286629	       -7.326703	       +0.000000	       -1.254741	       +3.966100	       +3.966100
               0	              11	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.644372	       +0.000000	       -2.286629	       -7.326703	       +0.000000	       -1.254741	       +3.966100	       +3.966100
               0	              12	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.644372	       +0.000000	       -2.286629	       -7.326703	       +0.000000	       -1.254741	       +3.966100	       +3.966100
               0	              13	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.644372	       +0.000000	       -2.286629	       -7.326703	       +0.000000	       -1.254741	       +3.966100	       +3.966100
               0	              14	       +9.629144	       +9.629144	      +16.423388	       +4.319127	       -5.682851	       +0.000000	       -2.450478	       -8.076704	       +0.000000	       -1.254741	       +4.532483	       +4.532483
               0	              15	       +9.629144	       +9.629144	      +16.423388	       +4.319127	       -5.682851	       +0.000000	       -2.450478	       -8.076704	       +0.000000	       -1.254741	       +4.532483	       +4.532483
               0	              16	      +14.014749	      +14.014749	      +22.123637	       +2.047209	       -3.715822	       +0.000000	       -1.883418	       -6.330283	       +0.000000	       -1.254741	      +12.241322	      +12.241322
               0	              17	      +14.014749	      +14.014749	      +22.123637	       +2.047209	       -3.715822	       +0.000000	       -1.883418	       -6.330283	       +0.000000	       -1.254741	      +12.241322	      +12.241322
               0	              18	      +14.014749	      +14.014749	      +22.123637	       +2.047209	       -3.715822	       +0.000000	       -1.883418	       -6.330283	       +0.000000	       -1.254741	      +12.241322	      +12.241322
               0	              19	      +14.014749	      +14.014749	      +22.123637	       +2.047209	       -3.715822	       +0.000000	       -1.883418	       -6.330283	       +0.000000	       -1.254741	      +12.241322	      +12.241322
               0	              20	      +14.243035	      +14.243035	      +24.808727	       -0.434802	       -1.972476	       +0.000000	       -1.130842	       -4.221113	       +0.000000	       -1.254741	      +17.049494	      +17.049494
               0	              21	      +14.243035	      +14.243035	      +24.808727	       -0.434802	       -1.972476	       +0.000000	       -1.130842	       -4.221113	       +0.000000	       -1.254741	      +17.049494	      +17.049494
               0	              22	      +17.510693	      +17.510693	      +27.642166	       -0.776992	       -1.860957	       +0.000000	       -1.186289	       -5.224334	       +0.000000	       -1.254741	      +18.593593	      +18.593593
               0	              23	      +17.510693	      +17.510693	      +27.642166	       -0.776992	       -1.860957	       +0.000000	       -1.186289	       -5.224334	       +0.000000	       -1.254741	      +18.593593	      +18.593593
               0	              24	      +17.521346	      +17.521346	      +27.653119	       -0.776602	       -1.863095	       +0.000000	       -1.187153	       -5.229744	       +0.000000	       -1.254741	      +18.596525	      +18.596525
               0	              25	      +17.521346	      +17.521346	      +27.653119	       -0.776602	       -1.863095	       +0.000000	       -1.187153	       -5.229744	       +0.000000	       -1.254741	      +18.596525	      +18.596525
               0	              26	      +17.521346	      +17.521346	      +27.653119	       -0.776602	       -1.863095	       +0.000000	       -1.187153	       -5.229744	       +0.000000	       -1.254741	      +18.596525	      +18.596525
               0	              27	      +17.521346	      +17.521346	      +27.653119	       -0.776602	       -1.863095	       +0.000000	       -1.187153	       -5.229744	       +0.000000	       -1.254741	      +18.596525	      +18.596525
               0	              28	      +21.692462	      +21.692462	      +33.700229	       -1.845999	       -0.859701	       +0.000000	       -0.634612	       -3.014434	       +0.000000	       -1.254741	      +27.345483	      +27.345483
