# Generated by LORRAX 0.1.0 at 2026-05-16 19:19:18 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	eqp0            	eqp1            

k-point 0:
               0	               0	       -5.697473	       -5.697473	       +1.784418	       +3.308178	      -17.700166	       -2.590893	      -17.700166	       +0.000000	      -30.307737	      -30.307737
               0	               1	       -5.697473	       -5.697473	       +1.784418	       +3.308178	      -17.700166	       -2.590893	      -17.700166	       +0.000000	      -30.307737	      -30.307737
               0	               2	       +6.249018	       +6.249018	      +12.633500	       +5.067772	      -12.994207	       -2.590893	      -12.994207	       +0.000000	       -8.287143	       -8.287143
               0	               3	       +6.249018	       +6.249018	      +12.633500	       +5.067772	      -12.994207	       -2.590893	      -12.994207	       +0.000000	       -8.287143	       -8.287143
               0	               4	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.969977	       -2.590893	      -12.969977	       +0.000000	       -8.190164	       -8.190164
               0	               5	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.969977	       -2.590893	      -12.969977	       +0.000000	       -8.190164	       -8.190164
               0	               6	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.969977	       -2.590893	      -12.969977	       +0.000000	       -8.190164	       -8.190164
               0	               7	       +6.296979	       +6.296979	      +12.685345	       +5.064445	      -12.969977	       -2.590893	      -12.969977	       +0.000000	       -8.190164	       -8.190164
               0	               8	       +8.798077	       +8.798077	      +16.911498	       +2.279639	       -5.737668	       +0.000000	       -5.737668	       +0.000000	       +7.715802	       +7.715802
               0	               9	       +8.798077	       +8.798077	      +16.911498	       +2.279639	       -5.737668	       +0.000000	       -5.737668	       +0.000000	       +7.715802	       +7.715802
               0	              10	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.717677	       +0.000000	       -5.717677	       +0.000000	       +7.788449	       +7.788449
               0	              11	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.717677	       +0.000000	       -5.717677	       +0.000000	       +7.788449	       +7.788449
               0	              12	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.717677	       +0.000000	       -5.717677	       +0.000000	       +7.788449	       +7.788449
               0	              13	       +8.833004	       +8.833004	      +16.953937	       +2.269867	       -5.717677	       +0.000000	       -5.717677	       +0.000000	       +7.788449	       +7.788449
               0	              14	       +9.629144	       +9.629144	      +16.423388	       +4.319127	       -5.729764	       +0.000000	       -5.729764	       +0.000000	       +9.282987	       +9.282987
