# memory_timeline.txt — live-array sampler output
# Interval: 0.250s  |  Samples: 139

── Timeline (t, bytes_in_use, n_live) ─────────────────────────
   t (s)    bytes_in_use   n_live  live_bytes_sum
    2.49          0.00 B        0          0.00 B
    2.74          0.00 B        0          0.00 B
    3.00          0.00 B        0          0.00 B
    3.25          0.00 B        0          0.00 B
    3.50          0.00 B        0          0.00 B
    3.77          0.00 B        0          0.00 B
    4.02          0.00 B        0          0.00 B
    4.27          0.00 B        2         64.00 B
    4.52          0.00 B        3        192.00 B
    4.77          0.00 B        3        192.00 B
    5.02          0.00 B        3        192.00 B
    5.27          0.00 B        2         24.00 B
    5.52          0.00 B        2         24.00 B
    6.76          0.00 B        0          0.00 B
    7.01          0.00 B        2         24.00 B
    7.26          0.00 B        4      112.50 MiB
    7.51          0.00 B        8        1.69 GiB
    7.76          0.00 B       16        1.69 GiB
    8.01          0.00 B       16        1.69 GiB
    8.26          0.00 B       16        1.69 GiB
    8.51          0.00 B       14      112.51 MiB
    8.76          0.00 B       18      168.76 MiB
    9.02          0.00 B       22      787.51 MiB
    9.27          0.00 B       24      787.51 MiB
    9.59          0.00 B       22      787.51 MiB
    9.84          0.00 B       22      787.51 MiB
   10.09          0.00 B       22      787.51 MiB
   10.34          0.00 B       22      787.51 MiB
   10.59          0.00 B       21      562.51 MiB
   10.84          0.00 B       31      635.38 MiB
   11.09          0.00 B       30      638.75 MiB
   11.34          0.00 B       26      566.47 MiB
   11.59          0.00 B       26      566.47 MiB
   11.84          0.00 B       26      566.47 MiB
   12.10          0.00 B       27      566.47 MiB
   12.35          0.00 B       27      566.47 MiB
   12.60          0.00 B       27        6.88 GiB
   13.03          0.00 B       28        6.88 GiB
   13.33          0.00 B       28        6.88 GiB
   13.58          0.00 B       28        6.88 GiB
   13.86          0.00 B       28        6.88 GiB
   14.12          0.00 B       28        6.88 GiB
   14.37          0.00 B       28        6.88 GiB
   14.62          0.00 B       28        6.88 GiB
   14.87          0.00 B       28        6.88 GiB
   15.13          0.00 B       28        6.88 GiB
   15.38          0.00 B       28        6.88 GiB
   15.63          0.00 B       28        6.88 GiB
   15.88          0.00 B       28        6.88 GiB
   16.13          0.00 B       28        6.88 GiB
   16.38          0.00 B       28        6.88 GiB
   16.64          0.00 B       28        6.88 GiB
   16.89          0.00 B       28        6.88 GiB
   17.14          0.00 B       28        6.88 GiB
   17.39          0.00 B       28        6.88 GiB
   17.64          0.00 B       28        6.88 GiB
   17.89          0.00 B       28        6.88 GiB
   18.14          0.00 B       28        6.88 GiB
   18.39          0.00 B       28        6.88 GiB
   18.64          0.00 B       28        6.88 GiB
   18.89          0.00 B       28        6.88 GiB
