# Generated by LORRAX unknown at 2026-07-18 02:25:17 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	sex_head        	coh_head        	eqp0            	eqp1            

k-point 0:
               0	               0	       -5.697462	       -5.697462	       +1.784419	       +3.341671	      -17.485052	       -2.600230	       -4.486959	       -8.994236	       -0.118370	       -1.240930	      -25.840157	      -25.840157
               0	               1	       -5.697462	       -5.697462	       +1.784419	       +3.341671	      -17.485052	       -2.600230	       -4.486959	       -8.994236	       -0.118370	       -1.240930	      -25.840157	      -25.840157
               0	               2	       +6.280883	       +6.280883	      +12.669137	       +5.309898	      -12.886133	       -2.600230	       -3.935973	       -8.635201	       -0.118370	       -1.240930	       -7.478271	       -7.478271
               0	               3	       +6.280883	       +6.280883	      +12.671498	       +5.309898	      -12.886133	       -2.600230	       -3.935973	       -8.635201	       -0.118370	       -1.240930	       -7.475910	       -7.475910
               0	               4	       +6.280883	       +6.280883	      +12.665266	       +5.309898	      -12.886133	       -2.600230	       -3.935973	       -8.635201	       -0.118370	       -1.240930	       -7.482142	       -7.482142
               0	               5	       +6.280883	       +6.280883	      +12.671754	       +5.309898	      -12.886133	       -2.600230	       -3.935973	       -8.635201	       -0.118370	       -1.240930	       -7.475655	       -7.475655
               0	               6	       +6.280883	       +6.280883	      +12.662600	       +5.309898	      -12.886133	       -2.600230	       -3.935973	       -8.635201	       -0.118370	       -1.240930	       -7.484808	       -7.484808
               0	               7	       +6.280883	       +6.280883	      +12.668285	       +5.309898	      -12.886133	       -2.600230	       -3.935973	       -8.635201	       -0.118370	       -1.240930	       -7.479123	       -7.479123
               0	               8	       +8.821292	       +8.821292	      +16.930823	       +2.202928	       -5.713644	       +0.000000	       -2.284743	       -7.968425	       +0.000000	       -1.240930	       +3.166939	       +3.166939
               0	               9	       +8.821292	       +8.821292	      +16.937850	       +2.202928	       -5.713644	       +0.000000	       -2.284743	       -7.968425	       +0.000000	       -1.240930	       +3.173967	       +3.173967
               0	              10	       +8.821292	       +8.821292	      +16.933981	       +2.202928	       -5.713644	       +0.000000	       -2.284743	       -7.968425	       +0.000000	       -1.240930	       +3.170098	       +3.170098
               0	              11	       +8.821292	       +8.821292	      +16.938709	       +2.202928	       -5.713644	       +0.000000	       -2.284743	       -7.968425	       +0.000000	       -1.240930	       +3.174826	       +3.174826
               0	              12	       +8.821292	       +8.821292	      +16.948195	       +2.202928	       -5.713644	       +0.000000	       -2.284743	       -7.968425	       +0.000000	       -1.240930	       +3.184311	       +3.184311
               0	              13	       +8.821292	       +8.821292	      +16.949334	       +2.202928	       -5.713644	       +0.000000	       -2.284743	       -7.968425	       +0.000000	       -1.240930	       +3.185450	       +3.185450
               0	              14	       +9.629157	       +9.629157	      +16.423389	       +4.994166	       -5.930370	       +0.000000	       -2.459176	       -8.696210	       +0.000000	       -1.240930	       +4.331799	       +4.331799
               0	              15	       +9.629157	       +9.629157	      +16.423389	       +4.994166	       -5.930370	       +0.000000	       -2.459176	       -8.696210	       +0.000000	       -1.240930	       +4.331799	       +4.331799
               0	              16	      +14.014757	      +14.014757	      +22.123638	       +2.146065	       -4.321556	       +0.000000	       -2.078861	       -7.422519	       +0.000000	       -1.240930	      +10.446768	      +10.446768
               0	              17	      +14.014757	      +14.014757	      +22.123638	       +2.146065	       -4.321556	       +0.000000	       -2.078861	       -7.422519	       +0.000000	       -1.240930	      +10.446768	      +10.446768
               0	              18	      +14.014757	      +14.014757	      +22.123638	       +2.146065	       -4.321556	       +0.000000	       -2.078861	       -7.422519	       +0.000000	       -1.240930	      +10.446768	      +10.446768
               0	              19	      +14.014757	      +14.014757	      +22.123638	       +2.146065	       -4.321556	       +0.000000	       -2.078861	       -7.422519	       +0.000000	       -1.240930	      +10.446768	      +10.446768
               0	              20	      +14.243046	      +14.243046	      +24.808725	       -2.634698	       -2.612521	       +0.000000	       -1.519740	       -6.598241	       +0.000000	       -1.240930	      +11.443525	      +11.443525
               0	              21	      +14.243046	      +14.243046	      +24.808725	       -2.634698	       -2.612521	       +0.000000	       -1.519740	       -6.598241	       +0.000000	       -1.240930	      +11.443525	      +11.443525
               0	              22	      +17.517766	      +17.517766	      +27.650337	       -1.686204	       -2.275911	       +0.000000	       -1.413463	       -6.599909	       +0.000000	       -1.240930	      +15.674849	      +15.674849
               0	              23	      +17.517766	      +17.517766	      +27.650888	       -1.686204	       -2.275911	       +0.000000	       -1.413463	       -6.599909	       +0.000000	       -1.240930	      +15.675400	      +15.675400
               0	              24	      +17.517766	      +17.517766	      +27.645322	       -1.686204	       -2.275911	       +0.000000	       -1.413463	       -6.599909	       +0.000000	       -1.240930	      +15.669834	      +15.669834
               0	              25	      +17.517766	      +17.517766	      +27.650063	       -1.686204	       -2.275911	       +0.000000	       -1.413463	       -6.599909	       +0.000000	       -1.240930	      +15.674575	      +15.674575
               0	              26	      +17.517766	      +17.517766	      +27.650476	       -1.686204	       -2.275911	       +0.000000	       -1.413463	       -6.599909	       +0.000000	       -1.240930	      +15.674987	      +15.674987
               0	              27	      +17.517766	      +17.517766	      +27.649741	       -1.686204	       -2.275911	       +0.000000	       -1.413463	       -6.599909	       +0.000000	       -1.240930	      +15.674253	      +15.674253
               0	              28	      +21.692473	      +21.692473	      +33.700228	       -5.411503	       -1.194417	       +0.000000	       -0.869687	       -5.628024	       +0.000000	       -1.240930	      +20.596597	      +20.596597
               0	              29	      +21.692473	      +21.692473	      +33.700228	       -5.411503	       -1.194417	       +0.000000	       -0.869687	       -5.628024	       +0.000000	       -1.240930	      +20.596597	      +20.596597
               0	              30	      +29.382010	      +29.382010	      +37.184234	       +2.723042	       -2.179876	       +0.000000	       -1.559907	       -5.980369	       +0.000000	       -1.240930	      +30.187124	      +30.187124
               0	              31	      +29.382010	      +29.382010	      +37.184290	       +2.723042	       -2.179876	       +0.000000	       -1.559907	       -5.980369	       +0.000000	       -1.240930	      +30.187180	      +30.187180
               0	              32	      +29.382010	      +29.382010	      +37.184163	       +2.723042	       -2.179876	       +0.000000	       -1.559907	       -5.980369	       +0.000000	       -1.240930	      +30.187053	      +30.187053
               0	              33	      +29.382010	      +29.382010	      +37.183731	       +2.723042	       -2.179876	       +0.000000	       -1.559907	       -5.980369	       +0.000000	       -1.240930	      +30.186621	      +30.186621
               0	              34	      +29.382010	      +29.382010	      +37.184153	       +2.723042	       -2.179876	       +0.000000	       -1.559907	       -5.980369	       +0.000000	       -1.240930	      +30.187043	      +30.187043
               0	              35	      +29.382010	      +29.382010	      +37.184042	       +2.723042	       -2.179876	       +0.000000	       -1.559907	       -5.980369	       +0.000000	       -1.240930	      +30.186932	      +30.186932
               0	              36	      +30.461606	      +30.461606	      +37.546230	       +4.239552	       -2.211284	       +0.000000	       -1.625678	       -6.155280	       +0.000000	       -1.240930	      +31.793540	      +31.793540
               0	              37	      +30.461606	      +30.461606	      +37.546230	       +4.239552	       -2.211284	       +0.000000	       -1.625678	       -6.155280	       +0.000000	       -1.240930	      +31.793540	      +31.793540
               0	              38	      +30.461606	      +30.461606	      +37.546230	       +4.239552	       -2.211284	       +0.000000	       -1.625678	       -6.155280	       +0.000000	       -1.240930	      +31.793540	      +31.793540
               0	              39	      +30.461606	      +30.461606	      +37.546230	       +4.239552	       -2.211284	       +0.000000	       -1.625678	       -6.155280	       +0.000000	       -1.240930	      +31.793540	      +31.793540
               0	              40	      +32.099306	      +32.099306	      +39.417740	       +3.945940	       -2.286732	       +0.000000	       -1.593164	       -6.428983	       +0.000000	       -1.240930	      +33.054801	      +33.054801
               0	              41	      +32.099306	      +32.099306	      +39.415988	       +3.945940	       -2.286732	       +0.000000	       -1.593164	       -6.428983	       +0.000000	       -1.240930	      +33.053050	      +33.053050
               0	              42	      +32.099306	      +32.099306	      +39.430099	       +3.945940	       -2.286732	       +0.000000	       -1.593164	       -6.428983	       +0.000000	       -1.240930	      +33.067161	      +33.067161
               0	              43	      +32.099306	      +32.099306	      +39.394989	       +3.945940	       -2.286732	       +0.000000	       -1.593164	       -6.428983	       +0.000000	       -1.240930	      +33.032051	      +33.032051
               0	              44	      +32.099306	      +32.099306	      +39.426932	       +3.945940	       -2.286732	       +0.000000	       -1.593164	       -6.428983	       +0.000000	       -1.240930	      +33.063993	      +33.063993
               0	              45	      +32.099306	      +32.099306	      +39.422380	       +3.945940	       -2.286732	       +0.000000	       -1.593164	       -6.428983	       +0.000000	       -1.240930	      +33.059442	      +33.059442
               0	              46	      +35.634546	      +35.634546	      +43.772074	       +1.978019	       -2.164324	       +0.000000	       -1.582911	       -4.814773	       +0.000000	       -1.240930	      +37.188085	      +37.188085
               0	              47	      +35.634546	      +35.634546	      +43.772074	       +1.978019	       -2.164324	       +0.000000	       -1.582911	       -4.814773	       +0.000000	       -1.240930	      +37.188085	      +37.188085
               0	              48	      +35.634546	      +35.634546	      +43.772074	       +1.978019	       -2.164324	       +0.000000	       -1.582911	       -4.814773	       +0.000000	       -1.240930	      +37.188085	      +37.188085
               0	              49	      +35.634546	      +35.634546	      +43.772074	       +1.978019	       -2.164324	       +0.000000	       -1.582911	       -4.814773	       +0.000000	       -1.240930	      +37.188085	      +37.188085
               0	              50	      +35.634546	      +35.634546	      +43.772074	       +1.978019	       -2.164324	       +0.000000	       -1.582911	       -4.814773	       +0.000000	       -1.240930	      +37.188085	      +37.188085
               0	              51	      +35.634546	      +35.634546	      +43.772074	       +1.978019	       -2.164324	       +0.000000	       -1.582911	       -4.814773	       +0.000000	       -1.240930	      +37.188085	      +37.188085
               0	              52	      +41.091814	      +41.091814	      +49.398861	       +1.991379	       -1.337868	       +0.000000	       -1.115980	       -4.811952	       +0.000000	       -1.240930	      +44.124441	      +44.124441
               0	              53	      +41.091814	      +41.091814	      +49.398934	       +1.991379	       -1.337868	       +0.000000	       -1.115980	       -4.811952	       +0.000000	       -1.240930	      +44.124514	      +44.124514
               0	              54	      +41.091814	      +41.091814	      +49.398813	       +1.991379	       -1.337868	       +0.000000	       -1.115980	       -4.811952	       +0.000000	       -1.240930	      +44.124393	      +44.124393
               0	              55	      +41.091814	      +41.091814	      +49.398943	       +1.991379	       -1.337868	       +0.000000	       -1.115980	       -4.811952	       +0.000000	       -1.240930	      +44.124523	      +44.124523
               0	              56	      +41.091814	      +41.091814	      +49.398804	       +1.991379	       -1.337868	       +0.000000	       -1.115980	       -4.811952	       +0.000000	       -1.240930	      +44.124383	      +44.124383
               0	              57	      +41.091814	      +41.091814	      +49.398855	       +1.991379	       -1.337868	       +0.000000	       -1.115980	       -4.811952	       +0.000000	       -1.240930	      +44.124435	      +44.124435
               0	              58	      +44.700508	      +44.700508	      +55.315517	       -2.459055	       -1.065376	       +0.000000	       -0.906286	       -2.888364	       +0.000000	       -1.240930	      +47.996436	      +47.996436
               0	              59	      +44.700508	      +44.700508	      +55.315517	       -2.459055	       -1.065376	       +0.000000	       -0.906286	       -2.888364	       +0.000000	       -1.240930	      +47.996436	      +47.996436

k-point 1:
               1	               0	       -4.897274	       -4.897274	       +2.488944	       +3.526165	      -17.223820	       -2.600230	       -4.446428	       -9.000215	       -0.118370	       -1.240930	      -24.655354	      -24.655354
               1	               1	       -4.897274	       -4.897274	       +2.488944	       +3.526165	      -17.223820	       -2.600230	       -4.446428	       -9.000215	       -0.118370	       -1.240930	      -24.655354	      -24.655354
               1	               2	       +2.340141	       +2.340141	       +9.569448	       +3.807059	      -13.694369	       -2.600230	       -3.828205	       -8.649125	       -0.118370	       -1.240930	      -12.795193	      -12.795193
               1	               3	       +2.340141	       +2.340141	       +9.569448	       +3.807059	      -13.694369	       -2.600230	       -3.828205	       -8.649125	       -0.118370	       -1.240930	      -12.795193	      -12.795193
               1	               4	       +5.514186	       +5.514186	      +12.216247	       +4.728146	      -12.848059	       -2.600230	       -3.831480	       -8.599171	       -0.118370	       -1.240930	       -8.334317	       -8.334317
               1	               5	       +5.514186	       +5.514186	      +12.227865	       +4.728146	      -12.848059	       -2.600230	       -3.831480	       -8.599171	       -0.118370	       -1.240930	       -8.322698	       -8.322698
               1	               6	       +5.514186	       +5.514186	      +12.227074	       +4.728146	      -12.848059	       -2.600230	       -3.831480	       -8.599171	       -0.118370	       -1.240930	       -8.323490	       -8.323490
               1	               7	       +5.514186	       +5.514186	      +12.222092	       +4.728146	      -12.848059	       -2.600230	       -3.831480	       -8.599171	       -0.118370	       -1.240930	       -8.328472	       -8.328472
